{{0.0477903525,0.0477903525,0.0477903525, 0.0477903525, 0.0477903525, 0.0477903525, 0.0477903525},
{0.0477903524,0.0477903524,0.0477903524, 0.0477903524, 0.0477903524, 0.0477903524, 0.0477903524},
{0.0477903523,0.0477903523,0.0477903523, 0.0477903523, 0.0477903523, 0.0477903523, 0.0477903523},
{0.0477903523,0.0477903523,0.0477903523, 0.0477903523, 0.0477903523, 0.0477903523, 0.0477903523},
{0.0477903522,0.0477903522,0.0477903522, 0.0477903522, 0.0477903522, 0.0477903522, 0.0477903522},
{0.0477903521,0.0477903521,0.0477903521, 0.0477903521, 0.0477903521, 0.0477903521, 0.0477903521},
{0.0477903521,0.0477903521,0.0477903521, 0.0477903521, 0.0477903521, 0.0477903521, 0.0477903521},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
{0.0000000000,0.0000000000,0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000},
