gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
176,10.5494,9.68537,9.82371,10.0634,10.4729,11.1649,12.3258,14.2656,
177,10.6902,9.82479,9.96326,10.2031,10.6128,11.3049,12.4661,14.4059,
178,10.8326,9.96586,10.1045,10.3445,10.7543,11.4465,12.6079,14.5477,
179,10.9766,10.1086,10.2473,10.4875,10.8974,11.5898,12.7514,14.6912,
180,11.1223,10.253,10.3919,10.6322,11.0423,11.7348,12.8965,14.8365,
181,11.2697,10.3992,10.5382,10.7786,11.1888,11.8815,13.0433,14.9836,
182,11.4188,10.5471,10.6862,10.9267,11.3371,12.0299,13.1919,15.1323,
183,11.5696,10.6967,10.8359,11.0766,11.4871,12.1801,13.3422,15.2828,
184,11.7222,10.8481,10.9874,11.2282,11.6388,12.332,13.4943,15.435,
185,11.8766,11.0013,11.1407,11.3816,11.7923,12.4857,13.6481,15.5889,
186,12.0327,11.1563,11.2958,11.5368,11.9477,12.6412,13.8038,15.7446,
187,12.1906,11.3131,11.4527,11.6938,12.1048,12.7985,13.9612,15.9022,
188,12.3504,11.4717,11.6114,11.8527,12.2638,12.9576,14.1205,16.0617,
189,12.512,11.6322,11.772,12.0134,12.4247,13.1186,14.2816,16.223,
190,12.6755,11.7946,11.9345,12.176,12.5874,13.2814,14.4446,16.3862,
191,12.8409,11.959,12.099,12.3405,12.7521,13.4462,14.6094,16.5511,
192,13.0082,12.1252,12.2653,12.507,12.9187,13.6129,14.7762,16.7179,
193,13.1774,12.2934,12.4336,12.6754,13.0872,13.7815,14.9449,16.8867,
194,13.3486,12.4636,12.6039,12.8458,13.2576,13.9521,15.1156,17.0575,
195,13.5218,12.6358,12.7762,13.0182,13.4301,14.1247,15.2883,17.2304,
196,13.697,12.8101,12.9505,13.1925,13.6046,14.2993,15.463,17.4053,
197,13.8742,12.9864,13.1268,13.3689,13.7811,14.476,15.6397,17.5822,
198,14.0535,13.1647,13.3052,13.5474,13.9597,14.6546,15.8185,17.7611,
199,14.2348,13.3451,13.4857,13.728,14.1404,14.8354,15.9995,17.9421,
200,14.4183,13.5277,13.6683,13.9107,14.3231,15.0182,16.1825,18.1251,
201,14.6039,13.7124,13.8531,14.0955,14.508,15.2033,16.3676,18.3103,
202,14.7916,13.8992,14.04,14.2825,14.6951,15.3904,16.5549,18.4978,
203,14.9815,14.0882,14.2291,14.4717,14.8844,15.5797,16.7442,18.6874,
204,15.1736,14.2795,14.4204,14.6631,15.0758,15.7712,16.9359,18.8792,
205,15.3679,14.4729,14.6139,14.8567,15.2695,15.965,17.1298,19.0732,
206,15.5645,14.6687,14.8097,15.0525,15.4654,16.1611,17.326,19.2693,
207,15.7633,14.8668,15.0078,15.2507,15.6636,16.3594,17.5244,19.4676,
208,15.9645,15.0671,15.2082,15.4511,15.8642,16.5601,17.7252,19.6682,
