gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
100,3.46253,-7.24806,-7.1485,-7.03617,-6.90928,-6.76573,-6.60336,-6.41991,
101,3.52119,-7.22147,-7.12253,-7.01089,-6.88474,-6.74202,-6.58055,-6.39808,
102,3.58052,-7.19474,-7.09643,-6.98547,-6.86007,-6.71817,-6.5576,-6.37613,
103,3.64053,-7.16787,-7.07019,-6.95991,-6.83526,-6.69418,-6.5345,-6.35403,
104,3.70125,-7.14087,-7.04381,-6.93422,-6.81031,-6.67005,-6.51127,-6.3318,
105,3.76266,-7.11373,-7.0173,-6.90838,-6.78522,-6.64578,-6.4879,-6.30943,
106,3.82479,-7.08646,-6.99064,-6.88241,-6.75999,-6.62138,-6.4644,-6.28693,
107,3.88764,-7.05905,-6.96385,-6.8563,-6.73462,-6.59683,-6.44077,-6.26428,
108,3.95121,-7.03151,-6.93692,-6.83004,-6.70912,-6.57215,-6.417,-6.24151,
109,4.01552,-7.00383,-6.90985,-6.80365,-6.68347,-6.54732,-6.39309,-6.21862,
110,4.08058,-6.97602,-6.88265,-6.77713,-6.65769,-6.52236,-6.36904,-6.19558,
111,4.14639,-6.94807,-6.8553,-6.75046,-6.63177,-6.49726,-6.34486,-6.17241,
112,4.21297,-6.91998,-6.82782,-6.72366,-6.60571,-6.47202,-6.32055,-6.14911,
113,4.28031,-6.89175,-6.8002,-6.69671,-6.57951,-6.44665,-6.29609,-6.12566,
114,4.34843,-6.86339,-6.77245,-6.66963,-6.55318,-6.42114,-6.27151,-6.10208,
115,4.41735,-6.83489,-6.74456,-6.64242,-6.5267,-6.3955,-6.24678,-6.07837,
116,4.48706,-6.80626,-6.71654,-6.61506,-6.5001,-6.36972,-6.22192,-6.05455,
117,4.55758,-6.7775,-6.68839,-6.58757,-6.47336,-6.34381,-6.19693,-6.03059,
118,4.62892,-6.74861,-6.66009,-6.55995,-6.44648,-6.31777,-6.17181,-6.0065,
119,4.70108,-6.71958,-6.63167,-6.53219,-6.41947,-6.2916,-6.14656,-5.98227,
120,4.77408,-6.69041,-6.6031,-6.5043,-6.39233,-6.26529,-6.12118,-5.95792,
121,4.84793,-6.66111,-6.57441,-6.47627,-6.36505,-6.23885,-6.09567,-5.93343,
122,4.92263,-6.63168,-6.54558,-6.44811,-6.33764,-6.21227,-6.07003,-5.90881,
123,4.99819,-6.60212,-6.51662,-6.41982,-6.3101,-6.18557,-6.04426,-5.88407,
124,5.07463,-6.57242,-6.48752,-6.3914,-6.28243,-6.15874,-6.01835,-5.85921,
125,5.15196,-6.54259,-6.4583,-6.36284,-6.25463,-6.13177,-5.99232,-5.83423,
126,5.23019,-6.51263,-6.42895,-6.33416,-6.2267,-6.10468,-5.96617,-5.80912,
