gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
283,40.0698,39.5126,39.6476,39.8132,40.0161,40.2645,40.5686,40.9407,
284,40.5526,39.9951,40.1302,40.2957,40.4986,40.747,41.051,41.4231,
285,41.0409,40.4832,40.6183,40.7838,40.9867,41.235,41.5391,41.9112,
286,41.5349,40.9769,41.112,41.2776,41.4804,41.7288,42.0328,42.4049,
287,42.0347,41.4764,41.6115,41.777,41.9798,42.2282,42.5323,42.9044,
288,42.5402,41.9816,42.1167,42.2823,42.4851,42.7335,43.0376,43.4097,
289,43.0516,42.4927,42.6278,42.7934,42.9962,43.2446,43.5487,43.9208,
290,43.5689,43.0098,43.1449,43.3104,43.5133,43.7617,44.0657,44.4379,
291,44.0922,43.5328,43.6679,43.8335,44.0363,44.2847,44.5888,44.9609,
292,44.6215,44.0619,44.197,44.3626,44.5654,44.8138,45.1179,45.49,
293,45.157,44.5971,44.7322,44.8978,45.1006,45.349,45.6531,46.0253,
294,45.6987,45.1386,45.2737,45.4392,45.6421,45.8905,46.1946,46.5667,
295,46.2467,45.6863,45.8214,45.9869,46.1898,46.4382,46.7423,47.1144,
296,46.801,46.2403,46.3754,46.541,46.7438,46.9922,47.2963,47.6685,
297,47.3617,46.8008,46.9359,47.1015,47.3043,47.5527,47.8568,48.229,
298,47.9289,47.3678,47.5029,47.6684,47.8713,48.1197,48.4238,48.7959,
299,48.5027,47.9413,48.0764,48.242,48.4448,48.6932,48.9973,49.3695,
300,49.0832,48.5215,48.6566,48.8222,49.025,49.2734,49.5775,49.9497,
301,49.6704,49.1084,49.2435,49.4091,49.6119,49.8603,50.1644,50.5366,
302,50.2644,49.7021,49.8372,50.0028,50.2056,50.454,50.7581,51.1303,
303,50.8652,50.3027,50.4378,50.6034,50.8062,51.0546,51.3587,51.7309,
304,51.473,50.9102,51.0453,51.2109,51.4137,51.6622,51.9663,52.3384,
305,52.0879,51.5248,51.6599,51.8255,52.0283,52.2767,52.5808,52.953,
306,52.7099,52.1465,52.2816,52.4472,52.65,52.8984,53.2025,53.5747,
307,53.3391,52.7754,52.9105,53.0761,53.2789,53.5274,53.8315,54.2036,
308,53.9756,53.4116,53.5467,53.7123,53.9151,54.1636,54.4676,54.8398,
309,54.6194,54.0552,54.1903,54.3559,54.5587,54.8071,55.1112,55.4834,
310,55.2707,54.7062,54.8413,55.0069,55.2097,55.4581,55.7622,56.1344,
311,55.9296,55.3648,55.4999,55.6654,55.8683,56.1167,56.4208,56.793,
312,56.5961,56.031,56.1661,56.3316,56.5345,56.7829,57.087,57.4591,
313,57.2703,56.7049,56.84,57.0055,57.2084,57.4568,57.7609,58.1331,
314,57.9523,57.3866,57.5217,57.6873,57.8901,58.1385,58.4426,58.8148,
315,58.6423,58.0762,58.2113,58.3769,58.5797,58.8281,59.1322,59.5044,
316,59.3402,58.7738,58.9089,59.0745,59.2773,59.5257,59.8298,60.202,
317,60.0462,59.4795,59.6146,59.7802,59.983,60.2314,60.5355,60.9077,
318,60.7604,60.1934,60.3285,60.494,60.6969,60.9453,61.2494,61.6215,
319,61.4828,60.9155,61.0506,61.2162,61.419,61.6674,61.9715,62.3437,
320,62.2137,61.646,61.7811,61.9467,62.1495,62.3979,62.702,63.0742,
321,62.9529,62.385,62.52,62.6856,62.8885,63.1369,63.441,63.8131,
322,63.7008,63.1325,63.2676,63.4331,63.636,63.8844,64.1885,64.5607,
323,64.4573,63.8887,64.0237,64.1893,64.3922,64.6406,64.9447,65.3168,
324,65.2226,64.6536,64.7887,64.9543,65.1571,65.4055,65.7096,66.0818,
325,65.9968,65.4274,65.5625,65.7281,65.9309,66.1793,66.4834,66.8556,
326,66.7799,66.2102,66.3453,66.5108,66.7137,66.9621,67.2662,67.6384,
327,67.5721,67.002,67.1371,67.3027,67.5055,67.7539,68.058,68.4302,
328,68.3735,67.803,67.9381,68.1037,68.3065,68.5549,68.859,69.2312,
329,69.1841,68.6133,68.7484,68.914,69.1168,69.3652,69.6693,70.0415,
330,70.0042,69.433,69.5681,69.7337,69.9365,70.1849,70.489,70.8612,
331,70.8337,70.2622,70.3973,70.5628,70.7657,71.0141,71.3182,71.6903,
332,71.6729,71.101,71.236,71.4016,71.6045,71.8529,72.1569,72.5291,
333,72.5218,71.9494,72.0845,72.2501,72.4529,72.7013,73.0054,73.3776,
334,73.3805,72.8078,72.9428,73.1084,73.3113,73.5597,73.8638,74.2359,
335,74.2492,73.676,73.8111,73.9767,74.1795,74.4279,74.732,75.1042,
336,75.1279,74.5544,74.6894,74.855,75.0579,75.3063,75.6103,75.9825,
337,76.0168,75.4429,75.5779,75.7435,75.9464,76.1948,76.4989,76.871,
338,76.916,76.3417,76.4767,76.6423,76.8452,77.0936,77.3977,77.7698,
339,77.8256,77.2509,77.386,77.5515,77.7544,78.0028,78.3069,78.679,
340,78.7458,78.1706,78.3057,78.4713,78.6741,78.9225,79.2266,79.5988,
341,79.6766,79.101,79.2361,79.4017,79.6045,79.8529,80.157,80.5292,
342,80.6182,80.0422,80.1773,80.3429,80.5457,80.7941,81.0982,81.4703,
343,81.5708,80.9943,81.1294,81.2949,81.4978,81.7462,82.0503,82.4224,
344,82.5343,81.9574,82.0925,82.2581,82.4609,82.7093,83.0134,83.3856,
345,83.509,82.9317,83.0668,83.2323,83.4352,83.6836,83.9877,84.3598,
346,84.495,83.9172,84.0523,84.2179,84.4207,84.6691,84.9732,85.3454,
347,85.4925,84.9142,85.0493,85.2149,85.4177,85.6661,85.9702,86.3424,
348,86.5014,85.9228,86.0578,86.2234,86.4262,86.6746,86.9787,87.3509,
349,87.5221,86.943,87.078,87.2436,87.4465,87.6949,87.999,88.3711,
350,88.5546,87.975,88.1101,88.2756,88.4785,88.7269,89.031,89.4031,
351,89.5991,89.019,89.1541,89.3196,89.5225,89.7709,90.075,90.4471,
352,90.6556,90.0751,90.2102,90.3757,90.5786,90.827,91.1311,91.5032,
353,91.7245,91.1434,91.2785,91.444,91.6469,91.8953,92.1994,92.5715,
354,92.8056,92.2241,92.3592,92.5247,92.7276,92.976,93.2801,93.6522,
355,93.8993,93.3173,93.4524,93.6179,93.8208,94.0692,94.3733,94.7454,
356,95.0057,94.4232,94.5583,94.7238,94.9267,95.1751,95.4792,95.8513,
357,96.1249,95.5419,95.677,95.8425,96.0454,96.2938,96.5979,96.97,
358,97.2571,96.6735,96.8086,96.9742,97.177,97.4254,97.7295,98.1017,
359,98.4024,97.8183,97.9534,98.1189,98.3218,98.5702,98.8743,99.2464,
360,99.5609,98.9763,99.1114,99.277,99.4798,99.7282,100.032,100.404,
361,100.733,100.148,100.283,100.448,100.651,100.9,101.204,101.576,
362,101.918,101.333,101.468,101.633,101.836,102.085,102.389,102.761,
