gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
56,1.44971,2.68206e-05,0.00025162,0.000968987,0.00148541,0.000908862,0.000220906,2.18903e-05,
57,1.48504,2.74267e-05,0.000258145,0.000997596,0.00153435,0.000941009,0.000228803,2.26091e-05,
58,1.52078,2.78183e-05,0.000260338,0.00100162,0.00153508,0.000939182,0.000228202,2.25971e-05,
59,1.55694,2.79447e-05,0.000262251,0.00101015,0.00154842,0.00094696,0.000229935,2.27484e-05,
60,1.59351,2.83871e-05,0.000266837,0.00102966,0.00158218,0.000971109,0.000237091,2.3655e-05,
61,1.63051,2.89961e-05,0.000272927,0.00105423,0.00162114,0.000995477,0.000243059,2.42382e-05,
62,1.66794,2.96499e-05,0.000279496,0.00108083,0.00166301,0.00102086,0.00024885,2.47299e-05,
63,1.7058,3.01117e-05,0.000284382,0.0011026,0.00170219,0.0010491,0.000256927,2.56785e-05,
64,1.7441,3.04669e-05,0.000287919,0.00111737,0.00172729,0.00106644,0.000261733,2.62194e-05,
65,1.78284,3.09091e-05,0.000292517,0.00113712,0.00176239,0.00109286,0.000270104,2.7353e-05,
66,1.82203,3.14092e-05,0.000297152,0.00115399,0.00178477,0.00110259,0.000270921,2.72081e-05,
67,1.86167,3.27249e-05,0.000308023,0.00119344,0.00184482,0.00114021,0.00028033,2.81494e-05,
68,1.90178,3.28524e-05,0.000311306,0.00121272,0.00188377,0.00116976,0.000288994,2.91862e-05,
69,1.94235,3.27834e-05,0.00031123,0.00121339,0.00188453,0.00116918,0.000288433,2.90685e-05,
70,1.98339,3.34199e-05,0.000317861,0.00124229,0.00193669,0.00120849,0.000300644,3.06562e-05,
71,2.0249,3.39532e-05,0.000322626,0.00125961,0.00196115,0.00122166,0.000303272,3.08552e-05,
72,2.0669,3.45097e-05,0.000328115,0.00128098,0.00199279,0.00123915,0.000306679,3.10505e-05,
73,2.10938,3.51192e-05,0.000334405,0.0013071,0.00203575,0.00126747,0.000314199,3.1887e-05,
74,2.15235,3.51521e-05,0.000335166,0.00131283,0.00205011,0.00128036,0.000318531,3.24742e-05,
75,2.19582,3.59069e-05,0.000342629,0.00134275,0.0020979,0.00131108,0.000326429,3.32945e-05,
76,2.2398,3.64362e-05,0.000347124,0.00136085,0.00213017,0.00133556,0.000334013,3.42657e-05,
77,2.28428,3.65644e-05,0.000348931,0.00136882,0.00214232,0.001342,0.00033516,3.43379e-05,
78,2.32928,3.69285e-05,0.000352943,0.00138643,0.00217241,0.00136196,0.000340192,3.48141e-05,
79,2.37481,3.7477e-05,0.000358521,0.00140932,0.00220932,0.00138552,0.000346187,3.54507e-05,
80,2.42085,3.8802e-05,0.000370009,0.00145251,0.00227813,0.00143168,0.000358939,3.69299e-05,
81,2.46744,3.8457e-05,0.000369092,0.00145681,0.00229522,0.00144767,0.000363918,3.74921e-05,
82,2.51456,3.86858e-05,0.000370821,0.00146199,0.00230203,0.00145274,0.000366015,3.78787e-05,
83,2.56223,3.90913e-05,0.000374641,0.00147608,0.002321,0.00146132,0.000366977,3.78288e-05,
84,2.61045,3.95751e-05,0.000379684,0.00149753,0.00235731,0.00148593,0.000373642,3.85776e-05,
85,2.65923,4.00678e-05,0.000384595,0.00151831,0.00239292,0.00151015,0.000380005,3.92213e-05,
86,2.70857,4.05788e-05,0.000388705,0.00153327,0.00241613,0.00152523,0.000384043,3.96765e-05,
87,2.75849,4.07556e-05,0.000391574,0.00154717,0.00244079,0.00154269,0.000389233,4.03683e-05,
88,2.80898,4.12292e-05,0.000396504,0.00156824,0.00247749,0.00156904,0.000396922,4.12895e-05,
89,2.86006,4.16574e-05,0.000400498,0.00158363,0.00250105,0.00158311,0.000400088,4.15476e-05,
90,2.91173,4.19044e-05,0.000402993,0.00159405,0.00251801,0.00159366,0.000402532,4.17603e-05,
91,2.964,4.21843e-05,0.000406475,0.00161055,0.00254834,0.0016161,0.000409371,4.26656e-05,
92,3.01688,4.27571e-05,0.000412146,0.00163303,0.00258302,0.00163675,0.000413949,4.30159e-05,
93,3.07036,4.36365e-05,0.000419042,0.00165544,0.00261282,0.00165324,0.000417728,4.33805e-05,
94,3.12447,4.34015e-05,0.000417661,0.00165384,0.00261647,0.00165924,0.000420108,4.3715e-05,
95,3.1792,4.35171e-05,0.000420336,0.00166984,0.00264963,0.00168538,0.000428277,4.47928e-05,
96,3.23457,4.43809e-05,0.000428331,0.00170147,0.00270112,0.00171982,0.00043761,4.58249e-05,
97,3.29058,4.49553e-05,0.000434633,0.00172802,0.00274377,0.00174562,0.000443189,4.62113e-05,
98,3.34724,4.42872e-05,0.000428031,0.00170188,0.0027033,0.00172125,0.000437633,4.57481e-05,
99,3.40456,4.46344e-05,0.000431617,0.00171707,0.00272894,0.00173867,0.000442454,4.63228e-05,
100,3.46253,4.50309e-05,0.000435838,0.0017354,0.00276067,0.00176055,0.00044842,4.69827e-05,
101,3.52119,4.5214e-05,0.000437603,0.00174276,0.00277335,0.00176929,0.000450697,4.71935e-05,
102,3.58052,4.53446e-05,0.000438621,0.00174565,0.00277601,0.00176998,0.000450762,4.72149e-05,
103,3.64053,4.56068e-05,0.000441658,0.00175939,0.00279989,0.00178606,0.00045497,4.76592e-05,
104,3.70125,4.59293e-05,0.000445342,0.00177748,0.00283743,0.00181872,0.00046655,4.93587e-05,
105,3.76266,4.60193e-05,0.000445908,0.00177795,0.00283369,0.00181187,0.000463116,4.87427e-05,
106,3.82479,4.61512e-05,0.000447229,0.0017833,0.00284198,0.00181657,0.000464002,4.87784e-05,
107,3.88764,4.64723e-05,0.000450193,0.00179536,0.00286196,0.00182962,0.000467277,4.90992e-05,
108,3.95121,4.72113e-05,0.000455655,0.00181242,0.00288455,0.00184272,0.000470584,4.94643e-05,
109,4.01552,4.6902e-05,0.000454195,0.00181067,0.00288648,0.00184678,0.000472568,4.98376e-05,
110,4.08058,4.68612e-05,0.000454481,0.0018138,0.00289346,0.00185167,0.000473679,4.99048e-05,
111,4.14639,4.70082e-05,0.000456076,0.00182092,0.00290596,0.00186023,0.000475923,5.01292e-05,
112,4.21297,4.71472e-05,0.000457635,0.00182813,0.00291944,0.00187042,0.000479014,5.05148e-05,
113,4.28031,4.73139e-05,0.000459407,0.00183614,0.0029346,0.00188248,0.000482947,5.1045e-05,
114,4.34843,4.74218e-05,0.000460498,0.00184088,0.00294336,0.00188941,0.000485266,5.13834e-05,
115,4.41735,4.74741e-05,0.000461058,0.00184278,0.0029447,0.0018883,0.00048429,5.12003e-05,
116,4.48706,4.76137e-05,0.000462614,0.0018495,0.00295564,0.0018948,0.000485526,5.12275e-05,
117,4.55758,4.76884e-05,0.00046342,0.00185316,0.00296238,0.00189983,0.000487046,5.14214e-05,
118,4.62892,4.76755e-05,0.000463354,0.00185335,0.00296353,0.00190112,0.00048753,5.14935e-05,
119,4.70108,4.7825e-05,0.000465245,0.00186267,0.00298116,0.00191395,0.000491068,5.18702e-05,
120,4.77408,4.80099e-05,0.000466734,0.00186948,0.00299566,0.00192652,0.000495312,5.24493e-05,
121,4.84793,4.77484e-05,0.00046454,0.00185977,0.00297677,0.00191216,0.000491304,5.20436e-05,
122,4.92263,4.77279e-05,0.000464715,0.00186162,0.00298095,0.00191497,0.000491777,5.20164e-05,
123,4.99819,4.75456e-05,0.000463378,0.00185839,0.00297932,0.00191597,0.000492435,5.21132e-05,
124,5.07463,4.77997e-05,0.000465865,0.00186805,0.00299499,0.00192741,0.000496208,5.26613e-05,
125,5.15196,4.81065e-05,0.000467426,0.00186982,0.00299229,0.00192295,0.000494486,5.24238e-05,
126,5.23019,4.73852e-05,0.000461347,0.00184946,0.00296561,0.00190882,0.000491363,5.21215e-05,
127,5.30931,4.71013e-05,0.000459426,0.00184486,0.00296311,0.00191064,0.000492934,5.24579e-05,
128,5.38936,4.69473e-05,0.000457808,0.00183771,0.00294999,0.00190038,0.000489485,5.19385e-05,
129,5.47033,4.67943e-05,0.000456277,0.00183143,0.00293981,0.00189391,0.000487898,5.17881e-05,
130,5.55225,4.66483e-05,0.000454973,0.00182675,0.00293337,0.00189062,0.000487323,5.17624e-05,
131,5.63511,4.64909e-05,0.000453422,0.00182046,0.00292333,0.00188443,0.000485896,5.16442e-05,
132,5.71893,4.63026e-05,0.0004516,0.0018132,0.00291173,0.00187692,0.000483933,5.14306e-05,
133,5.80372,4.61212e-05,0.000449923,0.00180684,0.00290218,0.00187126,0.000482628,5.13143e-05,
134,5.88949,4.60431e-05,0.000448714,0.00180117,0.00289292,0.00186607,0.000481833,5.13501e-05,
135,5.97626,4.57614e-05,0.000446191,0.00179147,0.00287726,0.00185518,0.000478504,5.08814e-05,
136,6.06403,4.55137e-05,0.000444171,0.00178437,0.00286693,0.00184895,0.000476953,5.07175e-05,
137,6.15282,4.53077e-05,0.000442447,0.00177943,0.00286426,0.00185234,0.000479633,5.12457e-05,
138,6.24264,4.50139e-05,0.000439291,0.00176487,0.002836,0.00182945,0.000472084,5.02226e-05,
139,6.3335,4.47893e-05,0.000437241,0.0017573,0.00282498,0.00182301,0.000470552,5.00645e-05,
140,6.42541,4.45241e-05,0.000434577,0.00174636,0.00280715,0.00181148,0.000467616,4.97636e-05,
141,6.51839,4.42541e-05,0.000431931,0.00173569,0.0027901,0.0018008,0.000465072,4.95418e-05,
142,6.61244,4.39903e-05,0.000429392,0.00172571,0.00277469,0.00179159,0.000463002,4.93745e-05,
143,6.70758,4.36716e-05,0.000426405,0.00171396,0.00275578,0.00177892,0.000459429,4.89255e-05,
144,6.80383,4.3361e-05,0.000423405,0.00170201,0.00273662,0.00176647,0.000456155,4.85672e-05,
145,6.90119,4.31423e-05,0.000420937,0.00169122,0.00271849,0.00175456,0.000453071,4.82399e-05,
146,6.99968,4.30066e-05,0.000419,0.00168162,0.00270114,0.00174271,0.000449973,4.79193e-05,
147,7.0993,4.23473e-05,0.000413612,0.00166317,0.00267522,0.00172767,0.000446388,4.75601e-05,
148,7.20009,4.19955e-05,0.000410254,0.00164992,0.00265422,0.00171424,0.000442932,4.71899e-05,
149,7.30204,4.16444e-05,0.000406849,0.00163622,0.00263209,0.00169986,0.000439198,4.67917e-05,
150,7.40517,4.1264e-05,0.00040329,0.00162249,0.00261111,0.0016874,0.00043647,4.65975e-05,
151,7.5095,4.0966e-05,0.00040001,0.00160865,0.00258821,0.00167204,0.000432212,4.60819e-05,
152,7.61503,4.04224e-05,0.000395677,0.00159474,0.00257185,0.00166588,0.000431902,4.61945e-05,
153,7.72179,4.00151e-05,0.00039198,0.00158094,0.00255057,0.00165165,0.000427678,4.56306e-05,
154,7.82979,3.94501e-05,0.000386096,0.00155564,0.00250716,0.00162206,0.000419754,4.47778e-05,
155,7.93903,3.89879e-05,0.000381642,0.00153805,0.00247952,0.00160474,0.000415436,4.43367e-05,
156,8.04955,3.84761e-05,0.000376529,0.00151699,0.00244495,0.00158213,0.000409603,4.37286e-05,
157,8.16134,3.80008e-05,0.000371934,0.00149884,0.00241651,0.00156445,0.000405266,4.32965e-05,
158,8.27443,3.75019e-05,0.000367034,0.00147894,0.00238416,0.00154336,0.000399788,4.27148e-05,
159,8.38882,3.69844e-05,0.00036209,0.00145936,0.00235294,0.00152329,0.000394618,4.21681e-05,
160,8.50455,3.6463e-05,0.000357123,0.00143978,0.00232218,0.00150421,0.000390081,4.17664e-05,
161,8.62161,3.59571e-05,0.000352213,0.00141998,0.00228981,0.0014825,0.000384047,4.10375e-05,
162,8.74003,3.55072e-05,0.00034778,0.00140179,0.00225981,0.00146266,0.00037882,4.04701e-05,
163,8.85982,3.46959e-05,0.000340005,0.00137183,0.00221437,0.00143523,0.000372195,3.98078e-05,
164,8.981,3.41338e-05,0.000334537,0.00134996,0.00217948,0.00141294,0.000366515,3.92126e-05,
165,9.10358,3.35484e-05,0.000328778,0.00132663,0.00214171,0.00138845,0.000360196,3.85449e-05,
166,9.22759,3.29716e-05,0.000323156,0.00130408,0.00210558,0.00136524,0.000354235,3.7915e-05,
167,9.35303,3.23893e-05,0.000317449,0.00128106,0.00206843,0.00134119,0.000348019,3.72547e-05,
168,9.47992,3.18097e-05,0.000311774,0.0012582,0.00203163,0.00131742,0.000341883,3.66018e-05,
169,9.60828,3.12182e-05,0.000306053,0.00123528,0.00199473,0.00129352,0.000335682,3.59385e-05,
170,9.73813,3.05902e-05,0.000300098,0.00121208,0.00195878,0.00127135,0.000330285,3.54084e-05,
171,9.86949,3.00651e-05,0.000294654,0.00118992,0.00192403,0.00125034,0.000325472,3.49952e-05,
172,10.0024,2.9462e-05,0.000288605,0.00116457,0.0018809,0.00122025,0.000316836,3.39371e-05,
173,10.1368,2.86583e-05,0.000281311,0.00113693,0.00183841,0.00119372,0.000310148,3.32386e-05,
174,10.2728,2.80245e-05,0.00027508,0.00111173,0.00179775,0.00116748,0.000303414,3.25311e-05,
