gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
63,1.7058,-10.0143,-9.20107,-8.35,-7.47197,-6.56192,-5.61332,-4.63383,
64,1.7441,-9.95367,-9.15408,-8.31463,-7.44582,-6.54279,-5.59954,-4.62417,
65,1.78284,-9.89369,-9.10739,-8.27934,-7.41962,-6.52357,-5.58565,-4.6144,
66,1.82203,-9.83432,-9.06101,-8.24413,-7.39338,-6.50427,-5.57171,-4.60458,
67,1.86167,-9.77555,-9.01491,-8.209,-7.36709,-6.48491,-5.55766,-4.59465,
68,1.90178,-9.71737,-8.96909,-8.17394,-7.34076,-6.46544,-5.54351,-4.58467,
69,1.94235,-9.65979,-8.92354,-8.13894,-7.31438,-6.44589,-5.52928,-4.5746,
70,1.98339,-9.60277,-8.87825,-8.10401,-7.28797,-6.42623,-5.51495,-4.56446,
71,2.0249,-9.54629,-8.8332,-8.06914,-7.26152,-6.4065,-5.50053,-4.55424,
72,2.0669,-9.49031,-8.7884,-8.03433,-7.23504,-6.3867,-5.48603,-4.54395,
73,2.10938,-9.43482,-8.74384,-7.99957,-7.20851,-6.36682,-5.47143,-4.53357,
74,2.15235,-9.3798,-8.69953,-7.96487,-7.18193,-6.34684,-5.45674,-4.52312,
75,2.19582,-9.32524,-8.65545,-7.93023,-7.15531,-6.32677,-5.44198,-4.51259,
76,2.2398,-9.27113,-8.61157,-7.89563,-7.12864,-6.3066,-5.4271,-4.50198,
77,2.28428,-9.21744,-8.5679,-7.86108,-7.10193,-6.28638,-5.41215,-4.49128,
78,2.32928,-9.16417,-8.52444,-7.82658,-7.07516,-6.26606,-5.39711,-4.48051,
79,2.37481,-9.11129,-8.48117,-7.79213,-7.04835,-6.24565,-5.38195,-4.46966,
80,2.42085,-9.05881,-8.43809,-7.75772,-7.02149,-6.22515,-5.36673,-4.45874,
81,2.46744,-9.00671,-8.39519,-7.72335,-6.99459,-6.20456,-5.35141,-4.44773,
82,2.51456,-8.95497,-8.35247,-7.68903,-6.96763,-6.1839,-5.33597,-4.43665,
83,2.56223,-8.90359,-8.30993,-7.65473,-6.94063,-6.16316,-5.32047,-4.42548,
84,2.61045,-8.85257,-8.26755,-7.62047,-6.91358,-6.14234,-5.30488,-4.41425,
85,2.65923,-8.80193,-8.22534,-7.58624,-6.88647,-6.12142,-5.28918,-4.40291,
86,2.70857,-8.75161,-8.18329,-7.55205,-6.85932,-6.1004,-5.27339,-4.39152,
87,2.75849,-8.70161,-8.14139,-7.51789,-6.83213,-6.0793,-5.25753,-4.38001,
