gridnumber,capital,cons[0],cons[1],cons[2],cons[3],cons[4],cons[5],cons[6],
73,2.10938,0.930135,1.00032,1.08597,1.18751,1.30673,1.44832,1.62248,
74,2.15235,0.936378,1.00586,1.09072,1.19141,1.30989,1.4509,1.62465,
75,2.19582,0.942597,1.01138,1.09545,1.19533,1.31302,1.45352,1.62683,
76,2.2398,0.948781,1.0169,1.10019,1.19923,1.31613,1.45616,1.62901,
77,2.28428,0.954941,1.02242,1.10492,1.20314,1.31929,1.45882,1.6312,
78,2.32928,0.961078,1.02794,1.10969,1.20707,1.32249,1.46145,1.63346,
79,2.37481,0.967213,1.03344,1.11446,1.21101,1.32575,1.46409,1.6358,
80,2.42085,0.97334,1.03893,1.1192,1.21498,1.32906,1.46671,1.6382,
81,2.46744,0.979446,1.0444,1.12393,1.21896,1.33239,1.46938,1.64067,
82,2.51456,0.985546,1.04987,1.12865,1.22292,1.33567,1.47211,1.64307,
83,2.56223,0.991641,1.05534,1.13338,1.22687,1.33895,1.47494,1.64545,
84,2.61045,0.997706,1.0608,1.13812,1.23085,1.34224,1.47775,1.6478,
85,2.65923,1.00374,1.06627,1.14286,1.23488,1.34555,1.48057,1.65015,
86,2.70857,1.00976,1.0717,1.1476,1.23896,1.34891,1.48342,1.65256,
87,2.75849,1.01579,1.07712,1.15234,1.24308,1.35231,1.48631,1.65501,
88,2.80898,1.0218,1.08253,1.15709,1.24714,1.35575,1.48923,1.65745,
89,2.86006,1.02777,1.08794,1.16183,1.25116,1.3592,1.49216,1.65992,
90,2.91173,1.03372,1.09336,1.16657,1.2552,1.36263,1.49511,1.66254,
91,2.964,1.03967,1.09876,1.17131,1.25926,1.36607,1.49805,1.6652,
92,3.01688,1.04561,1.10415,1.17607,1.26335,1.36952,1.50097,1.66795,
93,3.07036,1.05154,1.10953,1.18086,1.26749,1.37297,1.5039,1.67066,
94,3.12447,1.05745,1.11491,1.18566,1.27166,1.37646,1.50692,1.67328,
95,3.1792,1.06335,1.1203,1.19046,1.2758,1.38004,1.50999,1.67588,
96,3.23457,1.06925,1.12569,1.19522,1.27993,1.38365,1.51308,1.67849,
97,3.29058,1.07518,1.13107,1.2,1.28407,1.38729,1.51612,1.68118,
98,3.34724,1.08109,1.13645,1.20479,1.28823,1.39094,1.51919,1.68392,
99,3.40456,1.08695,1.14183,1.2096,1.29243,1.39459,1.52233,1.68674,
100,3.46253,1.09281,1.14719,1.21443,1.29666,1.39823,1.52553,1.6896,
101,3.52119,1.09866,1.15258,1.21926,1.30091,1.40186,1.52877,1.69253,
102,3.58052,1.1045,1.15798,1.22408,1.30515,1.40549,1.53207,1.69548,
103,3.64053,1.11036,1.16336,1.22889,1.30938,1.40917,1.53541,1.69846,
104,3.70125,1.11624,1.16875,1.23372,1.31363,1.41291,1.53868,1.7014,
105,3.76266,1.12208,1.17413,1.23856,1.3179,1.41669,1.54195,1.70434,
106,3.82479,1.1279,1.1795,1.24342,1.32221,1.42051,1.54524,1.70726,
107,3.88764,1.13372,1.18488,1.2483,1.32656,1.4244,1.54856,1.7102,
108,3.95121,1.13957,1.19025,1.25318,1.33095,1.4283,1.55195,1.7132,
109,4.01552,1.14542,1.19563,1.25805,1.33535,1.43216,1.55537,1.7163,
110,4.08058,1.15123,1.20102,1.26292,1.33977,1.43605,1.55879,1.71948,
111,4.14639,1.15703,1.20642,1.26783,1.34416,1.43993,1.56221,1.72272,
112,4.21297,1.16282,1.2118,1.27277,1.34855,1.44382,1.56569,1.72595,
113,4.28031,1.16863,1.21719,1.27772,1.35296,1.44776,1.56926,1.72912,
114,4.34843,1.17443,1.2226,1.28268,1.3574,1.45173,1.57292,1.73232,
115,4.41735,1.18023,1.22804,1.28766,1.36189,1.45572,1.57663,1.73555,
116,4.48706,1.18606,1.2335,1.29266,1.36642,1.45971,1.58026,1.73884,
117,4.55758,1.19192,1.23894,1.29765,1.37102,1.46379,1.58386,1.74215,
118,4.62892,1.19778,1.24438,1.30264,1.37561,1.46792,1.58747,1.74544,
119,4.70108,1.20364,1.24984,1.30764,1.38017,1.47207,1.59112,1.74877,
120,4.77408,1.20946,1.2553,1.31267,1.38476,1.47626,1.59482,1.75217,
121,4.84793,1.21528,1.26075,1.31774,1.38936,1.48045,1.59864,1.75577,
122,4.92263,1.22109,1.26621,1.32284,1.39397,1.48463,1.60254,1.7594,
123,4.99819,1.2269,1.27169,1.32796,1.39861,1.48883,1.60647,1.76305,
124,5.07463,1.23272,1.27719,1.33306,1.40327,1.49305,1.6103,1.76654,
125,5.15196,1.23856,1.28272,1.33819,1.40795,1.49732,1.61413,1.77009,
126,5.23019,1.24442,1.28824,1.34334,1.41268,1.50161,1.61801,1.77373,
127,5.30931,1.25028,1.29379,1.34849,1.41746,1.50591,1.62195,1.77744,
128,5.38936,1.25616,1.29938,1.35366,1.42225,1.51029,1.62597,1.78119,
129,5.47033,1.26211,1.30496,1.35884,1.42707,1.51478,1.63014,1.78492,
130,5.55225,1.26808,1.31053,1.36405,1.4319,1.51932,1.63433,1.78868,
131,5.63511,1.27398,1.31611,1.36928,1.43674,1.52382,1.63848,1.79249,
132,5.71893,1.27986,1.3217,1.37455,1.4416,1.52828,1.6426,1.79646,
133,5.80372,1.28575,1.32731,1.37983,1.44648,1.53277,1.64673,1.80047,
134,5.88949,1.29166,1.33294,1.38513,1.4514,1.5373,1.65091,1.8045,
135,5.97626,1.29759,1.33859,1.39044,1.45634,1.5419,1.65517,1.80847,
136,6.06403,1.30353,1.34426,1.39578,1.46133,1.54659,1.65951,1.81245,
137,6.15282,1.30949,1.34995,1.40113,1.46641,1.5513,1.66391,1.81646,
138,6.24264,1.31548,1.35565,1.40651,1.47153,1.55596,1.66828,1.82052,
139,6.3335,1.32151,1.36136,1.41193,1.47663,1.56065,1.67265,1.82466,
140,6.42541,1.32754,1.3671,1.41736,1.48171,1.56538,1.67708,1.82885,
141,6.51839,1.33355,1.37289,1.42285,1.48683,1.57017,1.68155,1.83307,
142,6.61244,1.3396,1.37869,1.42839,1.492,1.57507,1.68606,1.83737,
143,6.70758,1.3457,1.38451,1.43394,1.49722,1.58004,1.6906,1.84174,
144,6.80383,1.35179,1.39036,1.43948,1.50248,1.585,1.6953,1.84616,
145,6.90119,1.35787,1.39623,1.44503,1.50774,1.58993,1.70003,1.85059,
146,6.99968,1.36399,1.4021,1.45064,1.51302,1.59489,1.70475,1.85506,
147,7.0993,1.37011,1.40799,1.45629,1.51833,1.5999,1.70949,1.85958,
148,7.20009,1.37625,1.41392,1.46196,1.52368,1.60498,1.71433,1.86408,
149,7.30204,1.38243,1.4199,1.46765,1.52912,1.61011,1.7192,1.86863,
150,7.40517,1.38867,1.42589,1.47335,1.53461,1.61526,1.72405,1.87323,
151,7.5095,1.39492,1.43188,1.47909,1.54011,1.62043,1.72894,1.87797,
152,7.61503,1.40117,1.4379,1.48487,1.54561,1.62565,1.73394,1.88279,
153,7.72179,1.40742,1.44394,1.49071,1.55115,1.63092,1.73901,1.88767,
154,7.82979,1.4137,1.45003,1.4966,1.55673,1.63623,1.74412,1.89259,
155,7.93903,1.42,1.45618,1.50248,1.56236,1.6416,1.74921,1.89751,
156,8.04955,1.42638,1.46237,1.50839,1.56803,1.64702,1.75434,1.90245,
157,8.16134,1.43281,1.46855,1.51434,1.57373,1.65249,1.7595,1.90741,
158,8.27443,1.43923,1.47474,1.52033,1.57946,1.65803,1.76472,1.91248,
159,8.38882,1.44564,1.48098,1.52636,1.58525,1.66364,1.77,1.91756,
160,8.50455,1.45207,1.48726,1.53242,1.59108,1.66926,1.77534,1.92267,
161,8.62161,1.45857,1.49358,1.53851,1.59695,1.67489,1.7808,1.92778,
