gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0801028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.164216,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0.94,0,0,0,0,1,0,0,0,0.28,1
3,0.25254,0,0,0,0,0.58,0,0,0,0.38,0.58,0,0,0,0.38,0.74,0,0,0,0.62,1,0,0,0,0.64,1
4,0.345286,0,0,0,0.14,0.52,0,0,0,0.12,0.5,0,0,0,0.12,1,0,0,0.02,0.28,1,0,0,0,0.94,1
5,0.442675,0,0,0.12,0.24,0.68,0,0,0,0.18,0.9,0,0,0,0.36,1,0,0,0,0.7,1,0,0,0,0.8,1
6,0.54494,0,0,0,0.38,0.72,0,0,0,0.46,0.84,0,0,0,0.5,1,0,0,0,0.8,1,0,0,0.18,0.88,1
7,0.652325,0,0,0.1,0.48,0.7,0,0,0.24,0.52,0.72,0,0,0.24,0.5,0.94,0,0,0.22,0.6,1,0,0,0.22,0.8,1
8,0.765086,0,0,0.06,0.54,0.7,0,0,0.18,0.36,0.76,0,0,0.16,0.68,1,0,0,0.12,0.66,1,0,0,0.14,0.74,1
9,0.883492,0,0,0.16,0.46,0.74,0,0,0.16,0.58,0.84,0,0,0.08,0.74,0.98,0,0,0.04,0.74,1,0,0,0.18,0.86,1
10,1.00783,0,0,0.18,0.6,0.8,0,0,0.18,0.6,0.9,0,0,0.24,0.68,0.92,0,0,0.24,0.68,1,0,0,0.24,0.78,1
11,1.13838,0,0,0.26,0.56,0.84,0,0,0.26,0.52,0.9,0,0,0.36,0.5,1,0,0,0.32,0.66,1,0,0,0.3,0.68,1
12,1.27548,0,0,0.24,0.54,0.84,0,0,0.3,0.54,0.88,0,0,0.28,0.54,1,0,0,0.22,0.56,1,0,0,0.26,0.82,1
13,1.41944,0,0,0.26,0.54,0.8,0,0,0.3,0.56,0.92,0,0,0.28,0.62,0.92,0,0,0.28,0.72,1,0,0,0.28,0.74,1
14,1.5706,0,0,0.28,0.56,0.8,0,0.04,0.28,0.6,0.94,0,0.06,0.28,0.62,0.9,0,0,0.32,0.66,1,0,0,0.3,0.66,1
15,1.72934,0,0.04,0.32,0.52,0.84,0,0.04,0.26,0.58,0.84,0,0,0.28,0.64,0.92,0,0,0.3,0.64,0.96,0,0,0.3,0.66,1
16,1.89602,0,0.1,0.36,0.56,0.8,0,0.1,0.26,0.58,0.82,0,0,0.36,0.64,0.92,0,0,0.3,0.68,0.94,0,0,0.3,0.76,0.94
17,2.07104,0,0.06,0.32,0.6,0.8,0,0.04,0.32,0.6,0.88,0,0,0.32,0.6,0.88,0,0,0.24,0.66,0.96,0,0,0.34,0.66,0.98
18,2.25483,0,0.06,0.3,0.58,0.82,0,0.02,0.38,0.56,0.82,0,0.04,0.28,0.56,0.86,0,0.04,0.28,0.6,0.94,0,0,0.28,0.58,1
19,2.44782,0,0.06,0.28,0.54,0.78,0,0.06,0.36,0.6,0.82,0,0.06,0.3,0.56,0.86,0,0,0.32,0.56,0.96,0,0,0.3,0.64,1
20,2.65047,0,0.1,0.32,0.58,0.8,0,0.08,0.34,0.6,0.84,0,0.08,0.34,0.6,0.86,0,0,0.32,0.6,0.86,0,0,0.3,0.7,0.86
21,2.86327,0,0.12,0.34,0.54,0.8,0,0.12,0.32,0.56,0.82,0,0.06,0.32,0.56,0.88,0,0,0.34,0.62,0.84,0,0,0.36,0.62,0.84
22,3.08672,0,0.08,0.34,0.54,0.76,0,0.08,0.32,0.54,0.76,0,0.02,0.32,0.54,0.8,0,0.02,0.32,0.6,0.8,0,0.04,0.32,0.6,0.88
23,3.32136,0,0.06,0.34,0.52,0.72,0,0.1,0.34,0.58,0.72,0,0.04,0.36,0.58,0.8,0,0.06,0.34,0.56,0.84,0,0.04,0.28,0.56,0.88
24,3.56774,0,0.12,0.34,0.54,0.74,0,0.1,0.32,0.56,0.74,0,0.08,0.32,0.56,0.78,0,0.08,0.3,0.54,0.82,0,0,0.28,0.54,0.88
25,3.82646,0,0.12,0.36,0.54,0.76,0,0.12,0.3,0.56,0.76,0,0.1,0.3,0.52,0.78,0,0.08,0.3,0.52,0.82,0,0,0.32,0.58,0.82
26,4.09813,0,0.14,0.34,0.52,0.76,0,0.1,0.32,0.52,0.74,0,0.12,0.3,0.5,0.74,0,0.04,0.28,0.54,0.78,0,0.02,0.28,0.58,0.76
27,4.3834,0,0.14,0.32,0.5,0.74,0,0.08,0.34,0.48,0.74,0,0.1,0.32,0.52,0.74,0,0.04,0.32,0.54,0.76,0,0.06,0.32,0.56,0.78
28,4.68296,0,0.12,0.3,0.5,0.72,0,0.1,0.34,0.5,0.74,0,0.1,0.34,0.54,0.72,0,0.06,0.34,0.54,0.74,0,0.08,0.3,0.52,0.8
29,4.99751,0,0.12,0.3,0.52,0.7,0,0.12,0.34,0.52,0.74,0,0.1,0.28,0.52,0.72,0,0.08,0.28,0.52,0.72,0,0.08,0.3,0.52,0.78
30,5.32781,0,0.12,0.3,0.52,0.68,0,0.12,0.34,0.5,0.72,0,0.1,0.3,0.5,0.7,0,0.1,0.28,0.5,0.74,0,0.06,0.28,0.5,0.74
31,5.67464,0,0.12,0.28,0.52,0.66,0,0.14,0.32,0.5,0.72,0,0.08,0.32,0.46,0.72,0,0.08,0.3,0.48,0.7,0,0.04,0.3,0.5,0.72
32,6.03884,0,0.12,0.28,0.5,0.64,0,0.12,0.3,0.46,0.7,0,0.08,0.32,0.46,0.7,0,0.08,0.3,0.5,0.7,0,0.06,0.32,0.5,0.7
33,6.42128,0,0.12,0.28,0.5,0.66,0,0.12,0.28,0.48,0.66,0,0.1,0.32,0.48,0.7,0,0.08,0.28,0.5,0.66,0,0.08,0.28,0.48,0.7
34,6.82286,0,0.1,0.28,0.5,0.64,0,0.1,0.3,0.5,0.64,0,0.1,0.32,0.48,0.68,0,0.1,0.26,0.48,0.66,0,0.1,0.26,0.44,0.68
35,7.24454,0,0.12,0.28,0.5,0.62,0,0.12,0.28,0.48,0.62,0,0.12,0.3,0.48,0.68,0,0.08,0.3,0.44,0.66,0,0.08,0.28,0.44,0.66
36,7.68733,0,0.12,0.28,0.48,0.6,0,0.12,0.26,0.48,0.62,0,0.12,0.3,0.46,0.68,0,0.08,0.3,0.44,0.66,0,0.08,0.28,0.48,0.66
37,8.1523,0,0.12,0.28,0.46,0.6,0,0.12,0.26,0.48,0.62,0,0.12,0.28,0.46,0.64,0,0.1,0.3,0.46,0.66,0,0.08,0.28,0.5,0.64
38,8.64054,0,0.12,0.3,0.44,0.6,0,0.1,0.28,0.48,0.62,0,0.1,0.28,0.46,0.62,0,0.1,0.3,0.46,0.64,0,0.1,0.26,0.46,0.64
39,9.15322,0,0.1,0.3,0.44,0.6,0,0.1,0.28,0.48,0.6,0,0.1,0.26,0.48,0.6,0,0.12,0.3,0.44,0.64,0,0.08,0.28,0.44,0.62
40,9.69158,0,0.12,0.3,0.42,0.6,0,0.12,0.28,0.46,0.58,0,0.12,0.26,0.46,0.6,0,0.12,0.28,0.42,0.64,0,0.08,0.28,0.42,0.64
41,10.2569,0.02,0.12,0.3,0.42,0.6,0,0.12,0.28,0.42,0.56,0,0.12,0.26,0.46,0.58,0,0.12,0.28,0.44,0.62,0,0.08,0.28,0.42,0.6
42,10.8505,0.02,0.12,0.3,0.4,0.58,0,0.12,0.26,0.42,0.56,0,0.1,0.26,0.44,0.58,0,0.1,0.26,0.44,0.6,0,0.1,0.26,0.44,0.6
43,11.4738,0,0.12,0.3,0.4,0.56,0,0.1,0.26,0.4,0.56,0,0.1,0.26,0.42,0.58,0,0.1,0.26,0.44,0.58,0,0.1,0.26,0.42,0.62
44,12.1283,0,0.14,0.3,0.4,0.56,0,0.1,0.28,0.4,0.56,0,0.1,0.26,0.42,0.56,0,0.1,0.24,0.44,0.58,0,0.1,0.28,0.4,0.58
45,12.8156,0,0.16,0.3,0.4,0.56,0.02,0.12,0.28,0.4,0.54,0,0.12,0.24,0.4,0.54,0,0.1,0.24,0.44,0.56,0,0.1,0.26,0.4,0.58
46,13.5373,0,0.16,0.3,0.4,0.56,0.02,0.12,0.28,0.4,0.54,0,0.12,0.26,0.4,0.54,0,0.1,0.24,0.42,0.56,0,0.1,0.26,0.42,0.58
47,14.2952,0,0.14,0.3,0.4,0.56,0,0.12,0.28,0.38,0.54,0,0.1,0.26,0.4,0.54,0,0.1,0.24,0.42,0.56,0,0.1,0.24,0.42,0.58
48,15.091,0,0.14,0.3,0.42,0.56,0,0.14,0.28,0.38,0.54,0,0.1,0.26,0.38,0.54,0,0.1,0.24,0.4,0.54,0,0.1,0.22,0.42,0.56
49,15.9266,0,0.14,0.28,0.4,0.54,0,0.12,0.28,0.4,0.54,0.02,0.1,0.26,0.4,0.52,0,0.1,0.24,0.4,0.54,0,0.1,0.24,0.4,0.54
50,16.804,0,0.14,0.28,0.4,0.54,0,0.12,0.28,0.4,0.52,0.02,0.12,0.26,0.38,0.52,0,0.12,0.24,0.38,0.52,0,0.1,0.24,0.4,0.54
51,17.7254,0,0.14,0.26,0.4,0.5,0,0.12,0.28,0.38,0.52,0.02,0.12,0.26,0.38,0.52,0,0.1,0.24,0.38,0.52,0,0.1,0.24,0.38,0.54
52,18.6929,0,0.14,0.26,0.34,0.48,0,0.14,0.28,0.38,0.52,0,0.1,0.28,0.38,0.52,0,0.1,0.24,0.38,0.52,0,0.1,0.24,0.38,0.5
53,19.7089,0,0.12,0.24,0.34,0.48,0,0.14,0.24,0.36,0.5,0,0.1,0.28,0.38,0.52,0,0.1,0.24,0.38,0.52,0,0.1,0.22,0.38,0.52
54,20.7757,0,0.12,0.24,0.34,0.46,0,0.14,0.22,0.36,0.48,0,0.1,0.22,0.38,0.5,0.02,0.1,0.26,0.38,0.52,0,0.1,0.24,0.38,0.52
55,21.8959,0,0.1,0.24,0.32,0.46,0,0.1,0.22,0.34,0.48,0,0.12,0.2,0.38,0.5,0.02,0.12,0.22,0.38,0.5,0,0.1,0.24,0.36,0.5
56,23.0722,0,0.1,0.24,0.32,0.46,0,0.1,0.24,0.32,0.46,0,0.1,0.2,0.36,0.48,0,0.1,0.2,0.36,0.5,0,0.1,0.24,0.36,0.5
57,24.3074,0,0.12,0.24,0.32,0.46,0,0.1,0.24,0.32,0.46,0,0.1,0.2,0.36,0.48,0,0.1,0.2,0.36,0.5,0,0.1,0.22,0.36,0.5
58,25.6045,0,0.12,0.24,0.32,0.46,0,0.1,0.24,0.32,0.46,0,0.1,0.22,0.34,0.46,0,0.1,0.18,0.36,0.48,0.02,0.1,0.2,0.36,0.5
