gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
91,20.5623,16.9947,16.9947,16.9947,16.9947,16.9947,16.9588,16.9588,16.9588,16.9588,16.9588,16.9176,16.9176,16.9176,16.9176,16.9176,16.8733,16.8733,16.8733,16.8733,16.8733,16.8286,16.8286,16.8286,16.8286,16.8286
92,21.2118,17.5759,17.5759,17.5759,17.5759,17.5759,17.5402,17.5402,17.5402,17.5402,17.5402,17.4991,17.4991,17.4991,17.4991,17.4991,17.4547,17.4547,17.4547,17.4547,17.4547,17.4101,17.4101,17.4101,17.4101,17.4101
93,21.8803,18.1747,18.1747,18.1747,18.1747,18.1747,18.1391,18.1391,18.1391,18.1391,18.1391,18.0981,18.0981,18.0981,18.0981,18.0981,18.0538,18.0538,18.0538,18.0538,18.0538,18.0092,18.0092,18.0092,18.0092,18.0092
94,22.5684,18.7915,18.7915,18.7915,18.7915,18.7915,18.7561,18.7561,18.7561,18.7561,18.7561,18.7153,18.7153,18.7153,18.7153,18.7153,18.6711,18.6711,18.6711,18.6711,18.6711,18.6267,18.6267,18.6267,18.6267,18.6267
95,23.2766,19.4264,19.4264,19.4264,19.4264,19.4264,19.3912,19.3912,19.3912,19.3912,19.3912,19.3507,19.3507,19.3507,19.3507,19.3507,19.3069,19.3069,19.3069,19.3069,19.3069,19.2628,19.2628,19.2628,19.2628,19.2628
96,24.0056,20.0802,20.0802,20.0802,20.0802,20.0802,20.045,20.045,20.045,20.045,20.045,20.0046,20.0046,20.0046,20.0046,20.0046,19.9612,19.9612,19.9612,19.9612,19.9612,19.9177,19.9177,19.9177,19.9177,19.9177
97,24.756,20.754,20.754,20.754,20.754,20.754,20.7186,20.7186,20.7186,20.7186,20.7186,20.6781,20.6781,20.6781,20.6781,20.6781,20.6348,20.6348,20.6348,20.6348,20.6348,20.5917,20.5917,20.5917,20.5917,20.5917
98,25.5283,21.4479,21.4479,21.4479,21.4479,21.4479,21.4126,21.4126,21.4126,21.4126,21.4126,21.3721,21.3721,21.3721,21.3721,21.3721,21.3288,21.3288,21.3288,21.3288,21.3288,21.2856,21.2856,21.2856,21.2856,21.2856
99,26.3233,22.1626,22.1626,22.1626,22.1626,22.1626,22.1274,22.1274,22.1274,22.1274,22.1274,22.0871,22.0871,22.0871,22.0871,22.0871,22.0438,22.0438,22.0438,22.0438,22.0438,22.0004,22.0004,22.0004,22.0004,22.0004
100,27.1416,22.8989,22.8989,22.8989,22.8989,22.8989,22.8639,22.8639,22.8639,22.8639,22.8639,22.8236,22.8236,22.8236,22.8236,22.8236,22.7804,22.7804,22.7804,22.7804,22.7804,22.737,22.737,22.737,22.737,22.737
