gridnumber,capital,dist[0 0 00],dist[0 0 01],dist[0 0 02],dist[0 0 10],dist[0 0 11],dist[0 0 12],dist[0 0 20],dist[0 0 21],dist[0 0 22],dist[0 1 00],dist[0 1 01],dist[0 1 02],dist[0 1 10],dist[0 1 11],dist[0 1 12],dist[0 1 20],dist[0 1 21],dist[0 1 22],dist[0 2 00],dist[0 2 01],dist[0 2 02],dist[0 2 10],dist[0 2 11],dist[0 2 12],dist[0 2 20],dist[0 2 21],dist[0 2 22],dist[1 0 00],dist[1 0 01],dist[1 0 02],dist[1 0 10],dist[1 0 11],dist[1 0 12],dist[1 0 20],dist[1 0 21],dist[1 0 22],dist[1 1 00],dist[1 1 01],dist[1 1 02],dist[1 1 10],dist[1 1 11],dist[1 1 12],dist[1 1 20],dist[1 1 21],dist[1 1 22],dist[1 2 00],dist[1 2 01],dist[1 2 02],dist[1 2 10],dist[1 2 11],dist[1 2 12],dist[1 2 20],dist[1 2 21],dist[1 2 22],dist[2 0 00],dist[2 0 01],dist[2 0 02],dist[2 0 10],dist[2 0 11],dist[2 0 12],dist[2 0 20],dist[2 0 21],dist[2 0 22],dist[2 1 00],dist[2 1 01],dist[2 1 02],dist[2 1 10],dist[2 1 11],dist[2 1 12],dist[2 1 20],dist[2 1 21],dist[2 1 22],dist[2 2 00],dist[2 2 01],dist[2 2 02],dist[2 2 10],dist[2 2 11],dist[2 2 12],dist[2 2 20],dist[2 2 21],dist[2 2 22]
10,0.833427,0.000184487,6.4132e-005,5.06601e-006,0.000170366,5.84205e-005,4.60935e-006,1.7568e-005,5.99737e-006,4.73014e-007,7.67724e-005,0.000157826,8.025e-005,7.16757e-005,0.000144923,7.30687e-005,7.41739e-006,1.49166e-005,7.50001e-006,4.78318e-006,6.16599e-005,0.000187242,4.49606e-006,5.74302e-005,0.00017147,4.66295e-007,5.93864e-006,1.76335e-005,2.63572e-005,9.30641e-006,7.36281e-007,0.000205589,7.13808e-005,5.63785e-006,0.000230265,7.88555e-005,6.22098e-006,1.08307e-005,2.2693e-005,1.16521e-005,8.56351e-005,0.000175792,8.93164e-005,9.69784e-005,0.000195768,9.86232e-005,6.69478e-007,8.72252e-006,2.70078e-005,5.33846e-006,6.8764e-005,0.000208506,6.08721e-006,7.76863e-005,0.000231568,9.84364e-007,3.41007e-007,2.69485e-008,2.54193e-005,8.98179e-006,7.10579e-007,0.000346018,0.000119227,9.41085e-006,4.11078e-007,8.4055e-007,4.26732e-007,1.0438e-005,2.18933e-005,1.12457e-005,0.000145016,0.000294931,0.000149146,2.56754e-008,3.29879e-007,9.96765e-007,6.44889e-007,8.40764e-006,2.60592e-005,9.07497e-006,0.000116291,0.00034929
11,0.937629,0.000102751,3.57295e-005,2.82251e-006,9.51804e-005,3.2647e-005,2.57601e-006,9.82561e-006,3.35514e-006,2.64642e-007,4.27482e-005,8.7912e-005,4.47099e-005,4.00373e-005,8.09722e-005,4.08336e-005,4.14787e-006,8.34329e-006,4.19586e-006,2.66297e-006,3.43351e-005,0.000104304,2.51125e-006,3.20809e-005,9.58112e-005,2.60739e-007,3.32102e-006,9.86363e-006,1.464e-005,5.17106e-006,4.09119e-007,0.00011452,3.9774e-005,3.14159e-006,0.000128686,4.40808e-005,3.47783e-006,6.01403e-006,1.26067e-005,6.47448e-006,4.76898e-005,9.79341e-005,4.97686e-005,5.4189e-005,0.000109416,5.51322e-005,3.71671e-007,4.84375e-006,1.50048e-005,2.97252e-006,3.82963e-005,0.000116166,3.40111e-006,4.34103e-005,0.000129433,5.50345e-007,1.90645e-007,1.50669e-008,1.41111e-005,4.98816e-006,3.94636e-007,0.000193095,6.65528e-005,5.25346e-006,2.29852e-007,4.69914e-007,2.38574e-007,5.79234e-006,1.2156e-005,6.2455e-006,8.09112e-005,0.000164602,8.32553e-005,1.43576e-008,1.84445e-007,5.57255e-007,3.57781e-007,4.66603e-006,1.44701e-005,5.06282e-006,6.48865e-005,0.000194952
12,1.04629,5.843e-005,2.02807e-005,1.60052e-006,5.43493e-005,1.8632e-005,1.46975e-006,5.61769e-006,1.91813e-006,1.5129e-007,2.43244e-005,4.9978e-005,2.53716e-005,2.2866e-005,4.62323e-005,2.33026e-005,2.37156e-006,4.77013e-006,2.39875e-006,1.51534e-006,1.95363e-005,5.92596e-005,1.43425e-006,1.83217e-005,5.46951e-005,1.49079e-007,1.8988e-006,5.63922e-006,8.27949e-006,2.91539e-006,2.30262e-007,6.51531e-005,2.25893e-005,1.78256e-006,7.35094e-005,2.51704e-005,1.98545e-006,3.40472e-006,7.12636e-006,3.64863e-006,2.71478e-005,5.57026e-005,2.82587e-005,3.09586e-005,6.24976e-005,3.14791e-005,2.10425e-007,2.74201e-006,8.47271e-006,1.69221e-006,2.17997e-005,6.60331e-005,1.94312e-006,2.48004e-005,7.39217e-005,3.12599e-007,1.08152e-007,8.54274e-009,7.98084e-006,2.81217e-006,2.22086e-007,0.000110103,3.79106e-005,2.99093e-006,1.30631e-007,2.66842e-007,1.35322e-007,3.27945e-006,6.87195e-006,3.51939e-006,4.61519e-005,9.38417e-005,4.74182e-005,8.16125e-009,1.04817e-007,3.16315e-007,2.02572e-007,2.64161e-006,8.17091e-006,2.88794e-006,3.70104e-005,0.000111107
13,1.15961,3.31919e-005,1.14998e-005,9.05957e-007,3.08068e-005,1.05554e-005,8.32225e-007,3.18373e-006,1.08692e-006,8.57215e-008,1.38157e-005,2.83951e-005,1.43802e-005,1.29608e-005,2.62069e-005,1.31997e-005,1.34409e-006,2.70336e-006,1.35923e-006,8.60043e-007,1.10985e-005,3.36391e-005,8.12795e-007,1.03856e-005,3.09961e-005,8.449e-008,1.07615e-006,3.19573e-006,4.74151e-006,1.66378e-006,1.31004e-007,3.69734e-005,1.27974e-005,1.0082e-006,4.16649e-005,1.42604e-005,1.12444e-006,1.94979e-006,4.08175e-006,2.08063e-006,1.54035e-005,3.16155e-005,1.60027e-005,1.75471e-005,3.54242e-005,1.7833e-005,1.20362e-007,1.57077e-006,4.84516e-006,9.59464e-007,1.23714e-005,3.74481e-005,1.10119e-006,1.40572e-005,4.18914e-005,1.80787e-007,6.24423e-008,4.92646e-009,4.55996e-006,1.60116e-006,1.26047e-007,6.24417e-005,2.14785e-005,1.69293e-006,7.55725e-008,1.54307e-007,7.81062e-008,1.87355e-006,3.92719e-006,2.00224e-006,2.61715e-005,5.32239e-005,2.68588e-005,4.7204e-009,6.06413e-008,1.82794e-007,1.1558e-007,1.50968e-006,4.66191e-006,1.63703e-006,2.09899e-005,6.29862e-005
14,1.27778,1.88394e-005,6.54354e-006,5.18326e-007,1.76e-005,6.03327e-006,4.76371e-007,1.82396e-006,6.22593e-007,4.91069e-008,7.86794e-006,1.60847e-005,8.1933e-006,7.41211e-006,1.4963e-005,7.5473e-006,7.70211e-007,1.54855e-006,7.78593e-007,4.91864e-007,6.31226e-006,1.90971e-005,4.65376e-007,5.93717e-006,1.77071e-005,4.84251e-008,6.16635e-007,1.8306e-006,2.69066e-006,9.4846e-007,7.54035e-008,2.0975e-005,7.27719e-006,5.76275e-007,2.38228e-005,8.15609e-006,6.43782e-007,1.11305e-006,2.30819e-006,1.18885e-006,8.76601e-006,1.79017e-005,9.11117e-006,1.00409e-005,2.02452e-005,1.02019e-005,6.92391e-008,8.94581e-007,2.75071e-006,5.48204e-007,7.03184e-006,2.12484e-005,6.30685e-007,8.04162e-006,2.39504e-005,1.05298e-007,3.64034e-008,2.88115e-009,2.57828e-006,9.09755e-007,7.23409e-008,3.55798e-005,1.22532e-005,9.68581e-007,4.41205e-008,8.97505e-008,4.55695e-008,1.06581e-006,2.21256e-006,1.1404e-006,1.49403e-005,3.02939e-005,1.53332e-005,2.76331e-009,3.53734e-008,1.06445e-007,6.62746e-008,8.56734e-007,2.63737e-006,9.36627e-007,1.1974e-005,3.5891e-005
15,1.40101,1.08729e-005,3.77197e-006,2.98731e-007,1.01155e-005,3.4662e-006,2.73666e-007,1.04792e-006,3.57641e-007,2.82082e-008,4.54488e-006,9.27883e-006,4.72268e-006,4.26133e-006,8.59857e-006,4.33594e-006,4.42564e-007,8.89632e-007,4.4725e-007,2.8427e-007,3.64558e-006,1.10137e-005,2.67598e-007,3.41315e-006,1.01746e-005,2.78271e-008,3.5431e-007,1.05163e-006,1.57598e-006,5.54137e-007,4.40353e-008,1.20828e-005,4.18746e-006,3.31549e-007,1.36903e-005,4.68553e-006,3.69825e-007,6.53135e-007,1.35071e-006,6.94487e-007,5.05388e-006,1.03081e-005,5.2425e-006,5.77161e-006,1.16329e-005,5.86073e-006,4.06722e-008,5.24742e-007,1.60874e-006,3.16209e-007,4.05338e-006,1.22323e-005,3.62577e-007,4.62218e-006,1.37609e-005,6.26719e-008,2.16382e-008,1.71205e-009,1.50407e-006,5.29411e-007,4.208e-008,2.04695e-005,7.04476e-006,5.56813e-007,2.62829e-008,5.33948e-008,2.70841e-008,6.22881e-007,1.28954e-006,6.63543e-007,8.59961e-006,1.74241e-005,8.81525e-006,1.64689e-009,2.10687e-008,6.33066e-008,3.8773e-008,5.00506e-007,1.53628e-006,5.39275e-007,6.89147e-006,2.06404e-005
16,1.52952,6.33486e-006,2.19544e-006,1.73888e-007,5.86041e-006,2.00757e-006,1.58516e-007,6.06709e-007,2.07046e-007,1.63314e-008,2.65062e-006,5.40331e-006,2.74881e-006,2.4696e-006,4.9807e-006,2.51135e-006,2.56262e-007,5.1503e-007,2.58927e-007,1.65903e-007,2.12564e-006,6.41264e-006,1.5512e-007,1.97789e-006,5.89348e-006,1.61147e-008,2.05152e-007,6.0882e-007,9.34985e-007,3.27998e-007,2.60633e-008,7.02373e-006,2.43193e-006,1.92571e-007,7.92977e-006,2.71338e-006,2.1418e-007,3.8827e-007,8.00508e-007,4.11054e-007,2.94051e-006,5.98919e-006,3.04469e-006,3.34395e-006,6.73707e-006,3.39398e-006,2.42103e-008,3.11803e-007,9.53033e-007,1.84098e-007,2.35788e-006,7.10625e-006,2.10111e-007,2.67782e-006,7.96941e-006,3.78299e-008,1.30456e-008,1.03204e-009,8.88191e-007,3.11932e-007,2.47935e-008,1.1876e-005,4.08508e-006,3.2291e-007,1.58793e-008,3.22148e-008,1.63281e-008,3.6857e-007,7.60719e-007,3.90951e-007,4.99203e-006,1.01061e-005,5.11181e-006,9.95541e-010,1.27266e-008,3.81854e-008,2.29733e-008,2.96023e-007,9.0592e-007,3.13169e-007,3.99994e-006,1.19708e-005
17,1.66353,3.73294e-006,1.29235e-006,1.02347e-007,3.42919e-006,1.17421e-006,9.27074e-008,3.54677e-007,1.21006e-007,9.54408e-009,1.56319e-006,3.18268e-006,1.61802e-006,1.44551e-006,2.91398e-006,1.46883e-006,1.49832e-007,3.01059e-007,1.51324e-007,9.78873e-008,1.25337e-006,3.77637e-006,9.08102e-008,1.15763e-006,3.44766e-006,9.4227e-009,1.19946e-007,3.5586e-007,5.62534e-007,1.96912e-007,1.56423e-008,4.12788e-006,1.42787e-006,1.13052e-007,4.63866e-006,1.58664e-006,1.25232e-007,2.33988e-007,4.81222e-007,2.46749e-007,1.72944e-006,3.51852e-006,1.78757e-006,1.9566e-006,3.94045e-006,1.98457e-006,1.46044e-008,1.87841e-007,5.72643e-007,1.08325e-007,1.38655e-006,4.17392e-006,1.22957e-007,1.56676e-006,4.66082e-006,2.31696e-008,7.98124e-009,6.31277e-010,5.31686e-007,1.86332e-007,1.48062e-008,6.96194e-006,2.39325e-006,1.89161e-007,9.73312e-009,1.97227e-008,9.98886e-009,2.20993e-007,4.55001e-007,2.33511e-007,2.9278e-006,5.923e-006,2.99468e-006,6.10478e-010,7.79945e-009,2.33722e-008,1.37882e-008,1.77433e-007,5.41603e-007,1.83722e-007,2.34571e-006,7.01492e-006
18,1.80327,2.22654e-006,7.69982e-007,6.09372e-008,2.02658e-006,6.9364e-007,5.47525e-008,2.09299e-007,7.13896e-008,5.63022e-009,9.32645e-007,1.89811e-006,9.6385e-007,8.54397e-007,1.72199e-006,8.6763e-007,8.84289e-008,1.77646e-007,8.92741e-008,5.83994e-008,7.478e-007,2.25126e-006,5.36763e-008,6.84233e-007,2.03707e-006,5.56148e-009,7.07888e-008,2.09968e-007,3.43795e-007,1.20069e-007,9.52641e-009,2.45441e-006,8.48138e-007,6.71091e-008,2.74009e-006,9.3689e-007,7.39343e-008,1.43115e-007,2.93998e-007,1.5041e-007,1.02858e-006,2.09187e-006,1.06162e-006,1.15595e-006,2.3275e-006,1.17181e-006,8.93315e-009,1.14884e-007,3.49574e-007,6.44215e-008,8.24648e-007,2.48058e-006,7.26444e-008,9.25616e-007,2.75266e-006,1.44099e-008,4.95836e-009,3.91992e-010,3.23185e-007,1.13006e-007,8.96845e-009,4.12483e-006,1.41705e-006,1.1196e-007,6.05619e-009,1.22634e-008,6.2048e-009,1.34429e-007,2.76484e-007,1.41574e-007,1.73499e-006,3.50899e-006,1.77298e-006,3.79905e-010,4.85272e-009,1.45276e-008,8.38737e-009,1.07927e-007,3.28845e-007,1.0887e-007,1.39004e-006,4.15492e-006
19,1.94901,1.34227e-006,4.63979e-007,3.67503e-008,1.21141e-006,4.14526e-007,3.27271e-008,1.24975e-007,4.2618e-008,3.361e-009,5.62944e-007,1.14349e-006,5.8091e-007,5.10937e-007,1.0291e-006,5.18527e-007,5.28105e-008,1.06066e-007,5.32941e-008,3.52892e-008,4.51208e-007,1.3565e-006,3.21099e-008,4.09131e-007,1.21742e-006,3.32167e-009,4.22743e-008,1.25358e-007,2.12358e-007,7.40795e-008,5.8847e-009,1.47477e-006,5.09419e-007,4.03403e-008,1.63735e-006,5.59705e-007,4.41745e-008,8.86037e-008,1.81372e-007,9.2824e-008,6.18756e-007,1.25612e-006,6.37761e-007,6.90974e-007,1.39054e-006,7.00065e-007,5.54146e-009,7.10795e-008,2.15701e-007,3.87946e-008,4.95909e-007,1.48982e-006,4.34352e-008,5.53242e-007,1.64455e-006,9.08168e-009,3.12261e-009,2.46926e-010,1.98463e-007,6.93218e-008,5.50895e-009,2.47111e-006,8.48679e-007,6.70826e-008,3.82034e-009,7.72505e-009,3.90777e-009,8.27448e-008,1.69567e-007,8.68721e-008,1.04013e-006,2.10136e-006,1.06195e-006,2.39816e-010,3.06046e-009,9.15093e-009,5.17328e-009,6.63879e-008,2.01732e-007,6.53076e-008,8.33165e-007,2.4884e-006
