gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135,0,0,0,0.00609844,0.00609844,0.00609844,0.113135,0.113135,0.113135
1,0.0685139,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853,0,0,0,0.0605206,0.0605206,0.0605206,0.166853,0.166853,0.166853
2,0.139962,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.224046,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.224046,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.224046,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.225168,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.225168,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.225168,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.22629,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.22629,0.225417,0.225417,0.0322553,0.0322553,0.0322553,0.11174,0.11174,0.11174,0.22629,0.225417,0.225417
3,0.214469,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.260886,0.279204,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.260886,0.279204,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.260886,0.279204,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.282859,0.285717,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.282859,0.285717,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.282859,0.285717,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.305261,0.292232,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.305261,0.292232,0.286965,0.0864516,0.0864516,0.0864516,0.167487,0.167487,0.167487,0.305261,0.292232,0.286965
4,0.292166,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.297489,0.321617,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.297489,0.321617,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.297489,0.321617,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.34542,0.349175,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.34542,0.349175,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.34542,0.349175,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.393603,0.376765,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.393603,0.376765,0.352531,0.13824,0.13824,0.13824,0.229682,0.229682,0.229682,0.393603,0.376765,0.352531
5,0.373191,0.201186,0.201186,0.201186,0.292232,0.294868,0.294868,0.352686,0.373626,0.421769,0.201186,0.201186,0.201186,0.292232,0.294868,0.294868,0.352686,0.373626,0.421769,0.201186,0.201186,0.201186,0.292232,0.294868,0.294868,0.352686,0.373626,0.421769,0.201186,0.201186,0.201186,0.294635,0.294868,0.294868,0.414419,0.417688,0.421769,0.201186,0.201186,0.201186,0.294635,0.294868,0.294868,0.414419,0.417688,0.421769,0.201186,0.201186,0.201186,0.294635,0.294868,0.294868,0.414419,0.417688,0.421769,0.201186,0.201186,0.201186,0.297037,0.294868,0.294868,0.476778,0.4618,0.421769,0.201186,0.201186,0.201186,0.297037,0.294868,0.294868,0.476778,0.4618,0.421769,0.201186,0.201186,0.201186,0.297037,0.294868,0.294868,0.476778,0.4618,0.421769
6,0.457685,0.267259,0.267259,0.267259,0.355429,0.364848,0.364848,0.41071,0.431773,0.474549,0.267259,0.267259,0.267259,0.355429,0.364848,0.364848,0.41071,0.431773,0.474549,0.267259,0.267259,0.267259,0.355429,0.364848,0.364848,0.41071,0.431773,0.474549,0.267259,0.267259,0.267259,0.364289,0.364848,0.364848,0.487308,0.490052,0.493963,0.267259,0.267259,0.267259,0.364289,0.364848,0.364848,0.487308,0.490052,0.493963,0.267259,0.267259,0.267259,0.364289,0.364848,0.364848,0.487308,0.490052,0.493963,0.267259,0.267259,0.267259,0.373149,0.364848,0.364848,0.56498,0.54871,0.513378,0.267259,0.267259,0.267259,0.373149,0.364848,0.364848,0.56498,0.54871,0.513378,0.267259,0.267259,0.267259,0.373149,0.364848,0.364848,0.56498,0.54871,0.513378
7,0.545798,0.338002,0.338002,0.338002,0.402439,0.439144,0.439144,0.471759,0.474908,0.535059,0.338002,0.338002,0.338002,0.402439,0.439144,0.439144,0.471759,0.474908,0.535059,0.338002,0.338002,0.338002,0.402439,0.439144,0.439144,0.471759,0.474908,0.535059,0.338002,0.338002,0.338002,0.43751,0.439144,0.439144,0.564351,0.564707,0.570439,0.338002,0.338002,0.338002,0.43751,0.439144,0.439144,0.564351,0.564707,0.570439,0.338002,0.338002,0.338002,0.43751,0.439144,0.439144,0.564351,0.564707,0.570439,0.338002,0.338002,0.338002,0.472831,0.439144,0.439144,0.657554,0.655206,0.605906,0.338002,0.338002,0.338002,0.472831,0.439144,0.439144,0.657554,0.655206,0.605906,0.338002,0.338002,0.338002,0.472831,0.439144,0.439144,0.657554,0.655206,0.605906
8,0.637684,0.413837,0.413837,0.413837,0.463566,0.517993,0.517993,0.536391,0.536391,0.604065,0.413837,0.413837,0.413837,0.463566,0.517993,0.517993,0.536391,0.536391,0.604065,0.413837,0.413837,0.413837,0.463566,0.517993,0.517993,0.536391,0.536391,0.604065,0.413837,0.413837,0.413837,0.515719,0.517993,0.517993,0.645171,0.645171,0.651017,0.413837,0.413837,0.413837,0.515719,0.517993,0.517993,0.645171,0.645171,0.651017,0.413837,0.413837,0.413837,0.515719,0.517993,0.517993,0.645171,0.645171,0.651017,0.413837,0.413837,0.413837,0.568146,0.517993,0.517993,0.754466,0.754466,0.698122,0.413837,0.413837,0.413837,0.568146,0.517993,0.517993,0.754466,0.754466,0.698122,0.413837,0.413837,0.413837,0.568146,0.517993,0.517993,0.754466,0.754466,0.698122
9,0.733504,0.494612,0.494612,0.494612,0.545987,0.601296,0.601296,0.604227,0.604227,0.680259,0.494612,0.494612,0.494612,0.545987,0.601296,0.601296,0.604227,0.604227,0.680259,0.494612,0.494612,0.494612,0.545987,0.601296,0.601296,0.604227,0.604227,0.680259,0.494612,0.494612,0.494612,0.599343,0.601296,0.601296,0.729662,0.729662,0.735721,0.494612,0.494612,0.494612,0.599343,0.601296,0.601296,0.729662,0.729662,0.735721,0.494612,0.494612,0.494612,0.599343,0.601296,0.601296,0.729662,0.729662,0.735721,0.494612,0.494612,0.494612,0.652817,0.601296,0.601296,0.856395,0.856395,0.791585,0.494612,0.494612,0.494612,0.652817,0.601296,0.601296,0.856395,0.856395,0.791585,0.494612,0.494612,0.494612,0.652817,0.601296,0.601296,0.856395,0.856395,0.791585
