gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
11,0.226131,0.199474,0.229424,0.266619,0.314201,0.372899,0.446464,0.537898,0.199865,0.229846,0.267189,0.314868,0.373608,0.44724,0.53876,0.200256,0.230268,0.267758,0.315534,0.374317,0.448019,0.539622,0.200647,0.23069,0.268328,0.3162,0.375025,0.448804,0.540484,0.201038,0.231112,0.268908,0.316866,0.375734,0.449589,0.541346,0.201429,0.231535,0.269492,0.317533,0.376442,0.450374,0.542208,0.201821,0.231957,0.270076,0.318199,0.377151,0.45116,0.54307
12,0.247171,0.214806,0.24454,0.283422,0.331101,0.390217,0.464263,0.556943,0.215433,0.245161,0.284099,0.331791,0.390922,0.465002,0.557758,0.21606,0.245782,0.284775,0.332481,0.391627,0.46574,0.558572,0.216688,0.246403,0.285452,0.333171,0.392333,0.466479,0.559387,0.217315,0.247024,0.286129,0.333861,0.393038,0.467218,0.560202,0.217942,0.247675,0.286806,0.334552,0.393743,0.467956,0.561016,0.21857,0.248337,0.287483,0.335243,0.394449,0.468695,0.561831
13,0.268455,0.229864,0.260326,0.29967,0.347488,0.407136,0.481735,0.574708,0.230779,0.261312,0.30067,0.348447,0.408148,0.48277,0.575703,0.231694,0.262297,0.30167,0.349406,0.409161,0.483804,0.576698,0.232609,0.263282,0.302669,0.350365,0.410173,0.484838,0.577694,0.233525,0.264267,0.303669,0.351324,0.411185,0.485872,0.578689,0.23444,0.265252,0.304669,0.352283,0.412197,0.486906,0.579684,0.235355,0.266238,0.305668,0.353242,0.413209,0.48794,0.580679
14,0.289985,0.245553,0.277481,0.316731,0.364563,0.425027,0.499734,0.591999,0.246542,0.278578,0.317832,0.365682,0.426168,0.50085,0.59312,0.247559,0.279674,0.318933,0.366801,0.427309,0.501966,0.594266,0.248627,0.280771,0.320033,0.367919,0.42845,0.503082,0.595437,0.249694,0.281868,0.321134,0.369038,0.429591,0.504198,0.596607,0.250762,0.282964,0.322235,0.370157,0.430731,0.505314,0.597778,0.25183,0.284061,0.323336,0.371275,0.431872,0.506431,0.598948
15,0.311765,0.262562,0.295032,0.334104,0.3823,0.443036,0.517352,0.610404,0.263709,0.296198,0.335249,0.383504,0.444238,0.518527,0.611637,0.264857,0.297365,0.336394,0.384707,0.445439,0.519717,0.61287,0.266005,0.298531,0.337539,0.385911,0.446641,0.520977,0.614103,0.267153,0.299698,0.338684,0.387115,0.447842,0.522237,0.615335,0.268301,0.300865,0.33983,0.388318,0.449045,0.523497,0.616568,0.269483,0.302031,0.340975,0.389522,0.450249,0.524756,0.617801
16,0.333798,0.281006,0.313343,0.352088,0.401204,0.461846,0.536898,0.630253,0.282039,0.314352,0.353085,0.40226,0.46292,0.538022,0.631488,0.283072,0.31536,0.354081,0.403319,0.463993,0.539146,0.632724,0.284105,0.316368,0.355077,0.404377,0.465067,0.54027,0.633959,0.285138,0.317376,0.356073,0.405436,0.46614,0.541394,0.635194,0.286171,0.318384,0.357102,0.406494,0.467214,0.542518,0.63643,0.287204,0.319392,0.358131,0.407553,0.468287,0.543642,0.637665
17,0.356085,0.299328,0.331179,0.370079,0.419755,0.480332,0.556153,0.650031,0.300332,0.332227,0.371176,0.420913,0.481567,0.557467,0.651359,0.301336,0.333275,0.372274,0.422071,0.482802,0.558781,0.652687,0.30234,0.334309,0.373372,0.423229,0.484036,0.560095,0.654015,0.303344,0.335329,0.37447,0.424388,0.485271,0.561408,0.655343,0.304348,0.33635,0.375568,0.425539,0.486506,0.562722,0.656671,0.305352,0.33737,0.376666,0.42669,0.48774,0.564036,0.657999
18,0.378631,0.316127,0.347456,0.387342,0.437231,0.498238,0.574552,0.668697,0.317622,0.348969,0.389011,0.438883,0.499871,0.576193,0.67043,0.319118,0.350482,0.39068,0.440535,0.501504,0.577834,0.672091,0.320614,0.351995,0.392349,0.442186,0.503137,0.579475,0.673753,0.32211,0.353508,0.394018,0.443838,0.50477,0.581116,0.675414,0.323606,0.355021,0.395687,0.44549,0.506403,0.582758,0.677075,0.325101,0.356557,0.397356,0.447141,0.508036,0.584399,0.678736
19,0.401438,0.334306,0.365823,0.406842,0.456591,0.517467,0.593885,0.688331,0.335797,0.367415,0.408431,0.458132,0.519006,0.595482,0.689897,0.337288,0.369007,0.41002,0.459672,0.520595,0.597078,0.691462,0.33878,0.370599,0.411609,0.461213,0.522208,0.598674,0.693028,0.340271,0.37219,0.413198,0.462754,0.523822,0.60027,0.694593,0.341762,0.373782,0.414787,0.464294,0.525435,0.601866,0.696159,0.343253,0.375374,0.416376,0.465835,0.527048,0.603463,0.6978
20,0.424509,0.352257,0.385272,0.426275,0.476001,0.537823,0.614123,0.709203,0.353707,0.38689,0.427863,0.477521,0.539315,0.6156,0.710679,0.355158,0.388509,0.429451,0.479041,0.540808,0.617077,0.712154,0.356645,0.390127,0.431039,0.480561,0.542301,0.618554,0.71363,0.358197,0.391745,0.432627,0.482081,0.543829,0.620078,0.715105,0.35975,0.393363,0.434215,0.483601,0.545381,0.621621,0.716581,0.361302,0.394982,0.435803,0.485121,0.546935,0.623163,0.718056
21,0.447848,0.371136,0.405014,0.445648,0.495071,0.557337,0.633728,0.728858,0.372738,0.40667,0.447359,0.496814,0.559205,0.635666,0.730793,0.37434,0.408325,0.449043,0.498556,0.561073,0.637603,0.732728,0.375942,0.409981,0.450715,0.500299,0.562941,0.63954,0.734663,0.377543,0.411637,0.452386,0.502041,0.564809,0.641477,0.736598,0.379175,0.413292,0.454058,0.503783,0.566677,0.643414,0.738533,0.380871,0.414948,0.45573,0.505526,0.568545,0.645331,0.740468
22,0.471456,0.392522,0.425993,0.466512,0.516304,0.578957,0.655848,0.750723,0.393831,0.427267,0.467747,0.517603,0.580382,0.65736,0.752376,0.39514,0.428541,0.468983,0.518903,0.581807,0.658872,0.754029,0.39645,0.429815,0.470219,0.520222,0.583232,0.660383,0.755682,0.397759,0.431089,0.471455,0.521557,0.584657,0.661895,0.757335,0.399068,0.432363,0.472703,0.522893,0.586082,0.663406,0.758988,0.400378,0.433638,0.473952,0.524228,0.587507,0.664918,0.760641
23,0.495339,0.411471,0.44493,0.484898,0.535229,0.597783,0.675202,0.770345,0.413176,0.446674,0.486647,0.537128,0.599763,0.677156,0.772371,0.414882,0.448397,0.488397,0.539026,0.601744,0.67911,0.774397,0.416588,0.450076,0.490146,0.540925,0.603724,0.681064,0.776424,0.418293,0.451755,0.491895,0.542823,0.605705,0.683018,0.778462,0.419999,0.453435,0.493644,0.544735,0.607685,0.684972,0.780506,0.421704,0.455114,0.495394,0.546665,0.609666,0.686926,0.78255
24,0.519498,0.432063,0.464607,0.504514,0.555696,0.618168,0.695315,0.791021,0.433734,0.466368,0.50656,0.557852,0.620358,0.697491,0.793208,0.435405,0.46813,0.508606,0.560009,0.622563,0.699733,0.795396,0.437076,0.469891,0.510652,0.562165,0.624767,0.701975,0.797583,0.438747,0.471653,0.512699,0.564321,0.626972,0.704217,0.79977,0.440417,0.473422,0.514745,0.566478,0.629176,0.706459,0.801958,0.442088,0.475192,0.516791,0.568634,0.631381,0.708702,0.804145
