gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
45,4.26943,2.92953,2.92953,2.92953,2.8929,2.8929,2.8929,2.84945,2.84945,2.84945,2.80095,2.80095,2.80095,2.75045,2.75045,2.75045
46,4.44143,3.07777,3.07777,3.07777,3.04122,3.04122,3.04122,2.99782,2.99782,2.99782,2.94946,2.94946,2.94946,2.89929,2.89929,2.89929
47,4.61847,3.23066,3.23066,3.23066,3.19431,3.19431,3.19431,3.15108,3.15108,3.15108,3.10283,3.10283,3.10283,3.05276,3.05276,3.05276
48,4.8007,3.38832,3.38832,3.38832,3.35218,3.35218,3.35218,3.30922,3.30922,3.30922,3.26125,3.26125,3.26125,3.2114,3.2114,3.2114
49,4.98827,3.55088,3.55088,3.55088,3.51509,3.51509,3.51509,3.47249,3.47249,3.47249,3.4248,3.4248,3.4248,3.37517,3.37517,3.37517
50,5.18134,3.71838,3.71838,3.71838,3.68289,3.68289,3.68289,3.64071,3.64071,3.64071,3.59342,3.59342,3.59342,3.54407,3.54407,3.54407
51,5.38006,3.8911,3.8911,3.8911,3.85567,3.85567,3.85567,3.81364,3.81364,3.81364,3.76671,3.76671,3.76671,3.71778,3.71778,3.71778
52,5.58461,4.06939,4.06939,4.06939,4.03395,4.03395,4.03395,3.99189,3.99189,3.99189,3.94501,3.94501,3.94501,3.89642,3.89642,3.89642
53,5.79515,4.25338,4.25338,4.25338,4.21806,4.21806,4.21806,4.17603,4.17603,4.17603,4.12913,4.12913,4.12913,4.08062,4.08062,4.08062
54,6.01186,4.44295,4.44295,4.44295,4.40785,4.40785,4.40785,4.36612,4.36612,4.36612,4.31948,4.31948,4.31948,4.27105,4.27105,4.27105
55,6.23493,4.63839,4.63839,4.63839,4.6035,4.6035,4.6035,4.56207,4.56207,4.56207,4.5158,4.5158,4.5158,4.46776,4.46776,4.46776
56,6.46452,4.84,4.84,4.84,4.8053,4.8053,4.8053,4.76408,4.76408,4.76408,4.71806,4.71806,4.71806,4.67033,4.67033,4.67033
57,6.70085,5.04762,5.04762,5.04762,5.01316,5.01316,5.01316,4.97223,4.97223,4.97223,4.92648,4.92648,4.92648,4.87898,4.87898,4.87898
58,6.94411,5.26152,5.26152,5.26152,5.22732,5.22732,5.22732,5.18666,5.18666,5.18666,5.14122,5.14122,5.14122,5.09403,5.09403,5.09403
59,7.19449,5.48202,5.48202,5.48202,5.44798,5.44798,5.44798,5.40758,5.40758,5.40758,5.36248,5.36248,5.36248,5.31565,5.31565,5.31565
60,7.45221,5.70951,5.70951,5.70951,5.67553,5.67553,5.67553,5.6353,5.6353,5.6353,5.59053,5.59053,5.59053,5.5441,5.5441,5.5441
61,7.71748,5.94403,5.94403,5.94403,5.91018,5.91018,5.91018,5.87005,5.87005,5.87005,5.82537,5.82537,5.82537,5.77909,5.77909,5.77909
62,7.99052,6.18571,6.18571,6.18571,6.15198,6.15198,6.15198,6.11196,6.11196,6.11196,6.06734,6.06734,6.06734,6.0211,6.0211,6.0211
63,8.27157,6.43485,6.43485,6.43485,6.40128,6.40128,6.40128,6.36142,6.36142,6.36142,6.31692,6.31692,6.31692,6.27082,6.27082,6.27082
64,8.56085,6.69159,6.69159,6.69159,6.65825,6.65825,6.65825,6.61864,6.61864,6.61864,6.57442,6.57442,6.57442,6.52862,6.52862,6.52862
65,8.85861,6.95616,6.95616,6.95616,6.92302,6.92302,6.92302,6.88367,6.88367,6.88367,6.83975,6.83975,6.83975,6.79431,6.79431,6.79431
66,9.16509,7.22877,7.22877,7.22877,7.19581,7.19581,7.19581,7.15672,7.15672,7.15672,7.1131,7.1131,7.1131,7.06793,7.06793,7.06793
