gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
318,60.7604,-0.401615,-0.40082,-0.399906,-0.398865,-0.397653,-0.396237,-0.394576,-0.401612,-0.400817,-0.399903,-0.398862,-0.39765,-0.396234,-0.394573,-0.401609,-0.400814,-0.3999,-0.398859,-0.397648,-0.396232,-0.39457,-0.401606,-0.400811,-0.399896,-0.398855,-0.397644,-0.396228,-0.394566,-0.395179,-0.394399,-0.3935,-0.392468,-0.391279,-0.38989,-0.388259,-0.388902,-0.388138,-0.387256,-0.386232,-0.385063,-0.383699,-0.382098,-0.38279,-0.382041,-0.381175,-0.380171,-0.379009,-0.37767,-0.376098
319,61.4828,-0.393182,-0.392412,-0.391527,-0.390518,-0.389344,-0.387973,-0.386363,-0.393179,-0.392409,-0.391524,-0.390515,-0.389342,-0.38797,-0.38636,-0.393177,-0.392406,-0.391521,-0.390513,-0.389339,-0.387967,-0.386357,-0.393173,-0.392403,-0.391518,-0.390509,-0.389335,-0.387964,-0.386354,-0.386873,-0.386118,-0.385247,-0.384247,-0.383096,-0.38175,-0.38017,-0.380721,-0.379981,-0.379126,-0.378135,-0.377002,-0.375681,-0.37413,-0.37473,-0.374004,-0.373166,-0.372193,-0.371068,-0.369771,-0.368248
320,62.2137,-0.384919,-0.384173,-0.383316,-0.382339,-0.381202,-0.379873,-0.378313,-0.384916,-0.38417,-0.383313,-0.382336,-0.381199,-0.37987,-0.37831,-0.384914,-0.384168,-0.38331,-0.382333,-0.381196,-0.379867,-0.378308,-0.38491,-0.384164,-0.383307,-0.38233,-0.381193,-0.379864,-0.378304,-0.378735,-0.378004,-0.37716,-0.376192,-0.375076,-0.373772,-0.372241,-0.372705,-0.371988,-0.37116,-0.3702,-0.369103,-0.367823,-0.36632,-0.366833,-0.36613,-0.365317,-0.364375,-0.363285,-0.362029,-0.360553
321,62.9529,-0.376822,-0.3761,-0.37527,-0.374323,-0.373222,-0.371934,-0.370424,-0.37682,-0.376097,-0.375267,-0.37432,-0.373219,-0.371932,-0.370421,-0.376817,-0.376094,-0.375264,-0.374318,-0.373217,-0.371929,-0.370418,-0.376814,-0.376091,-0.375261,-0.374314,-0.373213,-0.371926,-0.370415,-0.370762,-0.370053,-0.369235,-0.368298,-0.367217,-0.365954,-0.364471,-0.364851,-0.364157,-0.363355,-0.362425,-0.361362,-0.360122,-0.358666,-0.359096,-0.358414,-0.357628,-0.356715,-0.355659,-0.354442,-0.353013
322,63.7008,-0.368889,-0.368189,-0.367386,-0.366469,-0.365402,-0.364155,-0.362691,-0.368886,-0.368186,-0.367383,-0.366466,-0.365399,-0.364152,-0.362688,-0.368884,-0.368184,-0.36738,-0.366464,-0.365397,-0.36415,-0.362686,-0.368881,-0.36818,-0.367377,-0.36646,-0.365393,-0.364146,-0.362683,-0.362949,-0.362263,-0.36147,-0.360562,-0.359516,-0.358292,-0.356856,-0.357156,-0.356484,-0.355707,-0.354806,-0.353776,-0.352576,-0.351166,-0.351515,-0.350855,-0.350093,-0.349209,-0.348186,-0.347008,-0.345623
323,64.4573,-0.361116,-0.360438,-0.35966,-0.358772,-0.357739,-0.356531,-0.355113,-0.361114,-0.360435,-0.359657,-0.358769,-0.357736,-0.356528,-0.35511,-0.361111,-0.360433,-0.359655,-0.358767,-0.357734,-0.356526,-0.355108,-0.361108,-0.36043,-0.359652,-0.358764,-0.35773,-0.356522,-0.355104,-0.355294,-0.354629,-0.353862,-0.352983,-0.351969,-0.350784,-0.349392,-0.349617,-0.348966,-0.348213,-0.347341,-0.346344,-0.34518,-0.343815,-0.344088,-0.343449,-0.342711,-0.341855,-0.340864,-0.339723,-0.338382
324,65.2226,-0.353501,-0.352844,-0.352091,-0.35123,-0.350229,-0.349059,-0.347686,-0.353498,-0.352841,-0.352088,-0.351228,-0.350227,-0.349057,-0.347683,-0.353496,-0.352839,-0.352086,-0.351226,-0.350224,-0.349054,-0.347681,-0.353492,-0.352836,-0.352082,-0.351222,-0.350221,-0.349051,-0.347678,-0.347795,-0.347151,-0.346408,-0.345556,-0.344574,-0.343426,-0.342078,-0.342231,-0.3416,-0.340871,-0.340026,-0.33906,-0.337934,-0.336611,-0.336813,-0.336194,-0.335479,-0.33465,-0.33369,-0.332584,-0.331285
325,65.9968,-0.346039,-0.345403,-0.344674,-0.343841,-0.342871,-0.341738,-0.340407,-0.346037,-0.345401,-0.344671,-0.343838,-0.342869,-0.341735,-0.340405,-0.346034,-0.345398,-0.344669,-0.343836,-0.342866,-0.341733,-0.340403,-0.346031,-0.345395,-0.344666,-0.343833,-0.342863,-0.34173,-0.340399,-0.340447,-0.339824,-0.339104,-0.33828,-0.337328,-0.336216,-0.334911,-0.334995,-0.334384,-0.333678,-0.332859,-0.331924,-0.330833,-0.329552,-0.329685,-0.329085,-0.328393,-0.32759,-0.32666,-0.325589,-0.324331
326,66.7799,-0.338729,-0.338113,-0.337407,-0.3366,-0.335661,-0.334563,-0.333275,-0.338727,-0.338111,-0.337405,-0.336598,-0.335659,-0.334561,-0.333272,-0.338725,-0.338108,-0.337403,-0.336596,-0.335656,-0.334559,-0.33327,-0.338721,-0.338105,-0.337399,-0.336592,-0.335653,-0.334555,-0.333267,-0.333249,-0.332645,-0.331948,-0.33115,-0.330229,-0.329152,-0.327887,-0.327906,-0.327314,-0.326631,-0.325838,-0.324932,-0.323875,-0.322634,-0.322702,-0.322122,-0.321451,-0.320673,-0.319773,-0.318736,-0.317517
327,67.5721,-0.331568,-0.330971,-0.330288,-0.329506,-0.328597,-0.327533,-0.326285,-0.331565,-0.330969,-0.330285,-0.329504,-0.328594,-0.327531,-0.326283,-0.331563,-0.330966,-0.330283,-0.329502,-0.328592,-0.327529,-0.32628,-0.33156,-0.330963,-0.33028,-0.329499,-0.328589,-0.327526,-0.326277,-0.326198,-0.325613,-0.324938,-0.324165,-0.323272,-0.322229,-0.321004,-0.320962,-0.320389,-0.319727,-0.318959,-0.318082,-0.317058,-0.315856,-0.315862,-0.3153,-0.314651,-0.313897,-0.313025,-0.31202,-0.31084
