gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662
1,0.0572595,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787
2,0.116568,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977,-8.30634,-8.30634,-8.30634,-7.83,-7.83,-7.83,-7.38977,-7.38977,-7.38977
3,0.177999,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.31895,-7.31803,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.31895,-7.31803,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.31895,-7.31803,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.3105,-7.31003,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.3105,-7.31003,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.3105,-7.31003,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.30204,-7.30204,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.30204,-7.30204,-7.30224,-8.16132,-8.16132,-8.16132,-7.7214,-7.7214,-7.7214,-7.30204,-7.30204,-7.30224
4,0.241629,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.31225,-7.30758,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.31225,-7.30758,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.31225,-7.30758,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.26004,-7.25775,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.26004,-7.25775,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.26004,-7.25775,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.20978,-7.20979,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.20978,-7.20979,-7.21523,-8.03153,-8.03153,-8.03153,-7.61466,-7.61466,-7.61466,-7.20978,-7.20979,-7.21523
5,0.307536,-7.9041,-7.9041,-7.9041,-7.53602,-7.51097,-7.51097,-7.26105,-7.26105,-7.12937,-7.9041,-7.9041,-7.9041,-7.53602,-7.51097,-7.51097,-7.26105,-7.26105,-7.12937,-7.9041,-7.9041,-7.9041,-7.53602,-7.51097,-7.51097,-7.26105,-7.26105,-7.12937,-7.9041,-7.9041,-7.9041,-7.51927,-7.51097,-7.51097,-7.18604,-7.18604,-7.12937,-7.9041,-7.9041,-7.9041,-7.51927,-7.51097,-7.51097,-7.18604,-7.18604,-7.12937,-7.9041,-7.9041,-7.9041,-7.51927,-7.51097,-7.51097,-7.18604,-7.18604,-7.12937,-7.9041,-7.9041,-7.9041,-7.50308,-7.51097,-7.51097,-7.11317,-7.11317,-7.12937,-7.9041,-7.9041,-7.9041,-7.50308,-7.51097,-7.51097,-7.11317,-7.11317,-7.12937,-7.9041,-7.9041,-7.9041,-7.50308,-7.51097,-7.51097,-7.11317,-7.11317,-7.12937
6,0.375801,-7.78118,-7.78118,-7.78118,-7.50238,-7.40949,-7.40949,-7.19188,-7.19188,-7.04361,-7.78118,-7.78118,-7.78118,-7.50238,-7.40949,-7.40949,-7.19188,-7.19188,-7.04361,-7.78118,-7.78118,-7.78118,-7.50238,-7.40949,-7.40949,-7.19188,-7.19188,-7.04361,-7.78118,-7.78118,-7.78118,-7.43972,-7.40949,-7.40949,-7.10289,-7.10289,-7.04361,-7.78118,-7.78118,-7.78118,-7.43972,-7.40949,-7.40949,-7.10289,-7.10289,-7.04361,-7.78118,-7.78118,-7.78118,-7.43972,-7.40949,-7.40949,-7.10289,-7.10289,-7.04361,-7.78118,-7.78118,-7.78118,-7.379,-7.40949,-7.40949,-7.01724,-7.01724,-7.04361,-7.78118,-7.78118,-7.78118,-7.379,-7.40949,-7.40949,-7.01724,-7.01724,-7.04361,-7.78118,-7.78118,-7.78118,-7.379,-7.40949,-7.40949,-7.01724,-7.01724,-7.04361
7,0.44651,-7.66251,-7.66251,-7.66251,-7.42376,-7.30921,-7.30921,-7.122,-7.122,-6.98769,-7.66251,-7.66251,-7.66251,-7.42376,-7.30921,-7.30921,-7.122,-7.122,-6.98769,-7.66251,-7.66251,-7.66251,-7.42376,-7.30921,-7.30921,-7.122,-7.122,-6.98769,-7.66251,-7.66251,-7.66251,-7.34498,-7.30921,-7.30921,-7.01979,-7.01979,-6.96813,-7.66251,-7.66251,-7.66251,-7.34498,-7.30921,-7.30921,-7.01979,-7.01979,-6.96813,-7.66251,-7.66251,-7.66251,-7.34498,-7.30921,-7.30921,-7.01979,-7.01979,-6.96813,-7.66251,-7.66251,-7.66251,-7.26843,-7.30921,-7.30921,-6.92198,-6.92198,-6.94857,-7.66251,-7.66251,-7.66251,-7.26843,-7.30921,-7.30921,-6.92198,-6.92198,-6.94857,-7.66251,-7.66251,-7.66251,-7.26843,-7.30921,-7.30921,-6.92198,-6.92198,-6.94857
8,0.519749,-7.54608,-7.54608,-7.54608,-7.37715,-7.20992,-7.20992,-7.05149,-7.05149,-6.94546,-7.54608,-7.54608,-7.54608,-7.37715,-7.20992,-7.20992,-7.05149,-7.05149,-6.94546,-7.54608,-7.54608,-7.54608,-7.37715,-7.20992,-7.20992,-7.05149,-7.05149,-6.94546,-7.54608,-7.54608,-7.54608,-7.26077,-7.20992,-7.20992,-6.93675,-6.93675,-6.89694,-7.54608,-7.54608,-7.54608,-7.26077,-7.20992,-7.20992,-6.93675,-6.93675,-6.89694,-7.54608,-7.54608,-7.54608,-7.26077,-7.20992,-7.20992,-6.93675,-6.93675,-6.89694,-7.54608,-7.54608,-7.54608,-7.15007,-7.20992,-7.20992,-6.82723,-6.82723,-6.84906,-7.54608,-7.54608,-7.54608,-7.15007,-7.20992,-7.20992,-6.82723,-6.82723,-6.84906,-7.54608,-7.54608,-7.54608,-7.15007,-7.20992,-7.20992,-6.82723,-6.82723,-6.84906
9,0.595608,-7.43204,-7.43204,-7.43204,-7.32015,-7.11137,-7.11137,-6.98137,-6.98137,-6.90528,-7.43204,-7.43204,-7.43204,-7.32015,-7.11137,-7.11137,-6.98137,-6.98137,-6.90528,-7.43204,-7.43204,-7.43204,-7.32015,-7.11137,-7.11137,-6.98137,-6.98137,-6.90528,-7.43204,-7.43204,-7.43204,-7.17346,-7.11137,-7.11137,-6.85367,-6.85367,-6.82549,-7.43204,-7.43204,-7.43204,-7.17346,-7.11137,-7.11137,-6.85367,-6.85367,-6.82549,-7.43204,-7.43204,-7.43204,-7.17346,-7.11137,-7.11137,-6.85367,-6.85367,-6.82549,-7.43204,-7.43204,-7.43204,-7.03566,-7.11137,-7.11137,-6.73296,-6.73296,-6.74817,-7.43204,-7.43204,-7.43204,-7.03566,-7.11137,-7.11137,-6.73296,-6.73296,-6.74817,-7.43204,-7.43204,-7.43204,-7.03566,-7.11137,-7.11137,-6.73296,-6.73296,-6.74817
