gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
10,0.833427,-7.11329,-7.11329,-7.11329,-7.03747,-6.82961,-6.82961,-6.7257,-6.7257,-6.7257,-7.11329,-7.11329,-7.11329,-7.03747,-6.82961,-6.82961,-6.7257,-6.7257,-6.7257,-7.11329,-7.11329,-7.11329,-7.03747,-6.82961,-6.82961,-6.7257,-6.7257,-6.7257,-7.11329,-7.11329,-7.11329,-6.84991,-6.82961,-6.82961,-6.55843,-6.55843,-6.55843,-7.11329,-7.11329,-7.11329,-6.84991,-6.82961,-6.82961,-6.55843,-6.55843,-6.55843,-7.11329,-7.11329,-7.11329,-6.84991,-6.82961,-6.82961,-6.55843,-6.55843,-6.55843,-7.11329,-7.11329,-7.11329,-6.67473,-6.82961,-6.82961,-6.40292,-6.40292,-6.40292,-7.11329,-7.11329,-7.11329,-6.67473,-6.82961,-6.82961,-6.40292,-6.40292,-6.40292,-7.11329,-7.11329,-7.11329,-6.67473,-6.82961,-6.82961,-6.40292,-6.40292,-6.40292
11,0.937629,-6.98484,-6.98484,-6.98484,-6.93707,-6.71468,-6.71468,-6.63668,-6.63668,-6.63668,-6.98484,-6.98484,-6.98484,-6.93707,-6.71468,-6.71468,-6.63668,-6.63668,-6.63668,-6.98484,-6.98484,-6.98484,-6.93707,-6.71468,-6.71468,-6.63668,-6.63668,-6.63668,-6.98484,-6.98484,-6.98484,-6.735,-6.71468,-6.71468,-6.4561,-6.4561,-6.4561,-6.98484,-6.98484,-6.98484,-6.735,-6.71468,-6.71468,-6.4561,-6.4561,-6.4561,-6.98484,-6.98484,-6.98484,-6.735,-6.71468,-6.71468,-6.4561,-6.4561,-6.4561,-6.98484,-6.98484,-6.98484,-6.54765,-6.71468,-6.71468,-6.28813,-6.28813,-6.28813,-6.98484,-6.98484,-6.98484,-6.54765,-6.71468,-6.71468,-6.28813,-6.28813,-6.28813,-6.98484,-6.98484,-6.98484,-6.54765,-6.71468,-6.71468,-6.28813,-6.28813,-6.28813
12,1.04629,-6.85781,-6.85781,-6.85781,-6.83667,-6.60028,-6.60028,-6.54694,-6.54694,-6.54694,-6.85781,-6.85781,-6.85781,-6.83667,-6.60028,-6.60028,-6.54694,-6.54694,-6.54694,-6.85781,-6.85781,-6.85781,-6.83667,-6.60028,-6.60028,-6.54694,-6.54694,-6.54694,-6.85781,-6.85781,-6.85781,-6.62068,-6.60028,-6.60028,-6.3535,-6.3535,-6.3535,-6.85781,-6.85781,-6.85781,-6.62068,-6.60028,-6.60028,-6.3535,-6.3535,-6.3535,-6.85781,-6.85781,-6.85781,-6.62068,-6.60028,-6.60028,-6.3535,-6.3535,-6.3535,-6.85781,-6.85781,-6.85781,-6.42148,-6.60028,-6.60028,-6.1736,-6.1736,-6.1736,-6.85781,-6.85781,-6.85781,-6.42148,-6.60028,-6.60028,-6.1736,-6.1736,-6.1736,-6.85781,-6.85781,-6.85781,-6.42148,-6.60028,-6.60028,-6.1736,-6.1736,-6.1736
13,1.15961,-6.732,-6.732,-6.732,-6.7361,-6.48631,-6.48631,-6.45711,-6.45711,-6.45711,-6.732,-6.732,-6.732,-6.7361,-6.48631,-6.48631,-6.45711,-6.45711,-6.45711,-6.732,-6.732,-6.732,-6.7361,-6.48631,-6.48631,-6.45711,-6.45711,-6.45711,-6.732,-6.732,-6.732,-6.50675,-6.48631,-6.48631,-6.25062,-6.25062,-6.25062,-6.732,-6.732,-6.732,-6.50675,-6.48631,-6.48631,-6.25062,-6.25062,-6.25062,-6.732,-6.732,-6.732,-6.50675,-6.48631,-6.48631,-6.25062,-6.25062,-6.25062,-6.732,-6.732,-6.732,-6.29611,-6.48631,-6.48631,-6.05931,-6.05931,-6.05931,-6.732,-6.732,-6.732,-6.29611,-6.48631,-6.48631,-6.05931,-6.05931,-6.05931,-6.732,-6.732,-6.732,-6.29611,-6.48631,-6.48631,-6.05931,-6.05931,-6.05931
14,1.27778,-6.60725,-6.60725,-6.60725,-6.63532,-6.3819,-6.37266,-6.36688,-6.36688,-6.36688,-6.60725,-6.60725,-6.60725,-6.63532,-6.3819,-6.37266,-6.36688,-6.36688,-6.36688,-6.60725,-6.60725,-6.60725,-6.63532,-6.3819,-6.37266,-6.36688,-6.36688,-6.36688,-6.60725,-6.60725,-6.60725,-6.39307,-6.37262,-6.37266,-6.14747,-6.14747,-6.14747,-6.60725,-6.60725,-6.60725,-6.39307,-6.37262,-6.37266,-6.14747,-6.14747,-6.14747,-6.60725,-6.60725,-6.60725,-6.39307,-6.37262,-6.37266,-6.14747,-6.14747,-6.14747,-6.60725,-6.60725,-6.60725,-6.17151,-6.36335,-6.37266,-5.94526,-5.94526,-5.94526,-6.60725,-6.60725,-6.60725,-6.17151,-6.36335,-6.37266,-5.94526,-5.94526,-5.94526,-6.60725,-6.60725,-6.60725,-6.17151,-6.36335,-6.37266,-5.94526,-5.94526,-5.94526
15,1.40101,-6.4834,-6.4834,-6.4834,-6.53426,-6.2979,-6.25927,-6.27585,-6.27585,-6.27585,-6.4834,-6.4834,-6.4834,-6.53426,-6.2979,-6.25927,-6.27585,-6.27585,-6.27585,-6.4834,-6.4834,-6.4834,-6.53426,-6.2979,-6.25927,-6.27585,-6.27585,-6.27585,-6.4834,-6.4834,-6.4834,-6.2796,-6.2589,-6.25927,-6.0441,-6.0441,-6.0441,-6.4834,-6.4834,-6.4834,-6.2796,-6.2589,-6.25927,-6.0441,-6.0441,-6.0441,-6.4834,-6.4834,-6.4834,-6.2796,-6.2589,-6.25927,-6.0441,-6.0441,-6.0441,-6.4834,-6.4834,-6.4834,-6.04765,-6.2199,-6.25927,-5.83148,-5.83148,-5.83148,-6.4834,-6.4834,-6.4834,-6.04765,-6.2199,-6.25927,-5.83148,-5.83148,-5.83148,-6.4834,-6.4834,-6.4834,-6.04765,-6.2199,-6.25927,-5.83148,-5.83148,-5.83148
16,1.52952,-6.36035,-6.36035,-6.36035,-6.43286,-6.18615,-6.14611,-6.18406,-6.18406,-6.18406,-6.36035,-6.36035,-6.36035,-6.43286,-6.18615,-6.14611,-6.18406,-6.18406,-6.18406,-6.36035,-6.36035,-6.36035,-6.43286,-6.18615,-6.14611,-6.18406,-6.18406,-6.18406,-6.36035,-6.36035,-6.36035,-6.16635,-6.14528,-6.14611,-5.9405,-5.9405,-5.9405,-6.36035,-6.36035,-6.36035,-6.16635,-6.14528,-6.14611,-5.9405,-5.9405,-5.9405,-6.36035,-6.36035,-6.36035,-6.16635,-6.14528,-6.14611,-5.9405,-5.9405,-5.9405,-6.36035,-6.36035,-6.36035,-5.92452,-6.10456,-6.14611,-5.71801,-5.71801,-5.71801,-6.36035,-6.36035,-6.36035,-5.92452,-6.10456,-6.14611,-5.71801,-5.71801,-5.71801,-6.36035,-6.36035,-6.36035,-5.92452,-6.10456,-6.14611,-5.71801,-5.71801,-5.71801
17,1.66353,-6.23801,-6.23801,-6.23801,-6.33129,-6.07455,-6.03313,-6.09154,-6.09154,-6.09154,-6.23801,-6.23801,-6.23801,-6.33129,-6.07455,-6.03313,-6.09154,-6.09154,-6.09154,-6.23801,-6.23801,-6.23801,-6.33129,-6.07455,-6.03313,-6.09154,-6.09154,-6.09154,-6.23801,-6.23801,-6.23801,-6.05332,-6.03186,-6.03313,-5.83673,-5.83673,-5.83673,-6.23801,-6.23801,-6.23801,-6.05332,-6.03186,-6.03313,-5.83673,-5.83673,-5.83673,-6.23801,-6.23801,-6.23801,-6.05332,-6.03186,-6.03313,-5.83673,-5.83673,-5.83673,-6.23801,-6.23801,-6.23801,-5.80211,-5.98949,-6.03313,-5.60481,-5.60481,-5.60481,-6.23801,-6.23801,-6.23801,-5.80211,-5.98949,-6.03313,-5.60481,-5.60481,-5.60481,-6.23801,-6.23801,-6.23801,-5.80211,-5.98949,-6.03313,-5.60481,-5.60481,-5.60481
18,1.80327,-6.1163,-6.1163,-6.1163,-6.22981,-5.96588,-5.92032,-5.99836,-5.99836,-5.99836,-6.1163,-6.1163,-6.1163,-6.22981,-5.96588,-5.92032,-5.99836,-5.99836,-5.99836,-6.1163,-6.1163,-6.1163,-6.22981,-5.96588,-5.92032,-5.99836,-5.99836,-5.99836,-6.1163,-6.1163,-6.1163,-5.94052,-5.91858,-5.92032,-5.73283,-5.73283,-5.73283,-6.1163,-6.1163,-6.1163,-5.94052,-5.91858,-5.92032,-5.73283,-5.73283,-5.73283,-6.1163,-6.1163,-6.1163,-5.94052,-5.91858,-5.92032,-5.73283,-5.73283,-5.73283,-6.1163,-6.1163,-6.1163,-5.68036,-5.87188,-5.92032,-5.49187,-5.49187,-5.49187,-6.1163,-6.1163,-6.1163,-5.68036,-5.87188,-5.92032,-5.49187,-5.49187,-5.49187,-6.1163,-6.1163,-6.1163,-5.68036,-5.87188,-5.92032,-5.49187,-5.49187,-5.49187
19,1.94901,-5.99517,-5.99517,-5.99517,-6.12801,-5.85747,-5.80767,-5.9051,-5.9051,-5.9051,-5.99517,-5.99517,-5.99517,-6.12801,-5.85747,-5.80767,-5.9051,-5.9051,-5.9051,-5.99517,-5.99517,-5.99517,-6.12801,-5.85747,-5.80767,-5.9051,-5.9051,-5.9051,-5.99517,-5.99517,-5.99517,-5.82797,-5.80547,-5.80767,-5.6288,-5.6288,-5.6288,-5.99517,-5.99517,-5.99517,-5.82797,-5.80547,-5.80767,-5.6288,-5.6288,-5.6288,-5.99517,-5.99517,-5.99517,-5.82797,-5.80547,-5.80767,-5.6288,-5.6288,-5.6288,-5.99517,-5.99517,-5.99517,-5.55923,-5.75429,-5.80767,-5.37919,-5.37919,-5.37919,-5.99517,-5.99517,-5.99517,-5.55923,-5.75429,-5.80767,-5.37919,-5.37919,-5.37919,-5.99517,-5.99517,-5.99517,-5.55923,-5.75429,-5.80767,-5.37919,-5.37919,-5.37919
