gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107,0,0,0,0.0198738,0.0198738,0.0198738,0.135107,0.135107,0.135107
1,0.0685139,0,0,0,0.0682894,0.0682894,0.0682894,0.184312,0.184312,0.184312,0,0,0,0.0682894,0.0682894,0.0682894,0.184312,0.184312,0.184312,0,0,0,0.0682894,0.0682894,0.0682894,0.184312,0.184312,0.184312,0,0,0,0.0781867,0.0781867,0.0781867,0.195576,0.195576,0.195576,0,0,0,0.0781867,0.0781867,0.0781867,0.195576,0.195576,0.195576,0,0,0,0.0781867,0.0781867,0.0781867,0.195576,0.195576,0.195576,0,0,0,0.0880609,0.0880609,0.0880609,0.206841,0.206841,0.206841,0,0,0,0.0880609,0.0880609,0.0880609,0.206841,0.206841,0.206841,0,0,0,0.0880609,0.0880609,0.0880609,0.206841,0.206841,0.206841
2,0.139962,0.0269909,0.0269909,0.0269909,0.11362,0.11362,0.11362,0.236125,0.236125,0.236125,0.0269909,0.0269909,0.0269909,0.11362,0.11362,0.11362,0.236125,0.236125,0.236125,0.0269909,0.0269909,0.0269909,0.11362,0.11362,0.11362,0.236125,0.236125,0.236125,0.0486689,0.0486689,0.0486689,0.133791,0.133791,0.133791,0.259273,0.259273,0.259273,0.0486689,0.0486689,0.0486689,0.133791,0.133791,0.133791,0.259273,0.259273,0.259273,0.0486689,0.0486689,0.0486689,0.133791,0.133791,0.133791,0.259273,0.259273,0.259273,0.0701278,0.0701278,0.0701278,0.155454,0.155454,0.155454,0.28242,0.28242,0.28242,0.0701278,0.0701278,0.0701278,0.155454,0.155454,0.155454,0.28242,0.28242,0.28242,0.0701278,0.0701278,0.0701278,0.155454,0.155454,0.155454,0.28242,0.28242,0.28242
3,0.214469,0.0766607,0.0766607,0.0766607,0.163094,0.163094,0.163094,0.290344,0.290344,0.290344,0.0766607,0.0766607,0.0766607,0.163094,0.163094,0.163094,0.290344,0.290344,0.290344,0.0766607,0.0766607,0.0766607,0.163094,0.163094,0.163094,0.290344,0.290344,0.290344,0.105906,0.105906,0.105906,0.197297,0.197297,0.197297,0.326611,0.326611,0.326611,0.105906,0.105906,0.105906,0.197297,0.197297,0.197297,0.326611,0.326611,0.326611,0.105906,0.105906,0.105906,0.197297,0.197297,0.197297,0.326611,0.326611,0.326611,0.135152,0.135152,0.135152,0.231729,0.231729,0.231729,0.362921,0.362921,0.362921,0.135152,0.135152,0.135152,0.231729,0.231729,0.231729,0.362921,0.362921,0.362921,0.135152,0.135152,0.135152,0.231729,0.231729,0.231729,0.362921,0.362921,0.362921
4,0.292166,0.123279,0.123279,0.123279,0.217657,0.217657,0.217657,0.34818,0.34818,0.34818,0.123279,0.123279,0.123279,0.217657,0.217657,0.217657,0.34818,0.34818,0.34818,0.123279,0.123279,0.123279,0.217657,0.217657,0.217657,0.34818,0.34818,0.34818,0.166217,0.166217,0.166217,0.264876,0.264876,0.264876,0.397927,0.397927,0.397927,0.166217,0.166217,0.166217,0.264876,0.264876,0.264876,0.397927,0.397927,0.397927,0.166217,0.166217,0.166217,0.264876,0.264876,0.264876,0.397927,0.397927,0.397927,0.211385,0.211385,0.211385,0.312766,0.312766,0.312766,0.447962,0.447962,0.447962,0.211385,0.211385,0.211385,0.312766,0.312766,0.312766,0.447962,0.447962,0.447962,0.211385,0.211385,0.211385,0.312766,0.312766,0.312766,0.447962,0.447962,0.447962
5,0.373191,0.176164,0.176164,0.176164,0.275275,0.275275,0.275275,0.408946,0.408946,0.408946,0.176164,0.176164,0.176164,0.275275,0.275275,0.275275,0.408946,0.408946,0.408946,0.176164,0.176164,0.176164,0.275275,0.275275,0.275275,0.408946,0.408946,0.408946,0.234331,0.234331,0.234331,0.337051,0.337051,0.337051,0.472933,0.472933,0.472933,0.234331,0.234331,0.234331,0.337051,0.337051,0.337051,0.472933,0.472933,0.472933,0.234331,0.234331,0.234331,0.337051,0.337051,0.337051,0.472933,0.472933,0.472933,0.293483,0.293483,0.293483,0.399747,0.399747,0.399747,0.537168,0.537168,0.537168,0.293483,0.293483,0.293483,0.399747,0.399747,0.399747,0.537168,0.537168,0.537168,0.293483,0.293483,0.293483,0.399747,0.399747,0.399747,0.537168,0.537168,0.537168
6,0.457685,0.234107,0.234107,0.234107,0.336814,0.336814,0.336814,0.47269,0.47269,0.47269,0.234107,0.234107,0.234107,0.336814,0.336814,0.336814,0.47269,0.47269,0.47269,0.234107,0.234107,0.234107,0.336814,0.336814,0.336814,0.47269,0.47269,0.47269,0.307175,0.307175,0.307175,0.413812,0.413812,0.413812,0.55151,0.55151,0.55151,0.307175,0.307175,0.307175,0.413812,0.413812,0.413812,0.55151,0.55151,0.55151,0.307175,0.307175,0.307175,0.413812,0.413812,0.413812,0.55151,0.55151,0.55151,0.38275,0.38275,0.38275,0.491561,0.491561,0.491561,0.630866,0.630866,0.630866,0.38275,0.38275,0.38275,0.491561,0.491561,0.491561,0.630866,0.630866,0.630866,0.38275,0.38275,0.38275,0.491561,0.491561,0.491561,0.630866,0.630866,0.630866
7,0.545798,0.29564,0.29564,0.29564,0.401962,0.401962,0.401962,0.539421,0.539421,0.539421,0.29564,0.29564,0.29564,0.401962,0.401962,0.401962,0.539421,0.539421,0.539421,0.29564,0.29564,0.29564,0.401962,0.401962,0.401962,0.539421,0.539421,0.539421,0.385782,0.385782,0.385782,0.494653,0.494653,0.494653,0.634008,0.634008,0.634008,0.385782,0.385782,0.385782,0.494653,0.494653,0.494653,0.634008,0.634008,0.634008,0.385782,0.385782,0.385782,0.494653,0.494653,0.494653,0.634008,0.634008,0.634008,0.477314,0.477314,0.477314,0.588148,0.588148,0.588148,0.729338,0.729338,0.729338,0.477314,0.477314,0.477314,0.588148,0.588148,0.588148,0.729338,0.729338,0.729338,0.477314,0.477314,0.477314,0.588148,0.588148,0.588148,0.729338,0.729338,0.729338
8,0.637684,0.362273,0.362273,0.362273,0.470509,0.470509,0.470509,0.609474,0.609474,0.609474,0.362273,0.362273,0.362273,0.470509,0.470509,0.470509,0.609474,0.609474,0.609474,0.362273,0.362273,0.362273,0.470509,0.470509,0.470509,0.609474,0.609474,0.609474,0.468923,0.468923,0.468923,0.579608,0.579608,0.579608,0.72067,0.72067,0.72067,0.468923,0.468923,0.468923,0.579608,0.579608,0.579608,0.72067,0.72067,0.72067,0.468923,0.468923,0.468923,0.579608,0.579608,0.579608,0.72067,0.72067,0.72067,0.577092,0.577092,0.577092,0.689853,0.689853,0.689853,0.832673,0.832673,0.832673,0.577092,0.577092,0.577092,0.689853,0.689853,0.689853,0.832673,0.832673,0.832673,0.577092,0.577092,0.577092,0.689853,0.689853,0.689853,0.832673,0.832673,0.832673
9,0.733504,0.43265,0.43265,0.43265,0.542446,0.542446,0.542446,0.682919,0.682919,0.682919,0.43265,0.43265,0.43265,0.542446,0.542446,0.542446,0.682919,0.682919,0.682919,0.43265,0.43265,0.43265,0.542446,0.542446,0.542446,0.682919,0.682919,0.682919,0.556541,0.556541,0.556541,0.66896,0.66896,0.66896,0.811537,0.811537,0.811537,0.556541,0.556541,0.556541,0.66896,0.66896,0.66896,0.811537,0.811537,0.811537,0.556541,0.556541,0.556541,0.66896,0.66896,0.66896,0.811537,0.811537,0.811537,0.682405,0.682405,0.682405,0.796837,0.796837,0.796837,0.941044,0.941044,0.941044,0.682405,0.682405,0.682405,0.796837,0.796837,0.796837,0.941044,0.941044,0.941044,0.682405,0.682405,0.682405,0.796837,0.796837,0.796837,0.941044,0.941044,0.941044
