gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713,-8.5831,-8.5831,-8.5831,-7.99369,-7.99369,-7.99369,-7.47713,-7.47713,-7.47713
1,0.0685139,-8.3949,-8.3949,-8.3949,-7.8651,-7.8651,-7.8651,-7.37883,-7.37883,-7.37883,-8.3949,-8.3949,-8.3949,-7.8651,-7.8651,-7.8651,-7.37883,-7.37883,-7.37883,-8.3949,-8.3949,-8.3949,-7.8651,-7.8651,-7.8651,-7.37883,-7.37883,-7.37883,-8.3585,-8.3585,-8.3585,-7.83922,-7.83922,-7.83922,-7.35663,-7.35663,-7.35663,-8.3585,-8.3585,-8.3585,-7.83922,-7.83922,-7.83922,-7.35663,-7.35663,-7.35663,-8.3585,-8.3585,-8.3585,-7.83922,-7.83922,-7.83922,-7.35663,-7.35663,-7.35663,-8.32411,-8.32411,-8.32411,-7.8134,-7.8134,-7.8134,-7.33443,-7.33443,-7.33443,-8.32411,-8.32411,-8.32411,-7.8134,-7.8134,-7.8134,-7.33443,-7.33443,-7.33443,-8.32411,-8.32411,-8.32411,-7.8134,-7.8134,-7.8134,-7.33443,-7.33443,-7.33443
2,0.139962,-8.23848,-8.23848,-8.23848,-7.74659,-7.74659,-7.74659,-7.27941,-7.27941,-7.27941,-8.23848,-8.23848,-8.23848,-7.74659,-7.74659,-7.74659,-7.27941,-7.27941,-7.27941,-8.23848,-8.23848,-8.23848,-7.74659,-7.74659,-7.74659,-7.27941,-7.27941,-7.27941,-8.17091,-8.17091,-8.17091,-7.69386,-7.69386,-7.69386,-7.23667,-7.23667,-7.23667,-8.17091,-8.17091,-8.17091,-7.69386,-7.69386,-7.69386,-7.23667,-7.23667,-7.23667,-8.17091,-8.17091,-8.17091,-7.69386,-7.69386,-7.69386,-7.23667,-7.23667,-7.23667,-8.10416,-8.10416,-8.10416,-7.64363,-7.64363,-7.64363,-7.19393,-7.19393,-7.19393,-8.10416,-8.10416,-8.10416,-7.64363,-7.64363,-7.64363,-7.19393,-7.19393,-7.19393,-8.10416,-8.10416,-8.10416,-7.64363,-7.64363,-7.64363,-7.19393,-7.19393,-7.19393
3,0.214469,-8.0843,-8.0843,-8.0843,-7.62682,-7.62682,-7.62682,-7.1793,-7.1793,-7.1793,-8.0843,-8.0843,-8.0843,-7.62682,-7.62682,-7.62682,-7.1793,-7.1793,-7.1793,-8.0843,-8.0843,-8.0843,-7.62682,-7.62682,-7.62682,-7.1793,-7.1793,-7.1793,-7.99541,-7.99541,-7.99541,-7.55154,-7.55154,-7.55154,-7.11697,-7.11697,-7.11697,-7.99541,-7.99541,-7.99541,-7.55154,-7.55154,-7.55154,-7.11697,-7.11697,-7.11697,-7.99541,-7.99541,-7.99541,-7.55154,-7.55154,-7.55154,-7.11697,-7.11697,-7.11697,-7.90651,-7.90651,-7.90651,-7.47885,-7.47885,-7.47885,-7.05481,-7.05481,-7.05481,-7.90651,-7.90651,-7.90651,-7.47885,-7.47885,-7.47885,-7.05481,-7.05481,-7.05481,-7.90651,-7.90651,-7.90651,-7.47885,-7.47885,-7.47885,-7.05481,-7.05481,-7.05481
4,0.292166,-7.9426,-7.9426,-7.9426,-7.5073,-7.5073,-7.5073,-7.08005,-7.08005,-7.08005,-7.9426,-7.9426,-7.9426,-7.5073,-7.5073,-7.5073,-7.08005,-7.08005,-7.08005,-7.9426,-7.9426,-7.9426,-7.5073,-7.5073,-7.5073,-7.08005,-7.08005,-7.08005,-7.82741,-7.82741,-7.82741,-7.41182,-7.41182,-7.41182,-6.99732,-6.99732,-6.99732,-7.82741,-7.82741,-7.82741,-7.41182,-7.41182,-7.41182,-6.99732,-6.99732,-6.99732,-7.82741,-7.82741,-7.82741,-7.41182,-7.41182,-7.41182,-6.99732,-6.99732,-6.99732,-7.71647,-7.71647,-7.71647,-7.3186,-7.3186,-7.3186,-6.9166,-6.9166,-6.9166,-7.71647,-7.71647,-7.71647,-7.3186,-7.3186,-7.3186,-6.9166,-6.9166,-6.9166,-7.71647,-7.71647,-7.71647,-7.3186,-7.3186,-7.3186,-6.9166,-6.9166,-6.9166
5,0.373191,-7.80297,-7.80297,-7.80297,-7.39079,-7.39079,-7.39079,-6.97954,-6.97954,-6.97954,-7.80297,-7.80297,-7.80297,-7.39079,-7.39079,-7.39079,-6.97954,-6.97954,-6.97954,-7.80297,-7.80297,-7.80297,-7.39079,-7.39079,-7.39079,-6.97954,-6.97954,-6.97954,-7.66503,-7.66503,-7.66503,-7.27377,-7.27377,-7.27377,-6.87756,-6.87756,-6.87756,-7.66503,-7.66503,-7.66503,-7.27377,-7.27377,-7.27377,-6.87756,-6.87756,-6.87756,-7.66503,-7.66503,-7.66503,-7.27377,-7.27377,-7.27377,-6.87756,-6.87756,-6.87756,-7.53469,-7.53469,-7.53469,-7.16119,-7.16119,-7.16119,-6.77919,-6.77919,-6.77919,-7.53469,-7.53469,-7.53469,-7.16119,-7.16119,-7.16119,-6.77919,-6.77919,-6.77919,-7.53469,-7.53469,-7.53469,-7.16119,-7.16119,-7.16119,-6.77919,-6.77919,-6.77919
6,0.457685,-7.66553,-7.66553,-7.66553,-7.27421,-7.27421,-7.27421,-6.87793,-6.87793,-6.87793,-7.66553,-7.66553,-7.66553,-7.27421,-7.27421,-7.27421,-6.87793,-6.87793,-6.87793,-7.66553,-7.66553,-7.66553,-7.27421,-7.27421,-7.27421,-6.87793,-6.87793,-6.87793,-7.50745,-7.50745,-7.50745,-7.1369,-7.1369,-7.1369,-6.75769,-6.75769,-6.75769,-7.50745,-7.50745,-7.50745,-7.1369,-7.1369,-7.1369,-6.75769,-6.75769,-6.75769,-7.50745,-7.50745,-7.50745,-7.1369,-7.1369,-7.1369,-6.75769,-6.75769,-6.75769,-7.35842,-7.35842,-7.35842,-7.00598,-7.00598,-7.00598,-6.64257,-6.64257,-6.64257,-7.35842,-7.35842,-7.35842,-7.00598,-7.00598,-7.00598,-6.64257,-6.64257,-6.64257,-7.35842,-7.35842,-7.35842,-7.00598,-7.00598,-7.00598,-6.64257,-6.64257,-6.64257
7,0.545798,-7.5304,-7.5304,-7.5304,-7.15737,-7.15737,-7.15737,-6.77574,-6.77574,-6.77574,-7.5304,-7.5304,-7.5304,-7.15737,-7.15737,-7.15737,-6.77574,-6.77574,-6.77574,-7.5304,-7.5304,-7.5304,-7.15737,-7.15737,-7.15737,-6.77574,-6.77574,-6.77574,-7.35282,-7.35282,-7.35282,-7.00094,-7.00094,-7.00094,-6.63801,-6.63801,-6.63801,-7.35282,-7.35282,-7.35282,-7.00094,-7.00094,-7.00094,-6.63801,-6.63801,-6.63801,-7.35282,-7.35282,-7.35282,-7.00094,-7.00094,-7.00094,-6.63801,-6.63801,-6.63801,-7.18602,-7.18602,-7.18602,-6.85268,-6.85268,-6.85268,-6.50646,-6.50646,-6.50646,-7.18602,-7.18602,-7.18602,-6.85268,-6.85268,-6.85268,-6.50646,-6.50646,-6.50646,-7.18602,-7.18602,-7.18602,-6.85268,-6.85268,-6.85268,-6.50646,-6.50646,-6.50646
8,0.637684,-7.39781,-7.39781,-7.39781,-7.04025,-7.04025,-7.04025,-6.6736,-6.6736,-6.6736,-7.39781,-7.39781,-7.39781,-7.04025,-7.04025,-7.04025,-6.6736,-6.6736,-6.6736,-7.39781,-7.39781,-7.39781,-7.04025,-7.04025,-7.04025,-6.6736,-6.6736,-6.6736,-7.20053,-7.20053,-7.20053,-6.86578,-6.86578,-6.86578,-6.5184,-6.5184,-6.5184,-7.20053,-7.20053,-7.20053,-6.86578,-6.86578,-6.86578,-6.5184,-6.5184,-6.5184,-7.20053,-7.20053,-7.20053,-6.86578,-6.86578,-6.86578,-6.5184,-6.5184,-6.5184,-7.01686,-7.01686,-7.01686,-6.70102,-6.70102,-6.70102,-6.37083,-6.37083,-6.37083,-7.01686,-7.01686,-7.01686,-6.70102,-6.70102,-6.70102,-6.37083,-6.37083,-6.37083,-7.01686,-7.01686,-7.01686,-6.70102,-6.70102,-6.70102,-6.37083,-6.37083,-6.37083
9,0.733504,-7.26622,-7.26622,-7.26622,-6.92313,-6.92313,-6.92313,-6.57038,-6.57038,-6.57038,-7.26622,-7.26622,-7.26622,-6.92313,-6.92313,-6.92313,-6.57038,-6.57038,-6.57038,-7.26622,-7.26622,-7.26622,-6.92313,-6.92313,-6.92313,-6.57038,-6.57038,-6.57038,-7.05017,-7.05017,-7.05017,-6.73131,-6.73131,-6.73131,-6.39851,-6.39851,-6.39851,-7.05017,-7.05017,-7.05017,-6.73131,-6.73131,-6.73131,-6.39851,-6.39851,-6.39851,-7.05017,-7.05017,-7.05017,-6.73131,-6.73131,-6.73131,-6.39851,-6.39851,-6.39851,-6.85048,-6.85048,-6.85048,-6.55068,-6.55068,-6.55068,-6.23566,-6.23566,-6.23566,-6.85048,-6.85048,-6.85048,-6.55068,-6.55068,-6.55068,-6.23566,-6.23566,-6.23566,-6.85048,-6.85048,-6.85048,-6.55068,-6.55068,-6.55068,-6.23566,-6.23566,-6.23566
