gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
66,1.82203,-10386,-10386,-10386,-10386,-10386,-10386,-10386
67,1.86167,-10371.9,-10371.9,-10371.9,-10371.9,-10371.9,-10371.9,-10371.9
68,1.90178,-10358.3,-10358.3,-10358.3,-10358.3,-10358.3,-10358.3,-10358.3
69,1.94235,-10344.9,-10344.9,-10344.9,-10344.9,-10344.9,-10344.9,-10344.9
70,1.98339,-10331.7,-10331.6,-10331.7,-10331.7,-10331.7,-10331.6,-10331.7
71,2.0249,-10318.7,-10318.7,-10318.7,-10318.7,-10318.7,-10318.7,-10318.7
72,2.0669,-10305.7,-10305.7,-10305.7,-10305.7,-10305.7,-10305.7,-10305.7
73,2.10938,-10292.7,-10292.7,-10292.7,-10292.7,-10292.7,-10292.7,-10292.7
74,2.15235,-10279.6,-10279.6,-10279.7,-10279.6,-10279.7,-10279.6,-10279.6
75,2.19582,-10267.7,-10267.7,-10267.7,-10267.7,-10267.7,-10267.7,-10267.7
76,2.2398,-10255.8,-10255.8,-10255.8,-10255.8,-10255.8,-10255.8,-10255.8
77,2.28428,-10243.9,-10243.9,-10243.9,-10243.9,-10243.9,-10243.9,-10243.9
78,2.32928,-10232.1,-10232.1,-10232.1,-10232.1,-10232.1,-10232.1,-10232.1
79,2.37481,-10220.3,-10220.3,-10220.3,-10220.3,-10220.3,-10220.3,-10220.3
80,2.42085,-10208.5,-10208.5,-10208.5,-10208.5,-10208.5,-10208.5,-10208.5
81,2.46744,-10196.7,-10196.6,-10196.7,-10196.7,-10196.7,-10196.6,-10196.7
82,2.51456,-10185,-10185,-10185.1,-10185,-10185.1,-10185,-10185
83,2.56223,-10173.4,-10173.4,-10173.4,-10173.4,-10173.4,-10173.4,-10173.4
84,2.61045,-10161.7,-10161.7,-10161.7,-10161.7,-10161.7,-10161.7,-10161.7
85,2.65923,-10149.9,-10149.9,-10149.9,-10149.9,-10149.9,-10149.9,-10149.9
86,2.70857,-10138.3,-10138.3,-10138.3,-10138.3,-10138.3,-10138.3,-10138.3
87,2.75849,-10126.5,-10126.5,-10126.5,-10126.5,-10126.5,-10126.5,-10126.5
88,2.80898,-10114.7,-10114.7,-10114.7,-10114.7,-10114.7,-10114.7,-10114.7
89,2.86006,-10102.7,-10102.7,-10102.7,-10102.7,-10102.7,-10102.7,-10102.7
90,2.91173,-10090.7,-10090.7,-10090.7,-10090.7,-10090.7,-10090.7,-10090.7
91,2.964,-10079.2,-10079.2,-10079.2,-10079.2,-10079.2,-10079.2,-10079.2
92,3.01688,-10068.1,-10068.1,-10068.1,-10068.1,-10068.1,-10068.1,-10068.1
93,3.07036,-10057.1,-10057.1,-10057.1,-10057.1,-10057.1,-10057.1,-10057.1
94,3.12447,-10046,-10046,-10046.1,-10046,-10046.1,-10046,-10046
95,3.1792,-10035,-10034.9,-10035,-10035,-10035,-10034.9,-10035
96,3.23457,-10023.8,-10023.8,-10023.8,-10023.8,-10023.8,-10023.8,-10023.8
97,3.29058,-10012.6,-10012.6,-10012.6,-10012.6,-10012.6,-10012.6,-10012.6
98,3.34724,-10001.3,-10001.3,-10001.3,-10001.3,-10001.3,-10001.3,-10001.3
99,3.40456,-9990.11,-9990.11,-9990.13,-9990.12,-9990.13,-9990.11,-9990.11
100,3.46253,-9979.07,-9979.06,-9979.08,-9979.07,-9979.08,-9979.06,-9979.07
101,3.52119,-9968.26,-9968.25,-9968.27,-9968.26,-9968.27,-9968.25,-9968.26
102,3.58052,-9957.72,-9957.71,-9957.73,-9957.72,-9957.73,-9957.71,-9957.72
103,3.64053,-9947.51,-9947.5,-9947.52,-9947.51,-9947.52,-9947.5,-9947.51
104,3.70125,-9937.4,-9937.39,-9937.41,-9937.4,-9937.41,-9937.39,-9937.4
105,3.76266,-9927.38,-9927.37,-9927.39,-9927.38,-9927.39,-9927.37,-9927.38
106,3.82479,-9917.43,-9917.42,-9917.44,-9917.43,-9917.44,-9917.42,-9917.43
107,3.88764,-9907.63,-9907.62,-9907.64,-9907.63,-9907.64,-9907.62,-9907.63
108,3.95121,-9897.8,-9897.79,-9897.81,-9897.8,-9897.81,-9897.79,-9897.8
