gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0.001,0,0,0,0,0,0
1,0.0185364,0.00749455,0.00753798,0.007591,0.00766176,0.00789896,0.00814552,0.00840097
2,0.0372875,0.0243542,0.0243965,0.0244476,0.0245224,0.0248924,0.025271,0.0256577
3,0.0562558,0.0405138,0.0405608,0.0406171,0.0407056,0.041252,0.041807,0.0423702
4,0.0754439,0.057393,0.0574433,0.0575028,0.057603,0.0583239,0.0590537,0.0597918
5,0.0948544,0.0747289,0.0747836,0.0748477,0.0749606,0.0758546,0.0767612,0.0776764
6,0.11449,0.0923916,0.092451,0.0925205,0.0926481,0.0937207,0.0948033,0.0959021
7,0.134352,0.110401,0.110461,0.110532,0.110669,0.111921,0.113183,0.114454
8,0.154445,0.128812,0.128873,0.128943,0.129089,0.130529,0.131977,0.133432
9,0.174771,0.147596,0.147658,0.14773,0.147885,0.149518,0.151158,0.152805
10,0.195332,0.16672,0.166785,0.166858,0.167025,0.168852,0.170686,0.172528
11,0.216131,0.186167,0.186233,0.186309,0.186487,0.188511,0.190541,0.192579
12,0.237172,0.205923,0.205992,0.20607,0.20626,0.208481,0.21071,0.212946
13,0.258456,0.225982,0.226053,0.226133,0.226334,0.228757,0.231186,0.233623
14,0.279986,0.2457,0.245824,0.243701,0.246253,0.248859,0.251511,0.254198
15,0.301766,0.265347,0.265572,0.263257,0.266272,0.269301,0.272328,0.275342
16,0.323799,0.286689,0.286895,0.284164,0.287545,0.290868,0.294128,0.297329
17,0.346087,0.309042,0.309132,0.306241,0.309498,0.312762,0.316032,0.319307
18,0.368632,0.330552,0.330644,0.327554,0.331024,0.334502,0.337985,0.341472
19,0.391439,0.352359,0.352453,0.349159,0.352845,0.356539,0.360237,0.36394
20,0.414511,0.374459,0.374554,0.371056,0.374959,0.378869,0.382784,0.386703
21,0.437849,0.396845,0.396942,0.393236,0.39736,0.40149,0.405625,0.409764
22,0.461458,0.419522,0.41962,0.415705,0.420051,0.424404,0.42876,0.433121
23,0.485341,0.442489,0.442589,0.438462,0.443033,0.447611,0.452193,0.456779
24,0.5095,0.465751,0.465852,0.461511,0.46631,0.471115,0.475925,0.480738
25,0.533939,0.489307,0.489409,0.484852,0.489881,0.494916,0.499956,0.504999
26,0.558661,0.513154,0.513258,0.508483,0.513745,0.519014,0.524287,0.529564
27,0.58367,0.537299,0.537406,0.532409,0.537907,0.543414,0.548923,0.554436
28,0.608968,0.561751,0.561859,0.556637,0.562374,0.568119,0.573866,0.579617
29,0.634559,0.586507,0.586616,0.581166,0.587145,0.593131,0.59912,0.605112
30,0.660447,0.611571,0.611681,0.606,0.612223,0.618453,0.624686,0.630922
31,0.686635,0.636944,0.637055,0.631141,0.637611,0.644088,0.650568,0.657051
32,0.713126,0.66263,0.662742,0.656592,0.663311,0.670038,0.676768,0.6835
33,0.739924,0.68863,0.688743,0.682354,0.689327,0.696307,0.703289,0.710274
34,0.767033,0.714948,0.715063,0.708432,0.71566,0.722896,0.730134,0.737374
35,0.794456,0.741587,0.741703,0.734828,0.742315,0.749809,0.757306,0.764804
36,0.822196,0.76855,0.768667,0.761544,0.769294,0.77705,0.784807,0.792568
37,0.850258,0.795839,0.795958,0.788585,0.796599,0.80462,0.812643,0.820667
38,0.878644,0.823459,0.823579,0.815953,0.824236,0.832524,0.840814,0.849106
39,0.90736,0.851413,0.851534,0.843652,0.852205,0.860765,0.869326,0.877889
40,0.936408,0.879703,0.879825,0.871685,0.880512,0.889346,0.898181,0.907017
41,0.965793,0.908333,0.908457,0.900054,0.909159,0.91827,0.927382,0.936495
42,0.995519,0.937307,0.937432,0.928764,0.93815,0.947542,0.956934,0.966327
43,1.02559,0.966628,0.966755,0.957819,0.967489,0.977164,0.986839,0.996516
44,1.05601,0.9963,0.996428,0.987221,0.997178,1.00714,1.0171,1.02707
45,1.08678,1.02633,1.02646,1.01697,1.02722,1.03747,1.04773,1.05798
46,1.1179,1.05671,1.05684,1.04708,1.05762,1.06817,1.07872,1.08926
47,1.14939,1.08746,1.08759,1.07755,1.08839,1.09923,1.11008,1.12092
48,1.18124,1.11857,1.11871,1.10838,1.11952,1.13066,1.14181,1.15295
49,1.21346,1.15005,1.15019,1.13958,1.15102,1.16247,1.17392,1.18536
50,1.24606,1.18191,1.18205,1.17114,1.1829,1.19465,1.20641,1.21816
51,1.27903,1.21414,1.21428,1.20309,1.21515,1.22722,1.23928,1.25135
52,1.31239,1.24676,1.2469,1.23541,1.24778,1.26017,1.27254,1.28492
53,1.34613,1.27976,1.2799,1.26811,1.28081,1.29351,1.3062,1.3189
54,1.38026,1.31316,1.3133,1.3012,1.31422,1.32724,1.34026,1.35328
55,1.41479,1.34694,1.34709,1.33468,1.34803,1.36137,1.37472,1.38806
56,1.44971,1.38113,1.38128,1.36856,1.38223,1.39591,1.40958,1.42325
57,1.48504,1.41572,1.41587,1.40283,1.41684,1.43085,1.44486,1.45886
58,1.52078,1.45072,1.45087,1.43751,1.45186,1.4662,1.48055,1.49489
59,1.55694,1.48613,1.48628,1.4726,1.48729,1.50198,1.51666,1.53134
60,1.59351,1.52195,1.52211,1.5081,1.52314,1.53817,1.5532,1.56822
61,1.63051,1.5582,1.55836,1.54402,1.55941,1.57479,1.59016,1.60554
62,1.66794,1.59488,1.59503,1.58037,1.5961,1.61183,1.62756,1.64329
63,1.7058,1.63198,1.63214,1.61714,1.63323,1.64932,1.6654,1.68149
64,1.7441,1.66952,1.66968,1.65434,1.67079,1.68724,1.70369,1.72013
65,1.78284,1.70751,1.70767,1.69198,1.7088,1.72561,1.74242,1.75923
66,1.82203,1.74593,1.7461,1.73006,1.74725,1.76443,1.78161,1.79879
67,1.86167,1.78481,1.78498,1.76858,1.78615,1.8037,1.82126,1.83881
68,1.90178,1.82415,1.82431,1.80756,1.8255,1.84344,1.86137,1.8793
69,1.94235,1.86394,1.86411,1.847,1.86532,1.88364,1.90195,1.92026
70,1.98339,1.9042,1.90437,1.88689,1.9056,1.92431,1.943,1.9617
71,2.0249,1.94494,1.94511,1.92726,1.94636,1.96545,1.98454,2.00362
72,2.0669,1.98614,1.98632,1.96809,1.98759,2.00708,2.02656,2.04604
73,2.10938,2.02784,2.02801,2.00941,2.0293,2.04919,2.06908,2.08896
74,2.15235,2.07001,2.07019,2.0512,2.07151,2.0918,2.11209,2.13237
75,2.19582,2.11269,2.11286,2.09349,2.1142,2.13491,2.1556,2.17629
76,2.2398,2.15586,2.15603,2.13627,2.1574,2.17851,2.19962,2.22073
77,2.28428,2.19953,2.19971,2.17955,2.20109,2.22263,2.24415,2.26567
78,2.32928,2.24369,2.24259,2.22333,2.24529,2.26722,2.28917,2.31113
79,2.37481,2.28812,2.28663,2.26753,2.28992,2.31233,2.33474,2.35715
80,2.42085,2.33327,2.33175,2.31225,2.33514,2.35805,2.3809,2.40371
81,2.46744,2.37929,2.37723,2.35767,2.38102,2.40429,2.42754,2.45079
82,2.51456,2.42557,2.423,2.40359,2.42732,2.45102,2.47473,2.49843
83,2.56223,2.4723,2.4697,2.44996,2.47414,2.49833,2.52249,2.54663
84,2.61045,2.51976,2.51661,2.49691,2.52157,2.54619,2.57079,2.59538
85,2.65923,2.56768,2.56398,2.54442,2.56951,2.59457,2.61964,2.6447
86,2.70857,2.61607,2.61231,2.59243,2.61799,2.64355,2.66909,2.69461
87,2.75849,2.66521,2.66085,2.64104,2.66709,2.6931,2.7191,2.74509
88,2.80898,2.71483,2.71038,2.69023,2.71674,2.74322,2.76969,2.79615
89,2.86006,2.76502,2.75996,2.73997,2.76696,2.79392,2.82088,2.84781
90,2.91173,2.8158,2.81065,2.79029,2.81776,2.84522,2.87265,2.90008
91,2.964,2.86717,2.86137,2.8412,2.86916,2.89711,2.92503,2.95295
92,3.01688,2.91914,2.91324,2.8927,2.92116,2.9496,2.97802,3.00644
93,3.07036,2.9717,2.96513,2.94479,2.97376,3.0027,3.03162,3.06053
94,3.12447,3.02487,3.01762,2.9975,3.02696,3.0564,3.08585,3.11528
95,3.1792,3.07859,3.07121,3.05077,3.08077,3.11076,3.14072,3.17066
96,3.23457,3.13312,3.125,3.10473,3.13526,3.16575,3.19622,3.22668
97,3.29058,3.18819,3.17992,3.15932,3.19035,3.22137,3.25236,3.28335
98,3.34724,3.24388,3.23485,3.21451,3.24608,3.27763,3.30916,3.34068
99,3.40456,3.30024,3.29105,3.27036,3.30247,3.33455,3.36662,3.39867
100,3.46253,3.35724,3.34725,3.32685,3.3595,3.39213,3.42474,3.45734
101,3.52119,3.41491,3.40475,3.38399,3.4172,3.45038,3.48354,3.51669
102,3.58052,3.47324,3.46225,3.4418,3.47557,3.50931,3.54303,3.57673
103,3.64053,3.53226,3.52108,3.50029,3.53462,3.56892,3.6032,3.63747
104,3.70125,3.59196,3.57991,3.55945,3.59435,3.62923,3.66407,3.6989
