gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[0 7],VF[0 8],VF[0 9],VF[0 10],VF[0 11],VF[0 12],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[1 7],VF[1 8],VF[1 9],VF[1 10],VF[1 11],VF[1 12],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[2 7],VF[2 8],VF[2 9],VF[2 10],VF[2 11],VF[2 12],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[3 7],VF[3 8],VF[3 9],VF[3 10],VF[3 11],VF[3 12],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[4 7],VF[4 8],VF[4 9],VF[4 10],VF[4 11],VF[4 12],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[5 7],VF[5 8],VF[5 9],VF[5 10],VF[5 11],VF[5 12],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6],VF[6 7],VF[6 8],VF[6 9],VF[6 10],VF[6 11],VF[6 12]
10,0.195332,-18.8465,-18.8375,-18.8286,-18.8207,-18.7972,-18.7972,-18.7972,-17.1631,-17.1563,-17.1496,-17.1428,-17.1226,-17.1226,-17.1226,-15.5145,-15.5084,-15.5024,-15.4963,-15.4781,-15.4781,-15.4781,-13.9067,-13.9017,-13.8966,-13.8916,-13.8764,-13.8764,-13.8764,-12.3518,-12.3478,-12.3437,-12.3397,-12.3275,-12.3275,-12.3275,-10.8596,-10.8563,-10.853,-10.8497,-10.8398,-10.8398,-10.8398,-9.44145,-9.43911,-9.43678,-9.43445,-9.42744,-9.42744,-9.42744,-18.9008,-18.8827,-18.8646,-18.8465,-18.8129,-18.805,-18.7972,-17.2042,-17.19,-17.1766,-17.1631,-17.1361,-17.1293,-17.1226,-15.5509,-15.5388,-15.5266,-15.5145,-15.4902,-15.4842,-15.4781,-13.937,-13.9269,-13.9168,-13.9067,-13.8865,-13.8815,-13.8764,-12.3761,-12.368,-12.3599,-12.3518,-12.3356,-12.3316,-12.3275,-10.8793,-10.8727,-10.8662,-10.8596,-10.8464,-10.8431,-10.8398
11,0.216131,-18.2583,-18.2496,-18.241,-18.2323,-18.2236,-18.2149,-18.2062,-16.6599,-16.6524,-16.645,-16.6375,-16.63,-16.6226,-16.6151,-15.0826,-15.0765,-15.0704,-15.0642,-15.0581,-15.0519,-15.0458,-13.5466,-13.5414,-13.5362,-13.531,-13.5258,-13.5207,-13.5155,-12.0523,-12.048,-12.0437,-12.0394,-12.0352,-12.0309,-12.0266,-10.6171,-10.6136,-10.6101,-10.6066,-10.6031,-10.5996,-10.5961,-9.26732,-9.26474,-9.26216,-9.25957,-9.25699,-9.25441,-9.25182,-18.3105,-18.2931,-18.2757,-18.2583,-18.241,-18.2236,-18.2062,-16.7047,-16.6897,-16.6748,-16.6599,-16.645,-16.63,-16.6151,-15.1195,-15.1072,-15.0949,-15.0826,-15.0704,-15.0581,-15.0458,-13.5778,-13.5674,-13.557,-13.5466,-13.5362,-13.5258,-13.5155,-12.0779,-12.0693,-12.0608,-12.0523,-12.0437,-12.0352,-12.0266,-10.6381,-10.6311,-10.6241,-10.6171,-10.6101,-10.6031,-10.5961
12,0.237172,-17.6765,-17.6679,-17.6593,-17.6507,-17.6422,-17.625,-17.625,-16.1645,-16.1567,-16.1489,-16.1411,-16.1334,-16.1178,-16.1178,-14.6665,-14.6601,-14.6537,-14.6472,-14.6408,-14.6279,-14.6279,-13.1984,-13.193,-13.1876,-13.1822,-13.1768,-13.166,-13.166,-11.761,-11.7563,-11.7518,-11.7475,-11.7431,-11.7343,-11.7343,-10.3792,-10.3755,-10.3718,-10.3682,-10.3645,-10.3571,-10.3571,-9.09118,-9.08834,-9.08551,-9.08267,-9.07984,-9.07417,-9.07417,-17.728,-17.7108,-17.6936,-17.6765,-17.6593,-17.6336,-17.625,-16.2113,-16.1957,-16.1801,-16.1645,-16.1489,-16.1256,-16.1178,-14.7051,-14.6923,-14.6794,-14.6665,-14.6537,-14.6344,-14.6279,-13.2309,-13.22,-13.2092,-13.1984,-13.1876,-13.1714,-13.166,-11.7891,-11.7798,-11.7704,-11.761,-11.7519,-11.7387,-11.7343,-10.4016,-10.3939,-10.3866,-10.3792,-10.3719,-10.3608,-10.3571
13,0.258456,-17.081,-17.081,-17.081,-17.081,-17.081,-17.081,-17.081,-15.6402,-15.6402,-15.6402,-15.6402,-15.6402,-15.6402,-15.6402,-14.2198,-14.2198,-14.2198,-14.2198,-14.2198,-14.2198,-14.2198,-12.8249,-12.8249,-12.8249,-12.8249,-12.8249,-12.8249,-12.8249,-11.4556,-11.4556,-11.4556,-11.4556,-11.4556,-11.4556,-11.4556,-10.1241,-10.1241,-10.1241,-10.1241,-10.1241,-10.1241,-10.1241,-8.89445,-8.89445,-8.89445,-8.89445,-8.89445,-8.89445,-8.89445,-17.1371,-17.1277,-17.1184,-17.109,-17.0997,-17.0903,-17.081,-15.6864,-15.6787,-15.671,-15.6633,-15.6556,-15.6479,-15.6402,-14.2619,-14.2549,-14.2478,-14.2408,-14.2338,-14.2268,-14.2198,-12.8587,-12.853,-12.8474,-12.8418,-12.8361,-12.8305,-12.8249,-11.4843,-11.4795,-11.4748,-11.47,-11.4652,-11.4604,-11.4556,-10.1481,-10.1441,-10.1401,-10.1361,-10.1321,-10.1281,-10.1241
14,0.279986,-16.5474,-16.5474,-16.5474,-16.5474,-16.5474,-16.5474,-16.5474,-15.1873,-15.1873,-15.1873,-15.1873,-15.1873,-15.1873,-15.1873,-13.835,-13.835,-13.835,-13.835,-13.835,-13.835,-13.835,-12.4931,-12.4931,-12.4931,-12.4931,-12.4931,-12.4931,-12.4931,-11.1829,-11.1829,-11.1829,-11.1829,-11.1829,-11.1829,-11.1829,-9.90317,-9.90317,-9.90317,-9.90317,-9.90317,-9.90317,-9.90317,-8.69541,-8.69541,-8.69541,-8.69541,-8.69541,-8.69541,-8.69541,-16.6059,-16.5961,-16.5864,-16.5766,-16.5669,-16.5572,-16.5474,-15.237,-15.2287,-15.2203,-15.212,-15.2036,-15.1953,-15.1873,-13.8773,-13.8703,-13.8632,-13.8562,-13.8491,-13.8421,-13.835,-12.5298,-12.5237,-12.5176,-12.5114,-12.5053,-12.4992,-12.4931,-11.2125,-11.2076,-11.2027,-11.1977,-11.1928,-11.1879,-11.1829,-9.9274,-9.92336,-9.91932,-9.91529,-9.91125,-9.90721,-9.90317
15,0.301766,-16.0984,-16.089,-16.0795,-16.0701,-16.0418,-16.0418,-16.0418,-14.7999,-14.7913,-14.7827,-14.7741,-14.7483,-14.7483,-14.7483,-13.5045,-13.4973,-13.4901,-13.4829,-13.4613,-13.4613,-13.4613,-12.2104,-12.2042,-12.1979,-12.1916,-12.1728,-12.1728,-12.1728,-10.946,-10.9409,-10.9358,-10.9307,-10.9153,-10.9153,-10.9153,-9.7148,-9.71121,-9.70761,-9.70402,-9.69324,-9.69324,-9.69324,-8.52242,-8.51858,-8.51473,-8.51089,-8.49935,-8.49935,-8.49935,-16.155,-16.1361,-16.1173,-16.0984,-16.0607,-16.0512,-16.0418,-14.8515,-14.8343,-14.8171,-14.7999,-14.7655,-14.7569,-14.7483,-13.5478,-13.5334,-13.519,-13.5045,-13.4757,-13.4685,-13.4613,-12.248,-12.2355,-12.223,-12.2104,-12.1854,-12.1791,-12.1728,-10.9767,-10.9665,-10.9563,-10.946,-10.9256,-10.9204,-10.9153,-9.73638,-9.72919,-9.72201,-9.71482,-9.70043,-9.69684,-9.69324
16,0.323799,-15.5598,-15.5598,-15.5598,-15.5598,-15.5598,-15.5598,-15.5598,-14.3291,-14.3291,-14.3291,-14.3291,-14.3291,-14.3291,-14.3291,-13.0956,-13.0956,-13.0956,-13.0956,-13.0956,-13.0956,-13.0956,-11.8677,-11.8677,-11.8677,-11.8677,-11.8677,-11.8677,-11.8677,-10.6532,-10.6532,-10.6532,-10.6532,-10.6532,-10.6532,-10.6532,-9.50789,-9.50789,-9.50789,-9.50789,-9.50789,-9.50789,-9.50789,-8.3126,-8.3126,-8.3126,-8.3126,-8.3126,-8.3126,-8.3126,-15.618,-15.6083,-15.5986,-15.5889,-15.5792,-15.5695,-15.5598,-14.3804,-14.3718,-14.3633,-14.3548,-14.3462,-14.3377,-14.3291,-13.1402,-13.1328,-13.1253,-13.1179,-13.1104,-13.103,-13.0956,-11.9052,-11.8989,-11.8927,-11.8864,-11.8802,-11.8739,-11.8677,-10.6846,-10.6794,-10.6741,-10.6689,-10.6637,-10.6585,-10.6532,-9.53102,-9.52717,-9.52331,-9.51946,-9.5156,-9.51175,-9.5079
17,0.346087,-15.0876,-15.0876,-15.0876,-15.0876,-15.0876,-15.0876,-15.0876,-13.9246,-13.9246,-13.9246,-13.9246,-13.9246,-13.9246,-13.9246,-12.7402,-12.7402,-12.7402,-12.7402,-12.7402,-12.7402,-12.7402,-11.5695,-11.5695,-11.5695,-11.5695,-11.5695,-11.5695,-11.5696,-10.3991,-10.3991,-10.3991,-10.3991,-10.3991,-10.3991,-10.3992,-9.3204,-9.3204,-9.3204,-9.3204,-9.3204,-9.3204,-9.32046,-8.14341,-8.14341,-8.14341,-8.14341,-8.14341,-8.14341,-8.13944,-15.1499,-15.1395,-15.1291,-15.1187,-15.1084,-15.098,-15.0876,-13.9766,-13.968,-13.9593,-13.9506,-13.9419,-13.9332,-13.9246,-12.7854,-12.7779,-12.7703,-12.7628,-12.7552,-12.7477,-12.7402,-11.6077,-11.6013,-11.595,-11.5886,-11.5822,-11.5759,-11.5697,-10.4326,-10.4271,-10.4215,-10.4159,-10.4103,-10.4047,-10.3992,-9.34512,-9.341,-9.33688,-9.33276,-9.32864,-9.32452,-9.32051
18,0.368632,-14.6468,-14.6468,-14.6468,-14.6468,-14.6468,-14.6468,-14.6468,-13.5292,-13.5292,-13.5292,-13.5292,-13.5292,-13.5292,-13.5292,-12.3986,-12.3986,-12.3986,-12.3986,-12.3986,-12.3986,-12.3987,-11.2779,-11.2779,-11.2779,-11.2779,-11.2779,-11.2779,-11.278,-10.1604,-10.1604,-10.1604,-10.1604,-10.1604,-10.1604,-10.1605,-9.13073,-9.13073,-9.13073,-9.13073,-9.13073,-9.13073,-9.13079,-7.97704,-7.97704,-7.97704,-7.97704,-7.97704,-7.97704,-7.97481,-14.7079,-14.6977,-14.6875,-14.6774,-14.6672,-14.657,-14.6468,-13.5828,-13.5739,-13.565,-13.556,-13.5471,-13.5382,-13.5292,-12.443,-12.4356,-12.4282,-12.4208,-12.4134,-12.406,-12.3987,-11.3173,-11.3106,-11.3041,-11.2975,-11.291,-11.2845,-11.278,-10.1934,-10.1879,-10.1824,-10.1769,-10.1714,-10.1659,-10.1605,-9.15706,-9.15267,-9.14828,-9.1439,-9.13951,-9.13512,-9.13083
19,0.391439,-14.2184,-14.2184,-14.2184,-14.2184,-14.2184,-14.2184,-14.2184,-13.1447,-13.1447,-13.1447,-13.1447,-13.1447,-13.1447,-13.1447,-12.0751,-12.0751,-12.0751,-12.0751,-12.0751,-12.0751,-12.0751,-10.9919,-10.9919,-10.9919,-10.9919,-10.9919,-10.9919,-10.9919,-9.94086,-9.94086,-9.94086,-9.94086,-9.94086,-9.94086,-9.94086,-8.88325,-8.88325,-8.88325,-8.88325,-8.88325,-8.88325,-8.88325,-7.83361,-7.83361,-7.83361,-7.83361,-7.83361,-7.83361,-7.83361,-14.2802,-14.2699,-14.2596,-14.2493,-14.239,-14.2287,-14.2184,-13.1982,-13.1893,-13.1804,-13.1714,-13.1625,-13.1536,-13.1447,-12.1223,-12.1144,-12.1065,-12.0987,-12.0908,-12.083,-12.0751,-11.0336,-11.0266,-11.0197,-11.0128,-11.0058,-10.9989,-10.9919,-9.96871,-9.96407,-9.95942,-9.95478,-9.95014,-9.9455,-9.94086,-8.9138,-8.90871,-8.90362,-8.89853,-8.89344,-8.88835,-8.88326
