gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
34,2.67182,-52.0991,-52.0291,-51.9339,-52.0991,-52.0291,-51.9339,-52.0991,-52.0291,-51.9339,-52.0991,-52.0291,-51.9339,-52.0991,-52.0291,-51.9339
35,2.797,-50.882,-50.8147,-50.7224,-50.882,-50.8147,-50.7224,-50.882,-50.8147,-50.7224,-50.882,-50.8147,-50.7224,-50.882,-50.8147,-50.7224
36,2.92586,-49.7142,-49.6498,-49.5594,-49.7142,-49.6498,-49.5594,-49.7142,-49.6498,-49.5594,-49.7142,-49.6498,-49.5594,-49.7142,-49.6498,-49.5594
37,3.05848,-48.5922,-48.5306,-48.4417,-48.5922,-48.5306,-48.4417,-48.5922,-48.5306,-48.4417,-48.5922,-48.5306,-48.4417,-48.5922,-48.5306,-48.4417
38,3.195,-47.5134,-47.4538,-47.3665,-47.5134,-47.4538,-47.3665,-47.5134,-47.4538,-47.3665,-47.5134,-47.4538,-47.3665,-47.5134,-47.4538,-47.3665
39,3.33551,-46.4747,-46.4167,-46.3315,-46.4747,-46.4167,-46.3315,-46.4747,-46.4167,-46.3315,-46.4747,-46.4167,-46.3315,-46.4747,-46.4167,-46.3315
40,3.48015,-45.4734,-45.417,-45.3344,-45.4734,-45.417,-45.3344,-45.4734,-45.417,-45.3344,-45.4734,-45.417,-45.3344,-45.4734,-45.417,-45.3344
41,3.62902,-44.5082,-44.4527,-44.3724,-44.5082,-44.4527,-44.3724,-44.5082,-44.4527,-44.3724,-44.5082,-44.4527,-44.3724,-44.5082,-44.4527,-44.3724
42,3.78225,-43.5764,-43.5218,-43.4438,-43.5764,-43.5218,-43.4438,-43.5764,-43.5218,-43.4438,-43.5764,-43.5218,-43.4438,-43.5764,-43.5218,-43.4438
43,3.93998,-42.6765,-42.6231,-42.5467,-42.6765,-42.6231,-42.5467,-42.6765,-42.6231,-42.5467,-42.6765,-42.6231,-42.5467,-42.6765,-42.6231,-42.5467
44,4.10232,-41.8065,-41.7541,-41.6793,-41.8065,-41.7541,-41.6793,-41.8065,-41.7541,-41.6793,-41.8065,-41.7541,-41.6793,-41.8065,-41.7541,-41.6793
45,4.26943,-40.9647,-40.9131,-40.8397,-40.9647,-40.9131,-40.8397,-40.9647,-40.9131,-40.8397,-40.9647,-40.9131,-40.8397,-40.9647,-40.9131,-40.8397
46,4.44143,-40.1496,-40.0989,-40.0266,-40.1496,-40.0989,-40.0266,-40.1496,-40.0989,-40.0266,-40.1496,-40.0989,-40.0266,-40.1496,-40.0989,-40.0266
47,4.61847,-39.36,-39.31,-39.2392,-39.36,-39.31,-39.2392,-39.36,-39.31,-39.2392,-39.36,-39.31,-39.2392,-39.36,-39.31,-39.2392
48,4.8007,-38.5942,-38.5451,-38.4757,-38.5942,-38.5451,-38.4757,-38.5942,-38.5451,-38.4757,-38.5942,-38.5451,-38.4757,-38.5942,-38.5451,-38.4757
49,4.98827,-37.8511,-37.8029,-37.7346,-37.8511,-37.8029,-37.7346,-37.8511,-37.8029,-37.7346,-37.8511,-37.8029,-37.7346,-37.8511,-37.8029,-37.7346
50,5.18134,-37.1295,-37.0821,-37.0148,-37.1295,-37.0821,-37.0148,-37.1295,-37.0821,-37.0148,-37.1295,-37.0821,-37.0148,-37.1295,-37.0821,-37.0148
51,5.38006,-36.4284,-36.3817,-36.3156,-36.4284,-36.3817,-36.3156,-36.4284,-36.3817,-36.3156,-36.4284,-36.3817,-36.3156,-36.4284,-36.3817,-36.3156
52,5.58461,-35.7466,-35.7007,-35.636,-35.7466,-35.7007,-35.636,-35.7466,-35.7007,-35.636,-35.7466,-35.7007,-35.636,-35.7466,-35.7007,-35.636
53,5.79515,-35.0834,-35.0385,-34.9748,-35.0834,-35.0385,-34.9748,-35.0834,-35.0385,-34.9748,-35.0834,-35.0385,-34.9748,-35.0834,-35.0385,-34.9748
54,6.01186,-34.438,-34.3939,-34.3313,-34.438,-34.3939,-34.3313,-34.438,-34.3939,-34.3313,-34.438,-34.3939,-34.3313,-34.438,-34.3939,-34.3313
55,6.23493,-33.8096,-33.7662,-33.7045,-33.8096,-33.7662,-33.7045,-33.8096,-33.7662,-33.7045,-33.8096,-33.7662,-33.7045,-33.8096,-33.7662,-33.7045
