gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
189,230.19,222.406,223.679,223.679,212.569,217.923,219.592,207.868,212.321,212.731,222.406,223.679,223.679,212.569,217.923,219.592,207.868,212.321,212.731,222.406,223.679,223.679,212.569,217.923,219.592,207.868,212.321,212.731,223.713,223.679,223.679,224.333,224.021,223.948,224.877,224.522,224.495,223.713,223.679,223.679,224.333,224.021,223.948,224.877,224.522,224.495,223.713,223.679,223.679,224.333,224.021,223.948,224.877,224.522,224.495,225.02,223.679,223.679,236.097,230.119,228.305,241.891,236.722,236.259,225.02,223.679,223.679,236.097,230.119,228.305,241.891,236.722,236.259,225.02,223.679,223.679,236.097,230.119,228.305,241.891,236.722,236.259
190,236.373,228.401,229.707,229.707,218.296,223.793,225.507,213.467,218.038,218.458,228.401,229.707,229.707,218.296,223.793,225.507,213.467,218.038,218.458,228.401,229.707,229.707,218.296,223.793,225.507,213.467,218.038,218.458,229.743,229.707,229.707,230.376,230.055,229.981,230.934,230.566,230.538,229.743,229.707,229.707,230.376,230.055,229.981,230.934,230.566,230.538,229.743,229.707,229.707,230.376,230.055,229.981,230.934,230.566,230.538,231.085,229.707,229.707,242.456,236.317,234.454,248.41,243.094,242.618,231.085,229.707,229.707,242.456,236.317,234.454,248.41,243.094,242.618,231.085,229.707,229.707,242.456,236.317,234.454,248.41,243.094,242.618
191,242.721,235,235.897,235.897,224.176,229.82,231.581,219.215,223.907,224.338,235,235.897,235.897,224.176,229.82,231.581,219.215,223.907,224.338,235,235.897,235.897,224.176,229.82,231.581,219.215,223.907,224.338,235.919,235.897,235.897,236.581,236.25,236.174,237.153,236.772,236.743,235.919,235.897,235.897,236.581,236.25,236.174,237.153,236.772,236.743,235.919,235.897,235.897,236.581,236.25,236.174,237.153,236.772,236.743,236.838,235.897,235.897,248.985,242.681,240.768,255.108,249.637,249.147,236.838,235.897,235.897,248.985,242.681,240.768,255.108,249.637,249.147,236.838,235.897,235.897,248.985,242.681,240.768,255.108,249.637,249.147
192,249.239,241.331,242.252,242.252,230.213,236.008,237.816,224.684,229.933,230.375,241.331,242.252,242.252,230.213,236.008,237.816,224.684,229.933,230.375,241.331,242.252,242.252,230.213,236.008,237.816,224.684,229.933,230.375,242.275,242.252,242.252,242.951,242.611,242.533,243.582,243.143,243.113,242.275,242.252,242.252,242.951,242.611,242.533,243.582,243.143,243.113,242.275,242.252,242.252,242.951,242.611,242.533,243.582,243.143,243.113,243.218,242.252,242.252,255.689,249.214,247.25,262.513,256.354,255.851,243.218,242.252,242.252,255.689,249.214,247.25,262.513,256.354,255.851,243.218,242.252,242.252,255.689,249.214,247.25,262.513,256.354,255.851
193,255.931,247.831,248.776,248.776,236.411,242.361,243.751,230.733,236.119,236.573,247.831,248.776,248.776,236.411,242.361,243.751,230.733,236.119,236.573,247.831,248.776,248.776,236.411,242.361,243.751,230.733,236.119,236.573,248.8,248.776,248.776,249.491,249.141,249.078,250.145,249.684,249.653,248.8,248.776,248.776,249.491,249.141,249.078,250.145,249.684,249.653,248.8,248.776,248.776,249.491,249.141,249.078,250.145,249.684,249.653,249.769,248.776,248.776,262.572,255.921,254.406,269.615,263.252,262.734,249.769,248.776,248.776,262.572,255.921,254.406,269.615,263.252,262.734,249.769,248.776,248.776,262.572,255.921,254.406,269.615,263.252,262.734
194,262.801,254.504,255.475,255.475,242.775,248.883,250.311,210.321,242.471,242.937,254.504,255.475,255.475,242.775,248.883,250.311,210.321,242.471,242.937,254.504,255.475,255.475,242.775,248.883,250.311,210.321,242.471,242.937,255.499,255.475,255.475,256.206,255.845,255.781,261.526,256.401,256.368,255.499,255.475,255.475,256.206,255.845,255.781,261.526,256.401,256.368,255.499,255.475,255.475,256.206,255.845,255.781,261.526,256.401,256.368,256.494,255.475,255.475,269.641,262.807,261.252,313.526,270.337,269.802,256.494,255.475,255.475,269.641,262.807,261.252,313.526,270.337,269.802,256.494,255.475,255.475,269.641,262.807,261.252,313.526,270.337,269.802
195,269.854,261.355,262.352,262.352,249.308,255.579,257.045,216.055,216.055,249.47,261.355,262.352,262.352,249.308,255.579,257.045,216.055,216.055,249.47,261.355,262.352,262.352,249.308,255.579,257.045,216.055,216.055,249.47,262.377,262.352,262.352,263.101,262.728,262.663,268.745,268.745,263.263,262.377,262.352,262.352,263.101,262.728,262.663,268.745,268.745,263.263,262.377,262.352,262.352,263.101,262.728,262.663,268.745,268.745,263.263,263.398,262.352,262.352,276.904,269.877,268.281,322.22,322.22,277.066,263.398,262.352,262.352,276.904,269.877,268.281,322.22,322.22,277.066,263.398,262.352,262.352,276.904,269.877,268.281,322.22,322.22,277.066
196,277.096,268.389,269.412,269.412,256.016,262.454,263.96,221.952,221.952,256.178,268.389,269.412,269.412,256.016,262.454,263.96,221.952,221.952,256.178,268.389,269.412,269.412,256.016,262.454,263.96,221.952,221.952,256.178,269.438,269.412,269.412,270.182,269.795,269.728,276.167,276.167,270.344,269.438,269.412,269.412,270.182,269.795,269.728,276.167,276.167,270.344,269.438,269.412,269.412,270.182,269.795,269.728,276.167,276.167,270.344,270.487,269.412,269.412,284.381,277.136,275.497,331.146,331.146,284.544,270.487,269.412,269.412,284.381,277.136,275.497,331.146,331.146,284.544,270.487,269.412,269.412,284.381,277.136,275.497,331.146,331.146,284.544
197,284.53,275.611,276.661,276.661,262.903,269.512,271.059,228.016,228.016,263.065,275.611,276.661,276.661,262.903,269.512,271.059,228.016,228.016,263.065,275.611,276.661,276.661,262.903,269.512,271.059,228.016,228.016,263.065,276.688,276.661,276.661,277.458,277.05,276.982,283.796,283.796,277.621,276.688,276.661,276.661,277.458,277.05,276.982,283.796,283.796,277.621,276.688,276.661,276.661,277.458,277.05,276.982,283.796,283.796,277.621,277.765,276.661,276.661,292.122,284.588,282.905,340.311,340.311,292.29,277.765,276.661,276.661,292.122,284.588,282.905,340.311,340.311,292.29,277.765,276.661,276.661,292.122,284.588,282.905,340.311,340.311,292.29
198,292.163,283.025,284.104,284.104,234.081,276.759,278.347,234.25,234.25,234.25,283.025,284.104,284.104,234.081,276.759,278.347,234.25,234.25,234.25,283.025,284.104,284.104,234.081,276.759,278.347,234.25,234.25,234.25,284.131,284.104,284.104,291.464,284.499,284.429,291.637,291.637,291.637,284.131,284.104,284.104,291.464,284.499,284.429,291.637,291.637,291.637,284.131,284.104,284.104,291.464,284.499,284.429,291.637,291.637,291.637,285.237,284.104,284.104,349.545,292.244,290.512,349.719,349.719,349.719,285.237,284.104,284.104,349.545,292.244,290.512,349.719,349.719,349.719,285.237,284.104,284.104,349.545,292.244,290.512,349.719,349.719,349.719
199,300,290.637,291.745,291.745,240.489,284.199,285.83,240.658,240.658,240.658,290.637,291.745,291.745,240.489,284.199,285.83,240.658,240.658,240.658,290.637,291.745,291.745,240.489,284.199,285.83,240.658,240.658,240.658,291.773,291.745,291.745,299.561,292.15,292.076,299.735,299.735,299.735,291.773,291.745,291.745,299.561,292.15,292.076,299.735,299.735,299.735,291.773,291.745,291.745,299.561,292.15,292.076,299.735,299.735,299.735,292.929,291.745,291.745,359.204,300.315,298.487,359.379,359.379,359.379,292.929,291.745,291.745,359.204,300.315,298.487,359.379,359.379,359.379,292.929,291.745,291.745,359.204,300.315,298.487,359.379,359.379,359.379
