gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
10,0.833427,0.580279,0.580279,0.580279,0.551959,0.688935,0.688935,0.688643,0.688643,0.688643,0.580279,0.580279,0.580279,0.551959,0.688935,0.688935,0.688643,0.688643,0.688643,0.580279,0.580279,0.580279,0.551959,0.688935,0.688935,0.688643,0.688643,0.688643,0.580279,0.580279,0.580279,0.694215,0.688935,0.688935,0.832596,0.832596,0.832596,0.580279,0.580279,0.580279,0.694215,0.688935,0.688935,0.832596,0.832596,0.832596,0.580279,0.580279,0.580279,0.694215,0.688935,0.688935,0.832596,0.832596,0.832596,0.580279,0.580279,0.580279,0.837148,0.688935,0.688935,0.978304,0.978304,0.978304,0.580279,0.580279,0.580279,0.837148,0.688935,0.688935,0.978304,0.978304,0.978304,0.580279,0.580279,0.580279,0.837148,0.688935,0.688935,0.978304,0.978304,0.978304
11,0.937629,0.670694,0.670694,0.670694,0.626595,0.780941,0.780941,0.764182,0.764182,0.764182,0.670694,0.670694,0.670694,0.626595,0.780941,0.780941,0.764182,0.764182,0.764182,0.670694,0.670694,0.670694,0.626595,0.780941,0.780941,0.764182,0.764182,0.764182,0.670694,0.670694,0.670694,0.787055,0.780941,0.780941,0.927098,0.927098,0.927098,0.670694,0.670694,0.670694,0.787055,0.780941,0.780941,0.927098,0.927098,0.927098,0.670694,0.670694,0.670694,0.787055,0.780941,0.780941,0.927098,0.927098,0.927098,0.670694,0.670694,0.670694,0.949487,0.780941,0.780941,1.09216,1.09216,1.09216,0.670694,0.670694,0.670694,0.949487,0.780941,0.780941,1.09216,1.09216,1.09216,0.670694,0.670694,0.670694,0.949487,0.780941,0.780941,1.09216,1.09216,1.09216
12,1.04629,0.765926,0.765926,0.765926,0.704574,0.877563,0.877563,0.843161,0.843161,0.843161,0.765926,0.765926,0.765926,0.704574,0.877563,0.877563,0.843161,0.843161,0.843161,0.765926,0.765926,0.765926,0.704574,0.877563,0.877563,0.843161,0.843161,0.843161,0.765926,0.765926,0.765926,0.884662,0.877563,0.877563,1.02642,1.02642,1.02642,0.765926,0.765926,0.765926,0.884662,0.877563,0.877563,1.02642,1.02642,1.02642,0.765926,0.765926,0.765926,0.884662,0.877563,0.877563,1.02642,1.02642,1.02642,0.765926,0.765926,0.765926,1.06758,0.877563,0.877563,1.21138,1.21138,1.21138,0.765926,0.765926,0.765926,1.06758,0.877563,0.877563,1.21138,1.21138,1.21138,0.765926,0.765926,0.765926,1.06758,0.877563,0.877563,1.21138,1.21138,1.21138
13,1.15961,0.866094,0.866094,0.866094,0.786144,0.979079,0.979079,0.926173,0.926173,0.926173,0.866094,0.866094,0.866094,0.786144,0.979079,0.979079,0.926173,0.926173,0.926173,0.866094,0.866094,0.866094,0.786144,0.979079,0.979079,0.926173,0.926173,0.926173,0.866094,0.866094,0.866094,0.987434,0.979079,0.979079,1.13045,1.13045,1.13045,0.866094,0.866094,0.866094,0.987434,0.979079,0.979079,1.13045,1.13045,1.13045,0.866094,0.866094,0.866094,0.987434,0.979079,0.979079,1.13045,1.13045,1.13045,0.866094,0.866094,0.866094,1.19134,0.979079,0.979079,1.33613,1.33613,1.33613,0.866094,0.866094,0.866094,1.19134,0.979079,0.979079,1.33613,1.33613,1.33613,0.866094,0.866094,0.866094,1.19134,0.979079,0.979079,1.33613,1.33613,1.33613
14,1.27778,0.971372,0.971372,0.971372,0.871797,1.07734,1.08561,1.01339,1.01339,1.01339,0.971372,0.971372,0.971372,0.871797,1.07734,1.08561,1.01339,1.01339,1.01339,0.971372,0.971372,0.971372,0.871797,1.07734,1.08561,1.01339,1.01339,1.01339,0.971372,0.971372,0.971372,1.09529,1.08632,1.08561,1.23929,1.23929,1.23929,0.971372,0.971372,0.971372,1.09529,1.08632,1.08561,1.23929,1.23929,1.23929,0.971372,0.971372,0.971372,1.09529,1.08632,1.08561,1.23929,1.23929,1.23929,0.971372,0.971372,0.971372,1.32089,1.0953,1.08561,1.46665,1.46665,1.46665,0.971372,0.971372,0.971372,1.32089,1.0953,1.08561,1.46665,1.46665,1.46665,0.971372,0.971372,0.971372,1.32089,1.0953,1.08561,1.46665,1.46665,1.46665
15,1.40101,1.08191,1.08191,1.08191,0.961912,1.16086,1.19729,1.1047,1.1047,1.1047,1.08191,1.08191,1.08191,0.961912,1.16086,1.19729,1.1047,1.1047,1.1047,1.08191,1.08191,1.08191,0.961912,1.16086,1.19729,1.1047,1.1047,1.1047,1.08191,1.08191,1.08191,1.20824,1.20042,1.19729,1.35315,1.35315,1.35315,1.08191,1.08191,1.08191,1.20824,1.20042,1.19729,1.35315,1.35315,1.35315,1.08191,1.08191,1.08191,1.20824,1.20042,1.19729,1.35315,1.35315,1.35315,1.08191,1.08191,1.08191,1.4565,1.23999,1.19729,1.60309,1.60309,1.60309,1.08191,1.08191,1.08191,1.4565,1.23999,1.19729,1.60309,1.60309,1.60309,1.08191,1.08191,1.08191,1.4565,1.23999,1.19729,1.60309,1.60309,1.60309
16,1.52952,1.19789,1.19789,1.19789,1.05648,1.27423,1.3143,1.2002,1.2002,1.2002,1.19789,1.19789,1.19789,1.05648,1.27423,1.3143,1.2002,1.2002,1.2002,1.19789,1.19789,1.19789,1.05648,1.27423,1.3143,1.2002,1.2002,1.2002,1.19789,1.19789,1.19789,1.32643,1.31761,1.3143,1.47222,1.47222,1.47222,1.19789,1.19789,1.19789,1.32643,1.31761,1.3143,1.47222,1.47222,1.47222,1.19789,1.19789,1.19789,1.32643,1.31761,1.3143,1.47222,1.47222,1.47222,1.19789,1.19789,1.19789,1.59838,1.36101,1.3143,1.74579,1.74579,1.74579,1.19789,1.19789,1.19789,1.59838,1.36101,1.3143,1.74579,1.74579,1.74579,1.19789,1.19789,1.19789,1.59838,1.36101,1.3143,1.74579,1.74579,1.74579
17,1.66353,1.31948,1.31948,1.31948,1.15554,1.39299,1.43684,1.30006,1.30006,1.30006,1.31948,1.31948,1.31948,1.15554,1.39299,1.43684,1.30006,1.30006,1.30006,1.31948,1.31948,1.31948,1.15554,1.39299,1.43684,1.30006,1.30006,1.30006,1.31948,1.31948,1.31948,1.45011,1.44034,1.43684,1.59667,1.59667,1.59667,1.31948,1.31948,1.31948,1.45011,1.44034,1.43684,1.59667,1.59667,1.59667,1.31948,1.31948,1.31948,1.45011,1.44034,1.43684,1.59667,1.59667,1.59667,1.31948,1.31948,1.31948,1.74689,1.48773,1.43684,1.89517,1.89517,1.89517,1.31948,1.31948,1.31948,1.74689,1.48773,1.43684,1.89517,1.89517,1.89517,1.31948,1.31948,1.31948,1.74689,1.48773,1.43684,1.89517,1.89517,1.89517
18,1.80327,1.44689,1.44689,1.44689,1.25919,1.51428,1.56511,1.40448,1.40448,1.40448,1.44689,1.44689,1.44689,1.25919,1.51428,1.56511,1.40448,1.40448,1.40448,1.44689,1.44689,1.44689,1.25919,1.51428,1.56511,1.40448,1.40448,1.40448,1.44689,1.44689,1.44689,1.57949,1.56902,1.56511,1.72678,1.72678,1.72678,1.44689,1.44689,1.44689,1.57949,1.56902,1.56511,1.72678,1.72678,1.72678,1.44689,1.44689,1.44689,1.57949,1.56902,1.56511,1.72678,1.72678,1.72678,1.44689,1.44689,1.44689,1.90239,1.62381,1.56511,2.05143,2.05143,2.05143,1.44689,1.44689,1.44689,1.90239,1.62381,1.56511,2.05143,2.05143,2.05143,1.44689,1.44689,1.44689,1.90239,1.62381,1.56511,2.05143,2.05143,2.05143
19,1.94901,1.58034,1.58034,1.58034,1.36762,1.64089,1.69934,1.51367,1.51367,1.51367,1.58034,1.58034,1.58034,1.36762,1.64089,1.69934,1.51367,1.51367,1.51367,1.58034,1.58034,1.58034,1.36762,1.64089,1.69934,1.51367,1.51367,1.51367,1.58034,1.58034,1.58034,1.71483,1.70373,1.69934,1.86294,1.86294,1.86294,1.58034,1.58034,1.58034,1.71483,1.70373,1.69934,1.86294,1.86294,1.86294,1.58034,1.58034,1.58034,1.71483,1.70373,1.69934,1.86294,1.86294,1.86294,1.58034,1.58034,1.58034,2.06507,1.76665,1.69934,2.21477,2.21477,2.21477,1.58034,1.58034,1.58034,2.06507,1.76665,1.69934,2.21477,2.21477,2.21477,1.58034,1.58034,1.58034,2.06507,1.76665,1.69934,2.21477,2.21477,2.21477
