gridnumber,capital,Portfolio[0 0 00],Portfolio[0 0 01],Portfolio[0 0 02],Portfolio[0 0 10],Portfolio[0 0 11],Portfolio[0 0 12],Portfolio[0 0 20],Portfolio[0 0 21],Portfolio[0 0 22],Portfolio[0 1 00],Portfolio[0 1 01],Portfolio[0 1 02],Portfolio[0 1 10],Portfolio[0 1 11],Portfolio[0 1 12],Portfolio[0 1 20],Portfolio[0 1 21],Portfolio[0 1 22],Portfolio[0 2 00],Portfolio[0 2 01],Portfolio[0 2 02],Portfolio[0 2 10],Portfolio[0 2 11],Portfolio[0 2 12],Portfolio[0 2 20],Portfolio[0 2 21],Portfolio[0 2 22],Portfolio[1 0 00],Portfolio[1 0 01],Portfolio[1 0 02],Portfolio[1 0 10],Portfolio[1 0 11],Portfolio[1 0 12],Portfolio[1 0 20],Portfolio[1 0 21],Portfolio[1 0 22],Portfolio[1 1 00],Portfolio[1 1 01],Portfolio[1 1 02],Portfolio[1 1 10],Portfolio[1 1 11],Portfolio[1 1 12],Portfolio[1 1 20],Portfolio[1 1 21],Portfolio[1 1 22],Portfolio[1 2 00],Portfolio[1 2 01],Portfolio[1 2 02],Portfolio[1 2 10],Portfolio[1 2 11],Portfolio[1 2 12],Portfolio[1 2 20],Portfolio[1 2 21],Portfolio[1 2 22],Portfolio[2 0 00],Portfolio[2 0 01],Portfolio[2 0 02],Portfolio[2 0 10],Portfolio[2 0 11],Portfolio[2 0 12],Portfolio[2 0 20],Portfolio[2 0 21],Portfolio[2 0 22],Portfolio[2 1 00],Portfolio[2 1 01],Portfolio[2 1 02],Portfolio[2 1 10],Portfolio[2 1 11],Portfolio[2 1 12],Portfolio[2 1 20],Portfolio[2 1 21],Portfolio[2 1 22],Portfolio[2 2 00],Portfolio[2 2 01],Portfolio[2 2 02],Portfolio[2 2 10],Portfolio[2 2 11],Portfolio[2 2 12],Portfolio[2 2 20],Portfolio[2 2 21],Portfolio[2 2 22]
12,0.594445,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
13,0.652986,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
14,0.713088,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
15,0.774794,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
16,0.838145,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
17,0.903187,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
18,0.969964,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
19,1.03852,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
20,1.10891,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
21,1.18117,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
22,1.25537,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
23,1.33154,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
24,1.40974,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1,0,0,0,1,0.05,0,1,1,1
25,1.49003,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1,0,0,0,1,0.09,0,1,1,1
26,1.57247,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1,0,0,0,1,0.12,0,1,1,1
27,1.6571,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1,0,0,0,1,0.14,0,1,1,1
28,1.74398,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1,0,0,0,1,0.16,0,1,1,1
29,1.83319,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1,0,0,0,1,0.18,0,1,1,1
30,1.92478,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1,0,0,0,1,0.19,0,1,1,1
31,2.01881,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1
32,2.11535,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1
33,2.21446,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1,0,0,0,1,0.21,0,1,1,1
34,2.31622,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1
35,2.42069,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1,0,0,0,1,0.22,0,1,1,1
36,2.52795,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1,0,0,0,1,0.23,0,1,1,1
37,2.63807,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1,0,0,0,1,0.25,0,1,1,1
38,2.75112,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1,0,0,0,1,0.26,0,1,1,1
