gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
19,1.16984,-7.19493,-7.19493,-7.19493,-7.19493,-7.19476,-6.87345,-6.87345,-6.87345,-6.87345,-6.87345,-6.55047,-6.55047,-6.55047,-6.55047,-6.55047,-6.23634,-6.23634,-6.23634,-6.23634,-6.23634,-5.94045,-5.94045,-5.94045,-5.94045,-5.94045
20,1.25101,-7.07943,-7.07943,-7.07943,-7.07943,-7.07939,-6.77006,-6.77006,-6.77006,-6.77006,-6.77006,-6.45752,-6.45752,-6.45752,-6.45752,-6.45752,-6.15239,-6.15239,-6.15239,-6.15239,-6.15239,-5.86422,-5.86422,-5.86422,-5.86422,-5.86422
21,1.33455,-6.97262,-6.97262,-6.97262,-6.97262,-6.97236,-6.67458,-6.67458,-6.67458,-6.67458,-6.67456,-6.37176,-6.37176,-6.37176,-6.37176,-6.37176,-6.07592,-6.07592,-6.07592,-6.07592,-6.07592,-5.79501,-5.79501,-5.79501,-5.79501,-5.79501
22,1.42055,-6.87251,-6.87251,-6.87251,-6.87251,-6.87194,-6.58546,-6.58546,-6.58546,-6.58546,-6.58528,-6.29285,-6.29285,-6.29285,-6.29285,-6.29285,-6.00521,-6.00521,-6.00521,-6.00521,-6.00521,-5.73175,-5.73175,-5.73175,-5.73175,-5.73175
23,1.50907,-6.77882,-6.77882,-6.77882,-6.77878,-6.77785,-6.50201,-6.50201,-6.50201,-6.50201,-6.50185,-6.21891,-6.21891,-6.21891,-6.21891,-6.21891,-5.93954,-5.93954,-5.93954,-5.93954,-5.93954,-5.67281,-5.67281,-5.67281,-5.67281,-5.67281
24,1.60018,-6.69097,-6.69097,-6.69097,-6.69079,-6.68972,-6.42364,-6.42364,-6.42364,-6.42364,-6.42322,-6.14923,-6.14923,-6.14923,-6.14923,-6.14907,-5.87806,-5.87806,-5.87806,-5.87806,-5.87806,-5.61824,-5.61824,-5.61824,-5.61824,-5.61824
25,1.69396,-6.60743,-6.60743,-6.60743,-6.60736,-6.60592,-6.34938,-6.34938,-6.34938,-6.34938,-6.34857,-6.08357,-6.08357,-6.08357,-6.08357,-6.08333,-5.81979,-5.81979,-5.81979,-5.81979,-5.81975,-5.56654,-5.56654,-5.56654,-5.56654,-5.56654
26,1.79048,-6.52766,-6.52766,-6.52766,-6.52766,-6.52595,-6.27853,-6.27853,-6.27853,-6.27851,-6.27761,-6.02089,-6.02089,-6.02089,-6.02089,-6.02076,-5.76461,-5.76461,-5.76461,-5.76461,-5.76461,-5.51791,-5.51791,-5.51791,-5.51791,-5.51791
27,1.88984,-6.45187,-6.45187,-6.45187,-6.45152,-6.44944,-6.21111,-6.21111,-6.21111,-6.21106,-6.20973,-5.96142,-5.96142,-5.96142,-5.96142,-5.96067,-5.7122,-5.7122,-5.7122,-5.7122,-5.71191,-5.47152,-5.47152,-5.47152,-5.47152,-5.4715
28,1.99211,-6.37914,-6.37914,-6.37914,-6.37835,-6.37604,-6.14641,-6.14641,-6.14641,-6.14632,-6.14484,-5.90436,-5.90436,-5.90436,-5.90436,-5.90349,-5.66161,-5.66161,-5.66161,-5.66161,-5.66136,-5.42725,-5.42725,-5.42725,-5.42725,-5.42705
