gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
10,0.674183,-7.32046,-7.32046,-7.32046,-7.20441,-7.0134,-7.0134,-6.87182,-6.87182,-6.87182,-7.32046,-7.32046,-7.32046,-7.20441,-7.0134,-7.0134,-6.87182,-6.87182,-6.87182,-7.32046,-7.32046,-7.32046,-7.20441,-7.0134,-7.0134,-6.87182,-6.87182,-6.87182,-7.32046,-7.32046,-7.32046,-7.04176,-7.0134,-7.0134,-6.7287,-6.7287,-6.7287,-7.32046,-7.32046,-7.32046,-7.04176,-7.0134,-7.0134,-6.7287,-6.7287,-6.7287,-7.32046,-7.32046,-7.32046,-7.04176,-7.0134,-7.0134,-6.7287,-6.7287,-6.7287,-7.32046,-7.32046,-7.32046,-6.88891,-7.0134,-7.0134,-6.59362,-6.59362,-6.59362,-7.32046,-7.32046,-7.32046,-6.88891,-7.0134,-7.0134,-6.59362,-6.59362,-6.59362,-7.32046,-7.32046,-7.32046,-6.88891,-7.0134,-7.0134,-6.59362,-6.59362,-6.59362
11,0.75557,-7.2103,-7.2103,-7.2103,-7.12062,-6.916,-6.916,-6.79836,-6.79836,-6.79836,-7.2103,-7.2103,-7.2103,-7.12062,-6.916,-6.916,-6.79836,-6.79836,-6.79836,-7.2103,-7.2103,-7.2103,-7.12062,-6.916,-6.916,-6.79836,-6.79836,-6.79836,-7.2103,-7.2103,-7.2103,-6.9449,-6.916,-6.916,-6.64283,-6.64283,-6.64283,-7.2103,-7.2103,-7.2103,-6.9449,-6.916,-6.916,-6.64283,-6.64283,-6.64283,-7.2103,-7.2103,-7.2103,-6.9449,-6.916,-6.916,-6.64283,-6.64283,-6.64283,-7.2103,-7.2103,-7.2103,-6.78046,-6.916,-6.916,-6.49695,-6.49695,-6.49695,-7.2103,-7.2103,-7.2103,-6.78046,-6.916,-6.916,-6.49695,-6.49695,-6.49695,-7.2103,-7.2103,-7.2103,-6.78046,-6.916,-6.916,-6.49695,-6.49695,-6.49695
12,0.839869,-7.10144,-7.10144,-7.10144,-7.03671,-6.81913,-6.81913,-6.72428,-6.72428,-6.72428,-7.10144,-7.10144,-7.10144,-7.03671,-6.81913,-6.81913,-6.72428,-6.72428,-6.72428,-7.10144,-7.10144,-7.10144,-7.03671,-6.81913,-6.81913,-6.72428,-6.72428,-6.72428,-7.10144,-7.10144,-7.10144,-6.84839,-6.81913,-6.81913,-6.55688,-6.55688,-6.55688,-7.10144,-7.10144,-7.10144,-6.84839,-6.81913,-6.81913,-6.55688,-6.55688,-6.55688,-7.10144,-7.10144,-7.10144,-6.84839,-6.81913,-6.81913,-6.55688,-6.55688,-6.55688,-7.10144,-7.10144,-7.10144,-6.67295,-6.81913,-6.81913,-6.40058,-6.40058,-6.40058,-7.10144,-7.10144,-7.10144,-6.67295,-6.81913,-6.81913,-6.40058,-6.40058,-6.40058,-7.10144,-7.10144,-7.10144,-6.67295,-6.81913,-6.81913,-6.40058,-6.40058,-6.40058
13,0.927185,-6.99387,-6.99387,-6.99387,-6.95266,-6.72263,-6.72263,-6.64965,-6.64965,-6.64965,-6.99387,-6.99387,-6.99387,-6.95266,-6.72263,-6.72263,-6.64965,-6.64965,-6.64965,-6.99387,-6.99387,-6.99387,-6.95266,-6.72263,-6.72263,-6.64965,-6.64965,-6.64965,-6.99387,-6.99387,-6.99387,-6.75219,-6.72263,-6.72263,-6.47114,-6.47114,-6.47114,-6.99387,-6.99387,-6.99387,-6.75219,-6.72263,-6.72263,-6.47114,-6.47114,-6.47114,-6.99387,-6.99387,-6.99387,-6.75219,-6.72263,-6.72263,-6.47114,-6.47114,-6.47114,-6.99387,-6.99387,-6.99387,-6.56646,-6.72263,-6.72263,-6.30441,-6.30441,-6.30441,-6.99387,-6.99387,-6.99387,-6.56646,-6.72263,-6.72263,-6.30441,-6.30441,-6.30441,-6.99387,-6.99387,-6.99387,-6.56646,-6.72263,-6.72263,-6.30441,-6.30441,-6.30441
14,1.01763,-6.88722,-6.88722,-6.88722,-6.86837,-6.62658,-6.62658,-6.57518,-6.57518,-6.57518,-6.88722,-6.88722,-6.88722,-6.86837,-6.62658,-6.62658,-6.57518,-6.57518,-6.57518,-6.88722,-6.88722,-6.88722,-6.86837,-6.62658,-6.62658,-6.57518,-6.57518,-6.57518,-6.88722,-6.88722,-6.88722,-6.65626,-6.62658,-6.62658,-6.38521,-6.38521,-6.38521,-6.88722,-6.88722,-6.88722,-6.65626,-6.62658,-6.62658,-6.38521,-6.38521,-6.38521,-6.88722,-6.88722,-6.88722,-6.65626,-6.62658,-6.62658,-6.38521,-6.38521,-6.38521,-6.88722,-6.88722,-6.88722,-6.4607,-6.62658,-6.62658,-6.20846,-6.20846,-6.20846,-6.88722,-6.88722,-6.88722,-6.4607,-6.62658,-6.62658,-6.20846,-6.20846,-6.20846,-6.88722,-6.88722,-6.88722,-6.4607,-6.62658,-6.62658,-6.20846,-6.20846,-6.20846
15,1.1113,-6.78144,-6.78144,-6.78144,-6.78412,-6.53085,-6.53085,-6.50017,-6.50017,-6.50017,-6.78144,-6.78144,-6.78144,-6.78412,-6.53085,-6.53085,-6.50017,-6.50017,-6.50017,-6.78144,-6.78144,-6.78144,-6.78412,-6.53085,-6.53085,-6.50017,-6.50017,-6.50017,-6.78144,-6.78144,-6.78144,-6.56072,-6.53085,-6.53085,-6.29911,-6.29911,-6.29911,-6.78144,-6.78144,-6.78144,-6.56072,-6.53085,-6.53085,-6.29911,-6.29911,-6.29911,-6.78144,-6.78144,-6.78144,-6.56072,-6.53085,-6.53085,-6.29911,-6.29911,-6.29911,-6.78144,-6.78144,-6.78144,-6.35552,-6.53085,-6.53085,-6.11267,-6.11267,-6.11267,-6.78144,-6.78144,-6.78144,-6.35552,-6.53085,-6.53085,-6.11267,-6.11267,-6.11267,-6.78144,-6.78144,-6.78144,-6.35552,-6.53085,-6.53085,-6.11267,-6.11267,-6.11267
16,1.20833,-6.67646,-6.67646,-6.67646,-6.69998,-6.43537,-6.43537,-6.42462,-6.42462,-6.42462,-6.67646,-6.67646,-6.67646,-6.69998,-6.43537,-6.43537,-6.42462,-6.42462,-6.42462,-6.67646,-6.67646,-6.67646,-6.69998,-6.43537,-6.43537,-6.42462,-6.42462,-6.42462,-6.67646,-6.67646,-6.67646,-6.46544,-6.43537,-6.43537,-6.21285,-6.21285,-6.21285,-6.67646,-6.67646,-6.67646,-6.46544,-6.43537,-6.43537,-6.21285,-6.21285,-6.21285,-6.67646,-6.67646,-6.67646,-6.46544,-6.43537,-6.43537,-6.21285,-6.21285,-6.21285,-6.67646,-6.67646,-6.67646,-6.25086,-6.43537,-6.43537,-6.01703,-6.01703,-6.01703,-6.67646,-6.67646,-6.67646,-6.25086,-6.43537,-6.43537,-6.01703,-6.01703,-6.01703,-6.67646,-6.67646,-6.67646,-6.25086,-6.43537,-6.43537,-6.01703,-6.01703,-6.01703
17,1.30884,-6.57213,-6.57213,-6.57213,-6.61568,-6.34011,-6.34011,-6.34851,-6.34851,-6.34851,-6.57213,-6.57213,-6.57213,-6.61568,-6.34011,-6.34011,-6.34851,-6.34851,-6.34851,-6.57213,-6.57213,-6.57213,-6.61568,-6.34011,-6.34011,-6.34851,-6.34851,-6.34851,-6.57213,-6.57213,-6.57213,-6.37034,-6.34011,-6.34011,-6.12641,-6.12641,-6.12641,-6.57213,-6.57213,-6.57213,-6.37034,-6.34011,-6.34011,-6.12641,-6.12641,-6.12641,-6.57213,-6.57213,-6.57213,-6.37034,-6.34011,-6.34011,-6.12641,-6.12641,-6.12641,-6.57213,-6.57213,-6.57213,-6.14669,-6.34011,-6.34011,-5.92154,-5.92154,-5.92154,-6.57213,-6.57213,-6.57213,-6.14669,-6.34011,-6.34011,-5.92154,-5.92154,-5.92154,-6.57213,-6.57213,-6.57213,-6.14669,-6.34011,-6.34011,-5.92154,-5.92154,-5.92154
18,1.41294,-6.46841,-6.46841,-6.46841,-6.53118,-6.24504,-6.24504,-6.27189,-6.27189,-6.27189,-6.46841,-6.46841,-6.46841,-6.53118,-6.24504,-6.24504,-6.27189,-6.27189,-6.27189,-6.46841,-6.46841,-6.46841,-6.53118,-6.24504,-6.24504,-6.27189,-6.27189,-6.27189,-6.46841,-6.46841,-6.46841,-6.27537,-6.24504,-6.24504,-6.03978,-6.03978,-6.03978,-6.46841,-6.46841,-6.46841,-6.27537,-6.24504,-6.24504,-6.03978,-6.03978,-6.03978,-6.46841,-6.46841,-6.46841,-6.27537,-6.24504,-6.24504,-6.03978,-6.03978,-6.03978,-6.46841,-6.46841,-6.46841,-6.04301,-6.24504,-6.24504,-5.82622,-5.82622,-5.82622,-6.46841,-6.46841,-6.46841,-6.04301,-6.24504,-6.24504,-5.82622,-5.82622,-5.82622,-6.46841,-6.46841,-6.46841,-6.04301,-6.24504,-6.24504,-5.82622,-5.82622,-5.82622
19,1.52076,-6.36523,-6.36523,-6.36523,-6.44646,-6.15019,-6.15019,-6.19528,-6.19528,-6.19528,-6.36523,-6.36523,-6.36523,-6.44646,-6.15019,-6.15019,-6.19528,-6.19528,-6.19528,-6.36523,-6.36523,-6.36523,-6.44646,-6.15019,-6.15019,-6.19528,-6.19528,-6.19528,-6.36523,-6.36523,-6.36523,-6.18053,-6.15019,-6.15019,-5.953,-5.953,-5.953,-6.36523,-6.36523,-6.36523,-6.18053,-6.15019,-6.15019,-5.953,-5.953,-5.953,-6.36523,-6.36523,-6.36523,-6.18053,-6.15019,-6.15019,-5.953,-5.953,-5.953,-6.36523,-6.36523,-6.36523,-5.93982,-6.15019,-6.15019,-5.7311,-5.7311,-5.7311,-6.36523,-6.36523,-6.36523,-5.93982,-6.15019,-6.15019,-5.7311,-5.7311,-5.7311,-6.36523,-6.36523,-6.36523,-5.93982,-6.15019,-6.15019,-5.7311,-5.7311,-5.7311
20,1.63244,-6.26253,-6.26253,-6.26253,-6.36148,-6.05546,-6.05546,-6.11819,-6.11819,-6.11819,-6.26253,-6.26253,-6.26253,-6.36148,-6.05546,-6.05546,-6.11819,-6.11819,-6.11819,-6.26253,-6.26253,-6.26253,-6.36148,-6.05546,-6.05546,-6.11819,-6.11819,-6.11819,-6.26253,-6.26253,-6.26253,-6.0858,-6.05546,-6.05546,-5.86607,-5.86607,-5.86607,-6.26253,-6.26253,-6.26253,-6.0858,-6.05546,-6.05546,-5.86607,-5.86607,-5.86607,-6.26253,-6.26253,-6.26253,-6.0858,-6.05546,-6.05546,-5.86607,-5.86607,-5.86607,-6.26253,-6.26253,-6.26253,-5.83716,-6.05546,-6.05546,-5.63617,-5.63617,-5.63617,-6.26253,-6.26253,-6.26253,-5.83716,-6.05546,-6.05546,-5.63617,-5.63617,-5.63617,-6.26253,-6.26253,-6.26253,-5.83716,-6.05546,-6.05546,-5.63617,-5.63617,-5.63617
21,1.74812,-6.16027,-6.16027,-6.16027,-6.27624,-5.96087,-5.96087,-6.04059,-6.04059,-6.04059,-6.16027,-6.16027,-6.16027,-6.27624,-5.96087,-5.96087,-6.04059,-6.04059,-6.04059,-6.16027,-6.16027,-6.16027,-6.27624,-5.96087,-5.96087,-6.04059,-6.04059,-6.04059,-6.16027,-6.16027,-6.16027,-5.99123,-5.96087,-5.96087,-5.77902,-5.77902,-5.77902,-6.16027,-6.16027,-6.16027,-5.99123,-5.96087,-5.96087,-5.77902,-5.77902,-5.77902,-6.16027,-6.16027,-6.16027,-5.99123,-5.96087,-5.96087,-5.77902,-5.77902,-5.77902,-6.16027,-6.16027,-6.16027,-5.73498,-5.96087,-5.96087,-5.54148,-5.54148,-5.54148,-6.16027,-6.16027,-6.16027,-5.73498,-5.96087,-5.96087,-5.54148,-5.54148,-5.54148,-6.16027,-6.16027,-6.16027,-5.73498,-5.96087,-5.96087,-5.54148,-5.54148,-5.54148
22,1.86794,-6.05844,-6.05844,-6.05844,-6.19084,-5.86637,-5.86637,-5.96251,-5.96251,-5.96251,-6.05844,-6.05844,-6.05844,-6.19084,-5.86637,-5.86637,-5.96251,-5.96251,-5.96251,-6.05844,-6.05844,-6.05844,-6.19084,-5.86637,-5.86637,-5.96251,-5.96251,-5.96251,-6.05844,-6.05844,-6.05844,-5.89681,-5.86637,-5.86637,-5.69188,-5.69188,-5.69188,-6.05844,-6.05844,-6.05844,-5.89681,-5.86637,-5.86637,-5.69188,-5.69188,-5.69188,-6.05844,-6.05844,-6.05844,-5.89681,-5.86637,-5.86637,-5.69188,-5.69188,-5.69188,-6.05844,-6.05844,-6.05844,-5.63326,-5.86637,-5.86637,-5.44705,-5.44705,-5.44705,-6.05844,-6.05844,-6.05844,-5.63326,-5.86637,-5.86637,-5.44705,-5.44705,-5.44705,-6.05844,-6.05844,-6.05844,-5.63326,-5.86637,-5.86637,-5.44705,-5.44705,-5.44705
