gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2]
85,6.59885,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
86,6.75798,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
87,6.9202,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
88,7.08558,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
89,7.25416,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
90,7.42601,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
91,7.6012,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
92,7.77979,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
93,7.96184,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
94,8.14743,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
95,8.33663,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
96,8.52949,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
97,8.7261,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
98,8.92652,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
99,9.13083,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
100,9.33911,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
101,9.55143,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
102,9.76787,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
103,9.98852,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
104,10.2134,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
105,10.4427,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
106,10.6765,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
107,10.9148,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
108,11.1577,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
109,11.4053,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
110,11.6577,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
111,11.915,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
112,12.1773,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
113,12.4448,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
114,12.7174,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
115,12.9952,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
116,13.2785,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
117,13.5673,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
118,13.8617,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
119,14.1618,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
120,14.4677,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
121,14.7796,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
122,15.0975,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
123,15.4216,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
124,15.752,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
125,16.0888,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
126,16.4321,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
127,16.7821,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
128,17.1389,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
129,17.5026,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
130,17.8733,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
131,18.2513,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
132,18.6366,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
133,19.0294,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
134,19.4298,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
135,19.838,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
136,20.2541,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
137,20.6782,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
138,21.1107,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
139,21.5515,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
140,22.0008,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
141,22.4589,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
142,22.9259,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
143,23.4019,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
144,23.8872,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
145,24.3818,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
146,24.8861,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
147,25.4002,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
148,25.9243,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
149,26.4585,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
150,27.0031,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
151,27.5583,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
152,28.1242,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
153,28.7011,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
154,29.2893,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
155,29.8888,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
156,30.5,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
157,31.123,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
158,31.7582,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
159,32.4056,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
160,33.0656,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
161,33.7385,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
162,34.4244,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
163,35.1236,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
164,35.8364,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
165,36.563,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
166,37.3037,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
167,38.0588,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
168,38.8286,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
169,39.6132,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
170,40.4132,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
171,41.2286,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
172,42.0599,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
173,42.9073,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
174,43.7712,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
175,44.6518,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
176,45.5495,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
177,46.4647,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
178,47.3976,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
179,48.3486,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
180,49.318,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
181,50.3063,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
182,51.3138,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
183,52.3408,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
184,53.3878,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
185,54.4551,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
186,55.543,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
187,56.6522,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
188,57.7828,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
189,58.9354,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
190,60.1103,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
191,61.3081,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
192,62.5291,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
193,63.7738,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
194,65.0427,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
195,66.3362,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
196,67.6548,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
197,68.9989,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
198,70.3692,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
199,71.7661,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
200,73.1901,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
201,74.6417,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
202,76.1215,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
203,77.6301,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
204,79.1679,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
205,80.7355,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
206,82.3336,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
207,83.9627,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
208,85.6234,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
209,87.3164,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
210,89.0422,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
211,90.8015,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
212,92.5949,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
213,94.4232,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
214,96.2869,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
215,98.1869,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
216,100.124,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
217,102.098,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
218,104.111,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
219,106.163,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
220,108.254,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
221,110.386,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
222,112.56,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
223,114.776,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
224,117.034,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
225,119.337,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
226,121.684,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
227,124.077,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
228,126.517,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
229,129.003,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
230,131.538,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
231,134.122,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
232,136.757,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
233,139.442,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
234,142.18,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
235,144.97,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
236,147.815,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
237,150.715,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
238,153.671,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
239,156.685,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
240,159.757,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
241,162.889,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
242,166.082,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
243,169.336,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
244,172.654,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
245,176.036,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
246,179.484,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
247,182.999,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
248,186.582,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
249,190.234,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
250,193.958,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
251,197.753,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
252,201.623,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
253,205.567,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
254,209.588,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
255,213.687,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
256,217.866,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
257,222.125,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
258,226.468,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
259,230.895,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
260,235.407,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
261,240.007,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
262,244.697,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
263,249.477,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
264,254.35,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
265,259.318,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
266,264.382,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
267,269.545,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
268,274.808,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
269,280.173,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
270,285.642,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
271,291.217,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
272,296.9,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
273,302.694,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
274,308.6,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
275,314.621,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
276,320.759,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
277,327.015,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
278,333.394,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
279,339.896,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
280,346.524,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
281,353.281,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
282,360.169,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
283,367.19,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
284,374.348,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
285,381.645,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
286,389.084,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
287,396.667,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
288,404.397,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
289,412.277,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
290,420.31,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
291,428.499,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
292,436.847,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
293,445.357,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
294,454.032,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
295,462.876,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
296,471.891,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
297,481.081,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
298,490.45,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
299,500,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
