gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0366365,0.0366365,0.0366365,0.0366365,0.0366365,0.0366366,0.0366366,0.0366366,0.0366366,0.0366366,0.0366367,0.0366367,0.0366367,0.0366367,0.0366367,0.0366367,0.0366367,0.0366367,0.0366367,0.0366367,0.0366368,0.0366368,0.0366368,0.0366368,0.0366368
2,0.0951487,0.0616428,0.0616428,0.0616428,0.0616428,0.0616428,0.0616316,0.0616316,0.0616316,0.0616316,0.0616316,0.0616219,0.0616219,0.0616219,0.0616219,0.0616219,0.0616143,0.0616143,0.0616143,0.0616143,0.0616143,0.0616087,0.0616087,0.0616087,0.0616087,0.0616087
3,0.144824,0.08117,0.08117,0.08117,0.08117,0.08117,0.081144,0.081144,0.081144,0.081144,0.081144,0.0811212,0.0811212,0.0811212,0.0811212,0.0811212,0.0811035,0.0811035,0.0811035,0.0811035,0.0811035,0.0810906,0.0810906,0.0810906,0.0810906,0.0810906
4,0.195956,0.102303,0.102303,0.102303,0.102303,0.102303,0.10223,0.10223,0.10223,0.10223,0.10223,0.102166,0.102166,0.102166,0.102166,0.102166,0.102115,0.102115,0.102115,0.102115,0.102115,0.102078,0.102078,0.102078,0.102078,0.102078
5,0.248585,0.126487,0.126487,0.126487,0.126487,0.126487,0.12631,0.12631,0.12631,0.12631,0.12631,0.126154,0.126154,0.126154,0.126154,0.126154,0.126029,0.126029,0.126029,0.126029,0.126029,0.125936,0.125936,0.125936,0.125936,0.125936
6,0.302757,0.151781,0.151781,0.151781,0.151781,0.151781,0.151445,0.151445,0.151445,0.151445,0.151445,0.151152,0.151152,0.151152,0.151152,0.151152,0.150918,0.150918,0.150918,0.150918,0.150918,0.150741,0.150741,0.150741,0.150741,0.150741
7,0.358517,0.178975,0.178975,0.178975,0.178975,0.178975,0.178383,0.178383,0.178383,0.178383,0.178383,0.177864,0.177864,0.177864,0.177864,0.177864,0.177446,0.177446,0.177446,0.177446,0.177446,0.177123,0.177123,0.177123,0.177123,0.177123
8,0.41591,0.207495,0.207495,0.207495,0.207495,0.207495,0.206553,0.206553,0.206553,0.206553,0.206553,0.205722,0.205722,0.205722,0.205722,0.205722,0.20505,0.20505,0.20505,0.20505,0.20505,0.204531,0.204531,0.204531,0.204531,0.204531
9,0.474986,0.23769,0.23769,0.23769,0.23769,0.23769,0.236339,0.236339,0.236339,0.236339,0.236339,0.235112,0.235112,0.235112,0.235112,0.235112,0.23411,0.23411,0.23411,0.23411,0.23411,0.233333,0.233333,0.233333,0.233333,0.233333
10,0.535792,0.269687,0.269687,0.269687,0.269687,0.269687,0.267797,0.267797,0.267797,0.267797,0.267797,0.266029,0.266029,0.266029,0.266029,0.266029,0.264557,0.264557,0.264557,0.264557,0.264557,0.263411,0.263411,0.263411,0.263411,0.263411
11,0.598381,0.303149,0.303149,0.303149,0.303149,0.303149,0.300726,0.300726,0.300726,0.300726,0.300726,0.298402,0.298402,0.298402,0.298402,0.298402,0.296414,0.296414,0.296414,0.296414,0.296414,0.294842,0.294842,0.294842,0.294842,0.294842
