gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-57.7185,-57.7185,-57.7186,-57.7186,-57.7186,-57.7185,-57.7185,-52.0696,-52.0696,-52.0696,-52.0696,-52.0696,-52.0696,-52.0696,-48.0404,-48.0404,-48.0405,-48.0405,-48.0405,-48.0404,-48.0404,-45.075,-45.075,-45.075,-45.075,-45.075,-45.075,-45.075,-42.5444,-42.5444,-42.5445,-42.5445,-42.5445,-42.5444,-42.5444,-40.1753,-40.1753,-40.1753,-40.1753,-40.1753,-40.1753,-40.1753,-37.8723,-37.8723,-37.8724,-37.8724,-37.8724,-37.8723,-37.8723
1,0.0185364,-55.1763,-55.1763,-55.1764,-55.1764,-55.1764,-55.1763,-55.1763,-50.639,-50.639,-50.639,-50.639,-50.639,-50.639,-50.639,-47.2387,-47.2387,-47.2388,-47.2388,-47.2388,-47.2387,-47.2387,-44.5478,-44.5478,-44.5479,-44.5479,-44.5479,-44.5478,-44.5478,-42.1326,-42.1326,-42.1326,-42.1326,-42.1326,-42.1326,-42.1326,-39.8428,-39.8428,-39.8429,-39.8429,-39.8429,-39.8428,-39.8428,-37.5919,-37.5919,-37.5919,-37.5919,-37.5919,-37.5919,-37.5919
2,0.0372875,-53.2345,-53.2345,-53.2346,-53.2346,-53.2346,-53.2345,-53.2345,-49.4934,-49.4934,-49.4934,-49.4934,-49.4934,-49.4934,-49.4934,-46.5707,-46.5707,-46.5707,-46.5707,-46.5707,-46.5707,-46.5707,-44.0371,-44.0371,-44.0371,-44.0371,-44.0371,-44.0371,-44.0371,-41.734,-41.734,-41.734,-41.734,-41.734,-41.734,-41.734,-39.5143,-39.5143,-39.5144,-39.5144,-39.5144,-39.5143,-39.5143,-37.3142,-37.3142,-37.3143,-37.3143,-37.3143,-37.3142,-37.3142
3,0.0562558,-51.7194,-51.7194,-51.7195,-51.7195,-51.7195,-51.7194,-51.7194,-48.5626,-48.5626,-48.5627,-48.5627,-48.5627,-48.5626,-48.5626,-45.9432,-45.9432,-45.9432,-45.9432,-45.9432,-45.9432,-45.9432,-43.5608,-43.5608,-43.5609,-43.5609,-43.5609,-43.5608,-43.5608,-41.3461,-41.3461,-41.3462,-41.3462,-41.3462,-41.3461,-41.3461,-39.1897,-39.1897,-39.1897,-39.1897,-39.1897,-39.1897,-39.1897,-37.0409,-37.0409,-37.0408,-37.0407,-37.0406,-37.0405,-37.0405
4,0.0754439,-50.5157,-50.5157,-50.5158,-50.5158,-50.5158,-50.5157,-50.5157,-47.7968,-47.7968,-47.7968,-47.7968,-47.7968,-47.7968,-47.7968,-45.3407,-45.3407,-45.3407,-45.3407,-45.3407,-45.3407,-45.3407,-43.0988,-43.0988,-43.0989,-43.0989,-43.0989,-43.0988,-43.0988,-40.9661,-40.9661,-40.9662,-40.9662,-40.9662,-40.9661,-40.9661,-38.8688,-38.8688,-38.8689,-38.8689,-38.8687,-38.8686,-38.8685,-36.7693,-36.7692,-36.7691,-36.769,-36.7689,-36.7688,-36.7687
5,0.0948544,-49.5444,-49.5444,-49.5445,-49.5445,-49.5445,-49.5444,-49.5444,-47.1322,-47.1322,-47.1322,-47.1322,-47.1322,-47.1322,-47.1322,-44.7732,-44.7732,-44.7733,-44.7733,-44.7733,-44.7732,-44.7732,-42.6501,-42.6501,-42.6502,-42.6502,-42.6502,-42.6501,-42.6501,-40.5936,-40.5936,-40.5937,-40.5937,-40.5937,-40.5936,-40.5936,-38.5542,-38.554,-38.5539,-38.5538,-38.5536,-38.5534,-38.5533,-36.4995,-36.4994,-36.4993,-36.4992,-36.499,-36.4989,-36.4988
6,0.11449,-48.75,-48.75,-48.7501,-48.7501,-48.7501,-48.75,-48.75,-46.3991,-46.3991,-46.3992,-46.3992,-46.3992,-46.3991,-46.3991,-44.2485,-44.2485,-44.2485,-44.2485,-44.2485,-44.2485,-44.2485,-42.2148,-42.2148,-42.2149,-42.2149,-42.2149,-42.2148,-42.2148,-40.2281,-40.2281,-40.2281,-40.2281,-40.2281,-40.2281,-40.2281,-38.2434,-38.2433,-38.2431,-38.2429,-38.2428,-38.2426,-38.2424,-36.2316,-36.2314,-36.2313,-36.2312,-36.231,-36.2308,-36.2307
7,0.134352,-48.0541,-48.0541,-48.0542,-48.0542,-48.0542,-48.0541,-48.0541,-45.7722,-45.7722,-45.7722,-45.7722,-45.7722,-45.7722,-45.7722,-43.7406,-43.7406,-43.7406,-43.7406,-43.7406,-43.7406,-43.7406,-41.7925,-41.7925,-41.7926,-41.7926,-41.7926,-41.7925,-41.7925,-39.8716,-39.8709,-39.871,-39.871,-39.871,-39.8709,-39.8709,-37.9363,-37.9361,-37.9359,-37.9357,-37.9355,-37.9353,-37.9351,-35.9672,-35.9669,-35.9666,-35.9662,-35.9659,-35.9655,-35.9652
8,0.154445,-47.2106,-47.2106,-47.2107,-47.2107,-47.2107,-47.2107,-47.2107,-45.1701,-45.1701,-45.1702,-45.1702,-45.1702,-45.1702,-45.1702,-43.251,-43.251,-43.251,-43.251,-43.251,-43.251,-43.251,-41.3829,-41.3829,-41.3829,-41.3829,-41.3829,-41.3829,-41.3829,-39.5202,-39.5199,-39.5197,-39.5195,-39.5192,-39.5189,-39.5186,-37.6326,-37.6324,-37.6322,-37.632,-37.6317,-37.6315,-37.6312,-35.7046,-35.7042,-35.7038,-35.7034,-35.703,-35.7026,-35.7022
9,0.174771,-46.5125,-46.5125,-46.5125,-46.5125,-46.5125,-46.5125,-46.5125,-44.5986,-44.5986,-44.5987,-44.5987,-44.5987,-44.5987,-44.5987,-42.779,-42.779,-42.7791,-42.7791,-42.7791,-42.779,-42.779,-40.9817,-40.9817,-40.9818,-40.9818,-40.9818,-40.9817,-40.9817,-39.1742,-39.174,-39.1737,-39.1734,-39.1731,-39.1728,-39.1725,-37.332,-37.3318,-37.3316,-37.3313,-37.3311,-37.3308,-37.3306,-35.4435,-35.4431,-35.4427,-35.4422,-35.4418,-35.4413,-35.4409
10,0.195332,-45.8482,-45.8482,-45.8482,-45.8482,-45.8482,-45.8482,-45.8482,-44.0574,-44.0574,-44.0575,-44.0575,-44.0575,-44.0574,-44.0574,-42.3201,-42.3201,-42.3202,-42.3202,-42.3202,-42.3201,-42.3201,-40.5887,-40.5887,-40.5887,-40.5887,-40.5887,-40.5887,-40.5887,-38.8333,-38.833,-38.8328,-38.8324,-38.8321,-38.8318,-38.8315,-37.0359,-37.0353,-37.0348,-37.0343,-37.0337,-37.0331,-37.0326,-35.184,-35.1836,-35.1831,-35.1826,-35.1822,-35.1817,-35.1812
11,0.216131,-45.223,-45.223,-45.2231,-45.2231,-45.2231,-45.223,-45.223,-43.5453,-43.5453,-43.5453,-43.5453,-43.5453,-43.5453,-43.5453,-41.8789,-41.8789,-41.8789,-41.8789,-41.8789,-41.8789,-41.8789,-40.2034,-40.2034,-40.2035,-40.2035,-40.2035,-40.2034,-40.2034,-38.497,-38.4967,-38.4964,-38.4961,-38.4958,-38.4954,-38.4951,-36.7427,-36.7422,-36.7416,-36.741,-36.7404,-36.7398,-36.7392,-34.9261,-34.9255,-34.9251,-34.9246,-34.9241,-34.9235,-34.923
12,0.237172,-44.6345,-44.6345,-44.6346,-44.6346,-44.6346,-44.6345,-44.6345,-43.0452,-43.0452,-43.0453,-43.0453,-43.0453,-43.0452,-43.0452,-41.4471,-41.4471,-41.4471,-41.4471,-41.4471,-41.4471,-41.4471,-39.8251,-39.8251,-39.8251,-39.8251,-39.8251,-39.8251,-39.8251,-38.1658,-38.1654,-38.1651,-38.1647,-38.1644,-38.164,-38.1637,-36.4512,-36.4509,-36.4506,-36.4503,-36.4497,-36.449,-36.4484,-34.6702,-34.6699,-34.6696,-34.6693,-34.6688,-34.6682,-34.6676
