gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
336,75.1279,72.8288,72.8679,72.9157,72.974,73.0452,73.1322,73.2384,72.8288,72.8679,72.9156,72.974,73.0452,73.1322,73.2384,72.8288,72.8679,72.9156,72.9739,73.0452,73.1322,73.2384,72.8288,72.8679,72.9156,72.9739,73.0452,73.1322,73.2384,72.8359,72.875,72.9227,72.9811,73.0523,73.1393,73.2455,72.8573,72.8963,72.9441,73.0024,73.0736,73.1606,73.2669,72.8928,72.9319,72.9796,73.0379,73.1091,73.1961,73.3024
337,76.0168,73.6954,73.7345,73.7822,73.8405,73.9118,73.9988,74.105,73.6954,73.7345,73.7822,73.8405,73.9118,73.9988,74.105,73.6954,73.7345,73.7822,73.8405,73.9118,73.9988,74.105,73.6954,73.7345,73.7822,73.8405,73.9118,73.9987,74.105,73.7026,73.7417,73.7894,73.8477,73.9189,74.0059,74.1122,73.7242,73.7633,73.811,73.8693,73.9405,74.0275,74.1338,73.7602,73.7992,73.847,73.9053,73.9765,74.0635,74.1698
338,76.916,74.5721,74.6111,74.6589,74.7172,74.7884,74.8754,74.9817,74.5721,74.6111,74.6589,74.7172,74.7884,74.8754,74.9817,74.5721,74.6111,74.6589,74.7172,74.7884,74.8754,74.9817,74.572,74.6111,74.6589,74.7172,74.7884,74.8754,74.9816,74.5793,74.6184,74.6661,74.7244,74.7957,74.8827,74.9889,74.6012,74.6402,74.688,74.7463,74.8175,74.9045,75.0108,74.6376,74.6766,74.7244,74.7827,74.8539,74.9409,75.0472
339,77.8256,75.4589,75.4979,75.5457,75.604,75.6752,75.7622,75.8685,75.4588,75.4979,75.5457,75.604,75.6752,75.7622,75.8684,75.4588,75.4979,75.5457,75.604,75.6752,75.7622,75.8684,75.4588,75.4979,75.5456,75.604,75.6752,75.7622,75.8684,75.4662,75.5053,75.553,75.6113,75.6825,75.7695,75.8758,75.4883,75.5274,75.5751,75.6334,75.7046,75.7916,75.8979,75.5251,75.5642,75.6119,75.6702,75.7415,75.8285,75.9347
340,78.7458,76.3559,76.395,76.4427,76.501,76.5723,76.6593,76.7655,76.3559,76.395,76.4427,76.501,76.5723,76.6593,76.7655,76.3559,76.395,76.4427,76.501,76.5723,76.6592,76.7655,76.3559,76.395,76.4427,76.501,76.5722,76.6592,76.7655,76.3634,76.4024,76.4502,76.5085,76.5797,76.6667,76.773,76.3857,76.4248,76.4725,76.5308,76.602,76.689,76.7953,76.423,76.462,76.5098,76.5681,76.6393,76.7263,76.8326
341,79.6766,77.2634,77.3025,77.3502,77.4085,77.4797,77.5667,77.673,77.2634,77.3025,77.3502,77.4085,77.4797,77.5667,77.673,77.2634,77.3025,77.3502,77.4085,77.4797,77.5667,77.673,77.2634,77.3024,77.3502,77.4085,77.4797,77.5667,77.673,77.2709,77.31,77.3577,77.416,77.4872,77.5742,77.6805,77.2935,77.3326,77.3803,77.4386,77.5099,77.5969,77.7031,77.3312,77.3703,77.418,77.4763,77.5476,77.6346,77.7408
342,80.6182,78.1814,78.2204,78.2682,78.3265,78.3977,78.4847,78.591,78.1814,78.2204,78.2682,78.3265,78.3977,78.4847,78.591,78.1814,78.2204,78.2682,78.3265,78.3977,78.4847,78.591,78.1814,78.2204,78.2682,78.3265,78.3977,78.4847,78.591,78.189,78.2281,78.2758,78.3341,78.4053,78.4923,78.5986,78.2119,78.2509,78.2987,78.357,78.4282,78.5152,78.6215,78.25,78.2891,78.3368,78.3951,78.4664,78.5533,78.6596
343,81.5708,79.11,79.1491,79.1968,79.2551,79.3263,79.4133,79.5196,79.11,79.1491,79.1968,79.2551,79.3263,79.4133,79.5196,79.11,79.1491,79.1968,79.2551,79.3263,79.4133,79.5196,79.11,79.1491,79.1968,79.2551,79.3263,79.4133,79.5196,79.1177,79.1568,79.2045,79.2628,79.334,79.421,79.5273,79.1409,79.1799,79.2277,79.286,79.3572,79.4442,79.5504,79.1795,79.2185,79.2663,79.3246,79.3958,79.4828,79.589
344,82.5343,80.0494,80.0885,80.1362,80.1945,80.2657,80.3527,80.459,80.0494,80.0884,80.1362,80.1945,80.2657,80.3527,80.459,80.0494,80.0884,80.1362,80.1945,80.2657,80.3527,80.459,80.0494,80.0884,80.1362,80.1945,80.2657,80.3527,80.459,80.0572,80.0962,80.144,80.2023,80.2735,80.3605,80.4668,80.0806,80.1197,80.1674,80.2257,80.2969,80.3839,80.4902,80.1197,80.1587,80.2065,80.2648,80.336,80.423,80.5293
345,83.509,80.9996,81.0387,81.0865,81.1448,81.216,81.303,81.4092,80.9996,81.0387,81.0864,81.1448,81.216,81.303,81.4092,80.9996,81.0387,81.0864,81.1448,81.216,81.303,81.4092,80.9996,81.0387,81.0864,81.1447,81.216,81.303,81.4092,81.0075,81.0466,81.0943,81.1526,81.2239,81.3109,81.4171,81.0312,81.0703,81.118,81.1764,81.2476,81.3346,81.4408,81.0945,81.1335,81.1813,81.2396,81.3108,81.3978,81.5041
346,84.495,81.9609,82,82.0477,82.106,82.1773,82.2643,82.3706,81.9609,82,82.0477,82.106,82.1773,82.2643,82.3706,81.9609,82,82.0477,82.106,82.1773,82.2643,82.3705,81.9609,82,82.0477,82.106,82.1773,82.2643,82.3705,81.9689,82.008,82.0557,82.114,82.1853,82.2723,82.3785,81.9929,82.032,82.0797,82.138,82.2092,82.2962,82.4025,82.0569,82.0959,82.1437,82.202,82.2732,82.3602,82.4665
347,85.4925,82.9333,82.9724,83.0201,83.0785,83.1497,83.2367,83.343,82.9333,82.9724,83.0201,83.0785,83.1497,83.2367,83.343,82.9333,82.9724,83.0201,83.0785,83.1497,83.2367,83.343,82.9333,82.9724,83.0201,83.0784,83.1497,83.2367,83.343,82.9414,82.9805,83.0282,83.0865,83.1578,83.2448,83.3511,82.9818,83.0209,83.0687,83.127,83.1982,83.2852,83.3915,83.0304,83.0695,83.1172,83.1755,83.2468,83.3338,83.4401
348,86.5014,83.9169,83.956,84.0038,84.0622,84.1335,84.2206,84.327,83.9169,83.956,84.0038,84.0622,84.1335,84.2206,84.3269,83.9169,83.956,84.0038,84.0621,84.1335,84.2206,84.3269,83.9169,83.956,84.0038,84.0621,84.1334,84.2205,84.3269,83.925,83.9642,84.012,84.0703,84.1416,84.2287,84.3351,83.966,84.0051,84.0529,84.1113,84.1826,84.2697,84.3761,84.0151,84.0542,84.102,84.1604,84.2317,84.3188,84.4252
