gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949,0,0,0,0.00910602,0.00910602,0.00910602,0.111949,0.111949,0.111949
1,0.0572595,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072,0,0,0,0.053219,0.053219,0.053219,0.158072,0.158072,0.158072
2,0.116568,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019,0.0175543,0.0175543,0.0175543,0.094457,0.094457,0.094457,0.206019,0.206019,0.206019
3,0.177999,0.0622067,0.0622067,0.0622067,0.133495,0.139459,0.139459,0.220585,0.220585,0.255901,0.0622067,0.0622067,0.0622067,0.133495,0.139459,0.139459,0.220585,0.220585,0.255901,0.0622067,0.0622067,0.0622067,0.133495,0.139459,0.139459,0.220585,0.220585,0.255901,0.0622067,0.0622067,0.0622067,0.138595,0.139459,0.139459,0.249179,0.249179,0.255901,0.0622067,0.0622067,0.0622067,0.138595,0.139459,0.139459,0.249179,0.249179,0.255901,0.0622067,0.0622067,0.0622067,0.138595,0.139459,0.139459,0.249179,0.249179,0.255901,0.0622067,0.0622067,0.0622067,0.143694,0.139459,0.139459,0.278059,0.278059,0.255901,0.0622067,0.0622067,0.0622067,0.143694,0.139459,0.139459,0.278059,0.278059,0.255901,0.0622067,0.0622067,0.0622067,0.143694,0.139459,0.139459,0.278059,0.278059,0.255901
4,0.241629,0.103574,0.103574,0.103574,0.158545,0.189118,0.189118,0.2634,0.2634,0.308774,0.103574,0.103574,0.103574,0.158545,0.189118,0.189118,0.2634,0.2634,0.308774,0.103574,0.103574,0.103574,0.158545,0.189118,0.189118,0.2634,0.2634,0.308774,0.103574,0.103574,0.103574,0.184291,0.189118,0.189118,0.302604,0.302604,0.308774,0.103574,0.103574,0.103574,0.184291,0.189118,0.189118,0.302604,0.302604,0.308774,0.103574,0.103574,0.103574,0.184291,0.189118,0.189118,0.302604,0.302604,0.308774,0.103574,0.103574,0.103574,0.210687,0.189118,0.189118,0.342554,0.342554,0.308774,0.103574,0.103574,0.103574,0.210687,0.189118,0.189118,0.342554,0.342554,0.308774,0.103574,0.103574,0.103574,0.210687,0.189118,0.189118,0.342554,0.342554,0.308774
5,0.307536,0.151038,0.151038,0.151038,0.186854,0.240333,0.240333,0.308055,0.308055,0.343426,0.151038,0.151038,0.151038,0.186854,0.240333,0.240333,0.308055,0.308055,0.343426,0.151038,0.151038,0.151038,0.186854,0.240333,0.240333,0.308055,0.308055,0.343426,0.151038,0.151038,0.151038,0.234931,0.240333,0.240333,0.359039,0.359039,0.363689,0.151038,0.151038,0.151038,0.234931,0.240333,0.240333,0.359039,0.359039,0.363689,0.151038,0.151038,0.151038,0.234931,0.240333,0.240333,0.359039,0.359039,0.363689,0.151038,0.151038,0.151038,0.283234,0.240333,0.240333,0.410392,0.410392,0.384048,0.151038,0.151038,0.151038,0.283234,0.240333,0.240333,0.410392,0.410392,0.384048,0.151038,0.151038,0.151038,0.283234,0.240333,0.240333,0.410392,0.410392,0.384048
6,0.375801,0.202308,0.202308,0.202308,0.23141,0.296365,0.296365,0.355304,0.355304,0.377217,0.202308,0.202308,0.202308,0.23141,0.296365,0.296365,0.355304,0.355304,0.377217,0.202308,0.202308,0.202308,0.23141,0.296365,0.296365,0.355304,0.355304,0.377217,0.202308,0.202308,0.202308,0.290423,0.296365,0.296365,0.418056,0.418056,0.420667,0.202308,0.202308,0.202308,0.290423,0.296365,0.296365,0.418056,0.418056,0.420667,0.202308,0.202308,0.202308,0.290423,0.296365,0.296365,0.418056,0.418056,0.420667,0.202308,0.202308,0.202308,0.351176,0.296365,0.296365,0.481335,0.481335,0.464328,0.202308,0.202308,0.202308,0.351176,0.296365,0.296365,0.481335,0.481335,0.464328,0.202308,0.202308,0.202308,0.351176,0.296365,0.296365,0.481335,0.481335,0.464328
7,0.44651,0.256655,0.256655,0.256655,0.277755,0.35495,0.35495,0.404551,0.404551,0.414576,0.256655,0.256655,0.256655,0.277755,0.35495,0.35495,0.404551,0.404551,0.414576,0.256655,0.256655,0.256655,0.277755,0.35495,0.35495,0.404551,0.404551,0.414576,0.256655,0.256655,0.256655,0.34956,0.35495,0.35495,0.479664,0.479664,0.480795,0.256655,0.256655,0.256655,0.34956,0.35495,0.35495,0.479664,0.479664,0.480795,0.256655,0.256655,0.256655,0.34956,0.35495,0.35495,0.479664,0.479664,0.480795,0.256655,0.256655,0.256655,0.423074,0.35495,0.35495,0.555456,0.555456,0.547517,0.256655,0.256655,0.256655,0.423074,0.35495,0.35495,0.555456,0.555456,0.547517,0.256655,0.256655,0.256655,0.423074,0.35495,0.35495,0.555456,0.555456,0.547517
8,0.519749,0.316495,0.316495,0.316495,0.326551,0.416693,0.416693,0.455872,0.455872,0.455872,0.316495,0.316495,0.316495,0.326551,0.416693,0.416693,0.455872,0.455872,0.455872,0.316495,0.316495,0.316495,0.326551,0.416693,0.416693,0.455872,0.455872,0.455872,0.316495,0.316495,0.316495,0.411917,0.416693,0.416693,0.543946,0.543946,0.543946,0.316495,0.316495,0.316495,0.411917,0.416693,0.416693,0.543946,0.543946,0.543946,0.316495,0.316495,0.316495,0.411917,0.416693,0.416693,0.543946,0.543946,0.543946,0.316495,0.316495,0.316495,0.498047,0.416693,0.416693,0.632813,0.632813,0.632813,0.316495,0.316495,0.316495,0.498047,0.416693,0.416693,0.632813,0.632813,0.632813,0.316495,0.316495,0.316495,0.498047,0.416693,0.416693,0.632813,0.632813,0.632813
9,0.595608,0.378352,0.378352,0.378352,0.378358,0.481729,0.481729,0.509415,0.509415,0.509415,0.378352,0.378352,0.378352,0.378358,0.481729,0.481729,0.509415,0.509415,0.509415,0.378352,0.378352,0.378352,0.378358,0.481729,0.481729,0.509415,0.509415,0.509415,0.378352,0.378352,0.378352,0.476936,0.481729,0.481729,0.610986,0.610986,0.610986,0.378352,0.378352,0.378352,0.476936,0.481729,0.481729,0.610986,0.610986,0.610986,0.378352,0.378352,0.378352,0.476936,0.481729,0.481729,0.610986,0.610986,0.610986,0.378352,0.378352,0.378352,0.576827,0.481729,0.481729,0.713482,0.713482,0.713482,0.378352,0.378352,0.378352,0.576827,0.481729,0.481729,0.713482,0.713482,0.713482,0.378352,0.378352,0.378352,0.576827,0.481729,0.481729,0.713482,0.713482,0.713482
