gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54
1,0.0468873,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54
2,0.0951487,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54
3,0.144824,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54
4,0.195956,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54
5,0.248585,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54,0.7,0.12,0.2,0.38,0.54
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0.18,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0,0,0,0.04,0.14,0,0,0,0,0.12,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
13,0.729114,0,0,0,0.08,0.1,0,0,0,0,0.1,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
14,0.797368,0,0,0,0.06,0.16,0,0,0,0,0.22,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0
15,0.867622,0,0,0,0.02,0.28,0,0,0,0,0.3,0,0,0,0.02,0.04,0,0,0,0,0.02,0,0,0,0,0
16,0.939934,0,0,0,0,0.26,0,0,0,0,0.24,0,0,0,0,0.12,0,0,0,0,0.08,0,0,0,0,0
17,1.01437,0,0,0,0.22,0.26,0,0,0,0.14,0.2,0,0,0,0,0.2,0,0,0,0,0.04,0,0,0,0,0.04
18,1.09098,0,0,0,0.18,0.3,0,0,0,0.16,0.18,0,0,0,0,0.18,0,0,0,0,0.12,0,0,0,0,0.1
19,1.16984,0,0,0.04,0.16,0.34,0,0,0,0.12,0.28,0,0,0,0.06,0.14,0,0,0,0,0.18,0,0,0,0,0.04
20,1.25101,0,0,0.1,0.16,0.36,0,0,0.04,0.1,0.32,0,0,0,0.1,0.24,0,0,0,0,0.14,0,0,0,0,0.06
21,1.33455,0,0,0.1,0.18,0.34,0,0,0.06,0.1,0.3,0,0,0,0.08,0.28,0,0,0,0.08,0.18,0,0,0,0,0.14
22,1.42055,0,0,0.08,0.22,0.32,0,0,0.04,0.14,0.32,0,0,0,0.1,0.26,0,0,0,0.04,0.24,0,0,0,0,0.14
23,1.50907,0,0,0.06,0.24,0.36,0,0,0.02,0.18,0.34,0,0,0,0.18,0.24,0,0,0,0.06,0.24,0,0,0,0.04,0.2
24,1.60018,0,0,0.08,0.24,0.42,0,0,0.02,0.2,0.38,0,0,0,0.18,0.28,0,0,0,0.12,0.22,0,0,0,0.04,0.26
25,1.69396,0,0,0.1,0.26,0.42,0,0,0.06,0.22,0.38,0,0,0,0.14,0.32,0,0,0,0.16,0.28,0,0,0,0,0.22
26,1.79048,0,0,0.14,0.28,0.4,0,0,0.08,0.26,0.36,0,0,0,0.16,0.32,0,0,0,0.12,0.32,0,0,0,0.04,0.22
27,1.88984,0,0,0.16,0.3,0.38,0,0,0.12,0.28,0.32,0,0,0.04,0.2,0.32,0,0,0,0.1,0.3,0,0,0,0.1,0.28
28,1.99211,0,0,0.16,0.32,0.36,0,0,0.12,0.28,0.38,0,0,0.08,0.24,0.4,0,0,0.06,0.12,0.28,0,0,0,0.1,0.3
29,2.09737,0,0.02,0.16,0.32,0.42,0,0,0.1,0.26,0.44,0,0,0.06,0.24,0.4,0,0,0.04,0.18,0.32,0,0,0,0.08,0.26
30,2.20572,0,0.04,0.14,0.3,0.46,0,0.02,0.08,0.24,0.42,0,0,0.06,0.22,0.38,0,0,0.02,0.2,0.36,0,0,0.02,0.06,0.24
31,2.31725,0,0.06,0.12,0.28,0.44,0,0.04,0.1,0.24,0.4,0,0,0.08,0.2,0.36,0,0,0.06,0.18,0.36,0,0,0,0.18,0.26
32,2.43204,0,0.08,0.14,0.28,0.42,0,0.04,0.16,0.22,0.38,0,0,0.12,0.18,0.34,0,0,0.1,0.16,0.32,0,0,0,0.16,0.32
33,2.5502,0,0.08,0.18,0.26,0.42,0,0.02,0.18,0.26,0.38,0,0,0.14,0.26,0.36,0,0,0.12,0.2,0.3,0,0,0.02,0.18,0.3
34,2.67182,0,0.08,0.22,0.26,0.4,0,0.02,0.16,0.32,0.4,0,0,0.12,0.28,0.38,0,0,0.1,0.26,0.32,0,0,0.06,0.22,0.28
35,2.797,0,0.08,0.22,0.3,0.4,0,0,0.16,0.3,0.42,0,0,0.12,0.26,0.4,0,0,0.08,0.24,0.38,0,0,0.08,0.24,0.34
36,2.92586,0,0.06,0.2,0.34,0.42,0,0.02,0.16,0.3,0.44,0,0,0.14,0.26,0.4,0,0,0.08,0.22,0.38,0,0,0.06,0.22,0.36
37,3.05848,0,0.06,0.2,0.34,0.42,0,0.04,0.18,0.3,0.44,0,0.02,0.16,0.28,0.4,0,0,0.1,0.24,0.38,0,0,0.04,0.2,0.34
38,3.195,0,0.06,0.18,0.32,0.46,0,0.06,0.2,0.32,0.42,0,0.04,0.18,0.3,0.42,0,0,0.14,0.28,0.4,0,0,0.06,0.2,0.34
39,3.33551,0,0.06,0.2,0.32,0.46,0,0.08,0.2,0.32,0.44,0,0.06,0.2,0.32,0.44,0,0.02,0.16,0.3,0.42,0,0,0.1,0.24,0.36
40,3.48015,0,0.08,0.2,0.32,0.44,0,0.08,0.22,0.34,0.46,0,0.04,0.18,0.32,0.46,0,0,0.14,0.28,0.42,0,0,0.12,0.26,0.4
41,3.62902,0,0.1,0.22,0.34,0.44,0,0.08,0.22,0.36,0.46,0,0.04,0.16,0.3,0.44,0,0,0.12,0.28,0.42,0,0,0.1,0.24,0.4
