gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
23,1.50907,0.804755,0.804755,0.804755,0.804755,0.804755,0.802408,0.802408,0.802408,0.802408,0.802408,0.799962,0.799962,0.799962,0.799962,0.799962,0.797592,0.797592,0.797592,0.797592,0.797592,0.805268,0.805268,0.805268,0.805268,0.805268
24,1.60018,0.840458,0.840458,0.840458,0.840458,0.840458,0.837775,0.837775,0.837775,0.837775,0.837775,0.834967,0.834967,0.834967,0.834967,0.834967,0.832233,0.832233,0.832233,0.832233,0.832233,0.841619,0.841619,0.841619,0.841619,0.841619
25,1.69396,0.876985,0.876985,0.876985,0.876985,0.876985,0.874021,0.874021,0.874021,0.874021,0.874021,0.870913,0.870913,0.870913,0.870913,0.870913,0.867883,0.867883,0.867883,0.867883,0.867883,0.878831,0.878831,0.878831,0.878831,0.878831
26,1.79048,0.913936,0.913936,0.913936,0.913936,0.913936,0.910591,0.910591,0.910591,0.910591,0.910591,0.907071,0.907071,0.907071,0.907071,0.907071,0.903623,0.903623,0.903623,0.903623,0.903623,0.916653,0.916653,0.916653,0.916653,0.916653
27,1.88984,0.951735,0.951735,0.951735,0.951735,0.951735,0.948065,0.948065,0.948065,0.948065,0.948065,0.944196,0.944196,0.944196,0.944196,0.944196,0.9404,0.9404,0.9404,0.9404,0.9404,0.955467,0.955467,0.955467,0.955467,0.955467
28,1.99211,0.990118,0.990118,0.990118,0.990118,0.990118,0.986023,0.986023,0.986023,0.986023,0.986023,0.98169,0.98169,0.98169,0.98169,0.98169,0.977421,0.977421,0.977421,0.977421,0.977421,0.995239,0.995239,0.995239,0.995239,0.995239
29,2.09737,1.02938,1.02938,1.02938,1.02938,1.02938,1.02491,1.02491,1.02491,1.02491,1.02491,1.02018,1.02018,1.02018,1.02018,1.02018,1.01551,1.01551,1.01551,1.01551,1.01551,1.03603,1.03603,1.03603,1.03603,1.03603
30,2.20572,1.06938,1.06938,1.06938,1.06938,1.06938,1.06445,1.06445,1.06445,1.06445,1.06445,1.0592,1.0592,1.0592,1.0592,1.0592,1.054,1.054,1.054,1.054,1.054,1.07787,1.07787,1.07787,1.07787,1.07787
31,2.31725,1.1103,1.1103,1.1103,1.1103,1.1103,1.10495,1.10495,1.10495,1.10495,1.10495,1.09924,1.09924,1.09924,1.09924,1.09924,1.09357,1.09357,1.09357,1.09357,1.09357,1.12074,1.12074,1.12074,1.12074,1.12074
32,2.43204,1.15213,1.15213,1.15213,1.15213,1.15213,1.14626,1.14626,1.14626,1.14626,1.14626,1.13999,1.13999,1.13999,1.13999,1.13999,1.13373,1.13373,1.13373,1.13373,1.13373,1.16477,1.16477,1.16477,1.16477,1.16477
33,2.5502,1.19491,1.19491,1.19491,1.19491,1.19491,1.18857,1.18857,1.18857,1.18857,1.18857,1.18178,1.18178,1.18178,1.18178,1.18178,1.175,1.175,1.175,1.175,1.175,1.21046,1.21046,1.21046,1.21046,1.21046
34,2.67182,1.23875,1.23875,1.23875,1.23875,1.23875,1.23186,1.23186,1.23186,1.23186,1.23186,1.22445,1.22445,1.22445,1.22445,1.22445,1.21703,1.21703,1.21703,1.21703,1.21703,1.25755,1.25755,1.25755,1.25755,1.25755
35,2.797,1.28361,1.28361,1.28361,1.28361,1.28361,1.2762,1.2762,1.2762,1.2762,1.2762,1.26822,1.26822,1.26822,1.26822,1.26822,1.2602,1.2602,1.2602,1.2602,1.2602,1.3061,1.3061,1.3061,1.3061,1.3061
36,2.92586,1.32968,1.32968,1.32968,1.32968,1.32968,1.32168,1.32168,1.32168,1.32168,1.32168,1.31303,1.31303,1.31303,1.31303,1.31303,1.3043,1.3043,1.3043,1.3043,1.3043,1.35633,1.35633,1.35633,1.35633,1.35633
37,3.05848,1.37685,1.37685,1.37685,1.37685,1.37685,1.36828,1.36828,1.36828,1.36828,1.36828,1.35899,1.35899,1.35899,1.35899,1.35899,1.3496,1.3496,1.3496,1.3496,1.3496,1.40838,1.40838,1.40838,1.40838,1.40838
