gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[0 7],VF[0 8],VF[0 9],VF[0 10],VF[0 11],VF[0 12],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[1 7],VF[1 8],VF[1 9],VF[1 10],VF[1 11],VF[1 12],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[2 7],VF[2 8],VF[2 9],VF[2 10],VF[2 11],VF[2 12],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[3 7],VF[3 8],VF[3 9],VF[3 10],VF[3 11],VF[3 12],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[4 7],VF[4 8],VF[4 9],VF[4 10],VF[4 11],VF[4 12],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[5 7],VF[5 8],VF[5 9],VF[5 10],VF[5 11],VF[5 12],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6],VF[6 7],VF[6 8],VF[6 9],VF[6 10],VF[6 11],VF[6 12]
0,0,-30.9424,-30.9424,-30.9424,-30.9424,-30.9424,-30.9424,-30.9424,-25.328,-25.328,-25.328,-25.328,-25.328,-25.328,-25.328,-21.3352,-21.3352,-21.3352,-21.3352,-21.3352,-21.3352,-21.3352,-18.474,-18.474,-18.474,-18.474,-18.474,-18.474,-18.474,-15.918,-15.918,-15.918,-15.918,-15.918,-15.918,-15.918,-13.6608,-13.6608,-13.6608,-13.6608,-13.6608,-13.6608,-13.6608,-11.6318,-11.6318,-11.6318,-11.6318,-11.6318,-11.6318,-11.6318,-30.9424,-30.9424,-30.9424,-30.9424,-30.9424,-30.9424,-30.9424,-25.328,-25.328,-25.328,-25.328,-25.328,-25.328,-25.328,-21.3352,-21.3352,-21.3352,-21.3352,-21.3352,-21.3352,-21.3352,-18.474,-18.474,-18.474,-18.474,-18.474,-18.474,-18.474,-15.918,-15.918,-15.918,-15.918,-15.918,-15.918,-15.918,-13.6608,-13.6608,-13.6608,-13.6608,-13.6608,-13.6608,-13.6608
1,0.0185364,-28.3556,-28.3524,-28.3492,-28.346,-28.3429,-28.3397,-28.3365,-23.8716,-23.8698,-23.868,-23.8661,-23.8643,-23.8625,-23.8606,-20.5709,-20.5699,-20.5688,-20.5678,-20.5668,-20.5657,-20.5647,-17.893,-17.8923,-17.8915,-17.8908,-17.89,-17.8893,-17.8885,-15.4852,-15.4846,-15.4841,-15.4835,-15.483,-15.4824,-15.4818,-13.3398,-13.3393,-13.3389,-13.3384,-13.338,-13.3375,-13.3371,-11.3878,-11.3874,-11.3871,-11.3868,-11.3864,-11.3861,-11.3858,-28.3747,-28.3683,-28.3619,-28.3556,-28.3492,-28.3429,-28.3365,-23.8827,-23.879,-23.8753,-23.8716,-23.868,-23.8643,-23.8606,-20.5771,-20.575,-20.573,-20.5709,-20.5688,-20.5668,-20.5647,-17.8975,-17.896,-17.8945,-17.893,-17.8915,-17.89,-17.8885,-15.4885,-15.4874,-15.4863,-15.4852,-15.4841,-15.483,-15.4818,-13.3426,-13.3416,-13.3407,-13.3398,-13.3389,-13.338,-13.3371
2,0.0372875,-26.39,-26.3851,-26.3803,-26.3754,-26.3706,-26.3657,-26.3609,-22.7105,-22.7076,-22.7047,-22.7017,-22.6988,-22.6959,-22.693,-19.8619,-19.8601,-19.8582,-19.8564,-19.8546,-19.8527,-19.8509,-17.3602,-17.3587,-17.3572,-17.3557,-17.3541,-17.3526,-17.3511,-15.091,-15.0898,-15.0887,-15.0876,-15.0865,-15.0854,-15.0842,-13.0341,-13.0333,-13.0324,-13.0315,-13.0307,-13.0298,-13.0289,-11.1516,-11.151,-11.1503,-11.1496,-11.149,-11.1483,-11.1476,-26.4192,-26.4094,-26.3997,-26.39,-26.3803,-26.3706,-26.3609,-22.7282,-22.7223,-22.7164,-22.7105,-22.7047,-22.6988,-22.693,-19.8729,-19.8692,-19.8656,-19.8619,-19.8582,-19.8546,-19.8509,-17.3693,-17.3663,-17.3632,-17.3602,-17.3572,-17.3542,-17.3511,-15.0977,-15.0954,-15.0932,-15.091,-15.0887,-15.0865,-15.0842,-13.0393,-13.0376,-13.0359,-13.0341,-13.0324,-13.0307,-13.0289
3,0.0562558,-24.8631,-24.8574,-24.8517,-24.846,-24.8404,-24.8347,-24.829,-21.7804,-21.777,-21.7736,-21.7702,-21.7668,-21.7634,-21.76,-19.2076,-19.2048,-19.202,-19.1993,-19.1965,-19.1937,-19.1909,-16.8447,-16.8427,-16.8408,-16.8388,-16.8368,-16.8348,-16.8329,-14.7085,-14.707,-14.7054,-14.7038,-14.7022,-14.7007,-14.6991,-12.7372,-12.7359,-12.7347,-12.7335,-12.7322,-12.731,-12.7298,-10.9216,-10.9207,-10.9197,-10.9187,-10.9178,-10.9168,-10.9159,-24.8973,-24.8859,-24.8744,-24.8631,-24.8517,-24.8404,-24.829,-21.8007,-21.7939,-21.7872,-21.7804,-21.7736,-21.7668,-21.76,-19.2242,-19.2186,-19.2131,-19.2076,-19.202,-19.1965,-19.1909,-16.8566,-16.8526,-16.8487,-16.8447,-16.8408,-16.8368,-16.8329,-14.718,-14.7149,-14.7117,-14.7086,-14.7054,-14.7023,-14.6991,-12.7445,-12.7421,-12.7396,-12.7372,-12.7347,-12.7322,-12.7298
4,0.0754439,-23.6545,-23.6485,-23.6185,-23.6185,-23.6185,-23.6185,-23.6185,-20.9698,-20.9652,-20.9425,-20.9425,-20.9425,-20.9425,-20.9425,-18.5697,-18.5665,-18.5506,-18.5506,-18.5506,-18.5506,-18.5506,-16.3726,-16.37,-16.3567,-16.3567,-16.3567,-16.3567,-16.3567,-14.332,-14.3299,-14.3195,-14.3195,-14.3195,-14.3195,-14.3195,-12.4457,-12.4442,-12.4364,-12.4364,-12.4364,-12.4364,-12.4364,-10.6944,-10.6931,-10.6871,-10.6871,-10.6871,-10.6871,-10.6871,-23.6908,-23.6787,-23.6425,-23.6365,-23.6305,-23.6245,-23.6185,-20.9971,-20.988,-20.9607,-20.9561,-20.9516,-20.947,-20.9425,-18.5888,-18.5825,-18.5634,-18.5602,-18.557,-18.5538,-18.5506,-16.3885,-16.3832,-16.3673,-16.3647,-16.362,-16.3594,-16.3567,-14.3447,-14.3405,-14.3278,-14.3257,-14.3236,-14.3215,-14.3195,-12.4551,-12.452,-12.4426,-12.441,-12.4395,-12.4379,-12.4364
5,0.0948544,-22.6803,-22.6741,-22.6678,-22.6616,-22.6553,-22.649,-22.6428,-20.2347,-20.2298,-20.2249,-20.22,-20.2151,-20.2101,-20.2052,-17.9958,-17.9918,-17.9878,-17.9838,-17.9798,-17.9758,-17.9718,-15.9117,-15.9087,-15.9057,-15.9028,-15.8998,-15.8968,-15.8938,-13.9809,-13.9784,-13.976,-13.9735,-13.9711,-13.9687,-13.9662,-12.1637,-12.1618,-12.1598,-12.1578,-12.1559,-12.1539,-12.1519,-10.4753,-10.4738,-10.4722,-10.4707,-10.4692,-10.4677,-10.4661,-22.7179,-22.7054,-22.6929,-22.6803,-22.6678,-22.6553,-22.6428,-20.2643,-20.2544,-20.2446,-20.2347,-20.2249,-20.2151,-20.2052,-18.0198,-18.0118,-18.0038,-17.9958,-17.9878,-17.9798,-17.9718,-15.9296,-15.9237,-15.9177,-15.9117,-15.9057,-15.8998,-15.8938,-13.9955,-13.9907,-13.9858,-13.9809,-13.976,-13.9711,-13.9662,-12.1755,-12.1716,-12.1677,-12.1637,-12.1598,-12.1559,-12.1519
6,0.11449,-21.7717,-21.7642,-21.7566,-21.749,-21.7415,-21.7415,-21.7263,-19.5213,-19.5153,-19.5094,-19.5035,-19.4975,-19.4975,-19.4857,-17.4377,-17.4335,-17.4293,-17.4251,-17.4209,-17.421,-17.4126,-15.4783,-15.4747,-15.4711,-15.4675,-15.4639,-15.4639,-15.4567,-13.6328,-13.63,-13.6272,-13.6244,-13.6216,-13.6215,-13.6159,-11.8896,-11.8873,-11.8851,-11.8828,-11.8805,-11.8805,-11.876,-10.2591,-10.2574,-10.2556,-10.2539,-10.2521,-10.2521,-10.2486,-21.8171,-21.802,-21.7868,-21.7717,-21.7566,-21.749,-21.7263,-19.5569,-19.545,-19.5332,-19.5213,-19.5094,-19.5035,-19.4857,-17.4629,-17.4545,-17.4461,-17.4377,-17.4293,-17.4252,-17.4126,-15.4999,-15.4927,-15.4855,-15.4783,-15.4711,-15.4675,-15.4567,-13.6496,-13.644,-13.6384,-13.6328,-13.6272,-13.6244,-13.6159,-11.9031,-11.8986,-11.8941,-11.8896,-11.8851,-11.8828,-11.876
7,0.134352,-20.965,-20.9576,-20.9502,-20.9428,-20.9355,-20.9281,-20.9207,-18.8857,-18.8798,-18.8739,-18.868,-18.862,-18.8561,-18.8502,-16.9282,-16.9233,-16.9184,-16.9135,-16.9086,-16.9036,-16.8987,-15.0677,-15.0637,-15.0598,-15.0558,-15.0519,-15.048,-15.044,-13.2947,-13.2917,-13.2886,-13.2855,-13.2825,-13.2794,-13.2763,-11.6208,-11.6182,-11.6157,-11.6132,-11.6106,-11.6081,-11.6056,-10.0476,-10.0456,-10.0437,-10.0418,-10.0399,-10.038,-10.0358,-21.0093,-20.9946,-20.9798,-20.965,-20.9502,-20.9354,-20.9207,-18.9213,-18.9094,-18.8976,-18.8857,-18.8739,-18.8621,-18.8502,-16.9577,-16.9479,-16.9381,-16.9282,-16.9184,-16.9086,-16.8988,-15.0913,-15.0834,-15.0756,-15.0677,-15.0598,-15.0519,-15.0441,-13.3132,-13.307,-13.3009,-13.2947,-13.2886,-13.2824,-13.2763,-11.636,-11.6309,-11.6258,-11.6208,-11.6157,-11.6106,-11.6056
8,0.154445,-20.1908,-20.1823,-20.1738,-20.1653,-20.1738,-20.1568,-20.1398,-18.2653,-18.2585,-18.2517,-18.2449,-18.2517,-18.2381,-18.2245,-16.4307,-16.4255,-16.4204,-16.4153,-16.4204,-16.4102,-16.3999,-14.6663,-14.6622,-14.658,-14.6539,-14.6581,-14.6498,-14.6415,-12.9728,-12.9693,-12.9658,-12.9622,-12.9658,-12.9587,-12.9516,-11.3587,-11.356,-11.3532,-11.3505,-11.3532,-11.3477,-11.3423,-9.84669,-9.8445,-9.84232,-9.84013,-9.84029,-9.83595,-9.83161,-20.2417,-20.2248,-20.2078,-20.1908,-20.1908,-20.1653,-20.1398,-18.3061,-18.2925,-18.2789,-18.2653,-18.2653,-18.2449,-18.2245,-16.4614,-16.4511,-16.4409,-16.4307,-16.4307,-16.4153,-16.4,-14.6913,-14.683,-14.6747,-14.6664,-14.6664,-14.654,-14.6415,-12.994,-12.9869,-12.9799,-12.9728,-12.9728,-12.9622,-12.9516,-11.3751,-11.3697,-11.3642,-11.3587,-11.3587,-11.3505,-11.3423
9,0.174771,-19.5113,-19.5437,-19.5275,-19.5113,-19.4952,-19.479,-19.4629,-17.7112,-17.7379,-17.7245,-17.7112,-17.6978,-17.6845,-17.6711,-15.9588,-15.982,-15.9704,-15.9588,-15.9481,-15.9373,-15.9266,-14.284,-14.3028,-14.2934,-14.284,-14.2746,-14.2652,-14.2558,-12.6586,-12.6738,-12.6662,-12.6586,-12.651,-12.6434,-12.6358,-11.1062,-11.1186,-11.1124,-11.1062,-11.1,-11.0938,-11.0876,-9.64507,-9.65437,-9.64946,-9.64455,-9.63964,-9.63473,-9.62982,-19.5598,-19.5841,-19.5598,-19.5356,-19.5114,-19.4871,-19.4629,-17.7513,-17.7714,-17.7513,-17.7313,-17.7112,-17.6912,-17.6711,-15.9935,-16.0109,-15.9935,-15.9762,-15.9588,-15.9427,-15.9266,-14.3121,-14.3262,-14.3121,-14.2981,-14.284,-14.2699,-14.2558,-12.6814,-12.6929,-12.6814,-12.67,-12.6586,-12.6472,-12.6358,-11.1248,-11.1341,-11.1248,-11.1155,-11.1063,-11.097,-11.0877
