gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[0 7],policy[0 8],policy[0 9],policy[0 10],policy[0 11],policy[0 12],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[1 7],policy[1 8],policy[1 9],policy[1 10],policy[1 11],policy[1 12],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[2 7],policy[2 8],policy[2 9],policy[2 10],policy[2 11],policy[2 12],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[3 7],policy[3 8],policy[3 9],policy[3 10],policy[3 11],policy[3 12],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[4 7],policy[4 8],policy[4 9],policy[4 10],policy[4 11],policy[4 12],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[5 7],policy[5 8],policy[5 9],policy[5 10],policy[5 11],policy[5 12],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6],policy[6 7],policy[6 8],policy[6 9],policy[6 10],policy[6 11],policy[6 12]
0,0,0,0,0,0.0314299,0.0671437,0.121958,0.201994,0,0,0,0.0314299,0.0671437,0.121958,0.201994,0,0,0,0.03143,0.0671437,0.121958,0.201994,0,0,0,0.03143,0.0671437,0.121958,0.201994,0,0,0,0.03143,0.0671438,0.121958,0.201995,0,0,0,0.0314301,0.0671438,0.121958,0.201995,0,0,0,0.0314301,0.0671438,0.121959,0.201995,0,0,0,0.0314301,0.0671439,0.121959,0.201995,0,0,0,0.0314302,0.0671439,0.121959,0.201995,0,0,0,0.0314302,0.0671439,0.121959,0.201995,0,0,0,0.0314302,0.0671439,0.121959,0.201995,0,0,0,0.0314302,0.067144,0.121959,0.201995,0,0,0,0.0314303,0.067144,0.121959,0.201995
1,0.0185364,0,0,0.00915466,0.0405726,0.0768923,0.133765,0.2167,0,0,0.00917257,0.0405857,0.0769106,0.133782,0.216721,0,0,0.00919048,0.0405989,0.0769289,0.133798,0.216743,0,0,0.0092084,0.0406121,0.0769472,0.133815,0.216764,0,0,0.00922631,0.0406253,0.0769654,0.133832,0.216786,0,0,0.00924422,0.0406385,0.0769837,0.133849,0.216807,0,0,0.00926214,0.0406516,0.077002,0.133866,0.216829,0,0,0.00928005,0.0406648,0.0770203,0.133883,0.21685,0,0,0.00929796,0.040678,0.0770386,0.1339,0.216871,0,0,0.00931588,0.0406912,0.0770569,0.133917,0.216893,0,0,0.00933379,0.0407044,0.0770752,0.133933,0.216914,0,0,0.0093517,0.0407175,0.0770935,0.13395,0.216936,0,0,0.00936961,0.0407307,0.0771118,0.133967,0.216957
2,0.0372875,0,0,0.0209274,0.0498927,0.0898282,0.148896,0.231887,0,0,0.0209536,0.0499192,0.0898649,0.148939,0.23193,0,0,0.0209798,0.0499457,0.0899017,0.148983,0.231973,0,0,0.021006,0.0499722,0.0899384,0.149026,0.232017,0,0,0.0210322,0.0499986,0.0899752,0.149069,0.23206,0,0,0.0210584,0.0500251,0.0900119,0.149113,0.232103,0,0,0.0210846,0.0500516,0.0900487,0.149156,0.232146,0,0,0.0211108,0.0500781,0.0900854,0.1492,0.232189,0,0,0.021137,0.0501046,0.0901222,0.149243,0.232232,0,0,0.0211632,0.0501311,0.0901589,0.149287,0.232275,0,0,0.0211894,0.0501575,0.0901957,0.14933,0.232319,0,0,0.0212156,0.050184,0.0902324,0.149374,0.232362,0,0,0.0212418,0.0502105,0.0902692,0.149417,0.232405
3,0.0562558,0,0.00216331,0.0302546,0.0593543,0.102161,0.163256,0.245908,0,0.00221763,0.0302941,0.0593947,0.102211,0.163314,0.245965,0,0.00227195,0.0303337,0.0594351,0.102261,0.163372,0.246021,0,0.00232626,0.0303732,0.0594754,0.102311,0.16343,0.246077,0,0.00238058,0.0304127,0.0595158,0.102361,0.163489,0.246134,0,0.00243489,0.0304522,0.0595562,0.102412,0.163547,0.24619,0,0.00248921,0.0304917,0.0595966,0.102462,0.163605,0.246247,0,0.00254353,0.0305312,0.0596369,0.102512,0.163663,0.246303,0,0.00259784,0.0305707,0.0596773,0.102562,0.163721,0.246359,0,0.00265216,0.0306102,0.0597177,0.102613,0.16378,0.246416,0,0.00270648,0.0306497,0.059758,0.102663,0.163838,0.246472,0,0.00276079,0.0306892,0.0597984,0.102713,0.163896,0.246529,0,0.00281511,0.0307288,0.0598388,0.102763,0.163954,0.246585
4,0.0754439,0,0.0151342,0.0400343,0.0693204,0.114565,0.177856,0.259827,0,0.015207,0.0400343,0.0693204,0.114565,0.177856,0.259827,0,0.0152798,0.0400343,0.0693205,0.114565,0.177856,0.259827,0,0.0153526,0.0400344,0.0693205,0.114565,0.177856,0.259827,0,0.0154255,0.0400344,0.0693205,0.114565,0.177856,0.259827,0,0.0154983,0.0400344,0.0693206,0.114565,0.177856,0.259827,0,0.0155711,0.0400345,0.0693206,0.114565,0.177856,0.259827,0,0.015644,0.0400345,0.0693206,0.114565,0.177856,0.259827,0,0.0157168,0.0400345,0.0693206,0.114566,0.177856,0.259827,0,0.0157896,0.0400346,0.0693207,0.114566,0.177856,0.259827,0,0.0158624,0.0400346,0.0693207,0.114566,0.177856,0.259827,0,0.0159353,0.0400346,0.0693207,0.114566,0.177856,0.259827,0,0.0160081,0.0400346,0.0693208,0.114566,0.177856,0.259827
5,0.0948544,0.00164377,0.0256155,0.049352,0.0800216,0.126438,0.192567,0.272938,0.00173538,0.0256822,0.0494193,0.0801158,0.126523,0.192673,0.273033,0.00182699,0.0257489,0.0494865,0.0802101,0.126609,0.192779,0.273127,0.00191859,0.0258155,0.0495538,0.0803043,0.126695,0.192885,0.273222,0.0020102,0.0258822,0.049621,0.0803986,0.12678,0.192992,0.273317,0.00210181,0.0259489,0.0496883,0.0804929,0.126866,0.193098,0.273411,0.00219341,0.0260156,0.0497555,0.0805871,0.126952,0.193204,0.273506,0.00228502,0.0260823,0.0498228,0.0806814,0.127037,0.19331,0.273601,0.00237663,0.026149,0.04989,0.0807756,0.127123,0.193416,0.273695,0.00246823,0.0262157,0.0499573,0.0808699,0.127209,0.193522,0.27379,0.00255984,0.0262824,0.0500245,0.0809641,0.127295,0.193629,0.273884,0.00265145,0.026349,0.0500918,0.0810584,0.12738,0.193735,0.273979,0.00274306,0.0264157,0.0501591,0.0811526,0.127466,0.193841,0.274074
6,0.11449,0.0149244,0.0352834,0.0591219,0.0936865,0.140216,0.207286,0.286752,0.015035,0.0353639,0.0592036,0.0938003,0.140351,0.207544,0.28701,0.0151455,0.0354444,0.0592853,0.093914,0.140485,0.207802,0.287268,0.0152561,0.0355249,0.0593671,0.0940278,0.14062,0.208061,0.287526,0.0153667,0.0356054,0.0594488,0.0941416,0.140754,0.208319,0.287784,0.0154772,0.0356859,0.0595305,0.0942553,0.140889,0.208577,0.288042,0.0155878,0.0357663,0.0596123,0.0943691,0.141023,0.208835,0.2883,0.0156984,0.0358468,0.059694,0.0944828,0.141158,0.209094,0.288558,0.0158089,0.0359273,0.0597757,0.0945966,0.141292,0.209352,0.288816,0.0159195,0.0360078,0.0598574,0.0947103,0.141427,0.20961,0.289074,0.01603,0.0360883,0.0599392,0.0948241,0.141561,0.209868,0.289332,0.0161406,0.0361688,0.0600209,0.0949288,0.141696,0.210127,0.28959,0.0162512,0.0362492,0.0601026,0.0950302,0.14183,0.210385,0.289848
7,0.134352,0.0256971,0.0451217,0.0690533,0.106139,0.156312,0.224107,0.302458,0.0257917,0.0452168,0.0691492,0.106258,0.156451,0.224266,0.30285,0.0258863,0.045312,0.0692451,0.106377,0.15659,0.224424,0.303242,0.0259809,0.0454071,0.069341,0.106496,0.15673,0.224583,0.303634,0.0260754,0.0455023,0.0694369,0.106615,0.156869,0.224741,0.304026,0.02617,0.0455974,0.0695328,0.106734,0.157008,0.2249,0.304419,0.0262646,0.0456926,0.0696287,0.106853,0.157147,0.225058,0.304811,0.0263592,0.0457877,0.0697246,0.106972,0.157286,0.225217,0.305203,0.0264537,0.0458829,0.0698205,0.107091,0.157426,0.225376,0.305595,0.0265483,0.045978,0.0699164,0.10721,0.157565,0.225534,0.305987,0.0266429,0.0460732,0.0700123,0.107329,0.157704,0.225693,0.306379,0.0267375,0.0461683,0.0701082,0.107448,0.157843,0.225851,0.306772,0.0268321,0.0462635,0.0702041,0.107567,0.157983,0.22601,0.307164
8,0.154445,0.0356045,0.0550891,0.0805785,0.11866,0.169937,0.239225,0.322826,0.0357132,0.0551985,0.0807333,0.118799,0.170257,0.23953,0.323277,0.0358219,0.0553079,0.0808881,0.118937,0.170577,0.239835,0.323728,0.0359306,0.0554172,0.081043,0.119076,0.170897,0.240141,0.324098,0.0360393,0.0555266,0.0811978,0.119214,0.171218,0.240446,0.324454,0.0361481,0.055636,0.0813526,0.119353,0.171538,0.240751,0.32481,0.0362568,0.0557454,0.0815075,0.119491,0.171858,0.241056,0.325165,0.0363655,0.0558547,0.0816623,0.11963,0.172178,0.241361,0.325521,0.0364742,0.0559641,0.0818171,0.119769,0.172498,0.241667,0.325877,0.0365829,0.0560735,0.081972,0.119907,0.172818,0.241972,0.326233,0.0366917,0.0561829,0.0821268,0.120046,0.173138,0.242277,0.326588,0.0368004,0.0562923,0.0822816,0.120184,0.173458,0.242582,0.326944,0.0369091,0.056402,0.0824365,0.120323,0.173778,0.242888,0.3273
9,0.174771,0.0456686,0.0644543,0.0938014,0.130494,0.185412,0.253175,0.339289,0.0457922,0.0647026,0.0941517,0.130808,0.185805,0.253521,0.339691,0.0459159,0.0649508,0.0945021,0.131121,0.186199,0.253866,0.340094,0.0460395,0.0651991,0.0948525,0.131435,0.186592,0.254211,0.340496,0.0461631,0.0654473,0.0951599,0.131749,0.186986,0.254557,0.340899,0.0462868,0.0656956,0.095467,0.132062,0.187379,0.254902,0.341301,0.0464104,0.0659438,0.0957742,0.132376,0.187773,0.255248,0.341704,0.0465341,0.066192,0.0960814,0.132689,0.188166,0.255593,0.342107,0.0466577,0.0664403,0.0963885,0.133003,0.18856,0.255938,0.342509,0.0467813,0.0666885,0.0966957,0.133317,0.188953,0.256284,0.342912,0.046905,0.0669368,0.0970029,0.13363,0.189347,0.256629,0.343314,0.0470286,0.067185,0.09731,0.133944,0.18974,0.256975,0.343717,0.0471523,0.0674333,0.0976172,0.134257,0.190134,0.25732,0.344119
