gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0185364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0372875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0562558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0754439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0948544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.11449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.134352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.154445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.174771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.195332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.216131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.237172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.258456,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.279986,0,0,0,0,0.13,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
15,0.301766,0,0,0,0,0.19,0,0,0,0,0.08,0,0,0,0,0.21,0,0,0,0,0.06,0,0,0,0,0.17
16,0.323799,0,0,0,0.04,0.3,0,0,0,0,0.27,0,0,0,0,0.15,0,0,0,0,0.16,0,0,0,0,0.18
17,0.346087,0,0,0,0.06,0.3,0,0,0,0,0.29,0,0,0,0,0.32,0,0,0,0,0.26,0,0,0,0,0.28
18,0.368632,0,0,0,0.19,0.44,0,0,0,0.12,0.41,0,0,0,0,0.29,0,0,0,0,0.29,0,0,0,0,0.28
19,0.391439,0,0,0,0.17,0.43,0,0,0,0.14,0.38,0,0,0,0,0.45,0,0,0,0,0.41,0,0,0,0,0.37
20,0.414511,0,0,0,0.19,0.55,0,0,0,0.1,0.52,0,0,0,0.11,0.41,0,0,0,0,0.39,0,0,0,0,0.37
21,0.437849,0,0,0,0.23,0.51,0,0,0,0.18,0.47,0,0,0,0.13,0.43,0,0,0,0.07,0.47,0,0,0,0,0.45
22,0.461458,0,0,0,0.26,0.51,0,0,0,0.23,0.48,0,0,0,0.09,0.49,0,0,0,0.05,0.47,0,0,0,0,0.4
23,0.485341,0,0,0,0.28,0.59,0,0,0,0.19,0.52,0,0,0,0.13,0.45,0,0,0,0.05,0.43,0,0,0,0.07,0.46
24,0.5095,0,0,0,0.31,0.56,0,0,0,0.21,0.52,0,0,0,0.2,0.54,0,0,0,0.16,0.54,0,0,0,0.08,0.5
25,0.533939,0,0,0.02,0.34,0.58,0,0,0,0.27,0.55,0,0,0,0.19,0.52,0,0,0,0.17,0.53,0,0,0,0.18,0.57
26,0.558661,0,0,0.06,0.32,0.61,0,0,0,0.27,0.58,0,0,0,0.24,0.55,0,0,0,0.23,0.57,0,0,0,0.13,0.51
27,0.58367,0,0,0.1,0.36,0.6,0,0,0,0.31,0.56,0,0,0,0.27,0.59,0,0,0,0.21,0.56,0,0,0,0.16,0.62
28,0.608968,0,0,0.11,0.4,0.62,0,0,0.05,0.35,0.61,0,0,0,0.31,0.57,0,0,0,0.27,0.62,0,0,0,0.21,0.57
29,0.634559,0,0,0.09,0.38,0.66,0,0,0.03,0.34,0.63,0,0,0.02,0.34,0.64,0,0,0,0.29,0.61,0,0,0,0.27,0.61
30,0.660447,0,0,0.1,0.43,0.64,0,0,0.11,0.39,0.64,0,0,0.01,0.31,0.62,0,0,0,0.27,0.58,0,0,0,0.28,0.62
31,0.686635,0,0,0.19,0.45,0.66,0,0,0.13,0.41,0.66,0,0,0,0.35,0.66,0,0,0,0.34,0.66,0,0,0,0.24,0.63
32,0.713126,0,0,0.17,0.44,0.69,0,0,0.11,0.41,0.66,0,0,0.04,0.39,0.67,0,0,0.03,0.33,0.63,0,0,0,0.28,0.66
33,0.739924,0,0,0.15,0.43,0.67,0,0,0.09,0.45,0.66,0,0,0.08,0.36,0.63,0,0,0,0.37,0.67,0,0,0,0.32,0.63
34,0.767033,0,0,0.18,0.49,0.66,0,0,0.14,0.45,0.7,0,0,0.06,0.41,0.7,0,0,0.01,0.39,0.68,0,0,0,0.38,0.7
