gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
433,232.933,-0.0531243,-0.0528499,-0.0525769,-0.0523039,-0.0520309,-0.0517634,-0.0514993,-0.0530956,-0.0528219,-0.052549,-0.0522761,-0.0520032,-0.0517362,-0.0514722,-0.0530625,-0.0527895,-0.0525167,-0.0522439,-0.0519712,-0.0517048,-0.051441,-0.0530246,-0.0527519,-0.0524793,-0.0522066,-0.0519339,-0.0516685,-0.0514047,-0.0529807,-0.0527081,-0.0524356,-0.052163,-0.0518905,-0.0516261,-0.0513624,-0.0529293,-0.0526569,-0.0523844,-0.052112,-0.05184,-0.0515764,-0.0513129,-0.0528689,-0.0525966,-0.0523243,-0.052052,-0.0517815,-0.0515181,-0.0512547
434,235.65,-0.0519611,-0.0516927,-0.0514255,-0.0511584,-0.0508912,-0.0506294,-0.0503987,-0.0519334,-0.0516656,-0.0513985,-0.0511314,-0.0508644,-0.0506031,-0.0503725,-0.0519014,-0.0516342,-0.0513673,-0.0511003,-0.0508334,-0.0505728,-0.0503423,-0.0518648,-0.0515979,-0.051331,-0.0510642,-0.0507973,-0.0505376,-0.0503072,-0.0518223,-0.0515555,-0.0512888,-0.051022,-0.0507553,-0.0504966,-0.0502662,-0.0517725,-0.0515059,-0.0512393,-0.0509727,-0.0507065,-0.0504485,-0.0502183,-0.0517141,-0.0514476,-0.0511811,-0.0509146,-0.0506499,-0.0503921,-0.050162
435,238.399,-0.0508229,-0.0505603,-0.0502989,-0.0500374,-0.0497759,-0.0495198,-0.049294,-0.0507961,-0.0505341,-0.0502727,-0.0500113,-0.04975,-0.0494944,-0.0492687,-0.0507651,-0.0505038,-0.0502425,-0.0499812,-0.04972,-0.049465,-0.0492394,-0.0507298,-0.0504686,-0.0502075,-0.0499463,-0.0496851,-0.049431,-0.0492055,-0.0506887,-0.0504276,-0.0501666,-0.0499055,-0.0496445,-0.0493913,-0.0491659,-0.0506406,-0.0503796,-0.0501187,-0.0498578,-0.0495972,-0.0493448,-0.0491195,-0.050584,-0.0503232,-0.0500624,-0.0498016,-0.0495425,-0.0492902,-0.049065
436,241.179,-0.0497092,-0.0494523,-0.0491964,-0.0489405,-0.0486846,-0.048434,-0.0482131,-0.0496833,-0.0494269,-0.0491711,-0.0489153,-0.0486595,-0.0484094,-0.0481886,-0.0496533,-0.0493976,-0.0491419,-0.0488862,-0.0486305,-0.048381,-0.0481603,-0.0496191,-0.0493635,-0.049108,-0.0488524,-0.0485968,-0.0483481,-0.0481274,-0.0495794,-0.0493239,-0.0490684,-0.048813,-0.0485575,-0.0483097,-0.0480891,-0.0495328,-0.0492775,-0.0490221,-0.0487668,-0.0485118,-0.0482648,-0.0480443,-0.0494781,-0.0492229,-0.0489677,-0.0487124,-0.0484589,-0.048212,-0.0479916
437,243.992,-0.0486194,-0.048368,-0.0481176,-0.0478672,-0.0476168,-0.0473716,-0.0471554,-0.0485943,-0.0483435,-0.0480932,-0.0478429,-0.0475925,-0.0473478,-0.0471317,-0.0485654,-0.0483151,-0.0480649,-0.0478147,-0.0475645,-0.0473204,-0.0471043,-0.0485323,-0.0482822,-0.0480321,-0.047782,-0.0475319,-0.0472885,-0.0470726,-0.0484939,-0.0482439,-0.0479939,-0.0477438,-0.0474938,-0.0472514,-0.0470355,-0.0484489,-0.048199,-0.047949,-0.0476991,-0.0474497,-0.0472079,-0.0469921,-0.048396,-0.0481462,-0.0478964,-0.0476466,-0.0473985,-0.0471568,-0.0469411
438,246.837,-0.0475531,-0.0473071,-0.0470621,-0.0468171,-0.046572,-0.0463321,-0.0461205,-0.0475288,-0.0472834,-0.0470384,-0.0467935,-0.0465485,-0.0463091,-0.0460976,-0.0475008,-0.047256,-0.0470111,-0.0467662,-0.0465214,-0.0462825,-0.0460711,-0.0474689,-0.0472241,-0.0469794,-0.0467346,-0.0464898,-0.0462517,-0.0460404,-0.0474317,-0.047187,-0.0469424,-0.0466977,-0.046453,-0.0462158,-0.0460046,-0.0473881,-0.0471436,-0.046899,-0.0466545,-0.0464103,-0.0461738,-0.0459626,-0.047337,-0.0470925,-0.0468481,-0.0466036,-0.0463608,-0.0461243,-0.0459133
439,249.715,-0.0465097,-0.0462691,-0.0460293,-0.0457895,-0.0455497,-0.045315,-0.0451079,-0.0464862,-0.0462461,-0.0460064,-0.0457667,-0.045527,-0.0452927,-0.0450858,-0.0464592,-0.0462196,-0.0459799,-0.0457403,-0.0455007,-0.045267,-0.0450601,-0.0464283,-0.0461888,-0.0459493,-0.0457097,-0.0454702,-0.0452372,-0.0450304,-0.0463923,-0.0461529,-0.0459135,-0.045674,-0.0454346,-0.0452025,-0.0449958,-0.0463502,-0.0461109,-0.0458715,-0.0456322,-0.0453933,-0.0451618,-0.0449552,-0.0463007,-0.0460615,-0.0458223,-0.045583,-0.0453454,-0.045114,-0.0449074
440,252.626,-0.0454888,-0.0452534,-0.0450187,-0.0447841,-0.0445494,-0.0443198,-0.0441172,-0.0454661,-0.0452312,-0.0449966,-0.044762,-0.0445274,-0.0442983,-0.0440957,-0.04544,-0.0452055,-0.044971,-0.0447365,-0.044502,-0.0442734,-0.0440709,-0.0454101,-0.0451757,-0.0449413,-0.0447069,-0.0444725,-0.0442446,-0.0440422,-0.0453753,-0.045141,-0.0449067,-0.0446724,-0.0444381,-0.044211,-0.0440087,-0.0453345,-0.0451003,-0.0448661,-0.0446319,-0.0443982,-0.0441716,-0.0439694,-0.0452867,-0.0450526,-0.0448185,-0.0445844,-0.0443518,-0.0441254,-0.0439232
441,255.572,-0.0444899,-0.0442596,-0.0440299,-0.0438003,-0.0435707,-0.043346,-0.0431478,-0.0444679,-0.0442381,-0.0440085,-0.043779,-0.0435494,-0.0433252,-0.043127,-0.0444427,-0.0442132,-0.0439838,-0.0437543,-0.0435249,-0.0433012,-0.0431031,-0.0444138,-0.0441844,-0.0439551,-0.0437257,-0.0434963,-0.0432733,-0.0430753,-0.0443801,-0.0441509,-0.0439216,-0.0436923,-0.043463,-0.0432408,-0.0430428,-0.0443407,-0.0441115,-0.0438824,-0.0436532,-0.0434244,-0.0432027,-0.0430049,-0.0442944,-0.0440653,-0.0438362,-0.0436072,-0.0433796,-0.043158,-0.0429602
442,258.551,-0.0435125,-0.0432872,-0.0430625,-0.0428378,-0.0426131,-0.0424089,-0.0421993,-0.0434913,-0.0432664,-0.0430418,-0.0428172,-0.0425925,-0.0423888,-0.0421793,-0.0434669,-0.0432424,-0.0430179,-0.0427933,-0.0425688,-0.0423655,-0.0421561,-0.043439,-0.0432145,-0.0429901,-0.0427656,-0.0425412,-0.0423385,-0.0421292,-0.0434064,-0.043182,-0.0429577,-0.0427333,-0.042509,-0.0423071,-0.0420978,-0.0433683,-0.043144,-0.0429197,-0.0426955,-0.0424716,-0.0422703,-0.0420611,-0.0433235,-0.0430993,-0.0428751,-0.042651,-0.0424283,-0.042227,-0.0420179
443,261.565,-0.0425563,-0.0423358,-0.0421159,-0.0418961,-0.0416762,-0.0414764,-0.0412714,-0.0425357,-0.0423157,-0.0420959,-0.0418761,-0.0416563,-0.0414569,-0.0412519,-0.0425122,-0.0422925,-0.0420728,-0.041853,-0.0416333,-0.0414344,-0.0412295,-0.0424851,-0.0422655,-0.0420459,-0.0418263,-0.0416066,-0.0414083,-0.0412035,-0.0424536,-0.0422341,-0.0420146,-0.041795,-0.0415755,-0.0413779,-0.0411732,-0.0424168,-0.0421973,-0.0419779,-0.0417584,-0.0415394,-0.0413423,-0.0411376,-0.0423734,-0.0421541,-0.0419347,-0.0417154,-0.0414974,-0.0413004,-0.0410959
444,264.613,-0.0416206,-0.041405,-0.0411898,-0.0409747,-0.0407595,-0.0405641,-0.0403634,-0.0416008,-0.0413855,-0.0411704,-0.0409554,-0.0407403,-0.0405453,-0.0403447,-0.041578,-0.041363,-0.041148,-0.0409331,-0.0407181,-0.0405235,-0.040323,-0.0415519,-0.041337,-0.0411221,-0.0409071,-0.0406922,-0.0404982,-0.0402978,-0.0415214,-0.0413066,-0.0410918,-0.0408769,-0.0406621,-0.0404688,-0.0402684,-0.0414857,-0.041271,-0.0410563,-0.0408415,-0.0406272,-0.0404344,-0.0402341,-0.0414438,-0.0412292,-0.0410145,-0.0407999,-0.0405866,-0.0403939,-0.0401937
