gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
31,2.31725,1.1631,1.1631,1.1631,1.1631,1.1631,1.114,1.114,1.114,1.114,1.114,1.0555,1.0555,1.0555,1.0555,1.0555,0.990544,0.990544,0.990544,0.990544,0.990544,0.923911,0.923911,0.923911,0.923911,0.923911
32,2.43204,1.25539,1.25539,1.25539,1.25539,1.25539,1.20667,1.20667,1.20667,1.20667,1.20667,1.14917,1.14917,1.14917,1.14917,1.14917,1.08524,1.08524,1.08524,1.08524,1.08524,1.01873,1.01873,1.01873,1.01873,1.01873
33,2.5502,1.35125,1.35125,1.35125,1.35125,1.35125,1.30293,1.30293,1.30293,1.30293,1.30293,1.24548,1.24548,1.24548,1.24548,1.24548,1.18305,1.18305,1.18305,1.18305,1.18305,1.11796,1.11796,1.11796,1.11796,1.11796
34,2.67182,1.45014,1.45014,1.45014,1.45014,1.45014,1.40284,1.40284,1.40284,1.40284,1.40284,1.34632,1.34632,1.34632,1.34632,1.34632,1.28372,1.28372,1.28372,1.28372,1.28372,1.21986,1.21986,1.21986,1.21986,1.21986
35,2.797,1.55224,1.55224,1.55224,1.55224,1.55224,1.5056,1.5056,1.5056,1.5056,1.5056,1.45069,1.45069,1.45069,1.45069,1.45069,1.38933,1.38933,1.38933,1.38933,1.38933,1.32539,1.32539,1.32539,1.32539,1.32539
36,2.92586,1.6583,1.6583,1.6583,1.6583,1.6583,1.61194,1.61194,1.61194,1.61194,1.61194,1.55763,1.55763,1.55763,1.55763,1.55763,1.49782,1.49782,1.49782,1.49782,1.49782,1.4357,1.4357,1.4357,1.4357,1.4357
37,3.05848,1.7685,1.7685,1.7685,1.7685,1.7685,1.7227,1.7227,1.7227,1.7227,1.7227,1.66849,1.66849,1.66849,1.66849,1.66849,1.60893,1.60893,1.60893,1.60893,1.60893,1.54801,1.54801,1.54801,1.54801,1.54801
38,3.195,1.88249,1.88249,1.88249,1.88249,1.88249,1.8374,1.8374,1.8374,1.8374,1.8374,1.78393,1.78393,1.78393,1.78393,1.78393,1.72471,1.72471,1.72471,1.72471,1.72471,1.66397,1.66397,1.66397,1.66397,1.66397
39,3.33551,1.99966,1.99966,1.99966,1.99966,1.99966,1.95546,1.95546,1.95546,1.95546,1.95546,1.90298,1.90298,1.90298,1.90298,1.90298,1.84485,1.84485,1.84485,1.84485,1.84485,1.78477,1.78477,1.78477,1.78477,1.78477
40,3.48015,2.12076,2.12076,2.12076,2.12076,2.12076,2.07699,2.07699,2.07699,2.07699,2.07699,2.02544,2.02544,2.02544,2.02544,2.02544,1.96812,1.96812,1.96812,1.96812,1.96812,1.90944,1.90944,1.90944,1.90944,1.90944
41,3.62902,2.2466,2.2466,2.2466,2.2466,2.2466,2.20299,2.20299,2.20299,2.20299,2.20299,2.15202,2.15202,2.15202,2.15202,2.15202,2.09561,2.09561,2.09561,2.09561,2.09561,2.03711,2.03711,2.03711,2.03711,2.03711
42,3.78225,2.37677,2.37677,2.37677,2.37677,2.37677,2.33358,2.33358,2.33358,2.33358,2.33358,2.28285,2.28285,2.28285,2.28285,2.28285,2.22724,2.22724,2.22724,2.22724,2.22724,2.16987,2.16987,2.16987,2.16987,2.16987
43,3.93998,2.51097,2.51097,2.51097,2.51097,2.51097,2.46855,2.46855,2.46855,2.46855,2.46855,2.41824,2.41824,2.41824,2.41824,2.41824,2.36273,2.36273,2.36273,2.36273,2.36273,2.30588,2.30588,2.30588,2.30588,2.30588
44,4.10232,2.64923,2.64923,2.64923,2.64923,2.64923,2.6076,2.6076,2.6076,2.6076,2.6076,2.5583,2.5583,2.5583,2.5583,2.5583,2.5034,2.5034,2.5034,2.5034,2.5034,2.44659,2.44659,2.44659,2.44659,2.44659
45,4.26943,2.79187,2.79187,2.79187,2.79187,2.79187,2.75074,2.75074,2.75074,2.75074,2.75074,2.70217,2.70217,2.70217,2.70217,2.70217,2.64846,2.64846,2.64846,2.64846,2.64846,2.5928,2.5928,2.5928,2.5928,2.5928
46,4.44143,2.93937,2.93937,2.93937,2.93937,2.93937,2.89855,2.89855,2.89855,2.89855,2.89855,2.8504,2.8504,2.8504,2.8504,2.8504,2.79725,2.79725,2.79725,2.79725,2.79725,2.74268,2.74268,2.74268,2.74268,2.74268
47,4.61847,3.09211,3.09211,3.09211,3.09211,3.09211,3.05154,3.05154,3.05154,3.05154,3.05154,3.00378,3.00378,3.00378,3.00378,3.00378,2.95089,2.95089,2.95089,2.95089,2.95089,2.89656,2.89656,2.89656,2.89656,2.89656
48,4.8007,3.24986,3.24986,3.24986,3.24986,3.24986,3.20982,3.20982,3.20982,3.20982,3.20982,3.16253,3.16253,3.16253,3.16253,3.16253,3.11008,3.11008,3.11008,3.11008,3.11008,3.05614,3.05614,3.05614,3.05614,3.05614
49,4.98827,3.41229,3.41229,3.41229,3.41229,3.41229,3.37278,3.37278,3.37278,3.37278,3.37278,3.32625,3.32625,3.32625,3.32625,3.32625,3.27446,3.27446,3.27446,3.27446,3.27446,3.22097,3.22097,3.22097,3.22097,3.22097
50,5.18134,3.57962,3.57962,3.57962,3.57962,3.57962,3.5404,3.5404,3.5404,3.5404,3.5404,3.49426,3.49426,3.49426,3.49426,3.49426,3.44333,3.44333,3.44333,3.44333,3.44333,3.39063,3.39063,3.39063,3.39063,3.39063
51,5.38006,3.75243,3.75243,3.75243,3.75243,3.75243,3.71359,3.71359,3.71359,3.71359,3.71359,3.66771,3.66771,3.66771,3.66771,3.66771,3.61712,3.61712,3.61712,3.61712,3.61712,3.56534,3.56534,3.56534,3.56534,3.56534
52,5.58461,3.93087,3.93087,3.93087,3.93087,3.93087,3.89247,3.89247,3.89247,3.89247,3.89247,3.84711,3.84711,3.84711,3.84711,3.84711,3.79687,3.79687,3.79687,3.79687,3.79687,3.74527,3.74527,3.74527,3.74527,3.74527
53,5.79515,4.11478,4.11478,4.11478,4.11478,4.11478,4.07685,4.07685,4.07685,4.07685,4.07685,4.03204,4.03204,4.03204,4.03204,4.03204,3.9823,3.9823,3.9823,3.9823,3.9823,3.93079,3.93079,3.93079,3.93079,3.93079
