gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
74,2.15235,2.02,2.04025,2.06049,2.08073,2.10097,2.12119,2.14142
75,2.19582,2.06158,2.08223,2.10288,2.12353,2.14417,2.16481,2.18544
76,2.2398,2.10364,2.12471,2.14577,2.16683,2.18788,2.20893,2.22997
77,2.28428,2.14619,2.16768,2.18916,2.21063,2.2321,2.25356,2.27502
78,2.32928,2.18924,2.21115,2.23305,2.25494,2.27683,2.29872,2.3206
79,2.37481,2.23279,2.25512,2.27745,2.29977,2.32209,2.3444,2.36671
80,2.42085,2.27685,2.29961,2.32237,2.34512,2.36787,2.39061,2.41335
81,2.46744,2.32142,2.34462,2.36781,2.391,2.41418,2.43736,2.46053
82,2.51456,2.36651,2.39015,2.41378,2.43741,2.46103,2.48465,2.50827
83,2.56223,2.41212,2.43621,2.46029,2.48436,2.50843,2.5325,2.55656
84,2.61045,2.45827,2.48281,2.50734,2.53186,2.55638,2.5809,2.60541
85,2.65923,2.50495,2.52995,2.55493,2.57992,2.60489,2.62986,2.65483
86,2.70857,2.55218,2.57763,2.60308,2.62853,2.65396,2.6794,2.70483
87,2.75849,2.59995,2.62587,2.65179,2.6777,2.70361,2.72951,2.7554
88,2.80898,2.64828,2.67468,2.70107,2.72745,2.75383,2.7802,2.80657
89,2.86006,2.69717,2.72405,2.75092,2.77778,2.80463,2.83148,2.85833
90,2.91173,2.74663,2.77399,2.80134,2.82869,2.85602,2.88336,2.91069
91,2.964,2.79667,2.82452,2.85236,2.88019,2.90802,2.93584,2.96365
92,3.01688,2.84729,2.87563,2.90396,2.93229,2.96061,2.98893,3.01724
93,3.07036,2.89849,2.92734,2.95617,2.985,3.01382,3.04263,3.07144
94,3.12447,2.95029,2.97964,3.00898,3.03832,3.06764,3.09696,3.12628
95,3.1792,3.0027,3.03256,3.06241,3.09225,3.12209,3.15192,3.18175
96,3.23457,3.05571,3.08609,3.11646,3.14682,3.17718,3.20752,3.23787
97,3.29058,3.10934,3.14024,3.17113,3.20202,3.2329,3.26377,3.29464
98,3.34724,3.16359,3.19502,3.22644,3.25786,3.28927,3.32067,3.35207
99,3.40456,3.21846,3.25043,3.28239,3.31435,3.34629,3.37823,3.41016
100,3.46253,3.27398,3.30649,3.339,3.37149,3.40397,3.43645,3.46893
101,3.52119,3.33014,3.3632,3.39625,3.4293,3.46233,3.49536,3.52838
102,3.58052,3.38696,3.42057,3.45418,3.48777,3.52136,3.55494,3.58851
103,3.64053,3.44443,3.47861,3.51277,3.54693,3.58107,3.61521,3.64934
104,3.70125,3.50257,3.53731,3.57204,3.60677,3.64148,3.67618,3.71088
105,3.76266,3.56138,3.5967,3.632,3.6673,3.70259,3.73786,3.77314
106,3.82479,3.62088,3.65678,3.69266,3.72854,3.7644,3.80026,3.83612
107,3.88764,3.68106,3.71755,3.75402,3.79048,3.82694,3.86338,3.89983
108,3.95121,3.74195,3.77903,3.81609,3.85315,3.8902,3.92724,3.96427
109,4.01552,3.80354,3.84122,3.87888,3.91654,3.95419,3.99183,4.02947
110,4.08058,3.86584,3.90413,3.9424,3.98067,4.01893,4.05718,4.09542
111,4.14639,3.92887,3.96777,4.00666,4.04554,4.08442,4.12328,4.16214
112,4.21297,3.99263,4.03215,4.07167,4.11117,4.15066,4.19015,4.22963
113,4.28031,4.05713,4.09728,4.13742,4.17756,4.21768,4.2578,4.29791
114,4.34843,4.12237,4.16317,4.20395,4.24471,4.28547,4.32623,4.36697
115,4.41735,4.18838,4.22981,4.27124,4.31265,4.35405,4.39545,4.43684
116,4.48706,4.25515,4.29724,4.33931,4.38138,4.42343,4.46548,4.50752
117,4.55758,4.32269,4.36544,4.40817,4.4509,4.49361,4.53631,4.57901
118,4.62892,4.39102,4.43443,4.47783,4.52122,4.5646,4.60798,4.65134
119,4.70108,4.46014,4.50423,4.5483,4.59237,4.63642,4.68047,4.72451
120,4.77408,4.53006,4.57483,4.61959,4.66434,4.70907,4.7538,4.79852
121,4.84793,4.60079,4.64626,4.6917,4.73714,4.78257,4.82798,4.87339
122,4.92263,4.67235,4.71851,4.76465,4.81079,4.85691,4.90302,4.94913
123,4.99819,4.74473,4.7916,4.83845,4.88529,4.93212,4.97894,5.02575
124,5.07463,4.81795,4.86553,4.9131,4.96065,5.0082,5.05573,5.10326
125,5.15196,4.89202,4.94033,4.98862,5.03689,5.08516,5.13341,5.18166
126,5.23019,4.96695,5.01599,5.06501,5.11402,5.16301,5.212,5.26098
127,5.30931,5.04275,5.09253,5.14229,5.19203,5.24177,5.29149,5.34121
128,5.38936,5.11943,5.16995,5.22046,5.27095,5.32144,5.37191,5.42237
129,5.47033,5.197,5.24828,5.29954,5.35079,5.40203,5.45326,5.50448
130,5.55225,5.27546,5.32751,5.37954,5.43155,5.48356,5.53555,5.58754
131,5.63511,5.35484,5.40766,5.46046,5.51325,5.56603,5.61879,5.67155
132,5.71893,5.43513,5.48874,5.54232,5.5959,5.64946,5.703,5.75655
133,5.80372,5.51636,5.57076,5.62513,5.6795,5.73385,5.78819,5.84253
134,5.88949,5.59853,5.65373,5.70891,5.76407,5.81923,5.87437,5.9295
135,5.97626,5.68165,5.73766,5.79365,5.84962,5.90559,5.96154,6.01748
136,6.06403,5.76573,5.82256,5.87937,5.93617,5.99295,6.04972,6.10649
137,6.15282,5.85079,5.90845,5.96609,6.02372,6.08133,6.13893,6.19652
138,6.24264,5.93683,5.99533,6.05381,6.11228,6.17073,6.22917,6.2876
139,6.3335,6.02388,6.08322,6.14255,6.20187,6.26117,6.32045,6.37973
140,6.42541,6.11193,6.17213,6.23232,6.29249,6.35265,6.41279,6.47293
141,6.51839,6.201,6.26207,6.32313,6.38417,6.4452,6.50621,6.56721
142,6.61244,6.2911,6.35306,6.41499,6.47691,6.53881,6.6007,6.66259
143,6.70758,6.38225,6.44509,6.50792,6.57072,6.63352,6.69629,6.75907
144,6.80383,6.47445,6.5382,6.60192,6.66563,6.72932,6.79299,6.85666
145,6.90119,6.56773,6.63238,6.69701,6.76163,6.82623,6.89081,6.95539
146,6.99968,6.66208,6.72765,6.79321,6.85874,6.92426,6.98976,7.05526
147,7.0993,6.75753,6.82403,6.89051,6.95698,7.02343,7.08986,7.15629
148,7.20009,6.85408,6.92153,6.98895,7.05636,7.12375,7.19112,7.25849
149,7.30204,6.95175,7.02015,7.08853,7.15689,7.22523,7.29356,7.36188
150,7.40517,7.05056,7.11992,7.18926,7.25858,7.32789,7.39718,7.46646
151,7.5095,7.15051,7.22084,7.29116,7.36145,7.43173,7.502,7.57225
152,7.61503,7.25161,7.32294,7.39424,7.46552,7.53678,7.60803,7.67927
153,7.72179,7.35389,7.42621,7.49851,7.57079,7.64305,7.7153,7.78753
154,7.82979,7.45736,7.53069,7.60399,7.67728,7.75055,7.8238,7.89705
155,7.93903,7.56202,7.63637,7.7107,7.785,7.85929,7.93357,8.00783
156,8.04955,7.6679,7.74328,7.81864,7.89398,7.9693,8.0446,8.1199
157,8.16134,7.775,7.85143,7.92783,8.00421,8.08058,8.15693,8.23326
158,8.27443,7.88334,7.96083,8.03829,8.11573,8.19315,8.27055,8.34794
159,8.38882,7.99294,8.0715,8.15002,8.22853,8.30702,8.38549,8.46395
160,8.50455,8.10381,8.18345,8.26305,8.34264,8.42221,8.50176,8.5813
161,8.62161,8.21597,8.29669,8.3774,8.45808,8.53874,8.61938,8.70002
162,8.74003,8.32942,8.41125,8.49306,8.57485,8.65662,8.73836,8.8201
163,8.85982,8.44419,8.52714,8.61007,8.69297,8.77586,8.85873,8.94158
164,8.981,8.56028,8.64437,8.72843,8.81247,8.89648,8.98048,9.06447
165,9.10358,8.67773,8.76296,8.84816,8.93334,9.0185,9.10364,9.18877
166,9.22759,8.79653,8.88292,8.96928,9.05562,9.14194,9.22823,9.31452
167,9.35303,8.91671,9.00427,9.09181,9.17931,9.2668,9.35427,9.44173
168,9.47992,9.03828,9.12703,9.21575,9.30444,9.39311,9.48176,9.57041
169,9.60828,9.16126,9.25121,9.34113,9.43102,9.52089,9.61074,9.70058
170,9.73813,9.28567,9.37683,9.46796,9.55906,9.65014,9.74121,9.83226
171,9.86949,9.41152,9.5039,9.59626,9.68859,9.7809,9.87319,9.96546
172,10.0024,9.53882,9.63245,9.72604,9.81962,9.91317,10.0067,10.1002
173,10.1368,9.6676,9.76248,9.85733,9.95216,10.047,10.1417,10.2365
174,10.2728,9.79787,9.89403,9.99015,10.0862,10.1823,10.2784,10.3744
175,10.4103,9.92965,10.0271,10.1245,10.2219,10.3192,10.4166,10.5139
176,10.5494,10.063,10.1617,10.2604,10.3591,10.4577,10.5564,10.655
177,10.6902,10.1978,10.2979,10.3979,10.4979,10.5979,10.6978,10.7977
178,10.8326,10.3342,10.4356,10.537,10.6383,10.7396,10.8409,10.9421
179,10.9766,10.4722,10.575,10.6776,10.7803,10.883,10.9856,11.0882
180,11.1223,10.6118,10.7159,10.82,10.924,11.028,11.132,11.236
181,11.2697,10.753,10.8585,10.9639,11.0693,11.1747,11.2801,11.3854
182,11.4188,10.8959,11.0027,11.1096,11.2164,11.3231,11.4299,11.5366
183,11.5696,11.0404,11.1487,11.2569,11.3651,11.4733,11.5814,11.6896
184,11.7222,11.1866,11.2963,11.4059,11.5155,11.6252,11.7347,11.8443
185,11.8766,11.3344,11.4456,11.5567,11.6677,11.7788,11.8898,12.0008
186,12.0327,11.484,11.5966,11.7092,11.8217,11.9342,12.0467,12.1592
187,12.1906,11.6353,11.7494,11.8634,11.9774,12.0914,12.2054,12.3193
188,12.3504,11.7884,11.904,12.0195,12.135,12.2505,12.3659,12.4813
189,12.512,11.9432,12.0603,12.1774,12.2944,12.4113,12.5283,12.6452
190,12.6755,12.0999,12.2185,12.3371,12.4556,12.5741,12.6926,12.811
191,12.8409,12.2583,12.3785,12.4986,12.6187,12.7387,12.8587,12.9788
192,13.0082,12.4186,12.5403,12.662,12.7836,12.9053,13.0268,13.1484
193,13.1774,12.5808,12.7041,12.8273,12.9505,13.0737,13.1969,13.32
194,13.3486,12.7448,12.8697,12.9945,13.1194,13.2441,13.3689,13.4937
195,13.5218,12.9107,13.0372,13.1637,13.2901,13.4165,13.5429,13.6693
196,13.697,13.0786,13.2067,13.3348,13.4629,13.5909,13.7189,13.8469
197,13.8742,13.2484,13.3782,13.5079,13.6377,13.7673,13.897,14.0267
198,14.0535,13.4201,13.5516,13.683,13.8144,13.9458,14.0771,14.2085
