gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
18,1.09098,8.24869e-007,2.98465e-006,4.72798e-006,2.98465e-006,8.24869e-007,1.3838e-006,5.00706e-006,7.93168e-006,5.00706e-006,1.3838e-006,8.53895e-007,3.08967e-006,4.89435e-006,3.08967e-006,8.53895e-007,1.88591e-007,6.82385e-007,1.08097e-006,6.82385e-007,1.88591e-007,1.67729e-008,6.06897e-008,9.61385e-008,6.06897e-008,1.67729e-008
19,1.16984,2.62803e-006,9.50908e-006,1.50633e-005,9.50908e-006,2.62803e-006,4.51947e-006,1.63529e-005,2.59046e-005,1.63529e-005,4.51947e-006,2.86745e-006,1.03754e-005,1.64356e-005,1.03754e-005,2.86745e-006,6.44238e-007,2.33106e-006,3.69264e-006,2.33106e-006,6.44238e-007,5.66715e-008,2.05056e-007,3.24829e-007,2.05056e-007,5.66715e-008
20,1.25101,8.76574e-006,3.17173e-005,5.02434e-005,3.17173e-005,8.76574e-006,1.54084e-005,5.57525e-005,8.83176e-005,5.57525e-005,1.54084e-005,9.92862e-006,3.5925e-005,5.69088e-005,3.5925e-005,9.92862e-006,2.21778e-006,8.02466e-006,1.27119e-005,8.02466e-006,2.21778e-006,1.90237e-007,6.88341e-007,1.0904e-006,6.88341e-007,1.90237e-007
21,1.33455,2.00038e-005,7.23805e-005,0.000114658,7.23805e-005,2.00038e-005,3.63302e-005,0.000131454,0.000208237,0.000131454,3.63302e-005,2.44464e-005,8.84549e-005,0.000140121,8.84549e-005,2.44464e-005,5.72917e-006,2.073e-005,3.28384e-005,2.073e-005,5.72917e-006,5.07204e-007,1.83523e-006,2.90719e-006,1.83523e-006,5.07204e-007
22,1.42055,3.79198e-005,0.000137206,0.000217348,0.000137206,3.79198e-005,7.36839e-005,0.000266612,0.000422341,0.000266612,7.36839e-005,5.42684e-005,0.000196361,0.000311055,0.000196361,5.42684e-005,1.41211e-005,5.10947e-005,8.09391e-005,5.10947e-005,1.41211e-005,1.36288e-006,4.93133e-006,7.81172e-006,4.93133e-006,1.36288e-006
23,1.50907,6.8788e-005,0.000248898,0.000394279,0.000248898,6.8788e-005,0.000138532,0.000501252,0.000794034,0.000501252,0.000138532,0.000105773,0.00038272,0.000606266,0.00038272,0.000105773,2.84434e-005,0.000102918,0.000163032,0.000102918,2.84434e-005,2.84101e-006,1.02797e-005,1.62841e-005,1.02797e-005,2.84101e-006
24,1.60018,0.000113063,0.0004091,0.000648054,0.0004091,0.000113063,0.000238842,0.000864209,0.00136899,0.000864209,0.000238842,0.000192462,0.000696392,0.00110315,0.000696392,0.000192462,5.48616e-005,0.000198507,0.000314455,0.000198507,5.48616e-005,5.82979e-006,2.10941e-005,3.34152e-005,2.10941e-005,5.82979e-006
25,1.69396,0.000152194,0.000550687,0.000872343,0.000550687,0.000152194,0.000344547,0.00124669,0.00197487,0.00124669,0.000344547,0.000304204,0.00110071,0.00174364,0.00110071,0.000304204,9.66744e-005,0.0003498,0.000554118,0.0003498,9.66744e-005,1.14427e-005,4.14035e-005,6.55872e-005,4.14035e-005,1.14427e-005
26,1.79048,0.000201086,0.000727596,0.00115259,0.000727596,0.000201086,0.000490172,0.0017736,0.00280956,0.0017736,0.000490172,0.000460265,0.00166539,0.00263814,0.00166539,0.000460265,0.000153152,0.000554153,0.000877834,0.000554153,0.000153152,1.87806e-005,6.79542e-005,0.000107646,6.79542e-005,1.87806e-005
27,1.88984,0.00024386,0.000882365,0.00139775,0.000882365,0.00024386,0.000622654,0.00225297,0.00356892,0.00225297,0.000622654,0.000621953,0.00225043,0.00356491,0.00225043,0.000621953,0.000222849,0.00080634,0.00127732,0.00080634,0.000222849,2.96616e-005,0.000107326,0.000170014,0.000107326,2.96616e-005
28,1.99211,0.000281518,0.00101862,0.0016136,0.00101862,0.000281518,0.00075677,0.00273824,0.00433765,0.00273824,0.00075677,0.000805606,0.00291495,0.00461757,0.00291495,0.000805606,0.00031185,0.00112838,0.00178746,0.00112838,0.00031185,4.54231e-005,0.000164356,0.000260356,0.000164356,4.54231e-005
29,2.09737,0.000310181,0.00112234,0.00177789,0.00112234,0.000310181,0.000886341,0.00320707,0.00508032,0.00320707,0.000886341,0.00100693,0.00364339,0.0057715,0.00364339,0.00100693,0.000415721,0.00150421,0.00238282,0.00150421,0.000415721,6.44803e-005,0.000233311,0.000369588,0.000233311,6.44803e-005
30,2.20572,0.000332895,0.00120452,0.00190809,0.00120452,0.000332895,0.00103468,0.00374382,0.00593059,0.00374382,0.00103468,0.00126286,0.00456943,0.00723843,0.00456943,0.00126286,0.000552889,0.00200053,0.00316904,0.00200053,0.000552889,9.04002e-005,0.000327097,0.000518155,0.000327097,9.04002e-005
31,2.31725,0.000326943,0.00118299,0.00187397,0.00118299,0.000326943,0.00105022,0.00380006,0.00601967,0.00380006,0.00105022,0.00134145,0.00485379,0.00768889,0.00485379,0.00134145,0.00062228,0.00225161,0.00356678,0.00225161,0.00062228,0.000109182,0.000395056,0.000625808,0.000395056,0.000109182
