gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[0 7],policy[0 8],policy[0 9],policy[0 10],policy[0 11],policy[0 12],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[1 7],policy[1 8],policy[1 9],policy[1 10],policy[1 11],policy[1 12],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[2 7],policy[2 8],policy[2 9],policy[2 10],policy[2 11],policy[2 12],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[3 7],policy[3 8],policy[3 9],policy[3 10],policy[3 11],policy[3 12],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[4 7],policy[4 8],policy[4 9],policy[4 10],policy[4 11],policy[4 12],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[5 7],policy[5 8],policy[5 9],policy[5 10],policy[5 11],policy[5 12],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6],policy[6 7],policy[6 8],policy[6 9],policy[6 10],policy[6 11],policy[6 12]
0,0,0,0,0,0.0284253,0.0655871,0.114517,0.20092,0,0,0,0.0284254,0.0655871,0.114517,0.20092,0,0,0,0.0284254,0.0655871,0.114518,0.20092,0,0,0,0.0284255,0.0655872,0.114518,0.20092,0,0,0,0.0284255,0.0655872,0.114518,0.20092,0,0,0,0.0284255,0.0655872,0.114518,0.20092,0,0,0,0.0284256,0.0655872,0.114518,0.20092,0,0,0,0.0284256,0.0655873,0.114518,0.20092,0,0,0,0.0284257,0.0655873,0.114518,0.20092,0,0,0,0.0284257,0.0655873,0.114518,0.20092,0,0,0,0.0284257,0.0655873,0.114518,0.20092,0,0,0,0.0284258,0.0655873,0.114518,0.20092,0,0,0,0.0284258,0.0655874,0.114518,0.20092
1,0.0185364,0,0,0.00231392,0.0388821,0.0713655,0.126364,0.211942,0,0,0.00257652,0.0391113,0.0714549,0.126527,0.212076,0,0,0.00283912,0.0393405,0.0715442,0.126691,0.21221,0,0,0.00310172,0.0395697,0.0716336,0.126854,0.212343,0,0,0.00336432,0.039799,0.071723,0.127017,0.212477,0,0,0.00362693,0.0400282,0.0718124,0.127181,0.212611,0,0,0.00388953,0.0402574,0.0719017,0.127344,0.212745,0,0,0.00415213,0.0404866,0.0719911,0.127508,0.212879,0,0,0.00441473,0.0407158,0.0720805,0.127671,0.213013,0,0,0.00467733,0.040945,0.0721698,0.127834,0.213147,0,0,0.00493993,0.0411743,0.0722592,0.127998,0.213281,0,0,0.00520253,0.0414035,0.0723486,0.128161,0.213415,0,0,0.00546514,0.0416327,0.0724379,0.128325,0.213548
2,0.0372875,0,0,0.0132525,0.0509448,0.0790513,0.139439,0.217926,0,0,0.0135322,0.051264,0.0793626,0.139858,0.217995,0,0,0.0138118,0.0515832,0.0796739,0.140276,0.218064,0,0,0.0140915,0.0519024,0.0799852,0.140694,0.218134,0,0,0.0143711,0.0522216,0.0802965,0.141113,0.218203,0,0,0.0146508,0.0525408,0.0806078,0.141531,0.218273,0,0,0.0149304,0.05286,0.0809191,0.14195,0.218342,0,0,0.0152101,0.0531792,0.0812304,0.142368,0.218412,0,0,0.0154898,0.0534984,0.0815417,0.142786,0.218481,0,0,0.0157694,0.0538176,0.081853,0.143205,0.21855,0,0,0.0160491,0.0541368,0.0821643,0.143623,0.21862,0,0,0.0163287,0.054456,0.0824756,0.144042,0.218689,0,0,0.0166084,0.0547752,0.0827869,0.14446,0.218759
3,0.0562558,0,0,0.0234614,0.059245,0.0902223,0.154656,0.220755,0,0,0.0240294,0.0595054,0.0907442,0.154967,0.220873,0,0,0.0245975,0.0597657,0.091266,0.155277,0.22099,0,0,0.0251656,0.0600261,0.0917878,0.155588,0.221108,0,0,0.0257336,0.0602864,0.0923096,0.155898,0.221226,0,0,0.0263017,0.0605468,0.0928315,0.156209,0.221344,0,0,0.0268698,0.0608071,0.0933533,0.156519,0.221462,0,0,0.0274379,0.0610675,0.0938751,0.15683,0.22158,0,0,0.0280059,0.0613278,0.0943969,0.15714,0.221697,0,0,0.028574,0.0615881,0.0949202,0.157451,0.221815,0,0,0.0291421,0.0618485,0.0954536,0.157762,0.221933,0,0.000523513,0.0297101,0.0621088,0.0959869,0.158072,0.222051,0,0.00107914,0.0302782,0.0623692,0.0965203,0.158383,0.222169
4,0.0754439,0,0.00369125,0.0335018,0.0647784,0.101885,0.162337,0.223669,0,0.00456056,0.0344714,0.0651624,0.1026,0.162754,0.223827,0,0.00542987,0.0354409,0.0655465,0.103315,0.16317,0.223985,0,0.00629918,0.0364105,0.0659305,0.10403,0.163587,0.224143,0,0.00716849,0.037388,0.0663146,0.104746,0.164003,0.224301,0,0.0080378,0.0384408,0.0666986,0.105461,0.16442,0.224459,0,0.00890711,0.0394936,0.0670827,0.106176,0.164836,0.224617,0,0.00977642,0.0405464,0.0674667,0.106891,0.165253,0.224775,0,0.0106457,0.0415992,0.0678508,0.107607,0.165669,0.224933,0,0.011515,0.042652,0.0682348,0.108322,0.166085,0.225091,0,0.0123844,0.0437048,0.0686189,0.109037,0.166502,0.225249,0,0.0132537,0.0447576,0.069003,0.109753,0.166918,0.225408,0,0.014123,0.0458104,0.069387,0.110468,0.167335,0.225566
5,0.0948544,0,0.0155113,0.0474918,0.0713229,0.114868,0.170456,0.22675,0,0.016292,0.0484373,0.0716741,0.115596,0.170922,0.226927,0,0.0170727,0.0493827,0.0720252,0.116325,0.171387,0.227103,0,0.0178534,0.0503282,0.0723764,0.117053,0.171853,0.22728,0,0.0186488,0.0512737,0.0727276,0.117781,0.172318,0.227456,0,0.0195469,0.0522192,0.0730788,0.11851,0.172783,0.227633,0,0.0204451,0.0531647,0.0734299,0.119238,0.173249,0.227809,0,0.0213433,0.0541101,0.0737811,0.119966,0.173714,0.227986,0,0.0222415,0.0550556,0.0741323,0.120695,0.17418,0.228163,0,0.0231397,0.0560011,0.0744835,0.121423,0.174645,0.228339,0.000291103,0.0240379,0.0565653,0.0748346,0.122151,0.19811,0.228516,0.00106414,0.0249361,0.0569889,0.0751858,0.12288,0.198795,0.228692,0.00183718,0.0258343,0.0574125,0.075635,0.123608,0.19948,0.228869
6,0.11449,0,0.0231818,0.0567744,0.076012,0.125306,0.201697,0.2296,0.000581247,0.0249163,0.0574902,0.0774266,0.126515,0.20273,0.22984,0.00216741,0.0266509,0.058206,0.0788411,0.127723,0.203764,0.23008,0.00375357,0.0283854,0.0589218,0.0802556,0.128932,0.204797,0.230319,0.00533973,0.03012,0.0596375,0.0816702,0.130141,0.205831,0.230559,0.00692589,0.0318545,0.0603533,0.0830847,0.131349,0.206864,0.230799,0.00851206,0.0335891,0.0610691,0.0844993,0.132558,0.207898,0.231039,0.0100982,0.0353236,0.0617849,0.0859138,0.133767,0.208932,0.231279,0.0116844,0.0370582,0.0625007,0.0873283,0.135257,0.209965,0.231518,0.0132705,0.0389501,0.0632165,0.0887429,0.137012,0.210999,0.231758,0.0148567,0.0408661,0.0639323,0.0901574,0.138768,0.212032,0.231998,0.0164429,0.042782,0.0646481,0.0915719,0.140523,0.213066,0.232238,0.018029,0.044698,0.0653639,0.0929865,0.142278,0.214099,0.232478
7,0.134352,0.0127217,0.0386058,0.0637365,0.090942,0.141197,0.214747,0.232804,0.0139262,0.0401516,0.0643365,0.0920912,0.142882,0.215717,0.233055,0.0151306,0.0416974,0.0649365,0.0932404,0.144567,0.21626,0.233305,0.016335,0.0432431,0.0655365,0.0943896,0.146252,0.216486,0.233555,0.0175394,0.0447889,0.0661364,0.0955158,0.147937,0.216711,0.233805,0.0187842,0.0463346,0.0667364,0.0966265,0.149622,0.216936,0.234055,0.0202236,0.0478804,0.0673364,0.0977371,0.151308,0.217162,0.234305,0.021663,0.0494261,0.0679364,0.0988478,0.152993,0.217387,0.234555,0.0231023,0.0509719,0.0685364,0.0999584,0.154542,0.217613,0.234806,0.0245417,0.0525176,0.0691364,0.101069,0.155241,0.217838,0.235056,0.025981,0.0540634,0.0697363,0.10218,0.15594,0.218063,0.235306,0.0274204,0.0556091,0.0703363,0.10329,0.15664,0.218289,0.235556,0.0288598,0.0566286,0.0709363,0.104401,0.157339,0.218514,0.235806
8,0.154445,0.0259288,0.0540073,0.0682994,0.0997186,0.154314,0.217614,0.234807,0.0272826,0.0554612,0.069196,0.101563,0.155552,0.218035,0.235275,0.0286364,0.0565291,0.0700926,0.103407,0.156713,0.218456,0.235742,0.0299902,0.0571319,0.0709892,0.105251,0.157874,0.218877,0.236209,0.0313439,0.0577346,0.0718858,0.107095,0.159035,0.219298,0.236676,0.0326977,0.0583374,0.0727824,0.108939,0.160196,0.219719,0.237144,0.0340515,0.0589401,0.0736791,0.110784,0.161357,0.22014,0.286449,0.0354053,0.0595429,0.0745757,0.112628,0.162519,0.220561,0.286666,0.0367591,0.0601457,0.0755056,0.114472,0.16368,0.220982,0.286884,0.0382172,0.0607484,0.0774548,0.116344,0.164841,0.221403,0.287101,0.0397422,0.0613512,0.079404,0.118216,0.166002,0.221824,0.287318,0.0412672,0.0619539,0.0813532,0.120088,0.167163,0.222244,0.287536,0.0427922,0.0625567,0.0833025,0.121961,0.168324,0.222665,0.287753
9,0.174771,0.0306887,0.0578971,0.072603,0.109533,0.161176,0.220513,0.286868,0.0335823,0.0591097,0.0738518,0.11194,0.162591,0.220953,0.287058,0.0364759,0.0603222,0.0751005,0.114348,0.164006,0.221392,0.287247,0.0396329,0.0615348,0.0774121,0.116791,0.16542,0.221832,0.287436,0.0428924,0.0627474,0.0801269,0.119235,0.166835,0.222272,0.287626,0.046152,0.0639599,0.0828417,0.12168,0.16825,0.222711,0.287815,0.0494116,0.0651725,0.0855564,0.124125,0.169665,0.223151,0.288004,0.0528642,0.0663851,0.0882712,0.126569,0.17108,0.223591,0.288193,0.0562789,0.0675976,0.0909859,0.129014,0.172495,0.224031,0.288383,0.0576128,0.0688102,0.0937007,0.131458,0.17391,0.22447,0.288572,0.0589468,0.0700227,0.0962787,0.133903,0.201455,0.22491,0.288761,0.0602808,0.0712353,0.0987558,0.137793,0.203666,0.22535,0.28895,0.0616147,0.0724479,0.101233,0.142007,0.205876,0.225789,0.28914
