gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
180,7.63861,-6.02175,-5.98339,-5.94549,-5.90801,-5.87098,-5.83434,-5.79811,-5.96441,-5.92672,-5.88947,-5.85262,-5.8162,-5.78017,-5.74453,-5.89939,-5.86245,-5.82593,-5.7898,-5.75409,-5.71874,-5.68378,-5.82554,-5.78941,-5.75372,-5.71841,-5.6835,-5.64895,-5.61477,-5.74158,-5.70639,-5.67159,-5.63714,-5.6031,-5.56946,-5.53617,-5.64592,-5.61177,-5.57798,-5.54461,-5.5116,-5.47892,-5.44657,-5.53709,-5.50412,-5.47149,-5.43923,-5.40735,-5.37576,-5.34449
181,7.72904,-5.9773,-5.93899,-5.90117,-5.86376,-5.8268,-5.79024,-5.75409,-5.92071,-5.88309,-5.84591,-5.80913,-5.77278,-5.73682,-5.70125,-5.85656,-5.81968,-5.78322,-5.74715,-5.7115,-5.67622,-5.64132,-5.78369,-5.7476,-5.71197,-5.67671,-5.64186,-5.60736,-5.57323,-5.70081,-5.66566,-5.6309,-5.5965,-5.56251,-5.52891,-5.49567,-5.60637,-5.57225,-5.5385,-5.50517,-5.4722,-5.43955,-5.40724,-5.4989,-5.46595,-5.43334,-5.40112,-5.36927,-5.33771,-5.30647
182,7.82036,-5.93302,-5.89477,-5.85702,-5.81969,-5.78281,-5.74633,-5.71026,-5.87718,-5.83963,-5.80251,-5.7658,-5.72953,-5.69364,-5.65815,-5.81388,-5.77707,-5.74067,-5.70466,-5.66908,-5.63386,-5.59903,-5.74197,-5.70593,-5.67036,-5.63515,-5.60036,-5.56592,-5.53185,-5.66017,-5.62507,-5.59036,-5.556,-5.52205,-5.48851,-5.45532,-5.56694,-5.53285,-5.49915,-5.46585,-5.43291,-5.40031,-5.36804,-5.46081,-5.42789,-5.39531,-5.36313,-5.3313,-5.29977,-5.26856
183,7.91258,-5.88892,-5.85075,-5.81304,-5.77579,-5.73899,-5.70259,-5.66661,-5.83381,-5.79633,-5.75929,-5.72265,-5.68644,-5.65063,-5.61521,-5.77136,-5.73461,-5.69827,-5.66233,-5.62681,-5.59166,-5.5569,-5.70041,-5.66441,-5.62889,-5.59375,-5.55901,-5.52463,-5.49063,-5.61966,-5.58461,-5.54994,-5.51564,-5.48174,-5.44824,-5.41511,-5.52762,-5.49357,-5.45992,-5.42665,-5.39376,-5.36119,-5.32897,-5.42283,-5.38993,-5.3574,-5.32525,-5.29344,-5.26195,-5.23077
184,8.00569,-5.84498,-5.80689,-5.76925,-5.73207,-5.69535,-5.65904,-5.62313,-5.7906,-5.75319,-5.71622,-5.67966,-5.64353,-5.60779,-5.57245,-5.72899,-5.6923,-5.65603,-5.62016,-5.58471,-5.54963,-5.51494,-5.65898,-5.62305,-5.58758,-5.55249,-5.51781,-5.4835,-5.44955,-5.57929,-5.54428,-5.50967,-5.47541,-5.44156,-5.40812,-5.37504,-5.48843,-5.45441,-5.42081,-5.38759,-5.35473,-5.32221,-5.29003,-5.38496,-5.35209,-5.3196,-5.28748,-5.25571,-5.22424,-5.1931
185,8.09972,-5.80122,-5.76321,-5.72564,-5.68853,-5.6519,-5.61566,-5.57984,-5.74758,-5.71022,-5.67333,-5.63684,-5.60079,-5.56513,-5.52987,-5.68678,-5.65015,-5.61395,-5.57815,-5.54276,-5.50776,-5.47314,-5.6177,-5.58183,-5.54641,-5.51138,-5.47677,-5.44251,-5.40864,-5.53905,-5.5041,-5.46953,-5.43533,-5.40153,-5.36814,-5.33511,-5.44935,-5.41538,-5.38182,-5.34864,-5.31584,-5.28336,-5.25122,-5.3472,-5.31435,-5.28191,-5.24982,-5.21808,-5.18665,-5.15554
186,8.19466,-5.75763,-5.7197,-5.68222,-5.64517,-5.60861,-5.57247,-5.53674,-5.70472,-5.66742,-5.6306,-5.59419,-5.55822,-5.52264,-5.48746,-5.64473,-5.60816,-5.57203,-5.5363,-5.50098,-5.46605,-5.43151,-5.57657,-5.54075,-5.50539,-5.47043,-5.43587,-5.40169,-5.36788,-5.49895,-5.46404,-5.42953,-5.39538,-5.36163,-5.3283,-5.29533,-5.4104,-5.37647,-5.34297,-5.30983,-5.27707,-5.24464,-5.21255,-5.30954,-5.27672,-5.24433,-5.21228,-5.18057,-5.14918,-5.11811
187,8.29054,-5.71421,-5.67637,-5.63897,-5.602,-5.56551,-5.52945,-5.49381,-5.66202,-5.62479,-5.58804,-5.55171,-5.51582,-5.48032,-5.44522,-5.60284,-5.56633,-5.53027,-5.49461,-5.45937,-5.42451,-5.39004,-5.53558,-5.49983,-5.46452,-5.42962,-5.39514,-5.36101,-5.32727,-5.45898,-5.42413,-5.38967,-5.35557,-5.32188,-5.28861,-5.2557,-5.37158,-5.33769,-5.30424,-5.27115,-5.23843,-5.20605,-5.17401,-5.27199,-5.23921,-5.20687,-5.17485,-5.14318,-5.11183,-5.0808
188,8.38736,-5.67097,-5.63321,-5.5959,-5.55901,-5.52259,-5.48662,-5.45107,-5.6195,-5.58234,-5.54565,-5.5094,-5.47359,-5.43817,-5.40316,-5.5611,-5.52466,-5.48867,-5.45308,-5.41791,-5.38313,-5.34874,-5.49475,-5.45905,-5.4238,-5.38897,-5.35455,-5.3205,-5.28682,-5.41914,-5.38435,-5.34995,-5.31591,-5.28227,-5.24906,-5.21621,-5.33287,-5.29903,-5.26563,-5.23259,-5.19992,-5.16759,-5.1356,-5.23455,-5.20183,-5.16952,-5.13754,-5.10591,-5.07459,-5.0436
189,8.48512,-5.6279,-5.59023,-5.55301,-5.51621,-5.47986,-5.44397,-5.40851,-5.57713,-5.54006,-5.50343,-5.46727,-5.43154,-5.3962,-5.36127,-5.51953,-5.48314,-5.44723,-5.41171,-5.37663,-5.34192,-5.30761,-5.45405,-5.41843,-5.38324,-5.34847,-5.31412,-5.28014,-5.24653,-5.37945,-5.34471,-5.31037,-5.27639,-5.24281,-5.20966,-5.17687,-5.2943,-5.2605,-5.22716,-5.19417,-5.16155,-5.12927,-5.09734,-5.19723,-5.16456,-5.13229,-5.10034,-5.06875,-5.03748,-5.00654
