gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0801028,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
2,0.164216,0,0,0.4,1,1,0,0.42,1,1,1,0,0.9,1,1,1,0,1,1,1,1,0.32,1,1,1,1
3,0.25254,0,0.6,0.94,0.98,1,0.4,0.6,0.82,1,1,0.4,0.78,1,1,1,0.4,1,1,1,1,0.64,1,1,1,1
4,0.345286,0.18,0.56,0.66,1,1,0.12,0.46,1,1,1,0.1,0.96,1,1,1,0.34,1,1,1,1,0.94,1,1,1,1
5,0.442675,0.2,0.66,1,1,1,0.14,0.78,1,1,1,0.32,1,1,1,1,0.7,1,1,1,1,0.8,1,1,1,1
6,0.54494,0.28,0.68,1,1,1,0.4,0.88,1,1,1,0.48,1,1,1,1,0.5,1,1,1,1,0.68,1,1,1,1
7,0.652325,0.5,0.72,1,1,1,0.5,0.68,1,1,1,0.5,0.96,1,1,1,0.5,1,1,1,1,0.72,1,1,1,1
8,0.765086,0.48,0.72,1,1,1,0.42,0.74,1,1,1,0.66,1,1,1,1,0.66,1,1,1,1,0.68,1,1,1,1
9,0.883492,0.5,0.74,1,1,1,0.52,0.78,1,1,1,0.62,1,1,1,1,0.66,1,1,1,1,0.66,1,1,1,1
10,1.00783,0.42,0.76,1,1,1,0.62,0.88,1,1,1,0.66,0.9,1,1,1,0.68,0.9,1,1,1,0.7,1,1,1,1
11,1.13838,0.52,0.76,1,1,1,0.52,0.8,1,1,1,0.52,0.94,1,1,1,0.52,1,1,1,1,0.6,1,1,1,1
12,1.27548,0.5,0.84,1,1,1,0.48,0.84,1,1,1,0.52,1,1,1,1,0.52,1,1,1,1,0.54,1,1,1,1
13,1.41944,0.5,0.76,1,1,1,0.5,0.88,1,1,1,0.56,0.94,1,1,1,0.56,0.86,1,1,1,0.58,1,1,1,1
14,1.5706,0.5,0.78,1,1,1,0.56,0.84,1,1,1,0.58,0.84,1,1,1,0.62,0.88,1,1,1,0.62,1,1,1,1
15,1.72934,0.52,0.76,1,1,1,0.58,0.84,1,1,1,0.62,0.84,1,1,1,0.6,0.92,1,1,1,0.58,0.92,1,1,1
16,1.89602,0.52,0.78,1,1,1,0.52,0.78,1,1,1,0.52,0.84,1,1,1,0.52,0.9,1,1,1,0.52,0.9,1,1,1
