gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
131,68.7675,59.3266,59.3266,59.3266,59.3266,59.3266,59.2893,59.2893,59.2893,59.2893,59.2893,59.2464,59.2464,59.2464,59.2464,59.2464,59.2002,59.2002,59.2002,59.2002,59.2002,59.1541,59.1541,59.1541,59.1541,59.1541
132,70.8295,61.1745,61.1745,61.1745,61.1745,61.1745,61.1374,61.1374,61.1374,61.1374,61.1374,61.0948,61.0948,61.0948,61.0948,61.0948,61.0487,61.0487,61.0487,61.0487,61.0487,61.0027,61.0027,61.0027,61.0027,61.0027
133,72.9521,63.0767,63.0767,63.0767,63.0767,63.0767,63.0399,63.0399,63.0399,63.0399,63.0399,62.9975,62.9975,62.9975,62.9975,62.9975,62.9517,62.9517,62.9517,62.9517,62.9517,62.9059,62.9059,62.9059,62.9059,62.9059
134,75.1368,65.0346,65.0346,65.0346,65.0346,65.0346,64.998,64.998,64.998,64.998,64.998,64.9558,64.9558,64.9558,64.9558,64.9558,64.9102,64.9102,64.9102,64.9102,64.9102,64.8648,64.8648,64.8648,64.8648,64.8648
135,77.3855,67.0504,67.0504,67.0504,67.0504,67.0504,67.0138,67.0138,67.0138,67.0138,67.0138,66.9718,66.9718,66.9718,66.9718,66.9718,66.9265,66.9265,66.9265,66.9265,66.9265,66.8812,66.8812,66.8812,66.8812,66.8812
136,79.7002,69.1263,69.1263,69.1263,69.1263,69.1263,69.0897,69.0897,69.0897,69.0897,69.0897,69.0477,69.0477,69.0477,69.0477,69.0477,69.0024,69.0024,69.0024,69.0024,69.0024,68.9571,68.9571,68.9571,68.9571,68.9571
137,82.0826,71.2637,71.2637,71.2637,71.2637,71.2637,71.2272,71.2272,71.2272,71.2272,71.2272,71.1851,71.1851,71.1851,71.1851,71.1851,71.1399,71.1399,71.1399,71.1399,71.1399,71.0947,71.0947,71.0947,71.0947,71.0947
138,84.5349,73.4645,73.4645,73.4645,73.4645,73.4645,73.428,73.428,73.428,73.428,73.428,73.3861,73.3861,73.3861,73.3861,73.3861,73.3409,73.3409,73.3409,73.3409,73.3409,73.2959,73.2959,73.2959,73.2959,73.2959
139,87.0591,75.7306,75.7306,75.7306,75.7306,75.7306,75.6943,75.6943,75.6943,75.6943,75.6943,75.6524,75.6524,75.6524,75.6524,75.6524,75.6073,75.6073,75.6073,75.6073,75.6073,75.5623,75.5623,75.5623,75.5623,75.5623
140,89.6572,78.0639,78.0639,78.0639,78.0639,78.0639,78.0276,78.0276,78.0276,78.0276,78.0276,77.9859,77.9859,77.9859,77.9859,77.9859,77.9407,77.9407,77.9407,77.9407,77.9407,77.8957,77.8957,77.8957,77.8957,77.8957
141,92.3314,80.4663,80.4663,80.4663,80.4663,80.4663,80.4301,80.4301,80.4301,80.4301,80.4301,80.3884,80.3884,80.3884,80.3884,80.3884,80.3433,80.3433,80.3433,80.3433,80.3433,80.2983,80.2983,80.2983,80.2983,80.2983
142,95.084,82.94,82.94,82.94,82.94,82.94,82.9039,82.9039,82.9039,82.9039,82.9039,82.8623,82.8623,82.8623,82.8623,82.8623,82.8173,82.8173,82.8173,82.8173,82.8173,82.7725,82.7725,82.7725,82.7725,82.7725
143,97.9173,85.487,85.487,85.487,85.487,85.487,85.451,85.451,85.451,85.451,85.451,85.4095,85.4095,85.4095,85.4095,85.4095,85.3648,85.3648,85.3648,85.3648,85.3648,85.3202,85.3202,85.3202,85.3202,85.3202
144,100.834,88.1096,88.1096,88.1096,88.1096,88.1096,88.0736,88.0736,88.0736,88.0736,88.0736,88.0323,88.0323,88.0323,88.0323,88.0323,87.9878,87.9878,87.9878,87.9878,87.9878,87.9433,87.9433,87.9433,87.9433,87.9433
145,103.835,90.8097,90.8097,90.8097,90.8097,90.8097,90.7738,90.7738,90.7738,90.7738,90.7738,90.7327,90.7327,90.7327,90.7327,90.7327,90.6883,90.6883,90.6883,90.6883,90.6883,90.644,90.644,90.644,90.644,90.644
146,106.925,93.5896,93.5896,93.5896,93.5896,93.5896,93.5538,93.5538,93.5538,93.5538,93.5538,93.5129,93.5129,93.5129,93.5129,93.5129,93.4688,93.4688,93.4688,93.4688,93.4688,93.4247,93.4247,93.4247,93.4247,93.4247
147,110.105,96.4518,96.4518,96.4518,96.4518,96.4518,96.4161,96.4161,96.4161,96.4161,96.4161,96.3753,96.3753,96.3753,96.3753,96.3753,96.3314,96.3314,96.3314,96.3314,96.3314,96.2875,96.2875,96.2875,96.2875,96.2875
148,113.379,99.3989,99.3989,99.3989,99.3989,99.3989,99.3632,99.3632,99.3632,99.3632,99.3632,99.3225,99.3225,99.3225,99.3225,99.3225,99.2787,99.2787,99.2787,99.2787,99.2787,99.235,99.235,99.235,99.235,99.235
149,116.748,102.433,102.433,102.433,102.433,102.433,102.398,102.398,102.398,102.398,102.398,102.357,102.357,102.357,102.357,102.357,102.313,102.313,102.313,102.313,102.313,102.27,102.27,102.27,102.27,102.27
150,120.216,105.557,105.557,105.557,105.557,105.557,105.522,105.522,105.522,105.522,105.522,105.481,105.481,105.481,105.481,105.481,105.438,105.438,105.438,105.438,105.438,105.394,105.394,105.394,105.394,105.394
151,123.786,108.774,108.774,108.774,108.774,108.774,108.738,108.738,108.738,108.738,108.738,108.698,108.698,108.698,108.698,108.698,108.654,108.654,108.654,108.654,108.654,108.611,108.611,108.611,108.611,108.611
152,127.461,112.085,112.085,112.085,112.085,112.085,112.05,112.05,112.05,112.05,112.05,112.009,112.009,112.009,112.009,112.009,111.966,111.966,111.966,111.966,111.966,111.923,111.923,111.923,111.923,111.923
153,131.243,115.495,115.495,115.495,115.495,115.495,115.459,115.459,115.459,115.459,115.459,115.419,115.419,115.419,115.419,115.419,115.376,115.376,115.376,115.376,115.376,115.333,115.333,115.333,115.333,115.333
154,135.136,119.005,119.005,119.005,119.005,119.005,118.969,118.969,118.969,118.969,118.969,118.929,118.929,118.929,118.929,118.929,118.886,118.886,118.886,118.886,118.886,118.844,118.844,118.844,118.844,118.844
155,139.143,122.619,122.619,122.619,122.619,122.619,122.583,122.583,122.583,122.583,122.583,122.543,122.543,122.543,122.543,122.543,122.5,122.5,122.5,122.5,122.5,122.458,122.458,122.458,122.458,122.458
156,143.267,126.34,126.34,126.34,126.34,126.34,126.304,126.304,126.304,126.304,126.304,126.264,126.264,126.264,126.264,126.264,126.221,126.221,126.221,126.221,126.221,126.179,126.179,126.179,126.179,126.179
157,147.512,130.17,130.17,130.17,130.17,130.17,130.135,130.135,130.135,130.135,130.135,130.095,130.095,130.095,130.095,130.095,130.052,130.052,130.052,130.052,130.052,130.01,130.01,130.01,130.01,130.01
158,151.882,134.114,134.114,134.114,134.114,134.114,134.079,134.079,134.079,134.079,134.079,134.039,134.039,134.039,134.039,134.039,133.996,133.996,133.996,133.996,133.996,133.954,133.954,133.954,133.954,133.954
159,156.38,138.175,138.175,138.175,138.175,138.175,138.139,138.139,138.139,138.139,138.139,138.099,138.099,138.099,138.099,138.099,138.056,138.056,138.056,138.056,138.056,138.014,138.014,138.014,138.014,138.014
160,161.009,142.355,142.355,142.355,142.355,142.355,142.32,142.32,142.32,142.32,142.32,142.28,142.28,142.28,142.28,142.28,142.237,142.237,142.237,142.237,142.237,142.195,142.195,142.195,142.195,142.195
161,165.774,146.659,146.659,146.659,146.659,146.659,146.624,146.624,146.624,146.624,146.624,146.584,146.584,146.584,146.584,146.584,146.541,146.541,146.541,146.541,146.541,146.499,146.499,146.499,146.499,146.499
162,170.679,151.09,151.09,151.09,151.09,151.09,151.055,151.055,151.055,151.055,151.055,151.015,151.015,151.015,151.015,151.015,150.972,150.972,150.972,150.972,150.972,150.93,150.93,150.93,150.93,150.93
163,175.728,155.651,155.651,155.651,155.651,155.651,155.616,155.616,155.616,155.616,155.616,155.577,155.577,155.577,155.577,155.577,155.534,155.534,155.534,155.534,155.534,155.492,155.492,155.492,155.492,155.492
164,180.924,160.348,160.348,160.348,160.348,160.348,160.313,160.313,160.313,160.313,160.313,160.273,160.273,160.273,160.273,160.273,160.23,160.23,160.23,160.23,160.23,160.188,160.188,160.188,160.188,160.188
165,186.273,165.183,165.183,165.183,165.183,165.183,165.148,165.148,165.148,165.148,165.148,165.108,165.108,165.108,165.108,165.108,165.066,165.066,165.066,165.066,165.066,165.024,165.024,165.024,165.024,165.024
166,191.779,170.161,170.161,170.161,170.161,170.161,170.126,170.126,170.126,170.126,170.126,170.087,170.087,170.087,170.087,170.087,170.044,170.044,170.044,170.044,170.044,170.002,170.002,170.002,170.002,170.002
167,197.446,175.286,175.286,175.286,175.286,175.286,175.252,175.252,175.252,175.252,175.252,175.212,175.212,175.212,175.212,175.212,175.169,175.169,175.169,175.169,175.169,175.127,175.127,175.127,175.127,175.127
168,203.279,180.563,180.563,180.563,180.563,180.563,180.528,180.528,180.528,180.528,180.528,180.488,180.488,180.488,180.488,180.488,180.445,180.445,180.445,180.445,180.445,180.403,180.403,180.403,180.403,180.403
169,209.282,185.995,185.995,185.995,185.995,185.995,185.96,185.96,185.96,185.96,185.96,185.92,185.92,185.92,185.92,185.92,185.878,185.878,185.878,185.878,185.878,185.836,185.836,185.836,185.836,185.836
170,215.462,191.587,191.587,191.587,191.587,191.587,191.552,191.552,191.552,191.552,191.552,191.513,191.513,191.513,191.513,191.513,191.47,191.47,191.47,191.47,191.47,191.428,191.428,191.428,191.428,191.428
171,221.823,197.345,197.345,197.345,197.345,197.345,197.31,197.31,197.31,197.31,197.31,197.271,197.271,197.271,197.271,197.271,197.228,197.228,197.228,197.228,197.228,197.186,197.186,197.186,197.186,197.186
172,228.37,203.272,203.272,203.272,203.272,203.272,203.237,203.237,203.237,203.237,203.237,203.198,203.198,203.198,203.198,203.198,203.156,203.156,203.156,203.156,203.156,203.114,203.114,203.114,203.114,203.114
173,235.11,209.374,209.374,209.374,209.374,209.374,209.34,209.34,209.34,209.34,209.34,209.3,209.3,209.3,209.3,209.3,209.258,209.258,209.258,209.258,209.258,209.217,209.217,209.217,209.217,209.217
174,242.046,215.655,215.655,215.655,215.655,215.655,215.621,215.621,215.621,215.621,215.621,215.582,215.582,215.582,215.582,215.582,215.541,215.541,215.541,215.541,215.541,215.499,215.499,215.499,215.499,215.499
175,249.186,222.121,222.121,222.121,222.121,222.121,222.087,222.087,222.087,222.087,222.087,222.048,222.048,222.048,222.048,222.048,222.007,222.007,222.007,222.007,222.007,221.965,221.965,221.965,221.965,221.965
176,256.535,228.777,228.777,228.777,228.777,228.777,228.743,228.743,228.743,228.743,228.743,228.704,228.704,228.704,228.704,228.704,228.663,228.663,228.663,228.663,228.663,228.622,228.622,228.622,228.622,228.622
177,264.1,235.631,235.631,235.631,235.631,235.631,235.597,235.597,235.597,235.597,235.597,235.558,235.558,235.558,235.558,235.558,235.516,235.516,235.516,235.516,235.516,235.475,235.475,235.475,235.475,235.475
178,271.886,242.687,242.687,242.687,242.687,242.687,242.653,242.653,242.653,242.653,242.653,242.614,242.614,242.614,242.614,242.614,242.572,242.572,242.572,242.572,242.572,242.531,242.531,242.531,242.531,242.531
179,279.901,249.951,249.951,249.951,249.951,249.951,249.917,249.917,249.917,249.917,249.917,249.879,249.879,249.879,249.879,249.879,249.837,249.837,249.837,249.837,249.837,249.796,249.796,249.796,249.796,249.796
