gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
0,0,0,0,0,0.0138369,0.0641687,0.13426,0.225704,0,0,0,0.0138366,0.0641686,0.13426,0.225704,0,0,0,0.0138364,0.0641684,0.134259,0.225704,0,0,0,0.0138361,0.0641682,0.134259,0.225704,0,0,0,0.0138358,0.064168,0.134259,0.225704,0,0,0,0.0138352,0.0641676,0.134259,0.225703,0,0,0,0.013835,0.0641675,0.134259,0.225703
1,0.0185364,0,0,0,0.026443,0.0781632,0.149615,0.241595,0,0,0,0.0264428,0.0781631,0.149614,0.241595,0,0,0,0.0264427,0.078163,0.149614,0.241595,0,0,0,0.0264425,0.0781628,0.149614,0.241595,0,0,0,0.0264422,0.0781625,0.149614,0.241595,0,0,0,0.0264418,0.0781622,0.149614,0.241595,0,0,0,0.0264416,0.078162,0.149613,0.241595
2,0.0372875,0,0,0,0.0384706,0.0928047,0.165214,0.257679,0,0,0,0.0384704,0.0928045,0.165213,0.257679,0,0,0,0.0384703,0.0928044,0.165213,0.257679,0,0,0,0.0384701,0.0928042,0.165213,0.257679,0,0,0,0.0384698,0.092804,0.165213,0.257679,0,0,0,0.0384694,0.0928037,0.165213,0.257678,0,0,0,0.0384692,0.0928035,0.165213,0.257678
3,0.0562558,0,0,0.0110733,0.0518406,0.107848,0.181049,0.274162,0,0,0.011073,0.0518404,0.107848,0.181049,0.274162,0,0,0.0110728,0.0518403,0.107848,0.181049,0.274162,0,0,0.0110726,0.0518401,0.107848,0.181049,0.274162,0,0,0.0110722,0.0518399,0.107847,0.181049,0.274162,0,0,0.0110716,0.0518395,0.107847,0.181048,0.274162,0,0,0.0110841,0.0518509,0.10786,0.181062,0.274176
4,0.0754439,0,0,0.0245826,0.0659358,0.123176,0.197132,0.290886,0,0,0.0245824,0.0659357,0.123176,0.197132,0.290886,0,0,0.0245823,0.0659356,0.123176,0.197132,0.290886,0,0,0.024582,0.0659353,0.123176,0.197132,0.290886,0,0,0.0245818,0.0659351,0.123175,0.197132,0.290886,0,0,0.0245813,0.0659457,0.123187,0.197144,0.290898,0,0,0.0245951,0.0659511,0.123193,0.19715,0.290905
5,0.0948544,0,0.00305297,0.036912,0.0806878,0.138885,0.213583,0.307866,0,0.00305273,0.0369119,0.0806877,0.138885,0.213583,0.307866,0,0.00305253,0.0369118,0.0806876,0.138884,0.213583,0.307866,0,0.00305222,0.0369116,0.0806874,0.138884,0.213583,0.307865,0,0.00305185,0.0369113,0.0806872,0.138884,0.213583,0.307865,0,0.0030655,0.0369226,0.0807012,0.138899,0.213598,0.307881,0,0.00307237,0.0369283,0.0807082,0.138907,0.213606,0.307889
6,0.11449,0,0.0182078,0.0507109,0.0960409,0.155157,0.230384,0.32512,0,0.0182076,0.0507107,0.0960408,0.155157,0.230384,0.32512,0,0.0182074,0.0507106,0.0960407,0.155157,0.230384,0.32512,0,0.0182071,0.0507104,0.0960405,0.155157,0.230384,0.325119,0,0.0182068,0.0507102,0.0960403,0.155157,0.230383,0.325119,0,0.0182234,0.0507254,0.0960576,0.155175,0.230402,0.325139,0,0.0182318,0.0507331,0.0960663,0.155184,0.230412,0.325148
7,0.134352,0.00258097,0.0308828,0.0652406,0.111833,0.171712,0.247416,0.342622,0.00258073,0.0308826,0.0652404,0.111832,0.171712,0.247416,0.342622,0.00258052,0.0308825,0.0652403,0.111832,0.171712,0.247416,0.342622,0.00258022,0.0308823,0.0652401,0.111832,0.171712,0.247416,0.342622,0.00258992,0.030882,0.0652399,0.111832,0.171712,0.247416,0.342621,0.00259942,0.0308982,0.0652591,0.111852,0.171733,0.247438,0.342644,0.00263945,0.0309312,0.065298,0.111894,0.171777,0.247482,0.34269
8,0.154445,0.018089,0.044343,0.0804959,0.127918,0.188517,0.264736,0.360356,0.0180888,0.0443428,0.0804957,0.127918,0.188517,0.264736,0.360356,0.0180886,0.0443427,0.0804956,0.127918,0.188517,0.264736,0.360356,0.0180883,0.0443425,0.0804954,0.127918,0.188517,0.264736,0.360356,0.0180995,0.0443528,0.0805069,0.12793,0.188529,0.264748,0.360369,0.0181106,0.044363,0.0805183,0.127941,0.188542,0.264761,0.360382,0.0181566,0.0444051,0.0805649,0.127989,0.188592,0.264813,0.360435
9,0.174771,0.031079,0.0588207,0.0963944,0.144543,0.205659,0.282419,0.378378,0.0310789,0.0588205,0.0963942,0.144543,0.205659,0.282419,0.378378,0.0310787,0.0588204,0.0963941,0.144543,0.205659,0.282419,0.378378,0.0310785,0.0588202,0.0963939,0.144542,0.205658,0.282419,0.378378,0.031089,0.0588326,0.0964072,0.144556,0.205673,0.282433,0.378393,0.0310994,0.058845,0.0964203,0.14457,0.205687,0.282448,0.378408,0.0311424,0.0588956,0.0964742,0.144626,0.205744,0.282507,0.378468
10,0.195332,0.0448908,0.0742204,0.112741,0.161621,0.223164,0.300362,0.396688,0.0448906,0.0742203,0.112741,0.161621,0.223164,0.300362,0.396688,0.0448905,0.0742202,0.112741,0.161621,0.223164,0.300362,0.396687,0.0448903,0.07422,0.112741,0.161621,0.223164,0.300361,0.396687,0.0449034,0.074234,0.112756,0.161636,0.22318,0.300378,0.396704,0.0449431,0.0742762,0.112801,0.161683,0.223228,0.300427,0.396755,0.0449696,0.0743045,0.112831,0.161715,0.22326,0.30046,0.396788
11,0.216131,0.0597575,0.0904092,0.129399,0.178976,0.240994,0.318625,0.415246,0.0597573,0.0904091,0.129399,0.178975,0.240994,0.318625,0.415246,0.0597572,0.090409,0.129399,0.178975,0.240994,0.318625,0.415246,0.059757,0.0904088,0.129399,0.178975,0.240993,0.318625,0.415246,0.0597724,0.0904249,0.129416,0.178993,0.241011,0.318643,0.415265,0.0598192,0.0904738,0.129466,0.179045,0.241065,0.318698,0.415321,0.0598505,0.0905064,0.129499,0.17908,0.241101,0.318735,0.415358
12,0.237172,0.075519,0.107056,0.146665,0.196602,0.259049,0.337149,0.434043,0.0755189,0.107056,0.146665,0.196602,0.259048,0.337149,0.434042,0.0755188,0.107056,0.146665,0.196602,0.259048,0.337149,0.434042,0.0755185,0.107056,0.146665,0.196602,0.259048,0.337149,0.434042,0.0755363,0.107074,0.146683,0.196621,0.259068,0.337169,0.434063,0.0755539,0.107092,0.146702,0.196641,0.259128,0.33723,0.434124,0.0755718,0.10711,0.146721,0.196719,0.259168,0.33727,0.434165
13,0.258456,0.0921383,0.124055,0.164359,0.214643,0.277557,0.355924,0.453109,0.0921382,0.124055,0.164359,0.214643,0.277557,0.355924,0.453109,0.0921381,0.124055,0.164359,0.214643,0.277557,0.355924,0.453109,0.0921379,0.124055,0.164359,0.214643,0.277557,0.355924,0.453108,0.0921573,0.124075,0.16438,0.214664,0.277578,0.355946,0.453131,0.0922157,0.124135,0.164442,0.214727,0.277643,0.356012,0.453198,0.0922548,0.124175,0.164484,0.21477,0.277687,0.356057,0.453243
14,0.279986,0.109206,0.141546,0.182338,0.23308,0.296337,0.374984,0.472445,0.109206,0.141546,0.182338,0.23308,0.296337,0.374984,0.472445,0.109206,0.141546,0.182338,0.23308,0.296337,0.374984,0.472445,0.109206,0.141546,0.182338,0.233079,0.296337,0.374984,0.472445,0.109227,0.141568,0.18236,0.233103,0.29636,0.375008,0.472469,0.109292,0.141636,0.182428,0.233172,0.296431,0.37508,0.472542,0.109335,0.14168,0.182473,0.233219,0.296479,0.375129,0.472591
15,0.301766,0.126619,0.159623,0.200635,0.251758,0.315435,0.394371,0.492058,0.126619,0.159623,0.200634,0.251758,0.315435,0.394371,0.492058,0.126619,0.159623,0.200634,0.251757,0.315435,0.394371,0.492058,0.126619,0.159623,0.200634,0.251757,0.315435,0.394371,0.492057,0.126642,0.159647,0.200659,0.251782,0.31546,0.394397,0.492084,0.126712,0.15972,0.200733,0.251857,0.315537,0.394475,0.492163,0.126759,0.159769,0.200783,0.251908,0.315589,0.394527,0.492216
16,0.323799,0.144612,0.178003,0.219346,0.270824,0.334824,0.414024,0.511948,0.144612,0.178003,0.219345,0.270824,0.334824,0.414024,0.511948,0.144612,0.178003,0.219345,0.270824,0.334824,0.414024,0.511948,0.144612,0.178003,0.219345,0.270824,0.334824,0.414024,0.511948,0.144637,0.178029,0.219372,0.270851,0.334851,0.414052,0.511977,0.144715,0.178108,0.219453,0.270933,0.334934,0.414136,0.512062,0.144767,0.17816,0.219506,0.270987,0.334989,0.414192,0.512118
17,0.346087,0.163131,0.196675,0.238448,0.290242,0.35448,0.433937,0.532102,0.163131,0.196675,0.238448,0.290241,0.35448,0.433937,0.532102,0.163131,0.196675,0.238448,0.290241,0.35448,0.433937,0.532102,0.163131,0.196674,0.238448,0.290241,0.35448,0.433937,0.532102,0.163159,0.196703,0.238477,0.29027,0.354509,0.433967,0.532132,0.163242,0.196788,0.238563,0.290358,0.354598,0.434057,0.532223,0.163298,0.196845,0.23862,0.290417,0.354657,0.434117,0.532284
18,0.368632,0.181956,0.215787,0.257786,0.309971,0.374432,0.454139,0.552543,0.181956,0.215787,0.257785,0.309971,0.374432,0.454139,0.552543,0.181956,0.215787,0.257785,0.309971,0.374432,0.454139,0.552543,0.181955,0.215787,0.257785,0.309971,0.374432,0.454139,0.552543,0.181985,0.215817,0.257816,0.310002,0.374464,0.454171,0.552575,0.182075,0.215908,0.257908,0.310096,0.374559,0.454267,0.552672,0.182224,0.216059,0.257969,0.310159,0.374623,0.454331,0.552737
