gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8,-10008.7,-10008.7,-10008.7,-6782.24,-6782.24,-6782.24,-4922.8,-4922.8,-4922.8
1,0.0572595,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23,-7903.67,-7903.67,-7903.67,-5820.69,-5820.69,-5820.69,-4401.23,-4401.23,-4401.23
2,0.116568,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03,-6610.47,-6610.47,-6610.47,-5085,-5085,-5085,-3964.03,-3964.03,-3964.03
3,0.177999,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16,-5670.22,-5670.22,-5670.22,-4500.38,-4500.38,-4500.38,-3593.16,-3593.16,-3593.16
4,0.241629,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1,-4949.15,-4949.15,-4949.15,-4033.43,-4033.43,-4033.43,-3273.1,-3273.1,-3273.1
5,0.307536,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74,-4383.05,-4383.05,-4383.05,-3636.26,-3636.26,-3636.26,-2992.74,-2992.74,-2992.74
6,0.375801,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17,-3913.95,-3913.95,-3913.95,-3291.46,-3291.46,-3291.46,-2740.17,-2740.17,-2740.17
7,0.44651,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47,-3514.52,-3514.52,-3514.52,-2987.93,-2987.93,-2987.93,-2511.47,-2511.47,-2511.47
8,0.519749,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2407.58,-2407.58,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2407.58,-2407.58,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2407.58,-2407.58,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2354.58,-2354.58,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2354.58,-2354.58,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2354.58,-2354.58,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2301.59,-2301.59,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2301.59,-2301.59,-2303.5,-3168.35,-3168.35,-3168.35,-2718.06,-2718.06,-2718.06,-2301.59,-2301.59,-2303.5
9,0.595608,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2254.51,-2242.96,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2254.51,-2242.96,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2254.51,-2242.96,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2181.24,-2175.49,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2181.24,-2175.49,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2181.24,-2175.49,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2107.97,-2108.02,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2107.97,-2108.02,-2113.71,-2864.49,-2864.49,-2864.49,-2476.31,-2476.31,-2476.31,-2107.97,-2108.02,-2113.71
