gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5030.97,-5030.97,-5030.97,-5030.97,-5030.97,-5027.34,-5027.34,-5027.34,-5027.34,-5027.34,-5024.63,-5024.63,-5024.63,-5024.63,-5024.63,-5022.56,-5022.56,-5022.56,-5022.56,-5022.56,-5020.92,-5020.92,-5020.92,-5020.92,-5020.92
1,0.0468873,-184.42,-184.42,-184.42,-184.42,-184.42,-181.298,-181.298,-181.298,-181.298,-181.298,-178.845,-178.845,-178.845,-178.845,-178.845,-176.895,-176.895,-176.895,-176.895,-176.895,-175.333,-175.333,-175.333,-175.333,-175.333
2,0.0951487,-74.2566,-74.2566,-74.2566,-74.2566,-74.2566,-71.533,-71.533,-71.533,-71.533,-71.533,-69.2902,-69.2902,-69.2902,-69.2902,-69.2902,-67.4589,-67.4589,-67.4589,-67.4589,-67.4589,-65.9605,-65.9605,-65.9605,-65.9605,-65.9605
3,0.144824,-49.1548,-49.1548,-49.1548,-49.1548,-49.1548,-46.7339,-46.7339,-46.7339,-46.7339,-46.7339,-44.6745,-44.6745,-44.6745,-44.6745,-44.6745,-42.9452,-42.9452,-42.9452,-42.9452,-42.9452,-41.5061,-41.5061,-41.5061,-41.5061,-41.5061
4,0.195956,-39.4614,-39.4614,-39.4614,-39.4614,-39.4614,-37.2764,-37.2764,-37.2764,-37.2764,-37.2764,-35.3681,-35.3681,-35.3681,-35.3681,-35.3681,-33.7313,-33.7313,-33.7313,-33.7313,-33.7313,-32.3458,-32.3458,-32.3458,-32.3458,-32.3458
5,0.248585,-34.594,-34.594,-34.594,-34.594,-34.594,-32.6183,-32.6183,-32.6183,-32.6183,-32.6183,-30.8378,-30.8378,-30.8378,-30.8378,-30.8378,-29.2831,-29.2831,-29.2831,-29.2831,-29.2831,-27.9483,-27.9483,-27.9483,-27.9483,-27.9483
6,0.302757,-31.7318,-31.7318,-31.7318,-31.7318,-31.7318,-29.9267,-29.9267,-29.9267,-29.9267,-29.9267,-28.264,-28.264,-28.264,-28.264,-28.264,-26.7842,-26.7842,-26.7842,-26.7842,-26.7842,-25.4964,-25.4964,-25.4964,-25.4964,-25.4964
7,0.358517,-29.8629,-29.8629,-29.8629,-29.8629,-29.8629,-28.1945,-28.1945,-28.1945,-28.1945,-28.1945,-26.6359,-26.6359,-26.6359,-26.6359,-26.6359,-25.2256,-25.2256,-25.2256,-25.2256,-25.2256,-23.9817,-23.9817,-23.9817,-23.9817,-23.9817
8,0.41591,-28.5389,-28.5389,-28.5389,-28.5389,-28.5389,-26.9917,-26.9917,-26.9917,-26.9917,-26.9917,-25.5209,-25.5209,-25.5209,-25.5209,-25.5209,-24.1742,-24.1742,-24.1742,-24.1742,-24.1742,-22.9723,-22.9723,-22.9723,-22.9723,-22.9723
9,0.474986,-27.5403,-27.5403,-27.5403,-27.5403,-27.5403,-26.104,-26.104,-26.104,-26.104,-26.104,-24.7129,-24.7129,-24.7129,-24.7129,-24.7129,-23.4228,-23.4228,-23.4228,-23.4228,-23.4228,-22.2592,-22.2592,-22.2592,-22.2592,-22.2592
10,0.535792,-26.7522,-26.7522,-26.7522,-26.7522,-26.7522,-25.4117,-25.4117,-25.4117,-25.4117,-25.4117,-24.0946,-24.0946,-24.0946,-24.0946,-24.0946,-22.8571,-22.8571,-22.8571,-22.8571,-22.8571,-21.7288,-21.7288,-21.7288,-21.7288,-21.7288
11,0.598381,-26.1104,-26.1104,-26.1104,-26.1104,-26.1099,-24.8505,-24.8505,-24.8505,-24.8505,-24.8505,-23.6012,-23.6012,-23.6012,-23.6012,-23.6012,-22.4123,-22.4123,-22.4123,-22.4123,-22.4123,-21.3205,-21.3205,-21.3205,-21.3205,-21.3205
12,0.662804,-25.5722,-25.5722,-25.5722,-25.5722,-25.5702,-24.3829,-24.3829,-24.3829,-24.3829,-24.3827,-23.1941,-23.1941,-23.1941,-23.1941,-23.1941,-22.0527,-22.0527,-22.0527,-22.0527,-22.0527,-20.9927,-20.9927,-20.9927,-20.9927,-20.9927
13,0.729114,-25.1078,-25.1078,-25.1078,-25.1074,-25.1047,-23.9859,-23.9859,-23.9859,-23.9859,-23.9858,-22.8505,-22.8505,-22.8505,-22.8505,-22.8505,-21.7521,-21.7521,-21.7521,-21.7521,-21.7521,-20.7233,-20.7233,-20.7233,-20.7233,-20.7233
14,0.797368,-24.6989,-24.6989,-24.6989,-24.6983,-24.6954,-23.6387,-23.6387,-23.6387,-23.6387,-23.6378,-22.5537,-22.5537,-22.5537,-22.5537,-22.5537,-21.4941,-21.4941,-21.4941,-21.4941,-21.494,-20.4954,-20.4954,-20.4954,-20.4954,-20.4954
15,0.867622,-24.3341,-24.3341,-24.3341,-24.3338,-24.3293,-23.3291,-23.3291,-23.3291,-23.329,-23.3271,-22.2907,-22.2907,-22.2907,-22.2907,-22.2902,-21.2689,-21.2689,-21.2689,-21.2689,-21.2687,-20.2984,-20.2984,-20.2984,-20.2984,-20.2983
16,0.939934,-24.0042,-24.0042,-24.0042,-24.0041,-23.9975,-23.0492,-23.0492,-23.0492,-23.0488,-23.0459,-22.0545,-22.0545,-22.0545,-22.0545,-22.0532,-21.0675,-21.0675,-21.0675,-21.0675,-21.0675,-20.1241,-20.1241,-20.1241,-20.1241,-20.124
17,1.01437,-23.7042,-23.7042,-23.7042,-23.7016,-23.6947,-22.7932,-22.7932,-22.7932,-22.7919,-22.7889,-21.8398,-21.8398,-21.8398,-21.8396,-21.8381,-20.8856,-20.8856,-20.8856,-20.8856,-20.8845,-19.9677,-19.9677,-19.9677,-19.9677,-19.9672
18,1.09098,-23.4278,-23.4278,-23.4277,-23.424,-23.4162,-22.5577,-22.5577,-22.5577,-22.5567,-22.5507,-21.6409,-21.6409,-21.6409,-21.6408,-21.6383,-20.7189,-20.7189,-20.7189,-20.7189,-20.7173,-19.8255,-19.8255,-19.8255,-19.8255,-19.8246
19,1.16984,-23.1701,-23.1701,-23.1696,-23.1652,-23.1562,-22.3378,-22.3378,-22.3377,-22.3364,-22.3301,-21.4556,-21.4556,-21.4556,-21.4556,-21.4516,-20.5635,-20.5635,-20.5635,-20.5634,-20.5614,-19.6937,-19.6937,-19.6937,-19.6937,-19.6924
20,1.25101,-22.9281,-22.9281,-22.9269,-22.9225,-22.9122,-22.1313,-22.1313,-22.1313,-22.1288,-22.1222,-21.2824,-21.2824,-21.2824,-21.281,-21.2764,-20.4175,-20.4175,-20.4175,-20.4175,-20.4146,-19.5707,-19.5707,-19.5707,-19.5707,-19.5683
21,1.33455,-22.6996,-22.6996,-22.6982,-22.6925,-22.6821,-21.9358,-21.9358,-21.9358,-21.9324,-21.9249,-21.1183,-21.1183,-21.1183,-21.1164,-21.1105,-20.2802,-20.2802,-20.2802,-20.2797,-20.276,-19.4549,-19.4549,-19.4549,-19.4547,-19.4518
22,1.42055,-22.4828,-22.4828,-22.4811,-22.4744,-22.4636,-21.7497,-21.7497,-21.7496,-21.7457,-21.7373,-20.9615,-20.9615,-20.9615,-20.9593,-20.9529,-20.149,-20.149,-20.149,-20.148,-20.1435,-19.3443,-19.3443,-19.3443,-19.3439,-19.3405
23,1.50907,-22.276,-22.2758,-22.274,-22.2667,-22.2549,-21.5725,-21.5725,-21.5717,-21.5669,-21.5582,-20.811,-20.811,-20.8108,-20.8081,-20.8012,-20.0229,-20.0229,-20.0229,-20.0215,-20.0163,-19.2386,-19.2386,-19.2386,-19.2379,-19.2335
24,1.60018,-22.0782,-22.0779,-22.0752,-22.0678,-22.0554,-21.4026,-21.4026,-21.4012,-21.3955,-21.3857,-20.6662,-20.6662,-20.6659,-20.6624,-20.6549,-19.9015,-19.9015,-19.9015,-19.8992,-19.8932,-19.1367,-19.1367,-19.1367,-19.1355,-19.1306
25,1.69396,-21.8884,-21.8882,-21.8846,-21.8765,-21.8639,-21.2385,-21.2385,-21.2368,-21.2304,-21.2196,-20.5266,-20.5266,-20.5262,-20.5218,-20.5134,-19.784,-19.784,-19.784,-19.7813,-19.7743,-19.0375,-19.0375,-19.0375,-19.036,-19.0306
26,1.79048,-21.7053,-21.7051,-21.7011,-21.692,-21.679,-21.0795,-21.0795,-21.0774,-21.0706,-21.0592,-20.391,-20.391,-20.3902,-20.3852,-20.3759,-19.6696,-19.6696,-19.6694,-19.666,-19.6585,-18.9415,-18.9415,-18.9414,-18.939,-18.9327
27,1.88984,-21.5282,-21.5282,-21.5237,-21.5141,-21.4998,-20.925,-20.9249,-20.9223,-20.915,-20.9032,-20.2589,-20.2589,-20.2577,-20.2522,-20.2424,-19.5575,-19.5575,-19.5571,-19.5532,-19.5453,-18.847,-18.847,-18.847,-18.8444,-18.8375
28,1.99211,-21.3567,-21.3566,-21.3518,-21.3418,-21.3268,-20.7745,-20.7745,-20.7714,-20.7636,-20.7512,-20.1297,-20.1297,-20.1282,-20.1223,-20.112,-19.4483,-19.4483,-19.4476,-19.443,-19.4343,-18.7543,-18.7543,-18.7542,-18.7509,-18.7435
