gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[0 7],VF[0 8],VF[0 9],VF[0 10],VF[0 11],VF[0 12],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[1 7],VF[1 8],VF[1 9],VF[1 10],VF[1 11],VF[1 12],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[2 7],VF[2 8],VF[2 9],VF[2 10],VF[2 11],VF[2 12],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[3 7],VF[3 8],VF[3 9],VF[3 10],VF[3 11],VF[3 12],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[4 7],VF[4 8],VF[4 9],VF[4 10],VF[4 11],VF[4 12],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[5 7],VF[5 8],VF[5 9],VF[5 10],VF[5 11],VF[5 12],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6],VF[6 7],VF[6 8],VF[6 9],VF[6 10],VF[6 11],VF[6 12]
0,0,-27.7464,-27.7464,-27.7464,-27.7464,-27.7464,-27.7464,-27.7464,-22.1811,-22.1811,-22.1811,-22.1811,-22.1811,-22.1811,-22.1811,-18.2412,-18.2412,-18.2412,-18.2412,-18.2412,-18.2412,-18.2412,-15.4318,-15.4318,-15.4319,-15.4319,-15.4319,-15.4319,-15.4319,-13.0543,-13.0543,-13.0542,-13.0542,-13.0542,-13.0542,-13.0541,-10.898,-10.898,-10.8979,-10.8979,-10.8979,-10.8979,-10.8979,-9.09119,-9.09108,-9.09098,-9.09096,-9.09096,-9.09094,-9.09093,-27.7464,-27.7464,-27.7464,-27.7464,-27.7464,-27.7464,-27.7464,-22.1811,-22.1811,-22.1811,-22.1811,-22.1811,-22.1811,-22.1811,-18.2412,-18.2412,-18.2412,-18.2412,-18.2412,-18.2412,-18.2412,-15.4318,-15.4318,-15.4319,-15.4319,-15.4319,-15.4319,-15.4319,-13.0544,-13.0543,-13.0542,-13.0542,-13.0542,-13.0542,-13.0542,-10.898,-10.898,-10.8979,-10.8979,-10.8979,-10.8979,-10.8979
1,0.0185364,-25.5299,-25.4307,-25.3587,-25.2649,-25.204,-25.169,-25.1404,-20.9379,-20.881,-20.8396,-20.7855,-20.7504,-20.7301,-20.7136,-17.5616,-17.5318,-17.51,-17.4812,-17.4624,-17.4515,-17.4426,-14.9679,-14.9465,-14.9308,-14.9102,-14.8966,-14.8888,-14.8824,-12.6947,-12.6763,-12.6628,-12.6449,-12.6332,-12.6265,-12.6209,-10.6552,-10.6428,-10.6336,-10.6216,-10.6137,-10.6092,-10.6055,-8.89914,-8.88908,-8.88175,-8.87181,-8.86526,-8.86156,-8.85851,-25.5498,-25.4471,-25.3717,-25.2745,-25.2104,-25.1721,-25.1404,-20.9494,-20.8904,-20.8471,-20.7911,-20.7541,-20.732,-20.7136,-17.5675,-17.5368,-17.5139,-17.4842,-17.4644,-17.4525,-17.4426,-14.9722,-14.9501,-14.9337,-14.9123,-14.898,-14.8895,-14.8824,-12.6984,-12.6794,-12.6653,-12.6468,-12.6345,-12.6271,-12.6209,-10.6577,-10.6449,-10.6353,-10.6228,-10.6146,-10.6096,-10.6055
2,0.0372875,-23.553,-23.4362,-23.3411,-23.2966,-23.2523,-23.2083,-23.1647,-19.7796,-19.7095,-19.6524,-19.6255,-19.5988,-19.5723,-19.5459,-16.8886,-16.8427,-16.8048,-16.7869,-16.7689,-16.7509,-16.733,-14.4841,-14.4511,-14.4238,-14.4109,-14.3979,-14.385,-14.3721,-12.2952,-12.2715,-12.2519,-12.2426,-12.2333,-12.2241,-12.2148,-10.3796,-10.3618,-10.3471,-10.3402,-10.3332,-10.3263,-10.3193,-8.70292,-8.69103,-8.68119,-8.67663,-8.67207,-8.66751,-8.66286,-23.5838,-23.4614,-23.361,-23.3114,-23.2621,-23.2132,-23.1646,-19.798,-19.7246,-19.6643,-19.6344,-19.6047,-19.5752,-19.5459,-16.9006,-16.8527,-16.8128,-16.7928,-16.7729,-16.7529,-16.733,-14.4927,-14.4583,-14.4295,-14.4152,-14.4008,-14.3865,-14.3721,-12.3014,-12.2766,-12.256,-12.2457,-12.2354,-12.2251,-12.2148,-10.3842,-10.3657,-10.3502,-10.3425,-10.3347,-10.327,-10.3193
3,0.0562558,-22.0552,-21.9825,-21.8871,-21.8049,-21.7469,-21.6839,-21.6327,-18.8661,-18.821,-18.7615,-18.7102,-18.6739,-18.6344,-18.6023,-16.2724,-16.2417,-16.2007,-16.1649,-16.1393,-16.1112,-16.0881,-14.0375,-14.0145,-13.9838,-13.957,-13.9378,-13.9167,-13.8995,-11.9563,-11.9376,-11.9128,-11.891,-11.8754,-11.8584,-11.8444,-10.1253,-10.1113,-10.0938,-10.0784,-10.0675,-10.0554,-10.0455,-8.53611,-8.52694,-8.51461,-8.50381,-8.49617,-8.48767,-8.4808,-22.0918,-22.0126,-21.9108,-21.8224,-21.7584,-21.6895,-21.6327,-18.8889,-18.8397,-18.7763,-18.7211,-18.6811,-18.638,-18.6023,-16.2877,-16.2544,-16.2109,-16.1726,-16.1444,-16.1137,-16.0881,-14.0491,-14.0241,-13.9915,-13.9628,-13.9417,-13.9186,-13.8995,-11.9656,-11.9454,-11.919,-11.8956,-11.8785,-11.8599,-11.8444,-10.1323,-10.1172,-10.0982,-10.0817,-10.0697,-10.0565,-10.0456
4,0.0754439,-20.952,-20.8596,-20.7689,-20.6235,-20.5432,-20.4763,-20.4222,-18.1744,-18.1135,-18.0526,-17.9527,-17.8961,-17.8483,-17.8092,-15.7592,-15.7112,-15.6631,-15.5842,-15.543,-15.5091,-15.4814,-13.6534,-13.6174,-13.5814,-13.5222,-13.4888,-13.4605,-13.4374,-11.6564,-11.6294,-11.6025,-11.5581,-11.5331,-11.5119,-11.4945,-9.90487,-9.8843,-9.86372,-9.8299,-9.8108,-9.79464,-9.78141,-8.38305,-8.36869,-8.35433,-8.3305,-8.3171,-8.30575,-8.29653,-20.9921,-20.8923,-20.7946,-20.6422,-20.5554,-20.4823,-20.4222,-18.2005,-18.1352,-18.07,-17.9657,-17.9048,-17.8526,-17.8091,-15.7798,-15.7283,-15.6768,-15.5945,-15.5491,-15.5122,-15.4814,-13.6688,-13.6303,-13.5917,-13.5299,-13.4939,-13.4631,-13.4374,-11.668,-11.6391,-11.6102,-11.5639,-11.5369,-11.5138,-11.4945,-9.91371,-9.89166,-9.86962,-9.83431,-9.81374,-9.7961,-9.78141
5,0.0948544,-19.8272,-19.7619,-19.6976,-19.5968,-19.5473,-19.4983,-19.45,-17.3463,-17.2916,-17.2369,-17.1495,-17.1102,-17.0731,-17.0361,-15.154,-15.1153,-15.0766,-15.0147,-14.9837,-14.9528,-14.9218,-13.1638,-13.1315,-13.0992,-13.0475,-13.0216,-12.9958,-12.9699,-11.2894,-11.2657,-11.2436,-11.2083,-11.1906,-11.1729,-11.1553,-9.62506,-9.60658,-9.5881,-9.55858,-9.5438,-9.52902,-9.51424,-8.18751,-8.17462,-8.16173,-8.14101,-8.1307,-8.12039,-8.11008,-19.8668,-19.7944,-19.7232,-19.6155,-19.5596,-19.5044,-19.4499,-17.3791,-17.3189,-17.2588,-17.1659,-17.1194,-17.0777,-17.036,-15.1772,-15.1346,-15.092,-15.0263,-14.9915,-14.9566,-14.9218,-13.1832,-13.1477,-13.1121,-13.0572,-13.0281,-12.999,-12.9699,-11.304,-11.2773,-11.2524,-11.2149,-11.195,-11.1751,-11.1553,-9.63613,-9.61581,-9.59548,-9.5641,-9.54747,-9.53084,-9.51421
6,0.11449,-19.3126,-19.1575,-18.9857,-18.864,-18.7423,-18.6565,-18.5849,-16.9284,-16.8054,-16.6714,-16.5764,-16.4815,-16.4145,-16.3586,-14.8321,-14.7386,-14.6421,-14.5737,-14.5054,-14.4571,-14.4169,-12.895,-12.811,-12.731,-12.6744,-12.6178,-12.5778,-12.5446,-11.1041,-11.0454,-10.9814,-10.9361,-10.8908,-10.8589,-10.8323,-9.47132,-9.45113,-9.40004,-9.36385,-9.32758,-9.30198,-9.28063,-8.08071,-8.04639,-8.00891,-7.98239,-7.95585,-7.93715,-7.92156,-19.3549,-19.1932,-19.0143,-18.8854,-18.7566,-18.6636,-18.5848,-16.9619,-16.8334,-16.6937,-16.5931,-16.4926,-16.42,-16.3586,-14.8601,-14.7587,-14.6582,-14.5858,-14.5134,-14.4611,-14.4169,-12.9184,-12.8287,-12.7444,-12.6844,-12.6245,-12.5812,-12.5445,-11.1201,-11.0588,-10.9921,-10.9441,-10.8961,-10.8615,-10.8322,-9.48469,-9.46177,-9.40858,-9.37027,-9.33188,-9.30416,-9.28068
7,0.134352,-18.2613,-18.1689,-18.0429,-17.9337,-17.8581,-17.7803,-17.7232,-16.1127,-16.0482,-15.9602,-15.884,-15.8313,-15.7727,-15.7257,-14.2354,-14.1835,-14.1127,-14.0514,-14.0089,-13.9617,-13.924,-12.3941,-12.3511,-12.2925,-12.2418,-12.2082,-12.1721,-12.1432,-10.7157,-10.6831,-10.6386,-10.6,-10.5733,-10.5437,-10.5199,-9.18459,-9.1571,-9.11952,-9.09357,-9.0773,-9.05913,-9.04467,-7.85135,-7.83126,-7.80385,-7.7801,-7.76367,-7.74541,-7.73081,-18.3117,-18.2109,-18.0764,-17.9588,-17.8748,-17.7873,-17.7231,-16.1478,-16.0774,-15.9837,-15.9016,-15.843,-15.7785,-15.7257,-14.2637,-14.2071,-14.1316,-14.0655,-14.0183,-13.9665,-13.924,-12.4175,-12.3706,-12.3081,-12.2534,-12.2154,-12.1756,-12.1431,-10.7335,-10.6979,-10.6504,-10.6089,-10.5792,-10.5466,-10.5199,-9.19966,-9.16969,-9.12962,-9.09909,-9.08101,-9.06103,-9.04476
8,0.154445,-17.4119,-17.3381,-17.3953,-17.2886,-17.182,-17.0754,-16.9688,-15.4699,-15.4092,-15.4563,-15.37,-15.2973,-15.2246,-15.1519,-13.7182,-13.6694,-13.7074,-13.6369,-13.5664,-13.4959,-13.4254,-11.9855,-11.9482,-11.9772,-11.9232,-11.8692,-11.8153,-11.7613,-10.3978,-10.37,-10.3916,-10.3514,-10.3112,-10.271,-10.2307,-8.96591,-8.9472,-8.96215,-8.93512,-8.9081,-8.88107,-8.85405,-7.65118,-7.63229,-7.64701,-7.61972,-7.59242,-7.56513,-7.77951,-17.4611,-17.3791,-17.428,-17.3132,-17.1984,-17.0835,-16.9687,-15.5103,-15.4429,-15.4833,-15.3889,-15.3085,-15.2302,-15.1519,-13.7508,-13.6965,-13.7291,-13.6531,-13.5772,-13.5013,-13.4254,-12.0104,-11.9689,-11.9938,-11.9357,-11.8775,-11.8194,-11.7613,-10.4164,-10.3855,-10.404,-10.3607,-10.3174,-10.274,-10.2307,-8.97847,-8.95768,-8.97057,-8.94146,-8.91236,-8.88325,-8.85415
9,0.174771,-17.1523,-16.9482,-16.7997,-16.6421,-16.5019,-16.3699,-16.2709,-15.2772,-15.138,-15.0368,-14.9166,-14.809,-14.7078,-14.6319,-13.5469,-13.4119,-13.3137,-13.2082,-13.1167,-13.0307,-12.9662,-11.8543,-11.751,-11.6758,-11.593,-11.5209,-11.453,-11.4022,-10.3001,-10.223,-10.167,-10.1005,-10.041,-9.98497,-9.94299,-8.90107,-8.84919,-8.81155,-8.76674,-8.72665,-8.68884,-8.66047,-7.58498,-7.77601,-7.74731,-7.71304,-7.6824,-7.65359,-7.632,-17.2636,-16.9945,-16.8367,-16.6668,-16.5183,-16.3781,-16.2709,-15.3531,-15.1696,-15.0621,-14.9355,-14.8217,-14.7141,-14.6319,-13.6205,-13.4425,-13.3382,-13.2243,-13.1275,-13.0361,-12.9662,-11.9107,-11.7745,-11.6946,-11.6057,-11.5294,-11.4573,-11.4021,-10.3422,-10.2406,-10.181,-10.111,-10.048,-9.98845,-9.94297,-8.92953,-8.86106,-8.82106,-8.7739,-8.73145,-8.69128,-8.66055
