gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
10,0.205331,2.58194e-012,1.23988e-011,2.34752e-011,1.64831e-011,4.28871e-012,4.10062e-013,1.44242e-014,2.51948e-011,1.20989e-010,2.29073e-010,1.60844e-010,4.18496e-011,4.00142e-012,1.40752e-013,1.00505e-010,4.82636e-010,9.13794e-010,6.41622e-010,1.66942e-010,1.59621e-011,5.61475e-013,1.59209e-010,7.64543e-010,1.44754e-009,1.01639e-009,2.64453e-010,2.52855e-011,8.89432e-013,1.00505e-010,4.82636e-010,9.13794e-010,6.41622e-010,1.66942e-010,1.59621e-011,5.61474e-013,2.51948e-011,1.20989e-010,2.29073e-010,1.60844e-010,4.18496e-011,4.00142e-012,1.40752e-013,2.58194e-012,1.23988e-011,2.34752e-011,1.64831e-011,4.28871e-012,4.10062e-013,1.44242e-014
11,0.226131,1.45108e-011,7.22682e-011,1.42717e-010,1.05399e-010,2.91026e-011,2.97922e-012,1.13177e-013,1.41597e-010,7.05199e-010,1.39264e-009,1.02849e-009,2.83986e-010,2.90715e-011,1.1044e-012,5.64846e-010,2.81311e-009,5.55538e-009,4.10275e-009,1.13285e-009,1.15969e-010,4.40554e-012,8.94773e-010,4.45625e-009,8.80028e-009,6.49917e-009,1.79455e-009,1.83706e-010,6.97882e-012,5.64846e-010,2.81311e-009,5.55538e-009,4.10275e-009,1.13285e-009,1.15969e-010,4.40554e-012,1.41597e-010,7.05198e-010,1.39264e-009,1.02849e-009,2.83986e-010,2.90714e-011,1.10439e-012,1.45108e-011,7.22682e-011,1.42717e-010,1.05399e-010,2.91026e-011,2.97922e-012,1.13177e-013
12,0.247171,7.43586e-011,3.7987e-010,7.7172e-010,5.88825e-010,1.68704e-010,1.79953e-011,7.15579e-013,7.25598e-010,3.7068e-009,7.53051e-009,5.7458e-009,1.64623e-009,1.75599e-010,6.98268e-012,2.89448e-009,1.47868e-008,3.004e-008,2.29206e-008,6.56699e-009,7.00483e-010,2.78546e-011,4.58515e-009,2.34238e-008,4.75863e-008,3.63085e-008,1.04028e-008,1.10963e-009,4.41245e-011,2.89448e-009,1.47868e-008,3.00399e-008,2.29206e-008,6.56699e-009,7.00483e-010,2.78546e-011,7.25597e-010,3.7068e-009,7.5305e-009,5.7458e-009,1.64623e-009,1.75599e-010,6.98268e-012,7.43586e-011,3.7987e-010,7.7172e-010,5.88825e-010,1.68704e-010,1.79953e-011,7.15579e-013
13,0.268455,2.5528e-010,1.32928e-009,2.76352e-009,2.17093e-009,6.45235e-010,7.20572e-011,3.03524e-012,2.49105e-009,1.29712e-008,2.69667e-008,2.11841e-008,6.29626e-009,7.0314e-010,2.96181e-011,9.93703e-009,5.17435e-008,1.07573e-007,8.45054e-008,2.51164e-008,2.8049e-009,1.1815e-010,1.57412e-008,8.19668e-008,1.70406e-007,1.33865e-007,3.97869e-008,4.44324e-009,1.87161e-010,9.93703e-009,5.17435e-008,1.07573e-007,8.45054e-008,2.51164e-008,2.8049e-009,1.1815e-010,2.49104e-009,1.29712e-008,2.69667e-008,2.11841e-008,6.29626e-009,7.0314e-010,2.96181e-011,2.5528e-010,1.32928e-009,2.76352e-009,2.17093e-009,6.45235e-010,7.20572e-011,3.03524e-012
14,0.289985,7.49026e-010,4.02365e-009,8.65567e-009,7.06818e-009,2.19355e-009,2.56838e-010,1.13902e-011,7.30906e-009,3.92631e-008,8.44628e-008,6.89719e-008,2.14049e-008,2.50625e-009,1.11146e-010,2.91566e-008,1.56624e-007,3.36931e-007,2.75136e-007,8.53862e-008,9.99768e-009,4.43374e-010,4.61869e-008,2.48109e-007,5.33732e-007,4.35843e-007,1.3526e-007,1.58373e-008,7.02349e-010,2.91566e-008,1.56624e-007,3.36931e-007,2.75136e-007,8.53862e-008,9.99768e-009,4.43374e-010,7.30905e-009,3.92631e-008,8.44628e-008,6.89719e-008,2.14049e-008,2.50625e-009,1.11146e-010,7.49026e-010,4.02365e-009,8.65567e-009,7.06818e-009,2.19355e-009,2.56838e-010,1.13902e-011
15,0.311765,2.18657e-009,1.2328e-008,2.77711e-008,2.3717e-008,7.6773e-009,9.34243e-010,4.29157e-011,2.13368e-008,1.20298e-007,2.70993e-007,2.31433e-007,7.49158e-008,9.11643e-009,4.18775e-010,8.51146e-008,4.79881e-007,1.08102e-006,9.23209e-007,2.98846e-007,3.63663e-008,1.67054e-009,1.3483e-007,7.6018e-007,1.71244e-006,1.46246e-006,4.73403e-007,5.76079e-008,2.6463e-009,8.51145e-008,4.79881e-007,1.08102e-006,9.23209e-007,2.98846e-007,3.63663e-008,1.67054e-009,2.13368e-008,1.20298e-007,2.70993e-007,2.31433e-007,7.49157e-008,9.11642e-009,4.18775e-010,2.18657e-009,1.2328e-008,2.77711e-008,2.3717e-008,7.6773e-009,9.34243e-010,4.29157e-011
16,0.333798,5.74522e-009,3.32521e-008,7.73818e-008,6.8845e-008,2.34282e-008,3.02477e-009,1.48814e-010,5.60623e-008,3.24477e-007,7.55098e-007,6.71795e-007,2.28615e-007,2.9516e-008,1.45214e-009,2.23638e-007,1.29437e-006,3.01216e-006,2.67986e-006,9.11967e-007,1.17742e-007,5.79271e-009,3.54265e-007,2.05041e-006,4.77156e-006,4.24516e-006,1.44465e-006,1.86516e-007,9.17624e-009,2.23638e-007,1.29437e-006,3.01216e-006,2.67986e-006,9.11967e-007,1.17742e-007,5.79271e-009,5.60623e-008,3.24477e-007,7.55097e-007,6.71795e-007,2.28615e-007,2.9516e-008,1.45213e-009,5.74522e-009,3.32521e-008,7.73818e-008,6.8845e-008,2.34282e-008,3.02477e-009,1.48814e-010
17,0.356085,1.20006e-008,7.14471e-008,1.71583e-007,1.58214e-007,5.6015e-008,7.54642e-009,3.88432e-010,1.17103e-007,6.97187e-007,1.67433e-006,1.54387e-006,5.46599e-007,7.36386e-008,3.79035e-009,4.67136e-007,2.78115e-006,6.67905e-006,6.15865e-006,2.18044e-006,2.93752e-007,1.51201e-008,7.3999e-007,4.40562e-006,1.05803e-005,9.75592e-006,3.45403e-006,4.65332e-007,2.39517e-008,4.67136e-007,2.78115e-006,6.67905e-006,6.15865e-006,2.18044e-006,2.93752e-007,1.51201e-008,1.17103e-007,6.97187e-007,1.67433e-006,1.54387e-006,5.46598e-007,7.36386e-008,3.79035e-009,1.20006e-008,7.14471e-008,1.71583e-007,1.58214e-007,5.6015e-008,7.54642e-009,3.88432e-010
18,0.378631,2.39755e-008,1.46073e-007,3.59326e-007,3.40062e-007,1.23836e-007,1.72028e-008,9.16415e-010,2.33955e-007,1.42539e-006,3.50633e-006,3.31836e-006,1.2084e-006,1.67866e-007,8.94246e-009,9.3327e-007,5.68602e-006,1.39871e-005,1.32373e-005,4.82045e-006,6.69634e-007,3.56724e-008,1.47839e-006,9.00722e-006,2.2157e-005,2.09691e-005,7.63607e-006,1.06077e-006,5.65086e-008,9.33269e-007,5.68602e-006,1.39871e-005,1.32373e-005,4.82045e-006,6.69634e-007,3.56724e-008,2.33955e-007,1.42539e-006,3.50633e-006,3.31836e-006,1.2084e-006,1.67866e-007,8.94245e-009,2.39755e-008,1.46073e-007,3.59326e-007,3.40062e-007,1.23836e-007,1.72028e-008,9.16415e-010
19,0.401438,4.55904e-008,2.88348e-007,7.35341e-007,7.22188e-007,2.73493e-007,3.96521e-008,2.21825e-009,4.44875e-007,2.81372e-006,7.17552e-006,7.04717e-006,2.66876e-006,3.86929e-007,2.16458e-008,1.77465e-006,1.12242e-005,2.86239e-005,2.81119e-005,1.0646e-005,1.5435e-006,8.63475e-008,2.81122e-006,1.77803e-005,4.53431e-005,4.4532e-005,1.68643e-005,2.44506e-006,1.36783e-007,1.77465e-006,1.12242e-005,2.86239e-005,2.81119e-005,1.0646e-005,1.5435e-006,8.63474e-008,4.44875e-007,2.81372e-006,7.17552e-006,7.04717e-006,2.66876e-006,3.86929e-007,2.16458e-008,4.55904e-008,2.88348e-007,7.35341e-007,7.22188e-007,2.73493e-007,3.96521e-008,2.21825e-009
