gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
97,46.8577,46.0133,46.1016,46.1016,45.9965,46.0813,46.0813,45.4101,45.4101,46.0799,46.0133,46.1016,46.1016,45.9965,46.0813,46.0813,45.4101,45.4101,46.0799,46.0133,46.1016,46.1016,45.9965,46.0813,46.0813,45.4101,45.4101,46.0799,46.3748,46.3727,46.3727,46.4483,46.4428,46.4428,46.5854,46.5854,46.5317,46.3748,46.3727,46.3727,46.4483,46.4428,46.4428,46.5854,46.5854,46.5317,46.3748,46.3727,46.3727,46.4483,46.4428,46.4428,46.5854,46.5854,46.5317,46.7362,46.6437,46.6437,46.9001,46.8042,46.8042,47.7608,47.7608,46.9836,46.7362,46.6437,46.6437,46.9001,46.8042,46.8042,47.7608,47.7608,46.9836,46.7362,46.6437,46.6437,46.9001,46.8042,46.8042,47.7608,47.7608,46.9836
98,48.5919,47.7229,47.8143,47.8143,47.703,47.7909,47.7909,47.092,47.092,47.7864,47.7229,47.8143,47.8143,47.703,47.7909,47.7909,47.092,47.092,47.7864,47.7229,47.8143,47.8143,47.703,47.7909,47.7909,47.092,47.092,47.7864,48.0977,48.0954,48.0954,48.1715,48.1657,48.1657,48.3109,48.3109,48.2549,48.0977,48.0954,48.0954,48.1715,48.1657,48.1657,48.3109,48.3109,48.2549,48.0977,48.0954,48.0954,48.1715,48.1657,48.1657,48.3109,48.3109,48.2549,48.4725,48.3766,48.3766,48.6401,48.5405,48.5405,49.5298,49.5298,48.7235,48.4725,48.3766,48.3766,48.6401,48.5405,48.5405,49.5298,49.5298,48.7235,48.4725,48.3766,48.3766,48.6401,48.5405,48.5405,49.5298,49.5298,48.7235
99,50.3881,49.4936,49.5884,49.5884,49.4705,49.5616,49.5616,48.8341,48.8341,49.5539,49.4936,49.5884,49.5884,49.4705,49.5616,49.5616,48.8341,48.8341,49.5539,49.4936,49.5884,49.5884,49.4705,49.5616,49.5616,48.8341,48.8341,49.5539,49.8822,49.8799,49.8799,49.9564,49.9503,49.9503,50.0981,50.0981,50.0398,49.8822,49.8799,49.8799,49.9564,49.9503,49.9503,50.0981,50.0981,50.0398,49.8822,49.8799,49.8799,49.9564,49.9503,49.9503,50.0981,50.0981,50.0398,50.2709,50.1714,50.1714,50.4422,50.3389,50.3389,51.3621,51.3621,50.5257,50.2709,50.1714,50.1714,50.4422,50.3389,50.3389,51.3621,51.3621,50.5257,50.2709,50.1714,50.1714,50.4422,50.3389,50.3389,51.3621,51.3621,50.5257
100,52.2486,51.3277,51.4259,51.4259,51.3013,51.3957,51.3957,50.6386,50.6386,51.479,51.3277,51.4259,51.4259,51.3013,51.3957,51.3957,50.6386,50.6386,51.479,51.3277,51.4259,51.4259,51.3013,51.3957,51.3957,50.6386,50.6386,51.479,51.7307,51.7282,51.7282,51.8051,51.7987,51.7987,51.9493,51.9493,51.8821,51.7307,51.7282,51.7282,51.8051,51.7987,51.7987,51.9493,51.9493,51.8821,51.7307,51.7282,51.7282,51.8051,51.7987,51.7987,51.9493,51.9493,51.8821,52.1337,52.0305,52.0305,52.3089,52.2017,52.2017,53.26,53.26,52.2851,52.1337,52.0305,52.0305,52.3089,52.2017,52.2017,53.26,53.26,52.2851,52.1337,52.0305,52.0305,52.3089,52.2017,52.2017,53.26,53.26,52.2851
101,54.1757,53.2274,53.3292,53.3292,53.2954,53.2954,53.2954,52.5078,52.5078,53.3788,53.2274,53.3292,53.3292,53.2954,53.2954,53.2954,52.5078,52.5078,53.3788,53.2274,53.3292,53.3292,53.2954,53.2954,53.2954,52.5078,52.5078,53.3788,53.6453,53.6427,53.6427,53.7133,53.7133,53.7133,53.8668,53.8668,53.7967,53.6453,53.6427,53.6427,53.7133,53.7133,53.7133,53.8668,53.8668,53.7967,53.6453,53.6427,53.6427,53.7133,53.7133,53.7133,53.8668,53.8668,53.7967,54.0632,53.9561,53.9561,54.1312,54.1312,54.1312,55.2258,55.2258,54.2146,54.0632,53.9561,53.9561,54.1312,54.1312,54.1312,55.2258,55.2258,54.2146,54.0632,53.9561,53.9561,54.1312,54.1312,54.1312,55.2258,55.2258,54.2146
102,56.1718,55.1951,55.3007,55.3007,55.2631,55.2631,55.2631,54.4438,54.4438,55.3465,55.1951,55.3007,55.3007,55.2631,55.2631,55.2631,54.4438,54.4438,55.3465,55.1951,55.3007,55.3007,55.2631,55.2631,55.2631,54.4438,54.4438,55.3465,55.6284,55.6257,55.6257,55.6964,55.6964,55.6964,55.8529,55.8529,55.7798,55.6284,55.6257,55.6257,55.6964,55.6964,55.6964,55.8529,55.8529,55.7798,55.6284,55.6257,55.6257,55.6964,55.6964,55.6964,55.8529,55.8529,55.7798,56.0617,55.9506,55.9506,56.1297,56.1297,56.1297,57.262,57.262,56.2131,56.0617,55.9506,55.9506,56.1297,56.1297,56.1297,57.262,57.262,56.2131,56.0617,55.9506,55.9506,56.1297,56.1297,56.1297,57.262,57.262,56.2131
103,58.2393,57.2333,57.3427,57.3427,57.3013,57.3013,57.3013,56.4492,56.4492,57.3847,57.2333,57.3427,57.3427,57.3013,57.3013,57.3013,56.4492,56.4492,57.3847,57.2333,57.3427,57.3427,57.3013,57.3013,57.3013,56.4492,56.4492,57.3847,57.6825,57.6796,57.6796,57.7505,57.7505,57.7505,57.9102,57.9102,57.8339,57.6825,57.6796,57.6796,57.7505,57.7505,57.7505,57.9102,57.9102,57.8339,57.6825,57.6796,57.6796,57.7505,57.7505,57.7505,57.9102,57.9102,57.8339,58.1317,58.0165,58.0165,58.1998,58.1998,58.1998,59.3712,59.3712,58.2831,58.1317,58.0165,58.0165,58.1998,58.1998,58.1998,59.3712,59.3712,58.2831,58.1317,58.0165,58.0165,58.1998,58.1998,58.1998,59.3712,59.3712,58.2831
104,60.3807,59.3444,59.4577,59.4577,59.4124,59.4124,59.4124,58.5263,58.5263,59.4958,59.3444,59.4577,59.4577,59.4124,59.4124,59.4124,58.5263,58.5263,59.4958,59.3444,59.4577,59.4577,59.4124,59.4124,59.4124,58.5263,58.5263,59.4958,59.8101,59.8071,59.8071,59.8782,59.8782,59.8782,60.0411,60.0411,59.9615,59.8101,59.8071,59.8071,59.8782,59.8782,59.8782,60.0411,60.0411,59.9615,59.8101,59.8071,59.8071,59.8782,59.8782,59.8782,60.0411,60.0411,59.9615,60.2759,60.1564,60.1564,60.3439,60.3439,60.3439,61.5558,61.5558,60.4273,60.2759,60.1564,60.1564,60.3439,60.3439,60.3439,61.5558,61.5558,60.4273,60.2759,60.1564,60.1564,60.3439,60.3439,60.3439,61.5558,61.5558,60.4273
105,62.5989,61.531,61.6485,61.6485,61.599,61.599,61.599,60.6778,60.6778,61.6824,61.531,61.6485,61.6485,61.599,61.599,61.599,60.6778,60.6778,61.6824,61.531,61.6485,61.6485,61.599,61.599,61.599,60.6778,60.6778,61.6824,62.0139,62.0106,62.0106,62.0819,62.0819,62.0819,62.2482,62.2482,62.1653,62.0139,62.0106,62.0106,62.0819,62.0819,62.0819,62.2482,62.2482,62.1653,62.0139,62.0106,62.0106,62.0819,62.0819,62.0819,62.2482,62.2482,62.1653,62.4967,62.3728,62.3728,62.5648,62.5648,62.5648,63.8186,63.8186,62.6482,62.4967,62.3728,62.3728,62.5648,62.5648,62.5648,63.8186,63.8186,62.6482,62.4967,62.3728,62.3728,62.5648,62.5648,62.5648,63.8186,63.8186,62.6482
106,64.8964,63.7959,63.9176,63.9176,63.864,63.864,63.864,62.9064,62.9064,63.9473,63.7959,63.9176,63.9176,63.864,63.864,63.864,62.9064,62.9064,63.9473,63.7959,63.9176,63.9176,63.864,63.864,63.864,62.9064,62.9064,63.9473,64.2965,64.2931,64.2931,64.3646,64.3646,64.3646,64.5344,64.5344,64.4479,64.2965,64.2931,64.2931,64.3646,64.3646,64.3646,64.5344,64.5344,64.4479,64.2965,64.2931,64.2931,64.3646,64.3646,64.3646,64.5344,64.5344,64.4479,64.7971,64.6685,64.6685,64.8651,64.8651,64.8651,66.1625,66.1625,64.9485,64.7971,64.6685,64.6685,64.8651,64.8651,64.8651,66.1625,66.1625,64.9485,64.7971,64.6685,64.6685,64.8651,64.8651,64.8651,66.1625,66.1625,64.9485
