gridnumber,capital,policy[0 0],policy[1 0],policy[2 0],policy[3 0],policy[4 0]
0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0
2,0.0951487,0,0,0,0,0
3,0.144824,0,0,0,0,0
4,0.195956,0,0,0,0,0
5,0.248585,0,0,0,0,0
6,0.302757,0,0,0,0,0
7,0.358517,0,0,0,0,0
8,0.41591,0,0,0,0,0
9,0.474986,0,0,0,0,0
10,0.535792,0,0,0,0,0
11,0.598381,0,0,0,0,0
12,0.662804,0.00512638,0,0,0,0
13,0.729114,0.0495599,0,0,0,0
14,0.797368,0.0854109,0.0326089,0,0,0
15,0.867622,0.124094,0.0741011,0.00119887,0,0
16,0.939934,0.165117,0.114561,0.0522124,0,0
17,1.01437,0.208374,0.15777,0.0950564,0.0177001,0
18,1.09098,0.254551,0.203594,0.141009,0.0699226,0
19,1.16984,0.306002,0.252885,0.190218,0.119324,0.042456
20,1.25101,0.361841,0.307691,0.243385,0.17264,0.0967648
21,1.33455,0.420491,0.36698,0.301632,0.230436,0.155607
22,1.42055,0.482479,0.429109,0.365105,0.29291,0.21891
23,1.50907,0.547333,0.494433,0.431372,0.360748,0.286564
24,1.60018,0.615569,0.563445,0.500574,0.43159,0.359112
25,1.69396,0.686517,0.63547,0.573791,0.504998,0.434457
26,1.79048,0.760323,0.709953,0.64972,0.582336,0.512316
27,1.88984,0.837738,0.7875,0.728337,0.662336,0.593663
28,1.99211,0.918199,0.86895,0.810062,0.745483,0.678114
29,2.09737,1.00183,0.953095,0.89539,0.831309,0.765479
30,2.20572,1.08842,1.04049,0.983475,0.92052,0.855123
31,2.31725,1.17749,1.13085,1.07492,1.0128,0.948682
32,2.43204,1.271,1.22456,1.16949,1.10841,1.04528
33,2.5502,1.36808,1.32183,1.26768,1.20762,1.14515
34,2.67182,1.46836,1.42256,1.36859,1.30941,1.24857
35,2.797,1.57195,1.52717,1.47382,1.41455,1.3541
36,2.92586,1.67893,1.63481,1.58254,1.52452,1.46436
37,3.05848,1.78941,1.74595,1.69426,1.63712,1.57774
38,3.195,1.9036,1.86073,1.81001,1.75362,1.69516
