gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
138,6.24264,-4.94742,-4.94679,-4.94426,-4.93985,-4.9337,-4.84685,-4.84648,-4.84434,-4.84037,-4.83468,-4.73624,-4.73605,-4.73433,-4.7308,-4.72564,-4.61946,-4.61942,-4.61809,-4.61505,-4.61038,-4.50069,-4.50069,-4.49978,-4.49722,-4.49305
139,6.3335,-4.93012,-4.92946,-4.9269,-4.92246,-4.91629,-4.83073,-4.83034,-4.82817,-4.82416,-4.81846,-4.72136,-4.72117,-4.71942,-4.71585,-4.71066,-4.60585,-4.6058,-4.60444,-4.60136,-4.59665,-4.4883,-4.4883,-4.48736,-4.48474,-4.48053
140,6.42541,-4.91286,-4.91218,-4.90958,-4.90513,-4.89893,-4.81466,-4.81424,-4.81205,-4.808,-4.80227,-4.70654,-4.70633,-4.70453,-4.70095,-4.69572,-4.59226,-4.59219,-4.59081,-4.58768,-4.58295,-4.4759,-4.4759,-4.47494,-4.47226,-4.46803
141,6.51839,-4.89566,-4.89497,-4.89233,-4.88786,-4.88162,-4.79863,-4.79819,-4.79596,-4.7919,-4.78614,-4.69174,-4.69152,-4.68966,-4.68607,-4.68079,-4.57868,-4.5786,-4.57719,-4.57403,-4.56926,-4.46352,-4.46351,-4.46251,-4.45981,-4.45553
142,6.61244,-4.87852,-4.87781,-4.87515,-4.87065,-4.86438,-4.78264,-4.78219,-4.77992,-4.77584,-4.77005,-4.67697,-4.67673,-4.67484,-4.67121,-4.6659,-4.56514,-4.56504,-4.56359,-4.56039,-4.55559,-4.45115,-4.45114,-4.45009,-4.44736,-4.44303
143,6.70758,-4.86143,-4.8607,-4.85802,-4.8535,-4.8472,-4.7667,-4.76623,-4.76391,-4.75982,-4.754,-4.66221,-4.66196,-4.66005,-4.65638,-4.65103,-4.5516,-4.5515,-4.54999,-4.54678,-4.54193,-4.43878,-4.43877,-4.43769,-4.4349,-4.43054
144,6.80383,-4.8444,-4.84364,-4.84095,-4.83639,-4.83008,-4.7508,-4.7503,-4.74797,-4.74384,-4.73799,-4.64748,-4.64721,-4.64529,-4.64158,-4.63621,-4.53807,-4.53796,-4.53643,-4.53318,-4.52828,-4.42641,-4.4264,-4.42529,-4.42245,-4.41807
145,6.90119,-4.82741,-4.82663,-4.82392,-4.81933,-4.81301,-4.73493,-4.73441,-4.73206,-4.72789,-4.72201,-4.63279,-4.6325,-4.63055,-4.6268,-4.62141,-4.52455,-4.52444,-4.52288,-4.51958,-4.51465,-4.41405,-4.41402,-4.41288,-4.41002,-4.40559
146,6.99968,-4.81049,-4.80967,-4.80695,-4.80233,-4.796,-4.71909,-4.71856,-4.71618,-4.71198,-4.70608,-4.61813,-4.61782,-4.61583,-4.61206,-4.60663,-4.51105,-4.51092,-4.50934,-4.506,-4.50105,-4.4017,-4.40167,-4.40047,-4.39759,-4.39311
147,7.0993,-4.79362,-4.79278,-4.79002,-4.78539,-4.77903,-4.7033,-4.70274,-4.70035,-4.69611,-4.6902,-4.6035,-4.60316,-4.60114,-4.59734,-4.59188,-4.49758,-4.49743,-4.49581,-4.49244,-4.48747,-4.38935,-4.38932,-4.38808,-4.38516,-4.38064
148,7.20009,-4.77679,-4.77594,-4.77314,-4.76851,-4.76213,-4.68756,-4.68697,-4.68454,-4.68029,-4.67435,-4.58888,-4.58853,-4.58647,-4.58265,-4.57716,-4.48412,-4.48396,-4.48229,-4.4789,-4.47388,-4.377,-4.37696,-4.3757,-4.37273,-4.36818
149,7.30204,-4.76002,-4.75914,-4.75631,-4.75167,-4.74527,-4.67185,-4.67124,-4.66878,-4.66451,-4.65854,-4.57428,-4.57392,-4.57183,-4.56799,-4.56245,-4.47067,-4.4705,-4.46879,-4.46537,-4.46031,-4.36464,-4.3646,-4.36331,-4.3603,-4.35573
150,7.40517,-4.74329,-4.74239,-4.73954,-4.73488,-4.72846,-4.65617,-4.65554,-4.65304,-4.64876,-4.64277,-4.55971,-4.55933,-4.55722,-4.55334,-4.54778,-4.45723,-4.45704,-4.45531,-4.45184,-4.44676,-4.3523,-4.35224,-4.35091,-4.34789,-4.34328
151,7.5095,-4.72661,-4.72569,-4.72282,-4.71814,-4.71169,-4.64053,-4.63988,-4.63735,-4.63305,-4.62702,-4.54516,-4.54477,-4.54264,-4.53872,-4.53313,-4.44379,-4.4436,-4.44184,-4.43834,-4.43323,-4.33997,-4.33991,-4.33853,-4.33549,-4.33084
152,7.61503,-4.70997,-4.70903,-4.70615,-4.70144,-4.69497,-4.62491,-4.62425,-4.62171,-4.61737,-4.61132,-4.53065,-4.53023,-4.52807,-4.52411,-4.51852,-4.43038,-4.43016,-4.42838,-4.42485,-4.41971,-4.32764,-4.32757,-4.32617,-4.32308,-4.31839
153,7.72179,-4.69338,-4.69241,-4.68953,-4.68478,-4.67829,-4.60933,-4.60865,-4.60609,-4.60173,-4.59565,-4.51615,-4.51571,-4.51352,-4.50955,-4.50393,-4.41697,-4.41674,-4.41492,-4.41138,-4.40621,-4.31531,-4.31523,-4.3138,-4.31067,-4.30595
154,7.82979,-4.67683,-4.67585,-4.67294,-4.66817,-4.66168,-4.59378,-4.59309,-4.59051,-4.58612,-4.58001,-4.50168,-4.50123,-4.499,-4.495,-4.48936,-4.40359,-4.40335,-4.40148,-4.39792,-4.39272,-4.30297,-4.30288,-4.30143,-4.29826,-4.29353
155,7.93903,-4.66034,-4.65933,-4.65641,-4.65161,-4.64511,-4.57827,-4.57755,-4.57496,-4.57054,-4.56442,-4.48723,-4.48676,-4.48449,-4.48048,-4.47481,-4.39022,-4.38996,-4.38807,-4.38447,-4.37924,-4.29065,-4.29055,-4.28906,-4.28587,-4.2811
156,8.04955,-4.64389,-4.64285,-4.63991,-4.6351,-4.62859,-4.5628,-4.56205,-4.55944,-4.55499,-4.54887,-4.4728,-4.47231,-4.47002,-4.46599,-4.46028,-4.37685,-4.37658,-4.37467,-4.37103,-4.36577,-4.27833,-4.27822,-4.27669,-4.27348,-4.26867
157,8.16134,-4.62748,-4.62643,-4.62345,-4.61864,-4.61211,-4.54737,-4.5466,-4.54395,-4.53949,-4.53335,-4.45838,-4.45788,-4.45558,-4.45151,-4.44578,-4.36348,-4.3632,-4.36127,-4.3576,-4.35232,-4.26601,-4.26589,-4.26433,-4.26109,-4.25623
158,8.27443,-4.61111,-4.61005,-4.60705,-4.60222,-4.59567,-4.53196,-4.53117,-4.5285,-4.52402,-4.51787,-4.44399,-4.44347,-4.44115,-4.43705,-4.4313,-4.35015,-4.34983,-4.34788,-4.34418,-4.33888,-4.25368,-4.25356,-4.25198,-4.24869,-4.24381
