gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
68,9.80527,9.05424e-006,3.27612e-005,5.1897e-005,3.27612e-005,9.05424e-006,4.00821e-005,0.00014503,0.000229742,0.00014503,4.00821e-005,7.96634e-005,0.000288248,0.000456614,0.000288248,7.96634e-005,6.47057e-005,0.000234126,0.00037088,0.000234126,6.47057e-005,2.26307e-005,8.18853e-005,0.000129714,8.18853e-005,2.26307e-005
69,10.1395,7.91352e-006,2.86337e-005,4.53587e-005,2.86337e-005,7.91352e-006,3.49711e-005,0.000126537,0.000200447,0.000126537,3.49711e-005,6.80507e-005,0.00024623,0.000390052,0.00024623,6.80507e-005,5.4474e-005,0.000197105,0.000312234,0.000197105,5.4474e-005,1.90489e-005,6.89252e-005,0.000109184,6.89252e-005,1.90489e-005
70,10.4835,6.78051e-006,2.45341e-005,3.88645e-005,2.45341e-005,6.78051e-006,3.03032e-005,0.000109647,0.000173692,0.000109647,3.03032e-005,5.99708e-005,0.000216994,0.00034374,0.000216994,5.99708e-005,4.90352e-005,0.000177425,0.00028106,0.000177425,4.90352e-005,1.74915e-005,6.32899e-005,0.000100257,6.32899e-005,1.74915e-005
71,10.8376,5.7454e-006,2.07887e-005,3.29314e-005,2.07887e-005,5.7454e-006,2.57911e-005,9.33207e-005,0.000147829,9.33207e-005,2.57911e-005,5.18083e-005,0.000187459,0.000296954,0.000187459,5.18083e-005,4.30215e-005,0.000155666,0.00024659,0.000155666,4.30215e-005,1.55061e-005,5.61062e-005,8.88779e-005,5.61062e-005,1.55061e-005
72,11.2021,5.06721e-006,1.83348e-005,2.90442e-005,1.83348e-005,5.06721e-006,2.23177e-005,8.07528e-005,0.00012792,8.07528e-005,2.23177e-005,4.36642e-005,0.000157992,0.000250274,0.000157992,4.36642e-005,3.53145e-005,0.000127779,0.000202415,0.000127779,3.53145e-005,1.23931e-005,4.48421e-005,7.10344e-005,4.48421e-005,1.23931e-005
73,11.5773,4.10326e-006,1.48469e-005,2.3519e-005,1.48469e-005,4.10326e-006,1.79352e-005,6.48954e-005,0.000102801,6.48954e-005,1.79352e-005,3.54156e-005,0.000128145,0.000202995,0.000128145,3.54156e-005,2.91841e-005,0.000105598,0.000167277,0.000105598,2.91841e-005,1.05336e-005,3.81141e-005,6.03765e-005,3.81141e-005,1.05336e-005
74,11.9634,3.7367e-006,1.35206e-005,2.1418e-005,1.35206e-005,3.7367e-006,1.62572e-005,5.88238e-005,9.31827e-005,5.88238e-005,1.62572e-005,3.1333e-005,0.000113373,0.000179594,0.000113373,3.1333e-005,2.50914e-005,9.0789e-005,0.000143819,9.0789e-005,2.50914e-005,8.87547e-006,3.21143e-005,5.08723e-005,3.21143e-005,8.87547e-006
75,12.3609,3.10517e-006,1.12355e-005,1.77982e-005,1.12355e-005,3.10517e-006,1.34649e-005,4.87204e-005,7.71779e-005,4.87204e-005,1.34649e-005,2.63516e-005,9.53487e-005,0.000151042,9.53487e-005,2.63516e-005,2.13792e-005,7.73571e-005,0.000122541,7.73571e-005,2.13792e-005,7.49952e-006,2.71357e-005,4.29857e-005,2.71357e-005,7.49952e-006
76,12.77,2.73389e-006,9.89211e-006,1.56701e-005,9.89211e-006,2.73389e-006,1.20401e-005,4.35649e-005,6.90111e-005,4.35649e-005,1.20401e-005,2.35223e-005,8.51112e-005,0.000134825,8.51112e-005,2.35223e-005,1.90404e-005,6.88945e-005,0.000109136,6.88945e-005,1.90404e-005,6.77945e-006,2.45303e-005,3.88584e-005,2.45303e-005,6.77945e-006
77,13.1911,2.36494e-006,8.55714e-006,1.35554e-005,8.55714e-006,2.36494e-006,1.02307e-005,3.70181e-005,5.86403e-005,3.70181e-005,1.02307e-005,1.99145e-005,7.2057e-005,0.000114146,7.2057e-005,1.99145e-005,1.62607e-005,5.88366e-005,9.32031e-005,5.88366e-005,1.62607e-005,5.83328e-006,2.11067e-005,3.34352e-005,2.11067e-005,5.83328e-006
