gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-57.6631,-57.6631,-57.6631,-57.6631,-57.6631,-57.6631,-57.6631,-52.0125,-52.0125,-52.0125,-52.0125,-52.0125,-52.0125,-52.0125,-47.9814,-47.9814,-47.9814,-47.9814,-47.9814,-47.9814,-47.9814,-45.0098,-45.0098,-45.0098,-45.0098,-45.0098,-45.0098,-45.0098,-42.4661,-42.4661,-42.4661,-42.4661,-42.4661,-42.4661,-42.4661,-40.0779,-40.0779,-40.0779,-40.0779,-40.0779,-40.0779,-40.0779,-37.7507,-37.7507,-37.7507,-37.7507,-37.7507,-37.7507,-37.7507
1,0.0185364,-55.1744,-55.1529,-55.1316,-55.1103,-55.089,-55.0679,-55.0467,-50.6127,-50.6004,-50.5881,-50.5758,-50.5635,-50.5512,-50.539,-47.1973,-47.1902,-47.1832,-47.1761,-47.1691,-47.1621,-47.1551,-44.4934,-44.4884,-44.4834,-44.4784,-44.4735,-44.4685,-44.4635,-42.061,-42.0571,-42.0533,-42.0494,-42.0455,-42.0417,-42.0378,-39.7489,-39.7457,-39.7424,-39.7391,-39.7358,-39.7326,-39.7293,-37.4736,-37.4709,-37.4682,-37.4655,-37.4628,-37.4601,-37.4574
2,0.0372875,-53.2615,-53.2284,-53.1955,-53.1628,-53.1302,-53.0978,-53.0655,-49.4859,-49.466,-49.4462,-49.4264,-49.4068,-49.3872,-49.3677,-46.541,-46.5292,-46.5175,-46.5057,-46.494,-46.4824,-46.4708,-43.9915,-43.9823,-43.973,-43.9638,-43.9546,-43.9454,-43.9362,-41.6677,-41.6599,-41.6522,-41.6444,-41.6366,-41.6288,-41.6212,-39.4248,-39.4185,-39.4121,-39.4057,-39.3994,-39.393,-39.3867,-37.1986,-37.1933,-37.1879,-37.1826,-37.1773,-37.172,-37.1667
3,0.0562558,-51.761,-51.722,-51.6833,-51.6448,-51.6066,-51.5687,-51.531,-48.5662,-48.5418,-48.5176,-48.4935,-48.4696,-48.4458,-48.4221,-45.926,-45.9076,-45.8891,-45.8707,-45.8523,-45.8339,-45.8154,-43.5211,-43.5072,-43.4933,-43.4794,-43.4655,-43.4516,-43.4378,-41.2852,-41.2739,-41.2627,-41.2515,-41.2402,-41.229,-41.2178,-39.1041,-39.0948,-39.0855,-39.0762,-39.067,-39.0577,-39.0484,-36.9275,-36.9195,-36.9115,-36.9035,-36.8955,-36.8875,-36.8795
4,0.0754439,-50.5636,-50.522,-50.4808,-50.4399,-50.3994,-50.3592,-50.3194,-47.8064,-47.7796,-47.753,-47.7265,-47.7003,-47.6743,-47.6484,-45.3296,-45.3081,-45.2865,-45.2649,-45.2434,-45.2218,-45.2003,-43.0652,-43.0478,-43.0303,-43.0129,-42.9955,-42.9781,-42.9606,-40.9095,-40.8951,-40.8807,-40.8662,-40.8518,-40.8374,-40.823,-38.7868,-38.7747,-38.7626,-38.7506,-38.7385,-38.7264,-38.7144,-36.6584,-36.648,-36.6376,-36.6271,-36.6167,-36.6062,-36.5958
5,0.0948544,-49.5935,-49.5514,-49.5097,-49.4684,-49.4276,-49.3871,-49.347,-47.1595,-47.125,-47.0904,-47.0558,-47.0213,-46.9867,-46.9522,-44.7721,-44.745,-44.7179,-44.6925,-44.6677,-44.6429,-44.6181,-42.6218,-42.6011,-42.5804,-42.5597,-42.539,-42.5183,-42.4976,-40.5405,-40.5231,-40.5057,-40.4883,-40.4709,-40.4535,-40.4361,-38.4748,-38.4596,-38.4444,-38.4292,-38.4143,-38.3996,-38.3849,-36.391,-36.3782,-36.3654,-36.3526,-36.3398,-36.327,-36.3142
6,0.11449,-48.7974,-48.7559,-48.7149,-48.6744,-48.6343,-48.5947,-48.5554,-46.4405,-46.3988,-46.357,-46.3175,-46.2823,-46.2472,-46.212,-44.2508,-44.2209,-44.1909,-44.161,-44.131,-44.1011,-44.0711,-42.1912,-42.1673,-42.1434,-42.1195,-42.0956,-42.0717,-42.0477,-40.1786,-40.1582,-40.138,-40.1177,-40.0975,-40.0772,-40.057,-38.1669,-38.1491,-38.1314,-38.1136,-38.0958,-38.0781,-38.0603,-36.1252,-36.1101,-36.0951,-36.08,-36.0649,-36.0499,-36.0348
7,0.134352,-48.1365,-48.0816,-48.0266,-47.9716,-47.9166,-47.8616,-47.8065,-45.8101,-45.7688,-45.7276,-45.6863,-45.6451,-45.6038,-45.5626,-43.747,-43.7143,-43.6816,-43.649,-43.6163,-43.5836,-43.551,-41.7742,-41.7462,-41.7181,-41.6901,-41.6621,-41.6354,-41.6087,-39.8255,-39.8017,-39.778,-39.7542,-39.7305,-39.7075,-39.6845,-37.8622,-37.8419,-37.8217,-37.8014,-37.7812,-37.761,-37.7407,-35.8625,-35.8448,-35.8271,-35.8094,-35.7919,-35.7747,-35.7574
8,0.154445,-47.3097,-47.2464,-47.1832,-47.121,-47.0696,-47.0181,-46.9667,-45.2096,-45.1664,-45.1233,-45.0802,-45.0371,-44.9939,-44.9508,-43.2613,-43.226,-43.1907,-43.1554,-43.1201,-43.0848,-43.0495,-41.3673,-41.3366,-41.3059,-41.2752,-41.2445,-41.2137,-41.183,-39.4769,-39.4505,-39.4241,-39.3976,-39.3712,-39.3448,-39.3184,-37.5604,-37.5378,-37.5152,-37.4926,-37.47,-37.4473,-37.4247,-35.6016,-35.5818,-35.5619,-35.5421,-35.5223,-35.5024,-35.4826
9,0.174771,-46.5949,-46.5367,-46.4785,-46.4203,-46.3621,-46.3039,-46.2456,-44.6392,-44.5939,-44.549,-44.5041,-44.4592,-44.4143,-44.3693,-42.7944,-42.7549,-42.7166,-42.6783,-42.64,-42.6017,-42.5633,-40.969,-40.9357,-40.9023,-40.869,-40.8356,-40.8023,-40.7689,-39.1333,-39.1045,-39.0756,-39.0467,-39.0178,-38.9889,-38.9601,-37.2616,-37.2367,-37.2118,-37.1869,-37.162,-37.1371,-37.1122,-35.3422,-35.3203,-35.2984,-35.2764,-35.2545,-35.2326,-35.2107
