gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
30,2.20572,0.00155154,0.00192561,0.00155154,0.00480784,0.005967,0.00480784,0.00584635,0.00725588,0.00584635,0.00255086,0.00316587,0.00255086,0.000416025,0.000516327,0.000416025
31,2.31725,0.00152749,0.00189576,0.00152749,0.00489713,0.00607781,0.00489713,0.00623299,0.00773574,0.00623299,0.00287887,0.00357295,0.00287887,0.000502935,0.000624191,0.000502935
32,2.43204,0.00147774,0.00183402,0.00147774,0.00495566,0.00615045,0.00495566,0.0067366,0.00836077,0.0067366,0.00339604,0.00421481,0.00339604,0.00065598,0.000814134,0.00065598
33,2.5502,0.0014133,0.00175404,0.0014133,0.00507232,0.00629524,0.00507232,0.00735222,0.00912482,0.00735222,0.00392278,0.00486855,0.00392278,0.000802192,0.000995598,0.000802192
34,2.67182,0.00133205,0.0016532,0.00133205,0.00505652,0.00627563,0.00505652,0.00769458,0.00954972,0.00769458,0.00426273,0.00529046,0.00426273,0.000905022,0.00112322,0.000905022
35,2.797,0.00120514,0.00149569,0.00120514,0.00471714,0.00585443,0.00471714,0.00750501,0.00931445,0.00750501,0.00446885,0.00554628,0.00446885,0.00104136,0.00129242,0.00104136
36,2.92586,0.00107113,0.00132937,0.00107113,0.00441495,0.00547938,0.00441495,0.00743517,0.00922777,0.00743517,0.00468202,0.00581083,0.00468202,0.00114782,0.00142455,0.00114782
37,3.05848,0.000958581,0.00118969,0.000958581,0.00408121,0.00506518,0.00408121,0.00708277,0.00879041,0.00708277,0.00461796,0.00573134,0.00461796,0.00119868,0.00148768,0.00119868
38,3.195,0.000792523,0.000983598,0.000792523,0.00355726,0.00441491,0.00355726,0.0065806,0.00816716,0.0065806,0.00460868,0.00571982,0.00460868,0.00128617,0.00159626,0.00128617
39,3.33551,0.000671531,0.000833435,0.000671531,0.00313273,0.00388802,0.00313273,0.00602408,0.00747646,0.00602408,0.00437943,0.00543529,0.00437943,0.00127316,0.00158011,0.00127316
40,3.48015,0.000549731,0.00068227,0.000549731,0.00273979,0.00340035,0.00273979,0.00560801,0.00696008,0.00560801,0.00433542,0.00538068,0.00433542,0.00134454,0.0016687,0.00134454
41,3.62902,0.00044799,0.000555998,0.00044799,0.00231929,0.00287846,0.00231929,0.00496869,0.00616662,0.00496869,0.00403616,0.00500926,0.00403616,0.00131504,0.0016321,0.00131504
42,3.78225,0.000356099,0.000441953,0.000356099,0.00188471,0.00233911,0.00188471,0.00414045,0.0051387,0.00414045,0.00348244,0.00432205,0.00348244,0.00118992,0.00147681,0.00118992
43,3.93998,0.000279589,0.000346997,0.000279589,0.0015238,0.00189118,0.0015238,0.00348372,0.00432363,0.00348372,0.00307986,0.00382241,0.00307986,0.00111442,0.0013831,0.00111442
44,4.10232,0.000221082,0.000274385,0.000221082,0.00124812,0.00154903,0.00124812,0.00297962,0.00369799,0.00297962,0.00277321,0.00344183,0.00277321,0.00106196,0.00131799,0.00106196
45,4.26943,0.000168572,0.000209214,0.000168572,0.000998152,0.0012388,0.000998152,0.00250751,0.00311206,0.00250751,0.0024433,0.00303237,0.0024433,0.000968066,0.00120146,0.000968066
46,4.44143,0.000126526,0.000157031,0.000126526,0.000769356,0.000954845,0.000769356,0.0019769,0.00245352,0.0019769,0.00197518,0.00245139,0.00197518,0.000805928,0.00100023,0.000805928
47,4.61847,9.31924e-005,0.000115661,9.31924e-005,0.000598526,0.000742829,0.000598526,0.00162074,0.0020115,0.00162074,0.00169783,0.00210717,0.00169783,0.00072184,0.000895873,0.00072184
48,4.8007,6.69033e-005,8.30335e-005,6.69033e-005,0.00044429,0.000551407,0.00044429,0.00123948,0.00153831,0.00123948,0.00134464,0.00166882,0.00134464,0.000595578,0.00073917,0.000595578
49,4.98827,4.59223e-005,5.6994e-005,4.59223e-005,0.000320522,0.000397798,0.000320522,0.000942682,0.00116996,0.000942682,0.00107386,0.00133277,0.00107386,0.000494685,0.000613952,0.000494685
50,5.18134,3.16216e-005,3.92455e-005,3.16216e-005,0.000231409,0.000287201,0.000231409,0.000708932,0.000879854,0.000708932,0.000831425,0.00103188,0.000831425,0.000389834,0.000483821,0.000389834
51,5.38006,2.0761e-005,2.57664e-005,2.0761e-005,0.000156362,0.00019406,0.000156362,0.000500364,0.000621,0.000500364,0.000619904,0.00076936,0.000619904,0.000306788,0.000380754,0.000306788
52,5.58461,1.34305e-005,1.66686e-005,1.34305e-005,0.00010433,0.000129484,0.00010433,0.000344861,0.000428005,0.000344861,0.000439603,0.00054559,0.000439603,0.000222333,0.000275936,0.000222333
53,5.79515,8.8012e-006,1.09231e-005,8.8012e-006,7.09844e-005,8.80985e-005,7.09844e-005,0.00024241,0.000300854,0.00024241,0.000317144,0.000393607,0.000317144,0.000163356,0.00020274,0.000163356
54,6.01186,5.44373e-006,6.7562e-006,5.44373e-006,4.58549e-005,5.69103e-005,4.58549e-005,0.00016299,0.000202286,0.00016299,0.00022095,0.000274221,0.00022095,0.000117102,0.000145335,0.000117102
