gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
55,6.23493,-17.7503,-17.7503,-17.7492,-17.4983,-17.4983,-17.4977,-17.202,-17.202,-17.2015,-16.8662,-16.8662,-16.8661,-16.4991,-16.4991,-16.4991
56,6.46452,-17.6292,-17.6292,-17.628,-17.3841,-17.3841,-17.3833,-17.0954,-17.0954,-17.0949,-16.7679,-16.7679,-16.7678,-16.4092,-16.4092,-16.4092
57,6.70085,-17.5084,-17.5084,-17.5071,-17.2702,-17.2702,-17.2693,-16.9889,-16.9889,-16.9884,-16.6694,-16.6694,-16.6692,-16.3189,-16.3189,-16.3189
58,6.94411,-17.3879,-17.3879,-17.3865,-17.1563,-17.1563,-17.1554,-16.8823,-16.8823,-16.8819,-16.5705,-16.5705,-16.5703,-16.2284,-16.2284,-16.2284
59,7.19449,-17.2677,-17.2677,-17.2662,-17.0426,-17.0426,-17.0416,-16.7757,-16.7757,-16.7752,-16.4715,-16.4715,-16.4712,-16.1374,-16.1374,-16.1373
60,7.45221,-17.1477,-17.1477,-17.1461,-16.9289,-16.9289,-16.9278,-16.669,-16.669,-16.6684,-16.3723,-16.3723,-16.372,-16.0458,-16.0458,-16.0458
61,7.71748,-17.028,-17.028,-17.0263,-16.8152,-16.8152,-16.8141,-16.5622,-16.5622,-16.5616,-16.2728,-16.2728,-16.2725,-15.9537,-15.9537,-15.9537
62,7.99052,-16.9085,-16.9085,-16.9067,-16.7016,-16.7016,-16.7004,-16.4552,-16.4552,-16.4545,-16.1729,-16.1729,-16.1727,-15.8612,-15.8612,-15.8611
63,8.27157,-16.7892,-16.7892,-16.7874,-16.588,-16.588,-16.5868,-16.348,-16.348,-16.3473,-16.0728,-16.0728,-16.0725,-15.7683,-15.7683,-15.7682
64,8.56085,-16.6701,-16.6701,-16.6682,-16.4743,-16.4743,-16.4731,-16.2407,-16.2407,-16.2398,-15.9723,-15.9723,-15.972,-15.675,-15.675,-15.6749
65,8.85861,-16.551,-16.551,-16.5492,-16.3607,-16.3607,-16.3594,-16.1331,-16.1331,-16.1322,-15.8715,-15.8715,-15.871,-15.5812,-15.5812,-15.5811
66,9.16509,-16.4322,-16.4322,-16.4303,-16.2469,-16.2469,-16.2456,-16.0253,-16.0253,-16.0243,-15.7703,-15.7703,-15.7697,-15.4869,-15.4869,-15.4867
67,9.48056,-16.3134,-16.3134,-16.3115,-16.1332,-16.1332,-16.1318,-15.9173,-15.9173,-15.9163,-15.6687,-15.6687,-15.668,-15.392,-15.392,-15.3918
68,9.80527,-16.1946,-16.1946,-16.1927,-16.0193,-16.0193,-16.0179,-15.8091,-15.8091,-15.808,-15.5667,-15.5667,-15.566,-15.2966,-15.2966,-15.2964
69,10.1395,-16.0759,-16.0759,-16.074,-15.9054,-15.9054,-15.9039,-15.7008,-15.7008,-15.6996,-15.4644,-15.4644,-15.4638,-15.2007,-15.2007,-15.2004
70,10.4835,-15.9573,-15.9573,-15.9554,-15.7914,-15.7914,-15.7898,-15.5922,-15.5922,-15.5911,-15.3619,-15.3619,-15.3612,-15.1044,-15.1044,-15.104
71,10.8376,-15.8388,-15.8388,-15.8369,-15.6773,-15.6773,-15.6757,-15.4835,-15.4835,-15.4823,-15.259,-15.259,-15.2582,-15.0077,-15.0077,-15.0073
