gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-21.6845,-21.6845,-21.6845,-20.8984,-20.8984,-20.8984,-20.141,-20.141,-20.141,-19.4196,-19.4196,-19.4196,-18.732,-18.732,-18.732
1,0.0468873,-21.5552,-21.5552,-21.5552,-20.8122,-20.8122,-20.8122,-20.0816,-20.0816,-20.0816,-19.3762,-19.3762,-19.3762,-18.6985,-18.6985,-18.6984
2,0.0951487,-21.4384,-21.4384,-21.4384,-20.7308,-20.7308,-20.7308,-20.0231,-20.0231,-20.0231,-19.3336,-19.3336,-19.3336,-18.6646,-18.6646,-18.6642
3,0.144824,-21.3303,-21.3303,-21.3303,-20.6525,-20.6525,-20.6525,-19.9661,-19.9661,-19.9661,-19.2904,-19.2904,-19.2903,-18.6302,-18.6302,-18.6294
4,0.195956,-21.2287,-21.2287,-21.2287,-20.577,-20.577,-20.577,-19.9102,-19.9102,-19.9102,-19.2471,-19.2471,-19.2466,-18.5952,-18.5951,-18.594
5,0.248585,-21.1328,-21.1328,-21.1325,-20.5042,-20.5042,-20.504,-19.8546,-19.8546,-19.8544,-19.2033,-19.2033,-19.2024,-18.5596,-18.5595,-18.5579
6,0.302757,-21.0414,-21.0414,-21.041,-20.433,-20.433,-20.4326,-19.7993,-19.7993,-19.7985,-19.1592,-19.1591,-19.1576,-18.5234,-18.5231,-18.5212
7,0.358517,-20.952,-20.952,-20.9511,-20.3626,-20.3626,-20.3615,-19.7438,-19.7438,-19.7424,-19.1146,-19.1144,-19.1123,-18.4867,-18.4862,-18.4839
8,0.41591,-20.8651,-20.865,-20.8629,-20.2929,-20.2929,-20.2911,-19.6881,-19.688,-19.686,-19.0694,-19.069,-19.0665,-18.4493,-18.4485,-18.4458
9,0.474986,-20.7797,-20.7792,-20.7765,-20.2242,-20.2237,-20.2212,-19.6325,-19.6318,-19.6292,-19.0239,-19.0231,-19.0199,-18.4114,-18.4103,-18.4073
10,0.535792,-20.6956,-20.6947,-20.6913,-20.1556,-20.1548,-20.1517,-19.5765,-19.5756,-19.5723,-18.9778,-18.9765,-18.973,-18.3726,-18.3712,-18.3679
11,0.598381,-20.6131,-20.6117,-20.6075,-20.087,-20.0858,-20.082,-19.5203,-19.5188,-19.5149,-18.9309,-18.9294,-18.9253,-18.3334,-18.3316,-18.3279
12,0.662804,-20.5314,-20.5293,-20.5244,-20.0186,-20.0169,-20.0124,-19.4635,-19.4616,-19.4571,-18.8837,-18.8816,-18.8771,-18.2933,-18.2913,-18.2872
13,0.729114,-20.4503,-20.4477,-20.442,-19.9506,-19.948,-19.9428,-19.4064,-19.4039,-19.3987,-18.8357,-18.8332,-18.8282,-18.2526,-18.2502,-18.2458
14,0.797368,-20.3698,-20.3666,-20.3603,-19.8823,-19.8792,-19.8732,-19.3488,-19.3459,-19.3401,-18.7869,-18.784,-18.7787,-18.2112,-18.2085,-18.2037
15,0.867622,-20.2896,-20.2858,-20.2788,-19.8137,-19.8102,-19.8036,-19.2905,-19.2873,-19.281,-18.7376,-18.7343,-18.7284,-18.169,-18.166,-18.1608
16,0.939934,-20.2095,-20.2054,-20.1978,-19.7449,-19.7409,-19.7336,-19.2319,-19.2281,-19.2213,-18.6875,-18.6839,-18.6776,-18.1262,-18.1229,-18.1173
17,1.01437,-20.1299,-20.1252,-20.117,-19.6757,-19.6714,-19.6636,-19.1728,-19.1685,-19.1611,-18.6367,-18.6327,-18.6261,-18.0825,-18.0789,-18.073
18,1.09098,-20.0503,-20.0449,-20.0362,-19.6064,-19.6014,-19.5931,-19.1129,-19.1083,-19.1004,-18.5853,-18.5809,-18.5737,-18.0383,-18.0343,-18.0279
19,1.16984,-19.9707,-19.965,-19.9556,-19.5367,-19.5313,-19.5223,-19.0525,-19.0475,-19.0391,-18.5331,-18.5284,-18.5209,-17.9931,-17.9889,-17.9822
20,1.25101,-19.8911,-19.8851,-19.875,-19.4667,-19.461,-19.4514,-18.9914,-18.986,-18.9772,-18.4801,-18.4752,-18.4671,-17.9472,-17.9426,-17.9356
21,1.33455,-19.8114,-19.8049,-19.7943,-19.3961,-19.3901,-19.3801,-18.9297,-18.924,-18.9147,-18.4266,-18.4211,-18.4127,-17.9006,-17.8958,-17.8883
22,1.42055,-19.7315,-19.7246,-19.7137,-19.3251,-19.3188,-19.3083,-18.8675,-18.8615,-18.8516,-18.3722,-18.3665,-18.3577,-17.8531,-17.8482,-17.8403
23,1.50907,-19.6514,-19.6441,-19.6326,-19.2538,-19.247,-19.2361,-18.8046,-18.7982,-18.788,-18.317,-18.3111,-18.3019,-17.8049,-17.7996,-17.7914
24,1.60018,-19.571,-19.5635,-19.5515,-19.182,-19.1747,-19.1634,-18.741,-18.7342,-18.7236,-18.2612,-18.2549,-18.2453,-17.756,-17.7505,-17.7418
25,1.69396,-19.4905,-19.4825,-19.4703,-19.1096,-19.102,-19.09,-18.6767,-18.6696,-18.6585,-18.2046,-18.198,-18.1878,-17.7061,-17.7005,-17.6915
26,1.79048,-19.4098,-19.4013,-19.3887,-19.0367,-19.0288,-19.0164,-18.6119,-18.6044,-18.5928,-18.1471,-18.1403,-18.1298,-17.6556,-17.6495,-17.6402
27,1.88984,-19.3287,-19.3199,-19.3067,-18.9633,-18.9551,-18.9424,-18.5462,-18.5385,-18.5265,-18.0888,-18.0818,-18.071,-17.6042,-17.598,-17.5883
28,1.99211,-19.2472,-19.2382,-19.2244,-18.8893,-18.8809,-18.8677,-18.4798,-18.4719,-18.4596,-18.0299,-18.0226,-18.0113,-17.5519,-17.5456,-17.5354
29,2.09737,-19.1653,-19.156,-19.1418,-18.8147,-18.806,-18.7925,-18.4128,-18.4047,-18.392,-17.9702,-17.9626,-17.9509,-17.4989,-17.4922,-17.4818
30,2.20572,-19.083,-19.0733,-19.0588,-18.7396,-18.7305,-18.7168,-18.3451,-18.3367,-18.3236,-17.9096,-17.9019,-17.8898,-17.4452,-17.4383,-17.4274
31,2.31725,-19.0002,-18.9902,-18.9754,-18.664,-18.6545,-18.6404,-18.2768,-18.2679,-18.2545,-17.8483,-17.8402,-17.8278,-17.3904,-17.3834,-17.3722
32,2.43204,-18.917,-18.9069,-18.8916,-18.5877,-18.578,-18.5633,-18.2076,-18.1985,-18.1846,-17.7861,-17.7778,-17.7651,-17.3348,-17.3276,-17.3161
33,2.5502,-18.8335,-18.8231,-18.8075,-18.5109,-18.5009,-18.4858,-18.1376,-18.1284,-18.1141,-17.7232,-17.7146,-17.7015,-17.2785,-17.2711,-17.2591
34,2.67182,-18.7493,-18.7388,-18.7229,-18.4333,-18.4231,-18.4077,-18.0669,-18.0575,-18.043,-17.6593,-17.6507,-17.6372,-17.2213,-17.2138,-17.2015
35,2.797,-18.6648,-18.6539,-18.6377,-18.3552,-18.3448,-18.329,-17.9956,-17.9859,-17.9711,-17.5947,-17.586,-17.5722,-17.1632,-17.1556,-17.143
36,2.92586,-18.5797,-18.5685,-18.552,-18.2763,-18.2658,-18.2497,-17.9235,-17.9136,-17.8984,-17.5294,-17.5204,-17.5063,-17.1044,-17.0964,-17.0835
37,3.05848,-18.4941,-18.4826,-18.4658,-18.1968,-18.1861,-18.1697,-17.8507,-17.8405,-17.825,-17.4633,-17.454,-17.4395,-17.0447,-17.0366,-17.0232
38,3.195,-18.4081,-18.3963,-18.3792,-18.1168,-18.1058,-18.0891,-17.7771,-17.7668,-17.7508,-17.3963,-17.3868,-17.3719,-16.9841,-16.9758,-16.9622
39,3.33551,-18.3214,-18.3095,-18.292,-18.036,-18.0247,-18.0079,-17.7027,-17.6922,-17.6759,-17.3284,-17.3188,-17.3036,-16.9225,-16.9141,-16.9003
40,3.48015,-18.2343,-18.2221,-18.2044,-17.9547,-17.9431,-17.926,-17.6276,-17.6169,-17.6004,-17.2597,-17.2499,-17.2345,-16.8603,-16.8516,-16.8375
41,3.62902,-18.1465,-18.1342,-18.1161,-17.8727,-17.8609,-17.8434,-17.5516,-17.5408,-17.5242,-17.1901,-17.1802,-17.1646,-16.7971,-16.7884,-16.7739
42,3.78225,-18.0582,-18.0458,-18.0273,-17.79,-17.778,-17.7603,-17.4751,-17.464,-17.4471,-17.1199,-17.1097,-17.0939,-16.7331,-16.7243,-16.7095
43,3.93998,-17.9693,-17.9567,-17.938,-17.7066,-17.6945,-17.6764,-17.3978,-17.3864,-17.3693,-17.0488,-17.0385,-17.0224,-16.6682,-16.6592,-16.6443
44,4.10232,-17.8798,-17.867,-17.8482,-17.6225,-17.6103,-17.592,-17.3197,-17.3082,-17.2908,-16.9769,-16.9665,-16.9499,-16.6026,-16.5932,-16.5781
45,4.26943,-17.7897,-17.7768,-17.7578,-17.5377,-17.5254,-17.5069,-17.2408,-17.2292,-17.2115,-16.9041,-16.8936,-16.8768,-16.5359,-16.5265,-16.5109
46,4.44143,-17.6991,-17.6859,-17.6667,-17.4522,-17.4399,-17.4212,-17.1611,-17.1494,-17.1313,-16.8305,-16.8198,-16.8028,-16.4684,-16.4589,-16.4431
47,4.61847,-17.6078,-17.5946,-17.5752,-17.3661,-17.3536,-17.3347,-17.0807,-17.0688,-17.0506,-16.7561,-16.7452,-16.728,-16.4,-16.3903,-16.3744
