gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0.00275518,0.00275541,0.0027557,0.00275581,0.00291053,0.00306507,0.00321966
2,0.0372875,0.0185286,0.0185286,0.0185286,0.0185285,0.0185313,0.0185364,0.0185397
3,0.0562558,0.0322891,0.032289,0.0322889,0.0322887,0.0322938,0.0322987,0.0323036
4,0.0754439,0.0468047,0.0468046,0.0468046,0.0468044,0.0468117,0.0468188,0.046826
5,0.0948544,0.0621419,0.0621419,0.062142,0.0621419,0.0621516,0.0621612,0.0621708
6,0.11449,0.0782432,0.0782433,0.0782433,0.0782432,0.0782551,0.0782668,0.0782786
7,0.134352,0.0947529,0.0947529,0.094753,0.0947529,0.0947668,0.0947806,0.0948342
8,0.154445,0.111723,0.111723,0.111723,0.111723,0.111739,0.111756,0.111818
9,0.174771,0.128881,0.128881,0.128882,0.128881,0.1289,0.128918,0.128989
10,0.195332,0.146376,0.146376,0.146376,0.146376,0.146396,0.146457,0.1465
11,0.216131,0.164278,0.164278,0.164279,0.164278,0.164302,0.164369,0.164418
12,0.237172,0.18254,0.18254,0.18254,0.18254,0.182565,0.18264,0.182693
13,0.258456,0.201108,0.201108,0.201108,0.201108,0.201136,0.201218,0.201276
14,0.279986,0.220023,0.220023,0.220023,0.220023,0.220054,0.220143,0.220206
15,0.301766,0.239235,0.239235,0.239235,0.239235,0.239269,0.239368,0.239434
16,0.323799,0.258746,0.258746,0.258746,0.258746,0.258782,0.258889,0.25896
17,0.346087,0.278585,0.278585,0.278585,0.278585,0.278623,0.278738,0.278864
18,0.368632,0.298707,0.298707,0.298707,0.298707,0.298787,0.29887,0.299151
19,0.391439,0.319049,0.319049,0.319049,0.319049,0.319134,0.319222,0.319402
20,0.414511,0.339692,0.339692,0.339692,0.339692,0.339782,0.339876,0.3402
21,0.437849,0.360678,0.360678,0.360678,0.360678,0.360773,0.360873,0.361217
22,0.461458,0.381936,0.381936,0.381936,0.381936,0.382037,0.382142,0.382504
23,0.485341,0.40347,0.40347,0.40347,0.40347,0.403576,0.403687,0.404068
24,0.5095,0.425327,0.425327,0.425327,0.425327,0.42544,0.425606,0.426027
25,0.533939,0.447504,0.447504,0.447505,0.447504,0.447622,0.447831,0.448239
26,0.558661,0.469969,0.469969,0.469969,0.469969,0.470095,0.470311,0.470731
27,0.58367,0.492727,0.492727,0.492727,0.492727,0.492858,0.493206,0.493533
28,0.608968,0.515799,0.515799,0.515799,0.515799,0.515937,0.516306,0.517311
29,0.634559,0.539183,0.539183,0.539183,0.539183,0.539327,0.539712,0.540761
30,0.660447,0.562871,0.562871,0.562871,0.562871,0.563021,0.563422,0.563787
31,0.686635,0.586856,0.586856,0.586857,0.586856,0.587013,0.58743,0.588568
32,0.713126,0.611147,0.611147,0.611147,0.611147,0.611309,0.611802,0.612937
33,0.739924,0.635757,0.635757,0.635757,0.635756,0.635925,0.636437,0.637546
34,0.767033,0.660694,0.660694,0.660694,0.660694,0.660816,0.660939,0.661061
35,0.794456,0.685952,0.685952,0.685952,0.685952,0.686133,0.686618,0.686974
36,0.822196,0.711518,0.711518,0.711518,0.711518,0.711706,0.712591,0.713588
37,0.850258,0.737332,0.737332,0.737332,0.737331,0.737525,0.738245,0.739387
38,0.878644,0.763586,0.763586,0.763586,0.763586,0.763727,0.763867,0.764177
39,0.90736,0.790236,0.790236,0.790236,0.790236,0.790441,0.790821,0.791388
40,0.936408,0.817049,0.817049,0.817049,0.817049,0.817263,0.817912,0.819396
41,0.965793,0.844122,0.844121,0.844121,0.844121,0.84439,0.84538,0.846472
42,0.995519,0.871698,0.871697,0.871697,0.871697,0.871857,0.872027,0.872659
43,1.02559,0.899716,0.899716,0.899716,0.899716,0.899882,0.900313,0.900725
44,1.05601,0.927993,0.927993,0.927994,0.927994,0.928237,0.928907,0.930077
45,1.08678,0.956452,0.956452,0.956452,0.956451,0.956904,0.95821,0.959178
46,1.1179,0.985311,0.985311,0.985311,0.985311,0.98549,0.98603,0.986405
47,1.14939,1.01476,1.01476,1.01476,1.01476,1.01494,1.01547,1.01589
48,1.18124,1.0446,1.0446,1.0446,1.0446,1.04488,1.0456,1.04616
49,1.21346,1.0745,1.0745,1.0745,1.0745,1.07489,1.07608,1.07756
50,1.24606,1.10466,1.10466,1.10466,1.10466,1.10495,1.10547,1.1077
51,1.27903,1.13554,1.13554,1.13554,1.13554,1.13575,1.13638,1.13681
52,1.31239,1.1669,1.1669,1.1669,1.1669,1.1672,1.16776,1.16862
53,1.34613,1.19837,1.19837,1.19837,1.19837,1.1988,1.19955,1.20177
54,1.38026,1.23011,1.23011,1.23011,1.23011,1.23054,1.23141,1.2336
55,1.41479,1.26243,1.26243,1.26243,1.26243,1.26276,1.26336,1.26444
56,1.44971,1.29528,1.29528,1.29528,1.29528,1.29562,1.29624,1.29719
57,1.48504,1.32843,1.32843,1.32843,1.32843,1.32886,1.32972,1.33221
58,1.52078,1.36182,1.36182,1.36182,1.36182,1.36232,1.36382,1.36578
59,1.55694,1.39563,1.39563,1.39563,1.39563,1.39608,1.397,1.3996
60,1.59351,1.43002,1.43002,1.43002,1.43002,1.43039,1.43108,1.43322
61,1.63051,1.46489,1.46489,1.46489,1.46489,1.46527,1.46629,1.46895
62,1.66794,1.50002,1.50002,1.50002,1.50002,1.50056,1.50159,1.50437
63,1.7058,1.53543,1.53543,1.53543,1.53543,1.53598,1.53822,1.53991
64,1.7441,1.57138,1.57138,1.57138,1.57138,1.57195,1.57293,1.57588
65,1.78284,1.60796,1.60796,1.60796,1.60796,1.60848,1.60949,1.61254
66,1.82203,1.64496,1.64496,1.64496,1.64496,1.64556,1.64658,1.64976
67,1.86167,1.68225,1.68225,1.68225,1.68225,1.68287,1.68533,1.68715
68,1.90178,1.71985,1.71985,1.71985,1.71984,1.72046,1.72299,1.72522
69,1.94235,1.75803,1.75803,1.75803,1.75803,1.75866,1.75988,1.76319
70,1.98339,1.79687,1.79687,1.79687,1.79687,1.79752,1.79864,1.80211
71,2.0249,1.83611,1.83611,1.83611,1.83612,1.83679,1.83946,1.84147
72,2.0669,1.87562,1.87562,1.87562,1.87562,1.8763,1.87913,1.88149
73,2.10938,1.91553,1.91552,1.91552,1.91552,1.91622,1.91903,1.92155
74,2.15235,1.95617,1.95617,1.95617,1.95617,1.95688,1.95907,1.96234
75,2.19582,1.99742,1.99742,1.99742,1.99742,1.99814,2.00106,2.00368
76,2.2398,2.03893,2.03894,2.03894,2.03894,2.03968,2.04276,2.04532
77,2.28428,2.08085,2.08085,2.08085,2.08085,2.08161,2.08478,2.08773
78,2.32928,2.12336,2.12336,2.12336,2.12336,2.12414,2.12736,2.1304
79,2.37481,2.16648,2.16648,2.16648,2.16648,2.16727,2.17044,2.1733
80,2.42085,2.21007,2.21007,2.21007,2.21007,2.21088,2.21422,2.21734
81,2.46744,2.25412,2.25412,2.25412,2.25412,2.25518,2.25846,2.26473
82,2.51456,2.29872,2.29872,2.29872,2.29872,2.2998,2.30315,2.31056
83,2.56223,2.34384,2.34384,2.34384,2.34384,2.3447,2.34827,2.35592
84,2.61045,2.38956,2.38956,2.38956,2.38956,2.39043,2.39408,2.4019
85,2.65923,2.43588,2.43588,2.43588,2.43588,2.43703,2.44057,2.44842
86,2.70857,2.48258,2.48258,2.48258,2.48258,2.48377,2.48736,2.49533
87,2.75849,2.52975,2.52975,2.52975,2.52974,2.53094,2.53464,2.54279
88,2.80898,2.57768,2.57768,2.57768,2.57768,2.57889,2.58269,2.59103
89,2.86006,2.62627,2.62627,2.62627,2.62627,2.62751,2.63135,2.63986
90,2.91173,2.67528,2.67528,2.67528,2.67528,2.67656,2.68044,2.68982
91,2.964,2.72481,2.72481,2.72481,2.72481,2.72612,2.73047,2.73965
92,3.01688,2.77501,2.77501,2.77501,2.77501,2.77634,2.78077,2.79011
93,3.07036,2.82581,2.82581,2.82581,2.82581,2.82717,2.83167,2.84119
94,3.12447,2.87722,2.87722,2.87722,2.87722,2.8786,2.88319,2.89293
95,3.1792,2.92925,2.92925,2.92925,2.92925,2.93067,2.93535,2.9467
96,3.23457,2.98186,2.98186,2.98186,2.98185,2.98339,2.98837,2.99956
97,3.29058,3.03507,3.03507,3.03507,3.03507,3.03654,3.0417,3.0531
98,3.34724,3.08894,3.08894,3.08894,3.08894,3.09044,3.09569,3.10734
99,3.40456,3.14348,3.14348,3.14348,3.14348,3.1451,3.15035,3.16222
100,3.46253,3.19867,3.19867,3.19867,3.19867,3.20033,3.20593,3.21778
101,3.52119,3.25442,3.25442,3.25442,3.25442,3.25638,3.2639,3.27376
102,3.58052,3.31087,3.31087,3.31087,3.31087,3.31259,3.32053,3.33058
103,3.64053,3.36805,3.36805,3.36805,3.36805,3.3698,3.37855,3.38824
104,3.70125,3.42596,3.42596,3.42596,3.42596,3.42847,3.4377,3.44657
105,3.76266,3.48456,3.48456,3.48456,3.48456,3.4877,3.49643,3.50534
106,3.82479,3.54359,3.54359,3.54359,3.54359,3.54677,3.55567,3.56467
107,3.88764,3.60349,3.60349,3.60349,3.60349,3.60676,3.6159,3.6252
108,3.95121,3.66438,3.66438,3.66439,3.66439,3.66771,3.67695,3.68642
109,4.01552,3.72565,3.72565,3.72565,3.72565,3.729,3.73835,3.74799
110,4.08058,3.7874,3.7874,3.7874,3.7874,3.79081,3.80049,3.81032
111,4.14639,3.85003,3.85003,3.85003,3.85003,3.85351,3.86392,3.87346
112,4.21297,3.91351,3.91351,3.91351,3.91351,3.91715,3.92763,3.93732
113,4.28031,3.97775,3.97775,3.97775,3.97775,3.98145,3.99211,4.00196
114,4.34843,4.04278,4.04278,4.04278,4.04278,4.04654,4.05738,4.06739
