gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],VF[7],VF[8],VF[9],VF[10],VF[11],VF[12],VF[13],VF[14],VF[15],VF[16],VF[17],VF[18],VF[19],VF[20],VF[21],VF[22],VF[23],VF[24],VF[25],VF[26],VF[27],VF[28],VF[29],VF[30],VF[31],VF[32],VF[33],VF[34],VF[35],VF[36],VF[37],VF[38],VF[39],VF[40],VF[41],VF[42],VF[43],VF[44],VF[45],VF[46],VF[47],VF[48]
135,4.35985,-2.62316,-2.61448,-2.60587,-2.59732,-2.58885,-2.58044,-2.57209,-2.57762,-2.56928,-2.56103,-2.55282,-2.54468,-2.53659,-2.52857,-2.52729,-2.51933,-2.51143,-2.50359,-2.49581,-2.48808,-2.48039,-2.47165,-2.46408,-2.45658,-2.44913,-2.44172,-2.43436,-2.42706,-2.41019,-2.40305,-2.39595,-2.38889,-2.38189,-2.37493,-2.36801,-2.34238,-2.33568,-2.32901,-2.32238,-2.3158,-2.30926,-2.30275,-2.26779,-2.26154,-2.25532,-2.24913,-2.24299,-2.23688,-2.2308
136,4.41818,-2.6118,-2.60309,-2.59445,-2.58587,-2.57738,-2.56895,-2.56058,-2.56671,-2.55835,-2.55006,-2.54183,-2.53367,-2.52556,-2.5175,-2.51687,-2.50888,-2.50095,-2.49308,-2.48528,-2.47752,-2.46981,-2.46175,-2.45415,-2.44662,-2.43913,-2.4317,-2.4243,-2.41698,-2.40084,-2.39366,-2.38653,-2.37943,-2.37241,-2.36542,-2.35846,-2.33359,-2.32686,-2.32016,-2.31349,-2.30688,-2.30031,-2.29376,-2.25959,-2.25331,-2.24706,-2.24083,-2.23467,-2.22852,-2.22241
137,4.47709,-2.60044,-2.59171,-2.58305,-2.57445,-2.56592,-2.55747,-2.54907,-2.55581,-2.54742,-2.5391,-2.53085,-2.52266,-2.51453,-2.50645,-2.50645,-2.49843,-2.49047,-2.48258,-2.47474,-2.46696,-2.45922,-2.45184,-2.44421,-2.43665,-2.42913,-2.42167,-2.41425,-2.40689,-2.39147,-2.38426,-2.3771,-2.36997,-2.36292,-2.35589,-2.34891,-2.3248,-2.31803,-2.31129,-2.30459,-2.29795,-2.29135,-2.28477,-2.25139,-2.24507,-2.23879,-2.23253,-2.22633,-2.22015,-2.21401
138,4.53658,-2.58909,-2.58033,-2.57165,-2.56303,-2.55447,-2.54599,-2.53758,-2.54491,-2.5365,-2.52815,-2.51987,-2.51166,-2.5035,-2.49539,-2.49603,-2.48799,-2.48,-2.47207,-2.46421,-2.4564,-2.44864,-2.44193,-2.43427,-2.42668,-2.41913,-2.41164,-2.40419,-2.3968,-2.38209,-2.37485,-2.36766,-2.3605,-2.35342,-2.34636,-2.33935,-2.31599,-2.30918,-2.30242,-2.29568,-2.28901,-2.28237,-2.27577,-2.24317,-2.23682,-2.23049,-2.22421,-2.21798,-2.21176,-2.2056
139,4.59665,-2.57774,-2.56896,-2.56026,-2.55161,-2.54304,-2.53453,-2.52609,-2.53401,-2.52558,-2.5172,-2.50889,-2.50065,-2.49247,-2.48435,-2.48561,-2.47753,-2.46952,-2.46156,-2.45368,-2.44584,-2.43805,-2.43201,-2.42432,-2.4167,-2.40912,-2.4016,-2.39412,-2.38671,-2.37271,-2.36544,-2.35821,-2.35103,-2.34391,-2.33682,-2.32978,-2.30717,-2.30033,-2.29352,-2.28677,-2.28006,-2.27339,-2.26676,-2.23494,-2.22854,-2.22219,-2.21588,-2.20961,-2.20336,-2.19717
140,4.65731,-2.5664,-2.5576,-2.54887,-2.54021,-2.53161,-2.52308,-2.51462,-2.52312,-2.51466,-2.50626,-2.49791,-2.48966,-2.48145,-2.4733,-2.47518,-2.46708,-2.45904,-2.45105,-2.44314,-2.43528,-2.42747,-2.42209,-2.41437,-2.40672,-2.39911,-2.39156,-2.38406,-2.37661,-2.36332,-2.35601,-2.34875,-2.34154,-2.33439,-2.32728,-2.3202,-2.29833,-2.29146,-2.28462,-2.27784,-2.2711,-2.26439,-2.25773,-2.22668,-2.22026,-2.21387,-2.20753,-2.20122,-2.19495,-2.18872
141,4.71856,-2.55507,-2.54625,-2.5375,-2.52881,-2.52019,-2.51164,-2.50315,-2.51223,-2.50374,-2.49532,-2.48695,-2.47866,-2.47043,-2.46226,-2.46476,-2.45663,-2.44856,-2.44055,-2.43261,-2.42472,-2.41688,-2.41216,-2.40441,-2.39673,-2.3891,-2.38152,-2.37399,-2.36651,-2.35391,-2.34658,-2.33928,-2.33205,-2.32487,-2.31772,-2.31062,-2.28948,-2.28258,-2.27571,-2.26889,-2.26213,-2.25539,-2.2487,-2.21842,-2.21195,-2.20554,-2.19916,-2.19282,-2.18652,-2.18026
142,4.78041,-2.54375,-2.5349,-2.52613,-2.51742,-2.50878,-2.5002,-2.4917,-2.50134,-2.49283,-2.48438,-2.47599,-2.46767,-2.45942,-2.45123,-2.45433,-2.44618,-2.43808,-2.43004,-2.42207,-2.41416,-2.4063,-2.40223,-2.39445,-2.38674,-2.37908,-2.37147,-2.36391,-2.35641,-2.3445,-2.33713,-2.32981,-2.32255,-2.31534,-2.30816,-2.30104,-2.28062,-2.27368,-2.26679,-2.25994,-2.25314,-2.24637,-2.23966,-2.21013,-2.20364,-2.1972,-2.19078,-2.18441,-2.17809,-2.17179
143,4.84286,-2.53243,-2.52356,-2.51476,-2.50603,-2.49738,-2.48878,-2.48025,-2.49045,-2.48191,-2.47344,-2.46503,-2.45668,-2.44841,-2.4402,-2.4439,-2.43572,-2.4276,-2.41954,-2.41154,-2.4036,-2.39572,-2.39229,-2.38448,-2.37674,-2.36905,-2.36142,-2.35384,-2.3463,-2.33508,-2.32768,-2.32033,-2.31304,-2.3058,-2.2986,-2.29144,-2.27175,-2.26478,-2.25785,-2.25098,-2.24415,-2.23734,-2.23061,-2.20183,-2.19531,-2.18884,-2.18239,-2.17599,-2.16963,-2.16331
144,4.90593,-2.52113,-2.51223,-2.5034,-2.49465,-2.48598,-2.47736,-2.46882,-2.47957,-2.47101,-2.46251,-2.45407,-2.44571,-2.4374,-2.42917,-2.43347,-2.42527,-2.41712,-2.40903,-2.401,-2.39304,-2.38514,-2.38235,-2.37451,-2.36674,-2.35903,-2.35137,-2.34376,-2.3362,-2.32565,-2.31822,-2.31084,-2.30352,-2.29625,-2.28902,-2.28184,-2.26287,-2.25586,-2.24891,-2.242,-2.23514,-2.22831,-2.22155,-2.19352,-2.18697,-2.18046,-2.17398,-2.16756,-2.16117,-2.15481
145,4.96961,-2.50983,-2.50091,-2.49206,-2.48328,-2.47459,-2.46596,-2.45739,-2.46868,-2.4601,-2.45158,-2.44312,-2.43474,-2.4264,-2.41815,-2.42304,-2.41481,-2.40664,-2.39852,-2.39047,-2.38248,-2.37456,-2.3724,-2.36454,-2.35674,-2.34899,-2.34131,-2.33367,-2.32609,-2.31622,-2.30876,-2.30135,-2.294,-2.2867,-2.27944,-2.27224,-2.25397,-2.24693,-2.23996,-2.23302,-2.22612,-2.21927,-2.21247,-2.18519,-2.17862,-2.17207,-2.16556,-2.15911,-2.15269,-2.1463
146,5.03392,-2.49854,-2.4896,-2.48073,-2.47192,-2.46321,-2.45455,-2.44597,-2.45781,-2.4492,-2.44066,-2.43218,-2.42377,-2.41542,-2.40713,-2.41261,-2.40436,-2.39616,-2.38802,-2.37994,-2.37193,-2.36398,-2.36245,-2.35456,-2.34673,-2.33896,-2.33125,-2.32359,-2.31597,-2.30677,-2.29928,-2.29185,-2.28447,-2.27714,-2.26986,-2.26262,-2.24507,-2.238,-2.23099,-2.22402,-2.2171,-2.21022,-2.20339,-2.17686,-2.17024,-2.16367,-2.15713,-2.15065,-2.14419,-2.13778
