gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],VF[7],VF[8],VF[9],VF[10],VF[11],VF[12],VF[13],VF[14],VF[15],VF[16],VF[17],VF[18],VF[19],VF[20],VF[21],VF[22],VF[23],VF[24],VF[25],VF[26],VF[27],VF[28],VF[29],VF[30],VF[31],VF[32],VF[33],VF[34],VF[35],VF[36],VF[37],VF[38],VF[39],VF[40],VF[41],VF[42],VF[43],VF[44],VF[45],VF[46],VF[47],VF[48]
0,0,-4.8061,-4.8061,-4.80611,-4.8061,-4.80611,-4.8061,-4.8061,-4.33756,-4.33756,-4.33756,-4.33756,-4.33756,-4.33756,-4.33756,-4.00363,-4.00363,-4.00363,-4.00363,-4.00363,-4.00363,-4.00363,-3.75852,-3.75852,-3.75852,-3.75851,-3.75852,-3.75852,-3.75851,-3.55298,-3.55298,-3.55298,-3.55296,-3.55297,-3.55296,-3.55296,-3.36303,-3.36302,-3.36302,-3.36301,-3.36301,-3.363,-3.363,-3.17934,-3.17933,-3.17933,-3.17932,-3.17932,-3.17931,-3.17931
1,0.0156618,-4.75151,-4.75097,-4.75044,-4.7499,-4.74937,-4.74883,-4.74829,-4.30741,-4.30711,-4.30682,-4.30651,-4.30622,-4.30592,-4.30562,-3.987,-3.98683,-3.98667,-3.9865,-3.98634,-3.98617,-3.98601,-3.74822,-3.74812,-3.74802,-3.74791,-3.74781,-3.7477,-3.74759,-3.54521,-3.54513,-3.54505,-3.54496,-3.54488,-3.5448,-3.54472,-3.35678,-3.35672,-3.35665,-3.35658,-3.35652,-3.35644,-3.35638,-3.17418,-3.17412,-3.17407,-3.174,-3.17395,-3.17389,-3.17383
2,0.031477,-4.7001,-4.69909,-4.69809,-4.69708,-4.69609,-4.69508,-4.69408,-4.27866,-4.2781,-4.27753,-4.27696,-4.2764,-4.27583,-4.27527,-3.97098,-3.97066,-3.97034,-3.97002,-3.96971,-3.96939,-3.96908,-3.73795,-3.73774,-3.73754,-3.73732,-3.73712,-3.73691,-3.7367,-3.53743,-3.53727,-3.53711,-3.53694,-3.53678,-3.53662,-3.53646,-3.35053,-3.3504,-3.35027,-3.35013,-3.35001,-3.34987,-3.34974,-3.16899,-3.16888,-3.16877,-3.16866,-3.16855,-3.16844,-3.16833
3,0.0474469,-4.65165,-4.65023,-4.64882,-4.6474,-4.646,-4.64459,-4.64319,-4.25124,-4.25043,-4.24963,-4.24882,-4.24802,-4.24722,-4.24642,-3.95554,-3.95508,-3.95463,-3.95417,-3.95372,-3.95326,-3.95281,-3.72785,-3.72754,-3.72724,-3.72693,-3.72663,-3.72632,-3.72602,-3.52968,-3.52945,-3.52921,-3.52897,-3.52874,-3.52849,-3.52826,-3.34425,-3.34405,-3.34386,-3.34366,-3.34347,-3.34327,-3.34308,-3.16377,-3.16361,-3.16345,-3.16328,-3.16312,-3.16295,-3.16279
4,0.0635732,-4.60593,-4.60416,-4.60239,-4.60062,-4.59887,-4.59711,-4.59536,-4.22507,-4.22404,-4.22303,-4.222,-4.22099,-4.21998,-4.21897,-3.94066,-3.94008,-3.9395,-3.93891,-3.93833,-3.93775,-3.93717,-3.71772,-3.71732,-3.71692,-3.71651,-3.71612,-3.71572,-3.71532,-3.52191,-3.5216,-3.52129,-3.52097,-3.52067,-3.52035,-3.52004,-3.33793,-3.33767,-3.33741,-3.33715,-3.3369,-3.33664,-3.33639,-3.15852,-3.15831,-3.15809,-3.15787,-3.15766,-3.15745,-3.15723
5,0.0798573,-4.56277,-4.56069,-4.55861,-4.55654,-4.55448,-4.55242,-4.55037,-4.20007,-4.19886,-4.19765,-4.19644,-4.19524,-4.19403,-4.19284,-3.92632,-3.92562,-3.92492,-3.92422,-3.92353,-3.92283,-3.92214,-3.70779,-3.70729,-3.70679,-3.70629,-3.7058,-3.7053,-3.7048,-3.51415,-3.51376,-3.51338,-3.51298,-3.51259,-3.5122,-3.51181,-3.33162,-3.3313,-3.33099,-3.33066,-3.33035,-3.33003,-3.32971,-3.15324,-3.15297,-3.1527,-3.15243,-3.15217,-3.1519,-3.15163
6,0.0963008,-4.52198,-4.51963,-4.51729,-4.51495,-4.51263,-4.51031,-4.50801,-4.17619,-4.17481,-4.17343,-4.17205,-4.17068,-4.16931,-4.16795,-3.91249,-3.91168,-3.91088,-3.91007,-3.90928,-3.90848,-3.90768,-3.69782,-3.69724,-3.69666,-3.69607,-3.6955,-3.69491,-3.69433,-3.50642,-3.50595,-3.50549,-3.50502,-3.50457,-3.5041,-3.50364,-3.32529,-3.32491,-3.32453,-3.32415,-3.32377,-3.32339,-3.32301,-3.14795,-3.14763,-3.14731,-3.14699,-3.14667,-3.14635,-3.14603
7,0.112905,-4.48341,-4.48083,-4.47826,-4.47569,-4.47315,-4.47061,-4.46808,-4.15337,-4.15183,-4.1503,-4.14877,-4.14726,-4.14574,-4.14423,-3.89914,-3.89824,-3.89734,-3.89644,-3.89555,-3.89466,-3.89377,-3.68801,-3.68733,-3.68665,-3.68597,-3.68529,-3.68461,-3.68393,-3.49866,-3.49812,-3.4976,-3.49706,-3.49653,-3.496,-3.49547,-3.31895,-3.31851,-3.31806,-3.31761,-3.31718,-3.31673,-3.31629,-3.14263,-3.14225,-3.14189,-3.14151,-3.14114,-3.14077,-3.1404
8,0.129672,-4.4469,-4.44412,-4.44135,-4.43859,-4.43586,-4.43313,-4.43041,-4.13154,-4.12987,-4.12821,-4.12654,-4.1249,-4.12325,-4.12162,-3.88627,-3.88528,-3.8843,-3.88331,-3.88233,-3.88135,-3.88038,-3.67823,-3.67747,-3.67671,-3.67594,-3.67519,-3.67443,-3.67367,-3.49097,-3.49036,-3.48975,-3.48914,-3.48853,-3.48792,-3.48731,-3.31259,-3.31208,-3.31158,-3.31107,-3.31057,-3.31006,-3.30956,-3.1373,-3.13687,-3.13645,-3.13602,-3.1356,-3.13517,-3.13474
9,0.146603,-4.41231,-4.40936,-4.40643,-4.40351,-4.40061,-4.39772,-4.39485,-4.11066,-4.10887,-4.10709,-4.10531,-4.10355,-4.10179,-4.10004,-3.87377,-3.8726,-3.87144,-3.87026,-3.86911,-3.86794,-3.86677,-3.66852,-3.66767,-3.66681,-3.66595,-3.66512,-3.66427,-3.66343,-3.48328,-3.4826,-3.48192,-3.48124,-3.48057,-3.47989,-3.47921,-3.30619,-3.30562,-3.30506,-3.30449,-3.30393,-3.30336,-3.3028,-3.13193,-3.13145,-3.13098,-3.1305,-3.13003,-3.12955,-3.12907
10,0.1637,-4.37953,-4.37644,-4.37337,-4.37031,-4.36728,-4.36425,-4.36125,-4.09067,-4.08878,-4.08689,-4.08501,-4.08315,-4.08129,-4.07944,-3.86029,-3.85899,-3.85769,-3.85642,-3.85519,-3.85395,-3.85271,-3.65889,-3.65795,-3.65701,-3.65607,-3.65514,-3.6542,-3.65326,-3.47557,-3.47482,-3.47407,-3.47331,-3.47257,-3.47181,-3.47106,-3.29979,-3.29916,-3.29853,-3.29789,-3.29727,-3.29664,-3.29601,-3.12654,-3.12601,-3.12548,-3.12494,-3.12442,-3.12389,-3.12336
11,0.180965,-4.34843,-4.34522,-4.34204,-4.33886,-4.33572,-4.33258,-4.32948,-4.07153,-4.06955,-4.06757,-4.0656,-4.06366,-4.06171,-4.05978,-3.84727,-3.8459,-3.84453,-3.84316,-3.8418,-3.84043,-3.83906,-3.64921,-3.64818,-3.64715,-3.64611,-3.64508,-3.64405,-3.64302,-3.46783,-3.467,-3.46617,-3.46534,-3.46453,-3.4637,-3.46288,-3.29336,-3.29268,-3.29199,-3.2913,-3.29062,-3.28993,-3.28925,-3.12113,-3.12055,-3.11997,-3.11938,-3.11881,-3.11823,-3.11764
12,0.198398,-4.31892,-4.31561,-4.31232,-4.30905,-4.30582,-4.3026,-4.2994,-4.0532,-4.05113,-4.04908,-4.04703,-4.04501,-4.04299,-4.04098,-3.83432,-3.83287,-3.83142,-3.82997,-3.82853,-3.82707,-3.82563,-3.6395,-3.63839,-3.63729,-3.63617,-3.63507,-3.63396,-3.63285,-3.46009,-3.45919,-3.45829,-3.45738,-3.45649,-3.45559,-3.45469,-3.28692,-3.28618,-3.28543,-3.28468,-3.28394,-3.2832,-3.28245,-3.11569,-3.11505,-3.11442,-3.11379,-3.11316,-3.11253,-3.1119
13,0.216002,-4.29088,-4.28749,-4.28413,-4.28078,-4.27747,-4.27418,-4.27091,-4.03563,-4.03349,-4.03138,-4.02926,-4.02717,-4.02509,-4.02302,-3.82166,-3.82008,-3.81851,-3.81693,-3.81536,-3.81381,-3.81228,-3.62986,-3.62865,-3.62745,-3.62625,-3.62507,-3.62388,-3.62269,-3.45233,-3.45136,-3.4504,-3.44942,-3.44846,-3.44749,-3.44653,-3.28048,-3.27967,-3.27886,-3.27805,-3.27724,-3.27643,-3.27563,-3.11024,-3.10956,-3.10888,-3.10819,-3.10751,-3.10682,-3.10613
14,0.233778,-4.26423,-4.26078,-4.25736,-4.25395,-4.25058,-4.24723,-4.24391,-4.01878,-4.01659,-4.01441,-4.01224,-4.0101,-4.00796,-4.00584,-3.80908,-3.80742,-3.80578,-3.80412,-3.80247,-3.80082,-3.79917,-3.62025,-3.61897,-3.61769,-3.6164,-3.61512,-3.61384,-3.61256,-3.44456,-3.44352,-3.44249,-3.44144,-3.44041,-3.43937,-3.43834,-3.274,-3.27313,-3.27226,-3.27139,-3.27052,-3.26965,-3.26878,-3.10476,-3.10403,-3.1033,-3.10255,-3.10183,-3.10109,-3.10035
15,0.251728,-4.23889,-4.23539,-4.23192,-4.22846,-4.22505,-4.22166,-4.2183,-4.00263,-4.00038,-3.99816,-3.99594,-3.99375,-3.99157,-3.9894,-3.79659,-3.79481,-3.7931,-3.79137,-3.78967,-3.78795,-3.78623,-3.61065,-3.60929,-3.60794,-3.60658,-3.60523,-3.60387,-3.60252,-3.43678,-3.43566,-3.43455,-3.43343,-3.43233,-3.43122,-3.43012,-3.26748,-3.26655,-3.26562,-3.26469,-3.26377,-3.26284,-3.26192,-3.09927,-3.09848,-3.09769,-3.0969,-3.09611,-3.09532,-3.09454
16,0.269854,-4.21477,-4.21123,-4.20773,-4.20424,-4.2008,-4.19738,-4.194,-3.98713,-3.98484,-3.98258,-3.98032,-3.97809,-3.97587,-3.97367,-3.78438,-3.78254,-3.7807,-3.77886,-3.77703,-3.77519,-3.77339,-3.60109,-3.59963,-3.5982,-3.59677,-3.59536,-3.59393,-3.59251,-3.42898,-3.4278,-3.42663,-3.42544,-3.42427,-3.42308,-3.4219,-3.26097,-3.25997,-3.25898,-3.25799,-3.257,-3.25601,-3.25503,-3.09374,-3.0929,-3.09206,-3.09122,-3.09038,-3.08954,-3.0887
17,0.288157,-4.19181,-4.18824,-4.18472,-4.18121,-4.17775,-4.17431,-4.17091,-3.97225,-3.96993,-3.96763,-3.96534,-3.96308,-3.96083,-3.9586,-3.77221,-3.7703,-3.7684,-3.76649,-3.7646,-3.76269,-3.76079,-3.59159,-3.59007,-3.58855,-3.58703,-3.58552,-3.58402,-3.58252,-3.42117,-3.41992,-3.41868,-3.41743,-3.4162,-3.41495,-3.41371,-3.25442,-3.25337,-3.25233,-3.25128,-3.25023,-3.24918,-3.24814,-3.08818,-3.08729,-3.0864,-3.0855,-3.08462,-3.08372,-3.08283
18,0.30664,-4.16993,-4.16635,-4.16281,-4.15929,-4.15582,-4.15238,-4.14896,-3.95796,-3.95562,-3.95329,-3.95098,-3.94869,-3.94642,-3.94417,-3.7602,-3.75818,-3.75616,-3.7542,-3.75225,-3.75029,-3.74833,-3.5821,-3.58051,-3.57893,-3.57733,-3.57575,-3.57415,-3.57256,-3.41337,-3.41205,-3.41073,-3.40941,-3.40812,-3.40681,-3.4055,-3.24786,-3.24675,-3.24564,-3.24453,-3.24343,-3.24233,-3.24122,-3.08261,-3.08166,-3.08072,-3.07976,-3.07882,-3.07787,-3.07693
19,0.325303,-4.14907,-4.14549,-4.14194,-4.13842,-4.13495,-4.13151,-4.1281,-3.94421,-3.94131,-3.93841,-3.93551,-3.93261,-3.92971,-3.92681,-3.74837,-3.74629,-3.74422,-3.74214,-3.74007,-3.73799,-3.73596,-3.57262,-3.57096,-3.56931,-3.56765,-3.566,-3.56435,-3.5627,-3.40557,-3.40418,-3.4028,-3.40141,-3.40003,-3.39866,-3.39729,-3.24128,-3.24011,-3.23894,-3.23776,-3.2366,-3.23544,-3.23428,-3.07699,-3.076,-3.075,-3.074,-3.07302,-3.07202,-3.07102
20,0.344149,-4.12918,-4.1256,-4.12206,-4.11854,-4.11508,-4.11164,-4.10824,-3.92757,-3.92454,-3.92171,-3.91888,-3.91606,-3.91322,-3.9104,-3.73659,-3.73446,-3.73232,-3.73018,-3.72806,-3.72592,-3.72379,-3.56323,-3.56148,-3.55974,-3.558,-3.55629,-3.55457,-3.55285,-3.39774,-3.3963,-3.39485,-3.39339,-3.39195,-3.3905,-3.38905,-3.23467,-3.23345,-3.23222,-3.23099,-3.22977,-3.22854,-3.22731,-3.07137,-3.07032,-3.06927,-3.06821,-3.06717,-3.06613,-3.06509
21,0.36318,-4.1102,-4.10663,-4.1031,-4.09959,-4.09614,-4.09272,-4.08933,-3.91193,-3.90894,-3.90596,-3.90297,-3.90003,-3.89715,-3.89428,-3.725,-3.72275,-3.7205,-3.71826,-3.71603,-3.71379,-3.71155,-3.55385,-3.55204,-3.55023,-3.54842,-3.54661,-3.54481,-3.54303,-3.38991,-3.38839,-3.38688,-3.38536,-3.38386,-3.38234,-3.38083,-3.22805,-3.22675,-3.22548,-3.22419,-3.22292,-3.22164,-3.22036,-3.06572,-3.06462,-3.06352,-3.06241,-3.06132,-3.06022,-3.05912
22,0.382397,-4.09208,-4.08852,-4.08501,-4.08152,-4.07809,-4.07468,-4.07132,-3.89653,-3.8935,-3.89048,-3.88744,-3.88442,-3.8814,-3.87837,-3.71334,-3.71099,-3.70864,-3.70628,-3.70395,-3.7016,-3.69926,-3.54449,-3.54261,-3.54074,-3.53886,-3.53699,-3.53512,-3.53325,-3.38208,-3.38049,-3.3789,-3.37731,-3.37575,-3.37417,-3.3726,-3.22142,-3.22007,-3.21873,-3.21738,-3.21605,-3.21471,-3.21338,-3.06004,-3.05888,-3.05774,-3.05658,-3.05544,-3.05429,-3.05314
23,0.401802,-4.07477,-4.07123,-4.06774,-4.06428,-4.06087,-4.05749,-4.05415,-3.88138,-3.87822,-3.87516,-3.87208,-3.86902,-3.86594,-3.86288,-3.70164,-3.69917,-3.69672,-3.69425,-3.69187,-3.68949,-3.68711,-3.53517,-3.53321,-3.53126,-3.52931,-3.52737,-3.52542,-3.52347,-3.37423,-3.37258,-3.37093,-3.36928,-3.36763,-3.366,-3.36437,-3.21477,-3.21337,-3.21197,-3.21056,-3.20917,-3.20777,-3.20638,-3.05434,-3.05313,-3.05193,-3.05072,-3.04952,-3.04832,-3.04713
24,0.421397,-4.05822,-4.05471,-4.05125,-4.04781,-4.04443,-4.04108,-4.03777,-3.86654,-3.86332,-3.86011,-3.85688,-3.8538,-3.8507,-3.84761,-3.69,-3.6875,-3.68501,-3.68252,-3.68003,-3.67755,-3.67511,-3.52585,-3.52381,-3.52178,-3.51974,-3.51772,-3.51569,-3.51367,-3.36637,-3.36466,-3.36296,-3.36124,-3.35954,-3.35783,-3.35613,-3.20809,-3.20663,-3.20518,-3.20372,-3.20227,-3.20081,-3.19935,-3.04861,-3.04735,-3.0461,-3.04485,-3.0436,-3.04234,-3.04109
25,0.441183,-4.0424,-4.03892,-4.03549,-4.03209,-4.02874,-4.02542,-4.02215,-3.85187,-3.84863,-3.8454,-3.84215,-3.83892,-3.83568,-3.83255,-3.67851,-3.67595,-3.67339,-3.67082,-3.66827,-3.6657,-3.66316,-3.5165,-3.51438,-3.51226,-3.51016,-3.50808,-3.50598,-3.5039,-3.35852,-3.35673,-3.35497,-3.35319,-3.35142,-3.34965,-3.34788,-3.2014,-3.19988,-3.19836,-3.19684,-3.19533,-3.19382,-3.1923,-3.04286,-3.04155,-3.04024,-3.03894,-3.03765,-3.03634,-3.03505
26,0.461164,-4.02727,-4.02383,-4.02043,-4.0164,-4.01176,-4.00711,-4.00246,-3.83743,-3.83411,-3.83083,-3.82755,-3.82429,-3.82101,-3.81774,-3.66712,-3.66444,-3.66182,-3.6592,-3.65659,-3.65397,-3.65135,-3.50716,-3.50498,-3.5028,-3.50061,-3.49845,-3.49629,-3.49413,-3.35065,-3.3488,-3.34695,-3.34511,-3.34329,-3.34146,-3.33963,-3.19468,-3.1931,-3.19152,-3.18994,-3.18836,-3.18679,-3.18523,-3.03709,-3.03574,-3.03438,-3.03302,-3.03167,-3.03031,-3.02897
27,0.48134,-4.0102,-4.00535,-4.0005,-3.99578,-3.99144,-3.9871,-3.98275,-3.82328,-3.81986,-3.81645,-3.81312,-3.80984,-3.80655,-3.80327,-3.65582,-3.65309,-3.65036,-3.64766,-3.64499,-3.64232,-3.63964,-3.49783,-3.49557,-3.49333,-3.49107,-3.48882,-3.48659,-3.48436,-3.34277,-3.34086,-3.33895,-3.33704,-3.33514,-3.33325,-3.33137,-3.18792,-3.18629,-3.18466,-3.18303,-3.1814,-3.17977,-3.17814,-3.03129,-3.02989,-3.02849,-3.02708,-3.02568,-3.02427,-3.02287
28,0.501713,-3.99066,-3.98613,-3.9816,-3.97706,-3.97254,-3.96813,-3.96378,-3.80931,-3.80588,-3.80245,-3.79902,-3.7956,-3.79227,-3.78893,-3.64458,-3.64179,-3.63901,-3.63622,-3.63347,-3.63074,-3.628,-3.48849,-3.48617,-3.48385,-3.48152,-3.47921,-3.47688,-3.47459,-3.33487,-3.33291,-3.33094,-3.32897,-3.32701,-3.32505,-3.3231,-3.18117,-3.17947,-3.17778,-3.17609,-3.17441,-3.17273,-3.17104,-3.02549,-3.02402,-3.02256,-3.0211,-3.01966,-3.0182,-3.01675
29,0.522286,-3.97231,-3.96774,-3.96322,-3.95868,-3.95416,-3.94962,-3.94513,-3.7955,-3.79203,-3.78856,-3.78508,-3.78162,-3.77815,-3.77466,-3.63341,-3.63056,-3.62772,-3.62487,-3.62203,-3.61923,-3.61645,-3.47916,-3.47675,-3.47437,-3.47199,-3.46962,-3.46724,-3.46486,-3.32698,-3.32494,-3.32292,-3.32089,-3.31887,-3.31684,-3.31482,-3.17439,-3.17264,-3.17089,-3.16913,-3.1674,-3.16566,-3.16392,-3.01965,-3.01814,-3.01663,-3.01511,-3.01361,-3.0121,-3.0106
30,0.54306,-3.95449,-3.94978,-3.94513,-3.94059,-3.93607,-3.93154,-3.92701,-3.78193,-3.77832,-3.77469,-3.77105,-3.76742,-3.76378,-3.76017,-3.62231,-3.61939,-3.61651,-3.61361,-3.61073,-3.60784,-3.60499,-3.46986,-3.46739,-3.46492,-3.46247,-3.46003,-3.45759,-3.45515,-3.31908,-3.31697,-3.31487,-3.31278,-3.3107,-3.30861,-3.30652,-3.16759,-3.16578,-3.16398,-3.16217,-3.16037,-3.15856,-3.15678,-3.01378,-3.01221,-3.01066,-3.00909,-3.00754,-3.00598,-3.00443
31,0.564038,-3.93693,-3.93222,-3.92752,-3.92281,-3.91831,-3.91381,-3.90931,-3.76814,-3.76437,-3.76062,-3.75687,-3.75313,-3.74939,-3.74578,-3.61133,-3.60833,-3.60537,-3.60242,-3.59949,-3.59654,-3.5936,-3.46056,-3.45802,-3.45549,-3.45296,-3.45046,-3.44795,-3.44545,-3.31115,-3.30898,-3.30682,-3.30465,-3.30251,-3.30036,-3.29822,-3.16077,-3.15889,-3.15704,-3.15518,-3.15333,-3.15147,-3.14961,-3.00789,-3.00627,-3.00466,-3.00304,-3.00144,-2.99983,-2.99823
32,0.585221,-3.91966,-3.91498,-3.91032,-3.90564,-3.90098,-3.89641,-3.8919,-3.75428,-3.7504,-3.74662,-3.74292,-3.73924,-3.73554,-3.73185,-3.60042,-3.59736,-3.59431,-3.59129,-3.58829,-3.58529,-3.58228,-3.45126,-3.44866,-3.44607,-3.44347,-3.44089,-3.43832,-3.43576,-3.3032,-3.30098,-3.29876,-3.29653,-3.29431,-3.29211,-3.28991,-3.15393,-3.152,-3.15008,-3.14816,-3.14626,-3.14435,-3.14245,-3.00197,-3.0003,-2.99864,-2.99697,-2.99531,-2.99365,-2.992
33,0.606611,-3.90283,-3.89805,-3.89338,-3.88869,-3.88403,-3.87935,-3.87479,-3.74074,-3.73691,-3.73309,-3.72931,-3.72556,-3.72181,-3.71805,-3.58954,-3.58642,-3.58331,-3.58019,-3.5771,-3.574,-3.57089,-3.44197,-3.4393,-3.43665,-3.43398,-3.43133,-3.42869,-3.42607,-3.29525,-3.29296,-3.29068,-3.2884,-3.28613,-3.28385,-3.28159,-3.14707,-3.14509,-3.14312,-3.14114,-3.13917,-3.13721,-3.13526,-2.99602,-2.9943,-2.99259,-2.99088,-2.98917,-2.98746,-2.98575
34,0.628211,-3.88633,-3.88149,-3.87669,-3.87205,-3.86742,-3.86278,-3.85815,-3.72745,-3.72356,-3.71967,-3.7158,-3.71203,-3.70824,-3.70446,-3.57867,-3.57546,-3.57225,-3.56904,-3.56586,-3.56267,-3.55949,-3.43268,-3.42994,-3.42723,-3.42451,-3.42179,-3.41908,-3.4164,-3.28729,-3.28493,-3.28259,-3.28025,-3.27792,-3.27558,-3.27325,-3.14018,-3.13815,-3.13613,-3.1341,-3.13208,-3.13005,-3.12804,-2.99006,-2.98829,-2.98652,-2.98475,-2.983,-2.98124,-2.97949
35,0.650022,-3.87012,-3.86532,-3.86053,-3.85574,-3.85108,-3.8464,-3.84174,-3.71426,-3.71034,-3.70644,-3.70252,-3.69867,-3.69484,-3.69102,-3.56775,-3.56446,-3.56116,-3.55786,-3.55463,-3.5514,-3.54818,-3.42342,-3.42061,-3.41782,-3.41504,-3.41227,-3.40949,-3.40673,-3.27932,-3.2769,-3.27449,-3.27208,-3.2697,-3.2673,-3.26491,-3.1333,-3.1312,-3.12912,-3.12703,-3.12496,-3.12287,-3.12079,-2.98406,-2.98224,-2.98043,-2.97861,-2.9768,-2.97499,-2.97319
36,0.672047,-3.85418,-3.84936,-3.84453,-3.8397,-3.83484,-3.8299,-3.82496,-3.70124,-3.69729,-3.69334,-3.68938,-3.68545,-3.68158,-3.67772,-3.55682,-3.55348,-3.55015,-3.54681,-3.54349,-3.54018,-3.53688,-3.41415,-3.41128,-3.40842,-3.40558,-3.40275,-3.39991,-3.39708,-3.27133,-3.26886,-3.26639,-3.26391,-3.26147,-3.25902,-3.25658,-3.12638,-3.12423,-3.12208,-3.11993,-3.1178,-3.11567,-3.11354,-2.97804,-2.97617,-2.97431,-2.97244,-2.97059,-2.96873,-2.96687
37,0.694287,-3.83846,-3.8334,-3.8283,-3.8232,-3.81814,-3.81311,-3.80808,-3.6884,-3.68436,-3.68037,-3.67637,-3.67239,-3.66847,-3.66459,-3.54599,-3.54257,-3.53916,-3.53574,-3.53234,-3.52898,-3.52561,-3.40489,-3.40196,-3.39904,-3.39612,-3.39323,-3.39033,-3.38743,-3.26332,-3.2608,-3.25828,-3.25574,-3.25323,-3.25073,-3.24823,-3.11943,-3.11722,-3.11502,-3.11282,-3.11062,-3.10844,-3.10626,-2.97201,-2.97008,-2.96817,-2.96624,-2.96434,-2.96244,-2.96053
38,0.716745,-3.82226,-3.81705,-3.81187,-3.80667,-3.8017,-3.79684,-3.79198,-3.67567,-3.67155,-3.66754,-3.66353,-3.65953,-3.65553,-3.65161,-3.53516,-3.53165,-3.52818,-3.5247,-3.52123,-3.51781,-3.5144,-3.39563,-3.39264,-3.38965,-3.38666,-3.38371,-3.38075,-3.3778,-3.25533,-3.25273,-3.25015,-3.24756,-3.24499,-3.24242,-3.23986,-3.11246,-3.11019,-3.10794,-3.10569,-3.10344,-3.10119,-3.09896,-2.96593,-2.96397,-2.96201,-2.96003,-2.95807,-2.95612,-2.95417
39,0.739423,-3.80609,-3.80101,-3.796,-3.79098,-3.786,-3.78109,-3.77618,-3.66311,-3.65898,-3.65488,-3.65082,-3.64678,-3.64273,-3.63874,-3.52435,-3.52077,-3.51725,-3.51373,-3.51022,-3.50672,-3.50324,-3.38636,-3.38332,-3.38027,-3.37722,-3.3742,-3.37119,-3.36818,-3.24732,-3.24465,-3.24201,-3.23937,-3.23673,-3.23409,-3.23147,-3.10547,-3.10315,-3.10084,-3.09853,-3.09624,-3.09393,-3.09164,-2.95985,-2.95782,-2.95581,-2.9538,-2.95179,-2.94978,-2.94777
40,0.762323,-3.79076,-3.78563,-3.78057,-3.77551,-3.77046,-3.76557,-3.76068,-3.65067,-3.64649,-3.64232,-3.63821,-3.63411,-3.63,-3.62588,-3.5136,-3.50998,-3.50638,-3.50279,-3.49922,-3.49565,-3.49211,-3.37712,-3.374,-3.3709,-3.36779,-3.3647,-3.36162,-3.35855,-3.23928,-3.23656,-3.23384,-3.23114,-3.22845,-3.22576,-3.22307,-3.09846,-3.09609,-3.09372,-3.09135,-3.08901,-3.08665,-3.0843,-2.95374,-2.95167,-2.9496,-2.94753,-2.94548,-2.94342,-2.94137
41,0.785447,-3.77561,-3.7704,-3.76537,-3.76032,-3.75529,-3.75034,-3.74542,-3.63831,-3.63408,-3.62985,-3.6256,-3.62136,-3.61711,-3.61289,-3.50289,-3.4992,-3.49553,-3.49188,-3.48825,-3.4846,-3.481,-3.36788,-3.36469,-3.36153,-3.35835,-3.35519,-3.35205,-3.34892,-3.23123,-3.22845,-3.22568,-3.2229,-3.22016,-3.21741,-3.21467,-3.09143,-3.08901,-3.08659,-3.08416,-3.08175,-3.07935,-3.07695,-2.9476,-2.94548,-2.94337,-2.94125,-2.93913,-2.93703,-2.93493
42,0.808797,-3.76073,-3.75554,-3.75044,-3.74537,-3.74032,-3.73532,-3.73039,-3.62596,-3.62158,-3.61721,-3.61285,-3.60852,-3.60418,-3.59995,-3.4922,-3.48845,-3.4847,-3.48099,-3.47728,-3.47357,-3.46991,-3.35863,-3.35537,-3.35214,-3.34891,-3.34569,-3.34247,-3.33929,-3.22315,-3.22032,-3.2175,-3.21466,-3.21186,-3.20906,-3.20626,-3.08438,-3.08189,-3.07943,-3.07695,-3.07449,-3.07202,-3.06958,-2.94144,-2.93926,-2.9371,-2.93494,-2.93278,-2.93062,-2.92847
43,0.832376,-3.74607,-3.74086,-3.73571,-3.73063,-3.72557,-3.72055,-3.71564,-3.61346,-3.60899,-3.60453,-3.60017,-3.59583,-3.59148,-3.58717,-3.48152,-3.4777,-3.47389,-3.47011,-3.46636,-3.46261,-3.45888,-3.34938,-3.34606,-3.34275,-3.33946,-3.33619,-3.33291,-3.32967,-3.21508,-3.21218,-3.2093,-3.20642,-3.20354,-3.20068,-3.19783,-3.07732,-3.07477,-3.07224,-3.06972,-3.06721,-3.06469,-3.06218,-2.93526,-2.93304,-2.93081,-2.9286,-2.9264,-2.92419,-2.92198
44,0.856186,-3.73161,-3.72639,-3.72121,-3.71616,-3.71112,-3.70607,-3.70114,-3.60101,-3.59654,-3.59208,-3.58763,-3.5832,-3.57876,-3.5744,-3.47085,-3.46699,-3.46313,-3.45929,-3.45548,-3.45167,-3.44787,-3.34012,-3.33674,-3.33338,-3.33003,-3.3267,-3.32336,-3.32005,-3.20699,-3.20403,-3.20109,-3.19815,-3.19522,-3.1923,-3.18939,-3.07023,-3.06764,-3.06505,-3.06246,-3.0599,-3.05734,-3.05477,-2.92904,-2.92678,-2.92451,-2.92224,-2.91998,-2.91773,-2.91548
