gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
1,0.0468873,-246.626,-246.626,-246.626,-246.626,-246.626,-241.69,-241.69,-241.69,-241.69,-241.69,-238.017,-238.017,-238.017,-238.017,-238.017,-235.335,-235.335,-235.335,-235.335,-235.335,-233.405,-233.405,-233.405,-233.405,-233.405
2,0.0951487,-71.9664,-71.9664,-71.9664,-71.9664,-71.9664,-67.9593,-67.9593,-67.9593,-67.9593,-67.9593,-64.9026,-64.9026,-64.9026,-64.9026,-64.9026,-62.5856,-62.5856,-62.5856,-62.5856,-62.5856,-60.875,-60.875,-60.875,-60.875,-60.875
3,0.144824,-38.6649,-38.6649,-38.6649,-38.6649,-38.6649,-35.3372,-35.3372,-35.3372,-35.3372,-35.3372,-32.7505,-32.7505,-32.7505,-32.7505,-32.7505,-30.7286,-30.7286,-30.7286,-30.7286,-30.7286,-29.1919,-29.1919,-29.1919,-29.1919,-29.1919
4,0.195956,-26.2923,-26.2923,-26.2923,-26.2923,-26.2923,-23.5357,-23.5357,-23.5357,-23.5357,-23.5357,-21.2705,-21.2705,-21.2705,-21.2705,-21.2705,-19.501,-19.501,-19.501,-19.501,-19.501,-18.1213,-18.1213,-18.1213,-18.1213,-18.1213
5,0.248585,-20.069,-20.069,-20.069,-20.069,-20.069,-17.7683,-17.7683,-17.7683,-17.7683,-17.7683,-15.789,-15.789,-15.789,-15.789,-15.789,-14.2046,-14.2046,-14.2046,-14.2046,-14.2046,-12.9566,-12.9566,-12.9566,-12.9566,-12.9566
6,0.302757,-16.416,-16.416,-16.416,-16.416,-16.416,-14.3938,-14.3938,-14.3938,-14.3938,-14.3938,-12.666,-12.666,-12.666,-12.666,-12.666,-11.2385,-11.2385,-11.2385,-11.2385,-11.2385,-10.0998,-10.0998,-10.0998,-10.0998,-10.0998
7,0.358517,-13.9601,-13.9601,-13.9601,-13.9601,-13.9601,-12.1842,-12.1842,-12.1842,-12.1842,-12.1842,-10.6598,-10.6598,-10.6598,-10.6598,-10.6598,-9.37454,-9.37454,-9.37454,-9.37454,-9.37454,-8.33584,-8.33584,-8.33584,-8.33584,-8.33584
8,0.41591,-12.1919,-12.1919,-12.1919,-12.1919,-12.1919,-10.6336,-10.6336,-10.6336,-10.6336,-10.6336,-9.26866,-9.26866,-9.26866,-9.26866,-9.26866,-8.10698,-8.10698,-8.10698,-8.10698,-8.10698,-7.15156,-7.15156,-7.15156,-7.15156,-7.15156
9,0.474986,-10.8504,-10.8504,-10.8504,-10.8504,-10.8504,-9.47628,-9.47628,-9.47628,-9.47628,-9.47628,-8.24015,-8.24015,-8.24015,-8.24015,-8.24015,-7.18658,-7.18658,-7.18658,-7.18658,-7.18658,-6.30389,-6.30389,-6.30389,-6.30389,-6.30389
10,0.535792,-9.78398,-9.78398,-9.78398,-9.78398,-9.78398,-8.56232,-8.56232,-8.56232,-8.56232,-8.56232,-7.44568,-7.44568,-7.44568,-7.44568,-7.44568,-6.48251,-6.48251,-6.48251,-6.48251,-6.48251,-5.6704,-5.6704,-5.6704,-5.6704,-5.6704
11,0.598381,-8.92186,-8.92186,-8.92186,-8.92186,-8.92186,-7.82025,-7.82025,-7.82025,-7.82025,-7.82025,-6.80774,-6.80774,-6.80774,-6.80774,-6.80774,-5.92304,-5.92304,-5.92304,-5.92304,-5.92304,-5.17401,-5.17401,-5.17401,-5.17401,-5.17401
12,0.662804,-8.19906,-8.19906,-8.19906,-8.19906,-8.19906,-7.20306,-7.20306,-7.20306,-7.20306,-7.20306,-6.28558,-6.28558,-6.28558,-6.28558,-6.28558,-5.46934,-5.46934,-5.46934,-5.46934,-5.46934,-4.77416,-4.77416,-4.77416,-4.77416,-4.77416
13,0.729114,-7.5815,-7.5815,-7.5815,-7.5815,-7.5815,-6.67883,-6.67883,-6.67883,-6.67883,-6.67883,-5.84211,-5.84211,-5.84211,-5.84211,-5.84211,-5.09073,-5.09073,-5.09073,-5.09073,-5.09073,-4.4438,-4.4438,-4.4438,-4.4438,-4.4438
14,0.797368,-7.04666,-7.04666,-7.04666,-7.04666,-7.04666,-6.2268,-6.2268,-6.2268,-6.2268,-6.2268,-5.45873,-5.45873,-5.45873,-5.45873,-5.45873,-4.76521,-4.76521,-4.76521,-4.76521,-4.76521,-4.16239,-4.16239,-4.16239,-4.16239,-4.16239
15,0.867622,-6.5756,-6.5756,-6.5756,-6.5756,-6.57556,-5.83066,-5.83066,-5.83066,-5.83066,-5.83066,-5.12374,-5.12374,-5.12374,-5.12374,-5.12374,-4.48179,-4.48179,-4.48179,-4.48179,-4.48179,-3.91954,-3.91954,-3.91954,-3.91954,-3.91954
