gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[0 7],dist[0 8],dist[0 9],dist[0 10],dist[0 11],dist[0 12],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[1 7],dist[1 8],dist[1 9],dist[1 10],dist[1 11],dist[1 12],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[2 7],dist[2 8],dist[2 9],dist[2 10],dist[2 11],dist[2 12],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[3 7],dist[3 8],dist[3 9],dist[3 10],dist[3 11],dist[3 12],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[4 7],dist[4 8],dist[4 9],dist[4 10],dist[4 11],dist[4 12],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[5 7],dist[5 8],dist[5 9],dist[5 10],dist[5 11],dist[5 12],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6],dist[6 7],dist[6 8],dist[6 9],dist[6 10],dist[6 11],dist[6 12]
0,0,3.91184e-011,2.75313e-010,7.67454e-010,8.10027e-010,3.22563e-010,4.78637e-011,2.65058e-012,6.96266e-009,4.90028e-008,1.36598e-007,1.44176e-007,5.74127e-008,8.51922e-009,4.71775e-010,4.72041e-007,3.3222e-006,9.26085e-006,9.77458e-006,3.89236e-006,5.7757e-007,3.19845e-008,1.23059e-005,8.66079e-005,0.000241425,0.000254818,0.000101472,1.50569e-005,8.33818e-007,0.000124762,0.000878069,0.00244768,0.00258346,0.00102877,0.000152654,8.45362e-006,0.00049769,0.00350271,0.00976405,0.0103057,0.00410386,0.000608953,3.37224e-005,0.000788391,0.00554865,0.0154672,0.0163252,0.00650092,0.000964643,5.34197e-005,0.00049769,0.00350271,0.00976405,0.0103057,0.00410386,0.000608953,3.37224e-005,0.000124762,0.000878069,0.00244768,0.00258346,0.00102877,0.000152654,8.45362e-006,1.23059e-005,8.66079e-005,0.000241425,0.000254818,0.000101472,1.50569e-005,8.33818e-007,4.72041e-007,3.3222e-006,9.26085e-006,9.77458e-006,3.89236e-006,5.7757e-007,3.19845e-008,6.96266e-009,4.90028e-008,1.36598e-007,1.44176e-007,5.74127e-008,8.51922e-009,4.71775e-010,3.91184e-011,2.75313e-010,7.67454e-010,8.10027e-010,3.22563e-010,4.78637e-011,2.65058e-012
1,0.0185364,1.67199e-011,1.44793e-010,4.86932e-010,6.16347e-010,2.9422e-010,5.26147e-011,3.56409e-012,2.97596e-009,2.57716e-008,8.66687e-008,1.09703e-007,5.2368e-008,9.36485e-009,6.3437e-010,2.01759e-007,1.74721e-006,5.8758e-006,7.43745e-006,3.55035e-006,6.34901e-007,4.30079e-008,5.25974e-006,4.55489e-005,0.000153179,0.00019389,9.25555e-005,1.65515e-005,1.12119e-006,5.33256e-005,0.000461795,0.001553,0.00196574,0.000938369,0.000167806,1.13671e-005,0.000212722,0.00184215,0.00619507,0.00784157,0.00374326,0.000669399,4.53447e-005,0.000336972,0.00291815,0.00981361,0.0124218,0.00592969,0.00106039,7.18306e-005,0.000212722,0.00184215,0.00619507,0.00784157,0.00374326,0.000669399,4.53447e-005,5.33256e-005,0.000461795,0.001553,0.00196574,0.000938369,0.000167806,1.13671e-005,5.25974e-006,4.55489e-005,0.000153179,0.00019389,9.25555e-005,1.65515e-005,1.12119e-006,2.01759e-007,1.74721e-006,5.8758e-006,7.43745e-006,3.55035e-006,6.34901e-007,4.30079e-008,2.97596e-009,2.57716e-008,8.66687e-008,1.09703e-007,5.2368e-008,9.36485e-009,6.3437e-010,1.67199e-011,1.44793e-010,4.86932e-010,6.16347e-010,2.9422e-010,5.26147e-011,3.56409e-012
2,0.0372875,1.76411e-011,1.68753e-010,6.24551e-010,8.69953e-010,4.56731e-010,8.96551e-011,6.65206e-012,3.13992e-009,3.00362e-008,1.11163e-007,1.54842e-007,8.12932e-008,1.59576e-008,1.18399e-009,2.12874e-007,2.03634e-006,7.53645e-006,1.04977e-005,5.51137e-006,1.08187e-006,8.02703e-008,5.54951e-006,5.30863e-005,0.000196471,0.000273669,0.000143678,2.82036e-005,2.0926e-006,5.62634e-005,0.000538212,0.00199191,0.00277458,0.00145667,0.000285941,2.12157e-005,0.000224441,0.00214699,0.00794595,0.0110681,0.00581083,0.00114065,8.46318e-005,0.000355537,0.00340104,0.0125872,0.017533,0.00920494,0.0018069,0.000134065,0.000224441,0.00214699,0.00794595,0.0110681,0.00581083,0.00114065,8.46318e-005,5.62634e-005,0.000538212,0.00199191,0.00277458,0.00145667,0.000285941,2.12157e-005,5.54951e-006,5.30863e-005,0.000196471,0.000273669,0.000143678,2.82036e-005,2.0926e-006,2.12874e-007,2.03634e-006,7.53645e-006,1.04977e-005,5.51137e-006,1.08187e-006,8.02703e-008,3.13992e-009,3.00362e-008,1.11163e-007,1.54842e-007,8.12932e-008,1.59576e-008,1.18399e-009,1.76411e-011,1.68753e-010,6.24551e-010,8.69953e-010,4.56731e-010,8.96551e-011,6.65206e-012
3,0.0562558,1.91594e-011,2.0554e-010,8.50643e-010,1.32331e-009,7.7466e-010,1.69459e-010,1.40781e-011,3.41016e-009,3.65838e-008,1.51405e-007,2.35535e-007,1.37881e-007,3.01619e-008,2.50574e-009,2.31196e-007,2.48024e-006,1.02647e-005,1.59684e-005,9.34781e-006,2.04486e-006,1.6988e-007,6.02715e-006,6.46585e-005,0.000267595,0.000416286,0.000243692,5.33084e-005,4.42867e-006,6.11059e-005,0.000655537,0.00271299,0.00422049,0.00247066,0.000540464,4.48998e-005,0.000243758,0.00261501,0.0108224,0.016836,0.00985573,0.00215597,0.00017911,0.000386137,0.00414243,0.0171438,0.0266699,0.0156125,0.00341527,0.000283729,0.000243758,0.00261501,0.0108224,0.016836,0.00985573,0.00215597,0.00017911,6.11059e-005,0.000655537,0.00271299,0.00422049,0.00247066,0.000540464,4.48998e-005,6.02715e-006,6.46585e-005,0.000267595,0.000416286,0.000243692,5.33084e-005,4.42867e-006,2.31196e-007,2.48024e-006,1.02647e-005,1.59684e-005,9.34781e-006,2.04486e-006,1.6988e-007,3.41016e-009,3.65838e-008,1.51405e-007,2.35535e-007,1.37881e-007,3.01619e-008,2.50574e-009,1.91594e-011,2.0554e-010,8.50643e-010,1.32331e-009,7.7466e-010,1.69459e-010,1.40781e-011
4,0.0754439,1.37877e-011,1.59484e-010,7.12749e-010,1.20378e-009,7.70663e-010,1.8603e-010,1.72798e-011,2.45405e-009,2.83865e-008,1.26862e-007,2.1426e-007,1.3717e-007,3.31114e-008,3.07562e-009,1.66375e-007,1.92449e-006,8.60073e-006,1.4526e-005,9.29958e-006,2.24482e-006,2.08515e-007,4.33731e-006,5.01705e-005,0.000224216,0.000378684,0.000242435,5.85213e-005,5.43588e-006,4.39736e-005,0.000508651,0.0022732,0.00383927,0.00245791,0.000593315,5.51113e-005,0.000175415,0.00202906,0.00906806,0.0153153,0.00980488,0.0023668,0.000219845,0.000277876,0.00321424,0.0143647,0.0242609,0.0155319,0.00374925,0.000348257,0.000175415,0.00202906,0.00906806,0.0153153,0.00980488,0.0023668,0.000219845,4.39736e-005,0.000508651,0.0022732,0.00383927,0.00245791,0.000593315,5.51113e-005,4.33731e-006,5.01705e-005,0.000224216,0.000378684,0.000242435,5.85213e-005,5.43588e-006,1.66375e-007,1.92449e-006,8.60073e-006,1.4526e-005,9.29958e-006,2.24482e-006,2.08515e-007,2.45405e-009,2.83865e-008,1.26862e-007,2.1426e-007,1.3717e-007,3.31114e-008,3.07562e-009,1.37877e-011,1.59484e-010,7.12749e-010,1.20378e-009,7.70663e-010,1.8603e-010,1.72798e-011
5,0.0948544,5.23805e-012,6.98593e-011,3.60049e-010,7.01045e-010,5.1551e-010,1.41979e-010,1.49565e-011,9.32315e-010,1.24342e-008,6.40848e-008,1.24778e-007,9.17551e-008,2.52708e-008,2.6621e-009,6.32074e-008,8.42991e-007,4.3447e-006,8.45949e-006,6.22064e-006,1.71326e-006,1.8048e-007,1.64778e-006,2.19763e-005,0.000113264,0.000220534,0.000162169,4.46638e-005,4.70501e-006,1.67059e-005,0.000222805,0.00114832,0.00223587,0.00164414,0.000452822,4.77015e-005,6.66418e-005,0.000888795,0.00458077,0.00891915,0.00655865,0.00180636,0.000190287,0.000105567,0.00140794,0.0072564,0.0141288,0.0103896,0.00286145,0.000301433,6.66418e-005,0.000888795,0.00458077,0.00891915,0.00655865,0.00180636,0.000190287,1.67059e-005,0.000222805,0.00114832,0.00223587,0.00164414,0.000452822,4.77015e-005,1.64778e-006,2.19763e-005,0.000113264,0.000220534,0.000162169,4.46638e-005,4.70501e-006,6.32074e-008,8.42991e-007,4.3447e-006,8.45949e-006,6.22064e-006,1.71326e-006,1.8048e-007,9.32315e-010,1.24342e-008,6.40848e-008,1.24778e-007,9.17551e-008,2.52708e-008,2.6621e-009,5.23805e-012,6.98593e-011,3.60049e-010,7.01045e-010,5.1551e-010,1.41979e-010,1.49565e-011
6,0.11449,4.34046e-012,5.6854e-011,2.8992e-010,5.63735e-010,4.18275e-010,1.17552e-010,1.28201e-011,7.72555e-010,1.01194e-008,5.16025e-008,1.00339e-007,7.44484e-008,2.0923e-008,2.28184e-009,5.23762e-008,6.86056e-007,3.49845e-006,6.80258e-006,5.04732e-006,1.4185e-006,1.547e-007,1.36542e-006,1.78851e-005,9.12027e-005,0.000177339,0.000131581,3.69795e-005,4.03295e-006,1.38432e-005,0.000181327,0.000924654,0.00179795,0.00133402,0.000374914,4.08878e-005,5.52221e-005,0.000723333,0.00368854,0.00717221,0.00532157,0.00149557,0.000163106,8.74774e-005,0.00114583,0.00584302,0.0113615,0.0084299,0.00236914,0.000258376,5.52222e-005,0.000723333,0.00368855,0.00717221,0.00532157,0.00149557,0.000163106,1.38432e-005,0.000181327,0.000924654,0.00179795,0.00133402,0.000374914,4.08878e-005,1.36542e-006,1.78851e-005,9.12027e-005,0.000177339,0.000131581,3.69795e-005,4.03295e-006,5.23762e-008,6.86056e-007,3.49845e-006,6.80258e-006,5.04732e-006,1.4185e-006,1.547e-007,7.72555e-010,1.01194e-008,5.16025e-008,1.00339e-007,7.44484e-008,2.0923e-008,2.28184e-009,4.34046e-012,5.6854e-011,2.8992e-010,5.63735e-010,4.18275e-010,1.17552e-010,1.28201e-011
7,0.134352,1.56327e-012,2.32818e-011,1.32681e-010,2.845e-010,2.30276e-010,7.00724e-011,8.26338e-012,2.78245e-010,4.14391e-009,2.36158e-008,5.06379e-008,4.09866e-008,1.24721e-008,1.47079e-009,1.88639e-008,2.80941e-007,1.60106e-006,3.43306e-006,2.77873e-006,8.45561e-007,9.9714e-008,4.91773e-007,7.32398e-006,4.17388e-005,8.94979e-005,7.244e-005,2.20433e-005,2.59949e-006,4.98581e-006,7.42537e-005,0.000423166,0.000907369,0.000734429,0.000223485,2.63548e-005,1.98889e-005,0.000296206,0.00168806,0.0036196,0.00292972,0.000891506,0.000105132,3.15061e-005,0.00046922,0.00267405,0.0057338,0.00464097,0.00141223,0.00016654,1.98889e-005,0.000296206,0.00168806,0.0036196,0.00292972,0.000891506,0.000105132,4.98581e-006,7.42538e-005,0.000423166,0.000907369,0.000734429,0.000223485,2.63548e-005,4.91773e-007,7.32398e-006,4.17388e-005,8.94979e-005,7.244e-005,2.20433e-005,2.59949e-006,1.8864e-008,2.80941e-007,1.60106e-006,3.43306e-006,2.77873e-006,8.45562e-007,9.9714e-008,2.78245e-010,4.14391e-009,2.36158e-008,5.0638e-008,4.09866e-008,1.24721e-008,1.47079e-009,1.56327e-012,2.32818e-011,1.32681e-010,2.845e-010,2.30276e-010,7.00724e-011,8.26338e-012
8,0.154445,1.90334e-012,2.82642e-011,1.61839e-010,3.53965e-010,2.97825e-010,9.60926e-011,1.22795e-011,3.38774e-010,5.03072e-009,2.88055e-008,6.30019e-008,5.30096e-008,1.71034e-008,2.18562e-009,2.29676e-008,3.41064e-007,1.9529e-006,4.27129e-006,3.59384e-006,1.15955e-006,1.48177e-007,5.98751e-007,8.89133e-006,5.09111e-005,0.00011135,9.36895e-005,3.02287e-005,3.86289e-006,6.07041e-006,9.01443e-005,0.000516159,0.00112892,0.000949866,0.000306472,3.91637e-005,2.42155e-005,0.000359595,0.00205902,0.00450337,0.00378912,0.00122255,0.000156228,3.83598e-005,0.000569635,0.00326169,0.00713379,0.00600234,0.00193664,0.000247481,2.42155e-005,0.000359595,0.00205902,0.00450337,0.00378912,0.00122255,0.000156228,6.0704e-006,9.01443e-005,0.000516159,0.00112892,0.000949865,0.000306472,3.91637e-005,5.98751e-007,8.89133e-006,5.09111e-005,0.00011135,9.36895e-005,3.02287e-005,3.86289e-006,2.29675e-008,3.41063e-007,1.9529e-006,4.27129e-006,3.59384e-006,1.15955e-006,1.48177e-007,3.38774e-010,5.03072e-009,2.88055e-008,6.30019e-008,5.30095e-008,1.71034e-008,2.18562e-009,1.90334e-012,2.82642e-011,1.61839e-010,3.53965e-010,2.97825e-010,9.60926e-011,1.22795e-011
9,0.174771,8.588e-013,1.37618e-011,8.51572e-011,2.01038e-010,1.81757e-010,6.25828e-011,8.48193e-012,1.52857e-010,2.44945e-009,1.5157e-008,3.57826e-008,3.23508e-008,1.11391e-008,1.50969e-009,1.03631e-008,1.66063e-007,1.02759e-006,2.42592e-006,2.19326e-006,7.55185e-007,1.02351e-007,2.70161e-007,4.32917e-006,2.67887e-005,6.32425e-005,5.71771e-005,1.96873e-005,2.66824e-006,2.73901e-006,4.38911e-005,0.000271596,0.000641181,0.000579687,0.000199598,2.70518e-005,1.09262e-005,0.000175086,0.00108342,0.00255774,0.00231243,0.000796219,0.000107913,1.73082e-005,0.000277354,0.00171625,0.00405172,0.00366313,0.00126129,0.000170944,1.09262e-005,0.000175086,0.00108343,0.00255774,0.00231243,0.000796219,0.000107913,2.73901e-006,4.38911e-005,0.000271596,0.000641181,0.000579687,0.000199598,2.70518e-005,2.70161e-007,4.32917e-006,2.67887e-005,6.32425e-005,5.71771e-005,1.96873e-005,2.66824e-006,1.03631e-008,1.66063e-007,1.02759e-006,2.42593e-006,2.19326e-006,7.55186e-007,1.02351e-007,1.52857e-010,2.44945e-009,1.51571e-008,3.57827e-008,3.23508e-008,1.11391e-008,1.50969e-009,8.588e-013,1.37618e-011,8.51572e-011,2.01038e-010,1.81757e-010,6.25828e-011,8.48193e-012
