gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],dist[7],dist[8],dist[9],dist[10],dist[11],dist[12],dist[13],dist[14],dist[15],dist[16],dist[17],dist[18],dist[19],dist[20],dist[21],dist[22],dist[23],dist[24],dist[25],dist[26],dist[27],dist[28],dist[29],dist[30],dist[31],dist[32],dist[33],dist[34],dist[35],dist[36],dist[37],dist[38],dist[39],dist[40],dist[41],dist[42],dist[43],dist[44],dist[45],dist[46],dist[47],dist[48]
10,0.1637,7.2917e-007,7.40378e-006,2.91696e-005,4.32565e-005,2.41024e-005,4.99497e-006,3.8906e-007,7.11557e-006,7.2249e-005,0.000284648,0.000422111,0.000235198,4.87422e-005,3.79654e-006,2.83847e-005,0.000288207,0.00113548,0.00168382,0.000938215,0.000194434,1.51445e-005,4.49641e-005,0.000456546,0.00179869,0.0026673,0.0014862,0.000307997,2.39898e-005,2.83846e-005,0.000288204,0.00113546,0.00168377,0.000938183,0.000194426,1.51438e-005,7.11552e-006,7.22473e-005,0.000284636,0.000422087,0.000235182,4.87383e-005,3.7962e-006,7.29164e-007,7.40351e-006,2.91679e-005,4.32529e-005,2.40999e-005,4.99437e-006,3.89008e-007
11,0.180965,8.63673e-007,9.26681e-006,3.83006e-005,5.91879e-005,3.41374e-005,7.27737e-006,5.80096e-007,8.42808e-006,9.04289e-005,0.00037375,0.000577573,0.000333121,7.10142e-005,5.66069e-006,3.36204e-005,0.000360727,0.00149091,0.00230396,0.00132883,0.000283277,2.25805e-005,5.32578e-005,0.000571423,0.00236171,0.00364964,0.00210496,0.000448728,3.57689e-005,3.36201e-005,0.000360721,0.00149087,0.00230388,0.00132878,0.000283264,2.25794e-005,8.42795e-006,9.04257e-005,0.00037373,0.000577533,0.000333094,7.10077e-005,5.66013e-006,8.63653e-007,9.2663e-006,3.82975e-005,5.91817e-005,3.41332e-005,7.27636e-006,5.80008e-007
12,0.198398,7.46408e-007,8.24898e-006,3.57905e-005,5.93186e-005,3.75679e-005,9.02472e-006,8.37888e-007,7.28395e-006,8.04995e-005,0.00034927,0.000578876,0.000366616,8.80702e-005,8.17675e-006,2.9057e-005,0.000321129,0.00139331,0.00230926,0.00146252,0.000351332,3.26189e-005,4.60302e-005,0.000508712,0.00220721,0.00365821,0.00231684,0.000556561,5.1673e-005,2.90582e-005,0.000321144,0.00139339,0.0023094,0.0014626,0.000351353,3.26208e-005,7.28455e-006,8.05074e-005,0.000349308,0.000578944,0.000366661,8.80808e-005,8.17771e-006,7.46502e-007,8.25022e-006,3.57965e-005,5.93292e-005,3.75748e-005,9.02638e-006,8.38037e-007
13,0.216002,8.96963e-007,1.07686e-005,5.1246e-005,9.38754e-005,6.59286e-005,1.75447e-005,1.80055e-006,8.75271e-006,0.000105082,0.000500069,0.000916058,0.000643349,0.000171206,1.75703e-005,3.49144e-005,0.000419171,0.00199478,0.00365417,0.00256634,0.000682946,7.00888e-005,5.53063e-005,0.000663991,0.00315985,0.00578844,0.00406526,0.00108184,0.000111026,3.49124e-005,0.000419148,0.00199468,0.00365401,0.00256624,0.000682923,7.00868e-005,8.75168e-006,0.00010507,0.000500019,0.000915977,0.000643299,0.000171194,1.75693e-005,8.96802e-007,1.07668e-005,5.12382e-005,9.38627e-005,6.59209e-005,1.75429e-005,1.80039e-006
14,0.233778,7.01388e-007,7.95096e-006,3.58324e-005,6.24355e-005,4.19607e-005,1.07569e-005,1.06957e-006,6.84473e-006,7.7592e-005,0.000349681,0.000609291,0.000409481,0.000104972,1.04374e-005,2.73054e-005,0.000309533,0.00139496,0.00243059,0.0016335,0.00041875,4.16363e-005,4.32561e-005,0.000490349,0.00220982,0.0038504,0.00258768,0.000663352,6.59567e-005,2.73074e-005,0.000309555,0.00139505,0.00243072,0.00163356,0.000418763,4.16371e-005,6.84576e-006,7.76029e-005,0.000349725,0.000609356,0.000409515,0.000104978,1.04378e-005,7.01548e-007,7.95267e-006,3.58393e-005,6.24456e-005,4.19661e-005,1.07578e-005,1.06962e-006
15,0.251728,6.27192e-007,7.44079e-006,3.5355e-005,6.51419e-005,4.62202e-005,1.24508e-005,1.29414e-006,6.12052e-006,7.26112e-005,0.000345011,0.000635683,0.000451035,0.0001215,1.26287e-005,2.44157e-005,0.000289655,0.00137629,0.0025358,0.00179922,0.000484672,5.03766e-005,3.86774e-005,0.000458846,0.00218018,0.00401694,0.00285012,0.000767763,7.98008e-005,2.44163e-005,0.000289659,0.00137629,0.00253578,0.00179919,0.000484664,5.03757e-005,6.12083e-006,7.2613e-005,0.000345012,0.000635674,0.000451024,0.000121496,1.26282e-005,6.27241e-007,7.44108e-006,3.53552e-005,6.51406e-005,4.62185e-005,1.24502e-005,1.29406e-006
16,0.269854,5.94897e-007,7.00821e-006,3.27846e-005,5.91364e-005,4.09735e-005,1.07786e-005,1.09532e-006,5.80514e-006,6.83877e-005,0.000319921,0.000577071,0.000399834,0.000105182,1.06886e-005,2.31568e-005,0.0002728,0.00127617,0.00230196,0.00159496,0.000419579,4.26378e-005,3.66818e-005,0.000432132,0.00202155,0.00364648,0.00252655,0.000664651,6.75423e-005,2.31557e-005,0.000272788,0.00127612,0.00230189,0.00159493,0.000419573,4.26376e-005,5.80461e-006,6.83816e-005,0.000319896,0.000577035,0.000399816,0.000105179,1.06885e-005,5.94814e-007,7.00726e-006,3.27807e-005,5.91308e-005,4.09708e-005,1.07782e-005,1.0953e-006
17,0.288157,5.32072e-007,6.00088e-006,2.66243e-005,4.52582e-005,2.94783e-005,7.29696e-006,6.99264e-007,5.19221e-006,5.85595e-005,0.000259813,0.000441651,0.000287663,7.1207e-005,6.82371e-006,2.07123e-005,0.0002336,0.00103642,0.00176179,0.00114752,0.000284052,2.72204e-005,3.28104e-005,0.000370047,0.0016418,0.00279086,0.00181779,0.000449966,4.31197e-005,2.07123e-005,0.000233601,0.00103643,0.0017618,0.00114752,0.000284051,2.72202e-005,5.19223e-006,5.85599e-005,0.000259815,0.000441654,0.000287664,7.12066e-005,6.82362e-006,5.32075e-007,6.00094e-006,2.66247e-005,4.52586e-005,2.94784e-005,7.2969e-006,6.99248e-007
18,0.30664,4.68196e-007,5.23023e-006,2.28763e-005,3.81851e-005,2.43515e-005,5.89133e-006,5.51069e-007,4.56889e-006,5.10391e-005,0.000223238,0.000372629,0.000237634,5.74907e-005,5.37764e-006,1.82258e-005,0.000203601,0.000890521,0.00148646,0.00094795,0.000229338,2.14521e-005,2.88716e-005,0.000322525,0.00141068,0.00235471,0.00150165,0.000363296,3.39826e-005,1.8226e-005,0.000203602,0.000890525,0.00148647,0.000947958,0.000229341,2.14525e-005,4.56895e-006,5.10396e-005,0.00022324,0.000372633,0.000237638,5.74921e-005,5.37782e-006,4.68206e-007,5.23031e-006,2.28766e-005,3.81858e-005,2.43521e-005,5.89155e-006,5.51098e-007
19,0.325303,4.07815e-007,4.5653e-006,2.00921e-005,3.38718e-005,2.18831e-005,5.37528e-006,5.1138e-007,3.97971e-006,4.45511e-005,0.000196071,0.00033054,0.000213547,5.24547e-005,4.99028e-006,1.58758e-005,0.000177722,0.000782157,0.00131857,0.000851868,0.000209248,1.99067e-005,2.51492e-005,0.000281533,0.00123903,0.00208877,0.00134945,0.00033147,3.15342e-005,1.58763e-005,0.000177727,0.000782179,0.0013186,0.000851879,0.000209249,1.99067e-005,3.97999e-006,4.45539e-005,0.000196081,0.000330554,0.000213553,5.24553e-005,4.99026e-006,4.07857e-007,4.56574e-006,2.00938e-005,3.38739e-005,2.1884e-005,5.37538e-006,5.11377e-007
